,vws_v500-200_cluster1,vws_v500-200_cluster2,vws_v500-200_cluster3,vws_v500-200_cluster4,vws_v500-200_cluster5,vws_v500-200_cluster6
1965-01-01,9.572647957847712,-0.9869355146656106,2.2686369318952844,-6.292785004341632,-8.717524861392404,1.3430885799461547
1965-02-01,7.1098058450606345,-1.9276199153084623,0.9314839748749941,-6.992014225947948,-6.71969255409641,3.3814620975979093
1965-03-01,5.800652886215768,0.4725409668624979,1.5525392738882144,-4.582090285538129,-2.681759511146132,3.5105390230725444
1965-04-01,5.888004233324522,-4.465515710919899,1.8555577701851274,-1.9275103906899915,-7.840597234456378,1.6906960205835793
1965-05-01,3.838077957063639,-2.1341571880046573,1.2825271208157005,-3.2750001679972804,-3.1216409273181096,2.1794657325924214
1965-06-01,1.0839561045626682,-3.6311104664449148,2.4505765814901497,-2.1254863263048693,2.7194293351438157,0.1287707390607064
1965-07-01,3.656451227760282,-4.966429210879129,4.304593284317167,1.1796785353152484,1.3807580091019052,0.06352533022100823
1965-08-01,2.721867311524187,-2.7320769812711787,1.8740015079133405,-2.5295549620777864,4.858362747424526,-1.991662901684074
1965-09-01,6.136287630341817,-3.123815780697502,3.9686136242161987,-4.913905428555316,-2.989464082291277,-1.9331571393556832
1965-10-01,7.664612171805198,-2.530006666566558,2.443617933292268,-5.293073808149615,-8.587607582787726,-2.244138075706227
1965-11-01,3.94591076171276,-1.1515033180970846,3.4139767446623854,0.7227231796863604,-6.552693006579187,-5.0132247966523895
1965-12-01,1.2831702153524958,0.8818547708522498,1.245932178412681,0.6122740163652776,-11.006929914650609,0.8468704668999094
1966-01-01,6.2533377363790965,1.2856775080118765,2.7230930946884095,-3.2826978147376744,-10.086169537746411,1.4204385235101358
1966-02-01,1.9609605126381193,1.6046287889952797,2.1837163797517345,-2.972534188451557,-8.781019682875218,2.779655752184979
1966-03-01,2.225973696461589,-1.3704216793989232,1.8204045889494096,-4.443248897359195,-6.993559199459747,3.2372325067786516
1966-04-01,6.361979621863145,-2.423032235648105,3.464501846152331,-2.222534351080481,-2.954805534460332,-0.9681669364349363
1966-05-01,3.9425330658596804,-2.90006170136715,0.6467634716886802,-1.3747255297044672,0.6943448471503251,1.5867170534368293
