,abs_vo1000_cluster1,abs_vo1000_cluster2,abs_vo1000_cluster3,abs_vo1000_cluster4,abs_vo1000_cluster5,abs_vo1000_cluster6,abs_vo1000_cluster7,abs_vo1000_cluster8,abs_vo1000_cluster9,abs_vo1000_cluster10,abs_vo1000_cluster11,abs_vo1000_cluster12
1965-01-01,-3.149072e-05,-7.268708e-05,-5.8965816e-06,-7.808817e-05,-5.1429834e-05,-8.611947e-05,-0.0002842781,-2.8256056e-05,-6.758146e-05,1.1341472e-06,-2.045054e-05,5.049559e-05
1965-02-01,-3.813113e-05,-6.745552e-05,-1.00961915e-05,-7.4750016e-05,-4.696102e-05,-9.4123854e-05,-0.00025698065,-7.3477477e-06,-5.375326e-05,9.726209e-07,-2.0360805e-05,1.0963395e-06
1965-03-01,-3.3240558e-05,-6.659406e-05,-9.15397e-06,-7.585376e-05,-4.4394594e-05,-8.876666e-05,-0.00024107957,-3.3317127e-05,-6.0393664e-05,1.2149103e-06,-2.0926132e-05,2.110346e-06
1965-04-01,-3.457761e-05,-6.5750544e-05,-1.2931821e-05,-7.463336e-05,-4.3802338e-05,-8.4019666e-05,-0.0001594564,5.3677377e-06,-5.464164e-05,1.2014061e-07,-2.1491467e-05,-8.221387e-05
1965-05-01,-3.3859727e-05,-6.439554e-05,-1.335358e-05,-7.2551506e-05,-4.14782e-05,-9.2409915e-05,-0.000147387,2.814254e-05,-5.1608586e-05,2.1884625e-07,-2.1688886e-05,-0.00016959803
1965-06-01,-3.2486783e-05,-6.750038e-05,-1.3784309e-05,-6.6978944e-05,-4.5112476e-05,-8.8165434e-05,-9.5170064e-05,7.080267e-05,-4.8046095e-05,-1.5804108e-07,-2.2846469e-05,-0.00015728635
1965-07-01,-3.4667344e-05,-6.615435e-05,-1.3281788e-05,-7.622167e-05,-3.919892e-05,-8.3373576e-05,-8.508382e-05,8.420912e-05,-4.9140865e-05,-5.528782e-07,-2.1428654e-05,-0.00012742248
1965-08-01,-3.4514796e-05,-6.610949e-05,-1.4152225e-05,-7.728952e-05,-4.0697505e-05,-8.347228e-05,-0.000117209034,8.2414415e-05,-5.1429117e-05,3.175519e-07,-2.3465638e-05,-0.00016456388
1965-09-01,-3.4864763e-05,-6.8631045e-05,-1.1496057e-05,-7.8025354e-05,-4.1944822e-05,-9.560449e-05,-0.00020461116,8.261183e-05,-5.3771204e-05,4.4318585e-07,-2.398611e-05,-0.00017431812
1965-10-01,-3.657871e-05,-6.766191e-05,-1.068844e-05,-7.548585e-05,-4.097568e-05,-9.1772796e-05,-0.00018442073,8.528594e-05,-5.4874952e-05,-1.1317752e-07,-2.177862e-05,-0.00019483158
1965-11-01,-3.5582645e-05,-6.805674e-05,-7.4759228e-06,-7.6087075e-05,-4.458304e-05,-8.601179e-05,-0.00021255272,4.473459e-05,-5.567359e-05,7.662311e-07,-2.0773585e-05,-0.00015524038
1965-12-01,-3.7601687e-05,-6.8209294e-05,-1.0473079e-05,-7.641012e-05,-4.6584133e-05,-8.893716e-05,-0.00022357222,4.86522e-06,-5.3798125e-05,1.4302714e-06,-2.176067e-05,-7.296215e-05
1966-01-01,-3.4264966e-05,-6.6342676e-05,-9.821237e-06,-7.523487e-05,-4.5785444e-05,-9.427394e-05,-0.00027930754,-4.072577e-06,-5.9161255e-05,1.4314501e-06,-2.209364e-05,1.7035787e-05
