,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,msl_cluster7,msl_cluster8,msl_cluster9,msl_cluster10,msl_cluster11,msl_cluster12
1965-01-01,1060.5836888363488,1952.826397235577,1730.416478866186,1131.9786241319443,1480.196605009191,1915.4754062868512,1507.1565087161846,1765.2520486582882,1161.7595453371946,1745.3494367928342,2403.679402669271,2263.363579644097
1965-02-01,1060.1626105057567,1958.821810208834,1729.622291499733,1130.6625027126736,1480.6411743164062,1910.064697265625,1508.4917210820895,1764.7741168478262,1160.5701314991918,1750.3069647427264,2406.1819893973216,2260.8534071180557
1965-03-01,1062.5087055407073,1957.9075739933894,1731.5469334268164,1130.5538601345486,1484.6932803883271,1913.9041540757664,1511.319470761427,1766.571204144022,1161.7813285739942,1748.6276560816273,2412.0782761346727,2259.140082465278
1965-04-01,1063.004086143092,1954.8356276292066,1732.8362358940974,1130.1088460286458,1488.17138671875,1917.622346698113,1515.048536613806,1766.9674549932067,1162.0856274133441,1758.8143184267242,2424.67520577567,2257.470160590278
1965-05-01,1062.71484375,1951.6397329477163,1734.025325938168,1129.7570122612847,1489.590633616728,1916.882439379422,1517.2962701142724,1768.0830715013587,1162.0866797436242,1753.3030542834053,2424.136497860863,2258.3304850260415
1965-06-01,1064.565847296464,1944.1415640024038,1735.5359199719553,1129.6287706163193,1493.968110926011,1912.9148087411556,1518.8090310167909,1767.6576829993207,1163.848631409393,1761.8040939857221,2437.606230236235,2245.901557074653
1965-07-01,1063.7921785053454,1931.31350003756,1734.5312395666401,1131.117892795139,1494.23630658318,1904.6648133475824,1516.1444365088619,1765.775252632473,1163.3595082951688,1754.7574799636316,2435.711669921875,2246.6221788194443
1965-08-01,1063.9831864206415,1953.4105741060696,1736.3454965444712,1132.4778917100693,1493.172409955193,1916.556189195165,1518.3653874183767,1769.3693210767665,1163.982943830819,1755.987654061153,2427.1385556175596,2254.163275824653
1965-09-01,1063.931949013158,1953.6690345177283,1736.964351295406,1136.6856553819443,1492.7600636201746,1920.6718012971696,1520.967580311334,1773.0556322180707,1163.9253112091415,1756.487721410291,2423.793683733259,2269.384087456597
1965-10-01,1063.657644171464,1962.3436560997595,1736.5172296507747,1135.8824327256943,1491.841843548943,1917.3794728405069,1520.0003097306435,1772.3349927819295,1163.6274315845008,1757.5076399178342,2420.839582170759,2271.9627549913193
1965-11-01,1062.8740491365131,1951.7791748046875,1732.4919871794873,1132.1775987413193,1488.4571748621322,1916.191935989092,1515.5399151702425,1766.7400326936142,1162.445524369163,1748.419610385237,2412.6546223958335,2257.7256944444443
1965-12-01,1061.1647114000823,1956.4451951246995,1732.0400661892363,1131.925998263889,1484.9796968347885,1922.1934192585495,1514.7194022562965,1767.0469599184785,1161.4878687365301,1751.177768049569,2407.3760986328125,2261.1387803819443
1966-01-01,1061.0554584703948,1956.2933114858774,1730.1438551682693,1132.20947265625,1483.073335535386,1919.4110222582547,1510.9808622901119,1766.3964313009512,1160.3718724744074,1751.6135380185885,2410.7969738188244,2267.2322591145835
1966-02-01,1061.5138003700658,1960.3738638070913,1731.5790160089477,1133.8096788194443,1483.4958244772517,1923.614617113797,1512.0671058768655,1767.4087657099187,1160.9580555181394,1746.6783194706359,2405.2129836309523,2275.3012424045137
1966-03-01,1061.4808735094573,1956.500713641827,1730.8307354266828,1132.7159966362847,1485.2839750402113,1915.24393333579,1510.881384095149,1766.662650730299,1160.5604149829383,1750.3952552532328,2413.9536539713545,2266.972113715278
1966-04-01,1062.1770597759046,1948.7508920522837,1732.750995342548,1130.585666232639,1487.7499748678767,1915.3210909861439,1514.6680234083487,1766.1306895380437,1161.9287951239223,1753.8827830347523,2422.5208100818454,2261.159125434028
1966-05-01,1063.9416825143915,1944.1164456881008,1734.4120905949521,1131.2320963541667,1491.9298059800092,1902.461789688974,1513.7382848938898,1767.0662788722827,1163.7052689475574,1753.9767561287717,2431.301734561012,2249.8396809895835
1966-06-01,1064.4475033408717,1957.3863102839543,1738.0594889322917,1134.9407280815972,1494.57810345818,1921.303342423349,1521.514254897388,1769.9462890625002,1164.6316703708692,1757.9414104593213,2433.175804501488,2267.915310329861
1966-07-01,1062.8945119757402,1942.6053560697114,1736.5596934261487,1132.1657307942708,1492.4872005687039,1910.5214244914505,1516.3433018015392,1768.54688561481,1163.794015467852,1750.408093682651,2429.6585809616818,2256.670464409722
1966-08-01,1063.9785284745067,1952.2505540114182,1738.5445880074788,1135.8991156684028,1494.143766515395,1918.49791328862,1521.3531038654382,1772.6817786175272,1164.9065741177262,1760.588968211207,2433.2366943359375,2263.0982801649307
1966-09-01,1064.2717220908717,1956.7547137920672,1737.484349959936,1137.4267578125,1492.1481861787684,1924.5183980689858,1518.7727743120336,1773.003672724185,1164.751811411189,1753.0433391702588,2421.6446649460568,2272.4409993489585
1966-10-01,1063.3950966282896,1961.9462233323316,1736.7959568643164,1136.7559136284722,1490.89158002068,1920.5917646300118,1518.320020988806,1773.2704759680707,1164.2040735003593,1755.6923701845367,2422.467767624628,2272.391899956597
1966-11-01,1062.0262065686677,1959.2616154597356,1734.1460920806626,1134.2781575520833,1487.3861873851101,1914.8870504127358,1515.2126938549438,1769.5964249320652,1162.8860298244433,1749.1087814857221,2412.671189081101,2270.3272840711807
1966-12-01,1061.0146934107731,1955.45900785006,1732.1605193309297,1132.6066758897568,1484.9555520450367,1919.020627579599,1514.8592365321826,1767.2808572520382,1162.005545079023,1751.0046597184808,2409.718686058408,2264.603814019097
1967-01-01,1060.7619114925988,1956.7963820237378,1732.4292305188303,1132.5743272569443,1480.9793808880972,1914.3786160451061,1510.0096745277517,1766.785411005435,1162.2115562702047,1746.3574639682113,2400.5083356584823,2266.5931532118057
1967-02-01,1061.5376362047698,1960.955106295072,1733.9545877570781,1133.3143446180554,1482.9144646139705,1921.0846523068985,1511.9381121735073,1769.5640497622285,1162.2423544697378,1752.5620033001078,2407.7462332589284,2267.4793836805557
1967-03-01,1061.1939761513158,1960.4798537034253,1733.1565400474092,1133.5209147135417,1482.5415218577664,1925.8004818322522,1510.7642330340484,1768.9583687160327,1161.7391301297594,1754.2806691136855,2414.548165457589,2269.2734103732637
1967-04-01,1062.2976845189146,1960.9364436222957,1733.3580603966348,1132.1183946397568,1487.4178718118105,1919.7804576945755,1513.2764218458487,1769.500201681386,1162.316403443786,1758.2961509967674,2425.6633940197175,2264.2765299479165
1967-05-01,1062.2676487972863,1954.3815025916465,1733.5672492654915,1132.1480984157986,1490.0767606847426,1917.44810860112,1517.673048332556,1767.9270337975545,1162.5326923940374,1758.7372878502156,2429.0543329148068,2263.6484103732637
1967-06-01,1062.9927785773027,1958.7385911207932,1738.3126022469285,1137.367689344618,1491.668970444623,1921.2776615934552,1520.1228355293842,1775.3780464504077,1163.8161494814117,1764.0721814385777,2430.6002662295386,2268.99169921875
1967-07-01,1062.7943821957238,1954.7457181490383,1737.4243581396902,1137.080824110243,1492.4568625057443,1925.0670235112027,1519.386951958955,1772.8038489300272,1164.044610385237,1754.9739443022631,2430.474126906622,2264.1084798177085
1967-08-01,1063.4093274568256,1965.7347459059495,1739.2366327791133,1137.3670111762153,1492.1098596909467,1928.0899911556603,1520.7043092642257,1775.002547554348,1164.6032223756285,1751.5390330347523,2425.748988560268,2267.6207139756943
1967-09-01,1063.943224455181,1956.7913348858172,1739.2576559995994,1137.5012885199653,1491.949462890625,1912.2048431972287,1517.625677763526,1774.8422108525817,1165.1643599586926,1750.883431270205,2424.2975144159227,2269.6432834201387
1967-10-01,1063.2413522820725,1957.0992102989783,1736.6966834435098,1134.176974826389,1489.5281623391543,1927.6264694501767,1520.0370219216418,1771.9557787024457,1164.1428629557292,1758.1120984307652,2418.9646402994795,2262.971733940972
1967-11-01,1061.6893567537006,1959.9591768704927,1734.2226729433762,1133.3487955729167,1486.2372903262867,1914.6706635097287,1514.3608434876398,1770.268607761549,1162.664409067439,1745.4604576373924,2411.6973876953125,2261.018608940972
1967-12-01,1061.3894813939146,1952.5623028094951,1732.0643759181357,1132.9619683159722,1483.8267606847426,1914.202305056014,1511.0728705107276,1767.4596106487772,1162.4057112068965,1745.5461173221984,2407.129196893601,2261.73095703125
1968-01-01,1059.5537366365131,1957.8406700721152,1730.016359508547,1133.7114122178818,1479.2386223288142,1913.0720030586674,1508.1249635611007,1765.966903023098,1161.139161559357,1748.3322669719828,2400.814674014137,2267.4203830295137
1968-02-01,1061.3796836451481,1952.3406982421875,1731.6966521434297,1131.3362630208333,1481.4586863798252,1916.7458588222287,1509.7664448752332,1766.2131666100545,1162.0714911099137,1752.1926353717674,2407.3574974423364,2263.9554850260415
1968-03-01,1062.036197060033,1962.013948880709,1733.1771459334936,1136.0672336154514,1484.3352373908547,1925.7800983932782,1512.2093997784514,1770.0285538383152,1162.5163812746946,1752.6326146619074,2413.2920038132443,2277.2507052951387
1968-04-01,1062.7939967105265,1954.760272686298,1733.2368769197383,1132.0941840277778,1487.1202356675092,1907.2942769752358,1510.1466847889458,1767.7092709748642,1162.6726523213003,1745.317445952317,2414.3723260788693,2258.6815049913193
1968-05-01,1063.158601459704,1949.3301391601562,1735.4393592247598,1131.6547309027778,1489.5357917336855,1910.3500654112618,1513.957464872901,1769.3221913213317,1163.7403115458872,1743.9991918103449,2422.2201392764136,2253.37158203125
1968-06-01,1064.3132902446546,1950.151883638822,1737.9078400440706,1133.9297824435764,1492.3752728630514,1907.8275860480542,1515.7784077658582,1770.3879182235055,1165.0151746026402,1747.7962099272631,2429.342506045387,2267.4991861979165
1968-07-01,1063.5763389185856,1962.2306236853965,1738.3258526141828,1134.4008382161458,1492.9973826688877,1914.9201015256485,1516.9904566522853,1773.057277513587,1164.6149733970906,1754.0089574353449,2432.861037481399,2263.044704861111
1968-08-01,1064.024658203125,1945.324237530048,1737.3813726963142,1132.1024576822917,1491.86715518727,1908.2263874557782,1515.3922465310168,1770.6919263756795,1164.942037648168,1744.696150154903,2420.9966750372023,2257.025689019097
1968-09-01,1063.9656468441613,1950.3827608548677,1735.9427166800215,1131.121554904514,1492.3171099494484,1910.7508245504127,1518.1561370394122,1768.5079292629077,1164.318426724138,1751.9653320312502,2425.01700265067,2251.228705512153
1968-10-01,1063.4065648129113,1959.6259483924277,1735.860084468483,1135.766872829861,1490.956474752987,1914.4279048127946,1518.6377681902984,1771.1150857676632,1163.7158974833872,1749.8444655845906,2420.31976609003,2271.1866590711807
1968-11-01,1062.9812461451481,1950.9696373572715,1734.089125934829,1133.2195366753472,1488.2405000574447,1907.1637999336674,1514.5636259619869,1768.4615956182067,1163.2308083019038,1743.4199892241381,2410.8314150855654,2261.1201985677085
1968-12-01,1060.771195261102,1949.2606529822715,1731.9344284188035,1132.2716606987847,1484.5828785615809,1910.866445865271,1511.0146593691697,1766.30811608356,1161.8864212913074,1748.5415754647092,2407.846214657738,2258.1083170572915
1969-01-01,1059.387560392681,1952.9063298152043,1726.8004327757747,1129.696316189236,1482.107005399816,1912.021161925118,1508.8967394472947,1762.2019892153535,1159.3860143902657,1746.7680832435346,2404.378400530134,2263.671196831597
1969-02-01,1059.9267578125,1958.1971388596753,1729.4302133413462,1132.2471788194443,1480.6076049804688,1914.2333984375,1506.8599871735073,1765.7632578974187,1159.9525539354347,1748.9971292429957,2404.0339878627233,2269.1954210069443
1969-03-01,1062.2820402446546,1955.768291766827,1732.5376852964744,1131.6737196180554,1486.1351461971506,1921.7064047759434,1514.914350367304,1767.9820715862772,1161.8381894867996,1758.4366370891703,2417.1558198474704,2265.6050618489585
1969-04-01,1062.543077970806,1954.347933255709,1732.7975281283389,1132.0919460720486,1488.0779490751377,1906.9066461527123,1514.441646746735,1766.582190472147,1161.6928275974317,1752.4817104997308,2424.3409656343006,2263.582085503472
