,zgv50_cluster1,zgv50_cluster2,zgv50_cluster3,zgv50_cluster4,zgv50_cluster5,zgv50_cluster6,zgv50_cluster7,zgv50_cluster8,zgv50_cluster9
1968-06-01,0.064695,0.1333538,0.08295681,-0.10235119,-0.037514616,-0.1669046,0.18375078,-0.13406162,-0.023216581
1968-07-01,-0.0018403411,0.02618947,0.085504964,-0.114101015,-0.009909535,0.04940603,-0.060731173,0.07460451,-0.080125526
1968-08-01,-0.008777047,0.082956836,-0.000990963,-0.06299622,0.0042469264,0.21744314,-0.13519411,0.11226068,0.070216015
1968-09-01,-0.022084057,-0.08946879,0.0962639,0.055634856,-0.010051084,-0.09895362,-0.03907181,0.01259923,-0.02746352
1968-10-01,0.049264453,0.05605955,0.032276727,-0.18091948,-0.009767962,-0.028454471,-0.09343257,0.061014306,-0.09314947
1968-11-01,-0.080408655,0.038505554,0.016421508,-0.05138793,0.0016987562,0.09145069,-0.039638065,0.028312922,-0.0906013
1968-12-01,-0.019252788,0.028029775,0.0036806823,0.019252777,0.024349093,-0.03893025,0.010617351,-0.045725346,-0.005379462
1969-01-01,0.103113376,-0.018623997,0.01695845,0.08342947,0.06919651,0.01559571,0.022106552,-0.015595722,-0.049815416
1969-02-01,0.07646439,-0.0024226427,-0.008479213,-0.04860411,0.008479213,0.021046614,-0.01801834,0.03876214,-0.03255416
1969-03-01,-0.024074912,0.029374432,0.010750437,-0.031040013,-0.005602336,-0.03134284,-0.016201366,0.052692294,-0.04860411
1969-04-01,0.01922965,-0.018472588,0.07040787,0.02452917,-0.010144782,-0.06298848,-0.0034825325,-0.0010599017,-0.15822831
1969-05-01,-0.13551609,0.17397542,-0.26633835,-0.18306032,-0.041336227,-0.066622436,0.10916996,0.11931477,0.04406164
1969-06-01,0.007873559,0.15489718,-0.112803936,0.059203148,0.12082889,-0.2094065,0.17518675,0.024983406,-0.039822053
1969-07-01,-0.04814986,-0.04799845,0.058597468,0.050723888,0.025891924,0.055872,-0.18866262,0.09266577,-0.052389465
1969-08-01,-0.008630633,0.01832118,-0.040124893,-0.048452675,-0.10159924,0.019078244,-0.04557581,-0.014384389,-0.017261267
1969-09-01,-0.06465407,-0.13778734,0.17518672,0.045121573,-0.02604332,0.058900308,0.00075707433,-0.066471055,0.06465407
1969-10-01,0.0063594105,0.070862055,0.03497677,0.04936118,-0.08933465,-0.008176398,0.026951801,-0.04693854,-0.0796441
1969-11-01,-0.047089957,0.1293081,-0.10568744,-0.024074912,-0.02725463,0.03649093,0.061474346,-0.03497677,0.043607425
1969-12-01,-0.06707668,-0.0019683838,-0.02483201,0.11446948,-0.008327794,0.082218155,-0.03346262,-0.004088187,0.0063594105
1970-01-01,-0.04557568,0.057231545,-0.048718847,-0.025276136,0.014406109,0.008512688,0.027502561,-0.0013096571,0.004059911
1970-02-01,-0.015453815,-0.02972896,0.072423436,0.07019703,0.01990664,0.037324905,-0.02344265,-0.0011786937,-0.057100557
1970-03-01,-0.12559506,0.041253854,0.0022264004,0.033265006,-0.0069411276,-0.005893397,-0.03784876,0.008119822,-0.025014233
1970-04-01,0.069542214,-0.10490265,0.09206812,0.18623167,0.003012204,0.05461221,0.042170595,-0.038634587,-0.11564176
1970-05-01,0.029859925,0.016239595,0.08997269,-0.042432524,0.009036553,0.043611217,-0.006286335,-0.038896464,0.03300309
1970-06-01,0.008905602,0.055267073,-0.03365791,-0.047016285,0.016108656,0.109617375,-0.0041908743,0.11027221,-0.0031431555
1970-07-01,-0.04112289,0.075435616,-0.048325945,0.004059887,-0.00026192665,-0.08198385,0.08643665,-0.02331171,-0.0192518
1970-08-01,-0.103069164,0.0031431199,-0.093246795,-0.009560418,-0.02331171,-0.042432547,-0.07988839,0.117344305,0.041253876
1970-09-01,-0.07216151,0.019775629,0.0770072,-0.026323866,-0.008119797,-0.064696506,0.009036541,0.11485596,-0.036801077
1970-10-01,-0.031038618,0.025800038,-0.03562238,0.029728984,-0.012703562,-0.0041908743,0.00026192665,0.071506664,-0.011001015
1970-11-01,-0.024752308,0.04871886,-0.03274115,-0.0009167671,-0.008381749,0.025145222,0.010215235,0.034705617,-0.065220356
1970-12-01,-0.031169582,0.055529,-0.068756424,0.008905602,0.019644689,0.030514766,0.032348298,-0.0064172745,-0.010477161
1971-01-01,-0.032390606,0.11257534,-0.06406142,-0.06564498,0.012524366,0.003167081,0.017850827,0.025336647,-0.02620039
1971-02-01,0.024472892,0.06593287,-0.06003059,-0.07557807,0.03195872,0.026632285,0.030663108,-0.017562915,0.011948538
1971-03-01,0.04865787,0.015835404,0.022745395,-0.13431303,0.011084771,0.011516666,0.08536725,0.018570613,-0.07097141
1971-04-01,0.06967578,-0.06290976,0.12466784,0.040452242,0.025624562,0.026056457,0.13863179,-0.04880183,-0.11315118
1971-05-01,-0.051824965,-0.04937767,0.008205605,0.21924837,-0.0050385357,-0.13359325,-0.03973248,0.10149056,0.02144978
1971-06-01,-0.15749033,0.08392765,-0.013244152,0.053552438,0.02303332,-0.19866237,0.1623849,-0.14986053,0.05240078
1971-07-01,0.047506213,0.048513927,0.008349585,0.023465192,-0.057583284,-0.011948538,-0.016699146,-0.06924389,-0.02360915
1971-08-01,-0.09630805,-0.07226703,0.059166837,0.13863178,0.010652912,-0.04145999,-0.045346834,-0.083063886,0.010652912
1971-09-01,-0.028503727,-0.005470419,0.15993758,-0.026920188,0.0048945784,0.012812281,-0.06175809,-0.015835429,0.023321236
1971-10-01,0.023321223,-0.06218996,0.01137271,0.1406472,-0.040596224,-0.1406472,-0.03987644,-0.006334162,0.07313077
1971-11-01,0.011516643,-0.014683736,0.07025161,0.1026422,-0.047938097,-0.010940814,0.01453979,-0.056143712,0.008925414
1971-12-01,-0.019146442,0.043043517,-0.06636474,0.03541372,0.0043187616,0.025336647,-0.0375731,0.005470407,0.031094957
1972-01-01,0.033670258,0.011574149,-0.03551159,0.034327887,0.02748859,0.027357077,0.04787488,0.00065761805,-0.0611588
1972-02-01,0.0,-0.0073653697,-0.09574975,0.028146219,0.038668178,-0.016703581,0.004340291,0.044192195,-0.043797635
1972-03-01,-0.04997928,0.08246579,-0.10469341,-0.067472026,-0.033670235,-0.026962494,0.050899934,-0.05484567,0.09206708
1972-04-01,0.010390425,-0.006313181,-0.015651405,0.036300708,0.044718288,-0.05392499,0.09903786,0.0034196377,-0.02709403
1972-05-01,0.037352942,0.018676471,-0.084701695,0.03787904,0.021043897,0.048532534,-0.0022359372,0.025121164,-0.10219445
1972-06-01,0.043140005,0.010127378,-0.063920856,0.10258899,-0.0023674488,-0.014730739,0.13612774,-0.029461455,-0.035117008
1972-07-01,0.03945732,0.06457846,-0.052346706,0.041430186,-0.010390425,0.041298628,0.009075212,-0.055766344,-0.0064446926
1972-08-01,-0.0117056845,0.004340315,-0.002367437,0.11350556,-0.0011837244,-0.001709795,0.081282064,-0.011837197,-0.03985188
1972-09-01,-0.035906147,0.09035726,0.023148298,-0.08812132,-0.0073653697,-0.11468925,0.18623857,-0.09022574,0.028803874
1972-10-01,0.013941574,0.040114928,0.04774337,0.031171322,0.026304912,-0.087332204,0.085359335,-0.09469757,-0.001972866
1972-11-01,-0.02262218,0.00039457082,-0.032618046,0.034722425,-0.012626362,-0.03406482,0.11390009,-0.093250774,0.066419795
1972-12-01,0.0142046455,0.027751636,0.0093382355,-0.060106635,0.0064446926,0.06839266,-0.029856037,0.06023817,-0.07220688
1973-01-01,0.07396722,0.0013851405,-0.023270583,0.08172407,0.022023946,0.006094682,0.06579481,-0.021746922,-0.060115673
1973-02-01,0.052774347,0.012743413,0.029503778,-0.035182912,0.0072028013,-0.007341313,0.051112182,-0.08560251,-0.019115115
1973-03-01,0.0056791306,0.028534163,0.044463445,-0.055960216,0.03213557,0.015236688,0.018838093,-0.07701455,-0.009973109
1973-04-01,0.046679687,0.09128163,0.012050832,-0.13574508,0.014128566,0.011912322,0.18948905,-0.10250138,-0.07285909
