,abs_vo850_cluster1,abs_vo850_cluster2,abs_vo850_cluster3,abs_vo850_cluster4,abs_vo850_cluster5,abs_vo850_cluster6,abs_vo850_cluster7,abs_vo850_cluster8,abs_vo850_cluster9,mpi_cluster1,mpi_cluster2,mpi_cluster3,mpi_cluster4,mpi_cluster5,mpi_cluster6,mpi_cluster7,mpi_cluster8,mpi_cluster9,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,msl_cluster7,msl_cluster8,msl_cluster9,r700_cluster1,r700_cluster2,r700_cluster3,r700_cluster4,r700_cluster5,r700_cluster6,r700_cluster7,r700_cluster8,r700_cluster9,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,sst_cluster6,sst_cluster7,sst_cluster8,sst_cluster9,vo850_cluster1,vo850_cluster2,vo850_cluster3,vo850_cluster4,vo850_cluster5,vo850_cluster6,vo850_cluster7,vo850_cluster8,vo850_cluster9,vws850-200_cluster1,vws850-200_cluster2,vws850-200_cluster3,vws850-200_cluster4,vws850-200_cluster5,vws850-200_cluster6,vws850-200_cluster7,vws850-200_cluster8,vws850-200_cluster9,w_cluster1,w_cluster2,w_cluster3,w_cluster4,w_cluster5,w_cluster6,w_cluster7,w_cluster8,w_cluster9,AMM,ENSO3.4,NAO,PDO,PNA,SOI,TNA,TSA,WP,month
1970-01-01,2.9470915e-05,-5.8148446e-05,-7.699869e-05,-3.345482e-05,-1.5020676e-05,-6.775234e-05,-4.635457e-05,1.3752124e-06,-8.6905144e-05,11.268174209270525,80.62328720393158,63.26945919933461,33.286059654885335,45.37770936629423,75.877421327545,24.918297236978027,62.70224443249877,45.16285680643463,1009.0618,1016.72144,1020.9328,1009.4386,1011.5721,1013.6783,1018.9879,1017.189,1013.52454,36.810947,26.710043,71.34072,60.947945,39.888966,12.761896,62.97789,55.02678,39.7914,29.323053,22.459112,18.108913,25.355497,24.447878,28.580961,20.423199,26.776423,16.213552,-9.311037e-09,4.5562614e-05,7.4232557e-06,-5.288305e-06,6.163441e-06,-3.2478238e-05,6.995001e-05,9.8448276e-05,-1.8275481e-05,8.622508637762767,24.3866476814319,9.803350690125002,17.69421721275581,22.473255440873206,23.57255696069506,18.58868349136941,24.04683135654521,13.15492368307048,-0.011230553,0.13616836,0.7329223,-0.041818835,-0.0828415,0.0276157,0.015820432,-0.4621125,-0.05024571,3.81,0.28,-2.26,0.61,0.12,-1.9,0.64,-0.34,-2.17,1
1970-02-01,3.8724465e-05,-5.859992e-05,-7.603514e-05,-3.4154124e-05,-1.3080685e-05,-6.654932e-05,-4.8801565e-05,1.5934779e-06,-8.417208e-05,10.053741269524044,78.31456397338015,63.424982401137285,42.98791021296092,47.76370803466445,74.03115070179933,27.50534424466382,57.95040712308119,45.3986653798102,1008.1182,1015.8806,1019.5348,1008.27814,1010.45294,1011.92554,1017.1088,1015.8578,1015.14386,36.915348,24.784855,74.47839,55.682114,42.321674,9.704089,67.71457,58.17609,38.256374,29.171316,23.25112,18.862455,25.936954,25.03318,28.410938,21.2221,26.933817,16.785837,-1.6267802e-06,2.6407242e-05,1.1214679e-05,-6.534612e-06,7.154048e-06,-2.7478563e-05,8.921896e-05,8.60912e-05,-1.3656769e-05,11.643444979712177,21.174117909246267,10.788300413293886,15.467441266541057,29.70032601826219,25.984197853407288,14.490992293137872,24.68581348880243,11.138686421825147,-0.007915982,0.12830985,0.29154262,0.019654095,-0.1021856,0.029354706,0.01571092,-0.4336421,-0.08305439,4.2,0.2,0.28,0.43,1.01,-1.7,0.64,-0.26,0.01,2
1970-03-01,3.1384876e-05,-5.655039e-05,-7.910513e-05,-3.277918e-05,-1.5703283e-05,-6.991021e-05,-4.5327048e-05,9.761252e-07,-8.78646e-05,14.535785562779212,79.28049234283766,63.84122645265496,50.828102465833226,48.48620358592338,74.67290365722666,32.74521778287487,61.843623930504805,54.36257034331261,1008.5052,1015.9887,1017.2086,1009.78265,1010.7299,1013.3736,1018.9763,1015.76715,1013.7458,38.42837,31.503397,75.737366,59.59296,45.71022,14.129593,65.99155,55.430847,39.15168,29.21155,22.897518,18.632381,26.175232,24.97285,28.574394,20.809105,27.110823,16.640196,7.873427e-07,4.6852852e-05,7.969129e-06,-4.058516e-06,4.1712697e-06,-2.7816344e-05,9.559601e-05,5.666109e-05,-2.5697831e-05,9.20625014264812,20.22159800912906,10.173727002816255,18.689883859082137,15.00773548776451,32.03261473261688,25.68059431539553,24.032823829756357,15.424938169306436,-0.0036998484,0.16683906,0.5843737,-0.029011782,-0.076240875,0.028606568,0.006543016,-0.32766432,-0.04787779,5.33,-0.14,-1.41,1.33,0.49,1.0,0.83,-0.2,-0.29,3
1970-04-01,2.4417445e-06,-5.5780838e-05,-7.515933e-05,-3.0691088e-05,-1.530276e-05,-6.475081e-05,-4.4832617e-05,-1.9963106e-06,-8.878055e-05,12.52191123287966,79.76676610360407,60.41344588428583,47.83443449892404,44.19326724147763,75.07914290281265,29.244230914411222,67.05489987710617,61.26378023083261,1009.6176,1014.53644,1017.0626,1012.60187,1011.1854,1013.86444,1012.9357,1016.3584,1017.275,36.831367,24.348783,74.286446,55.918957,51.959934,12.798868,61.364807,47.820393,31.904058,29.395975,22.19123,17.592367,26.047302,24.387354,28.62301,19.92194,27.223757,15.550895,2.8946072e-06,4.516413e-05,1.0574954e-05,-4.554513e-06,4.220938e-06,-2.366726e-05,2.3236202e-05,0.000115715775,-5.4309538e-05,7.113669494819432,24.847747389057183,12.410263932194216,22.070638174827508,19.7067140524255,32.631516136856106,27.369097164101465,15.331397398265542,18.879274194863967,-0.005386076,0.32149485,0.89476305,-0.012830291,-0.091483,0.029418059,0.016302697,-0.35644895,-0.02761174,4.12,-0.08,-1.56,0.43,-0.66,-0.1,0.68,-0.28,0.87,4
1970-05-01,-3.921539e-05,-5.507911e-05,-8.193578e-05,-2.9443889e-05,-1.5818314e-05,-6.816911e-05,-4.2638163e-05,-2.453207e-06,-9.247135e-05,14.655912765727898,79.06153532906615,55.11907515660308,29.70794414929138,43.38949809788184,71.89911648733312,30.97822240013184,69.69576114180981,59.12959757670748,1009.9195,1013.35175,1019.8986,1014.6534,1012.24493,1014.97833,1018.06177,1017.89124,1018.1819,39.174587,29.91845,69.98113,55.70914,43.725582,15.512958,54.278,37.669292,32.501392,29.422367,20.855589,16.025448,25.056862,23.366592,28.340307,18.395779,26.831589,14.024199,3.7996112e-06,4.3223583e-05,9.277365e-06,-3.1785805e-06,9.910825e-07,-2.8586699e-05,-4.9496353e-05,0.00016266457,-8.4339255e-05,6.544293687322882,31.641873387821505,15.040770237344391,21.86263761559776,20.74447692019018,43.1474519589169,31.15313317353771,15.169629181343783,24.775125842006357,-0.016611304,0.24367297,1.4899902,-0.19870289,-0.051575966,0.037870534,0.014800078,-0.3583799,0.0058533996,3.58,-0.3,1.11,-0.49,-0.5,0.6,0.51,-0.19,-0.15,5
1970-06-01,-4.134819e-05,-5.210046e-05,-7.9378195e-05,-3.0283562e-05,-1.6803953e-05,-6.570468e-05,-4.1153155e-05,-2.3798323e-06,-9.0884685e-05,13.799602893357168,76.57339492783235,43.31744856991789,11.5414975880039,32.83189495201544,62.25709639389866,24.97147444930057,63.53238757101604,42.49978343796976,1010.37445,1017.0765,1021.11273,1015.623,1013.23285,1017.1679,1016.19336,1019.8769,1016.9439,39.730648,20.917122,69.98345,51.48944,38.46238,13.156783,55.652496,34.673298,28.544111,29.100527,19.57113,14.754439,23.669855,21.948719,27.550888,17.131943,25.824879,12.793211,4.620722e-06,5.256274e-05,1.2093552e-05,-2.3557554e-06,1.4846668e-06,-2.4403857e-05,-7.031296e-05,0.00015717073,-7.775962e-05,7.107533115028421,35.01264300368526,15.435685634109497,28.725003696359373,23.41327740734175,44.13457528961858,29.590916166277207,16.4140820762949,22.93830838946389,-0.014440356,0.18336442,2.153205,-0.30210656,-0.05157502,0.03754683,0.012927391,-0.2233929,0.006950977,2.48,-0.69,1.87,0.06,0.23,1.6,0.24,-0.33,-0.13,6
1970-07-01,-5.6777717e-05,-5.1822895e-05,-7.933261e-05,-3.057174e-05,-1.6304528e-05,-6.475005e-05,-4.1349158e-05,-2.1983492e-06,-9.1560316e-05,14.807227761742189,75.71043581405313,40.73706984783637,7.489183355090707,31.17355394975625,56.66654772615024,25.45092227660084,54.13199126366663,29.541350867864757,1011.3069,1016.19574,1021.57086,1017.4368,1014.02924,1017.6375,1016.116,1020.05865,1020.2305,39.33265,17.508917,65.6671,41.48444,32.12792,9.434396,56.067432,33.008614,24.325672,28.776722,18.696272,13.905684,22.697803,21.071465,26.854677,16.254747,24.962904,12.086562,4.8295224e-06,6.0183e-05,1.2770645e-05,-2.6029727e-06,1.1933116e-06,-2.0149762e-05,-9.57807e-05,0.00016823944,-6.991591e-05,6.56658115344193,31.97260411130349,14.076189138817664,27.60945775368837,18.24045891832708,45.23623173113496,34.11754849788345,12.267949841565713,25.936306635401483,-0.018479563,0.14016497,1.6685808,-0.33706102,-0.044710014,0.046387244,0.020822207,-0.16276997,-0.003216784,1.2,-1.08,0.13,-0.68,0.74,-0.6,-0.03,-0.11,1.0,7
1970-08-01,-5.109307e-05,-5.3582044e-05,-8.051742e-05,-2.8892242e-05,-1.5739462e-05,-6.685788e-05,-4.2297997e-05,-3.0676324e-06,-9.3133596e-05,13.176981083899204,73.19451605088123,39.341311483786384,4.990135105719504,29.626556483610305,53.659665715801765,22.306070181912837,50.92424403172559,23.46339931800318,1010.47925,1019.6455,1021.2471,1016.04395,1013.35284,1017.29004,1019.00104,1019.88666,1017.4614,39.332947,18.761776,64.01798,33.481537,32.544796,11.780139,51.265766,34.54706,26.922699,28.576551,17.980225,13.207391,22.148846,20.488155,26.481653,15.564974,24.531754,11.469601,4.646472e-06,3.714874e-05,8.417526e-06,-4.0271405e-07,6.3482753e-07,-2.1825736e-05,-8.8609544e-05,0.00012763529,-7.254129e-05,8.839461840629282,36.32649087362877,17.711875501406013,25.20255551252907,23.130228153526907,43.07136660171094,34.204540121993745,17.61399194517452,26.69243144791653,-0.007977318,0.3044306,1.450563,-0.2346381,-0.04382868,0.029333526,0.019501772,-0.395562,-0.0015727944,0.86,-1.26,0.0,-1.63,-0.6,1.0,-0.07,-0.24,1.01,8
1970-09-01,-3.0964933e-05,-5.408598e-05,-7.7130906e-05,-2.9802128e-05,-1.6695802e-05,-6.713338e-05,-4.3087723e-05,-2.9311473e-06,-8.755683e-05,9.44509298935862,73.93651839965717,40.619332562595226,5.236205596748423,28.07325798808884,56.128824239063206,17.579114469596558,47.38919835511744,18.59388080018461,1010.26105,1018.3005,1021.9687,1014.19977,1013.2473,1017.20416,1022.06866,1019.9801,1015.0774,33.79743,21.275763,66.4295,37.774662,37.451508,7.5814304,49.51579,34.29593,29.820866,28.536356,17.877245,13.169432,22.051727,20.386488,26.49795,15.4273615,24.347189,11.18497,3.4753436e-06,3.85025e-05,9.236133e-06,-1.5802465e-06,3.0154395e-06,-2.7695432e-05,-4.3240834e-05,0.000106996944,-9.130785e-05,7.709655020040259,32.51222797751877,18.11285373482384,19.697067841239974,21.312753563457864,41.72634686714942,28.95430917117656,12.533302286281048,27.998163064403062,0.0036180147,0.02354443,1.1680152,-0.2005939,-0.051812056,0.024386667,0.014394311,-0.5535857,0.0069728894,-0.02,-1.07,0.06,-1.67,-0.39,1.9,-0.12,-0.22,-1.5,9
1970-10-01,-1.5899626e-05,-5.502907e-05,-7.558869e-05,-3.1737236e-05,-1.689117e-05,-6.403953e-05,-4.3581385e-05,-2.242595e-06,-8.95129e-05,9.161891624311972,77.07146279134277,42.24443608208071,6.827346947842854,28.273786447911423,60.32794816951407,15.241105928044782,48.17950588888511,20.171784893694795,1009.33185,1016.7472,1022.4578,1013.0348,1012.5155,1016.6086,1020.10803,1019.3104,1015.45966,33.499344,18.223972,67.714264,36.101204,30.478737,10.1480665,61.601727,42.15322,25.858088,28.821629,18.304466,13.746379,22.42983,20.877075,26.896503,15.984883,24.707975,11.772474,3.6391932e-06,4.9571223e-05,8.506773e-06,-4.0627688e-06,4.0203454e-06,-3.2839962e-05,1.3496392e-05,8.464076e-05,-6.8279114e-05,8.375737211343846,31.35683970410076,18.089928598956966,20.68082568588069,27.950227587277293,35.38692619468728,27.69792551359327,21.349226514290407,22.48313368029577,0.0018222058,0.050487995,0.85785043,-0.19589579,-0.063471876,0.031142859,0.022567037,-0.64806765,-0.01770028,0.31,-1.12,-0.49,-1.39,-0.95,1.7,-0.06,-0.39,1.4,10
