,mgv850_cluster1,mgv850_cluster2,mgv850_cluster3,mgv850_cluster4,mgv850_cluster5,mgv850_cluster6,mgv850_cluster7,mgv850_cluster8,mgv850_cluster9
1973-12-01,-0.09730775,0.1541419,-0.09139023,0.4593555,-1.0096656,-0.21732621,-0.026127234,0.18598953,-0.12605125
1974-01-01,0.03134979,0.012482125,0.013963808,0.6150711,-0.9477842,-0.22173943,-0.02851893,0.12043826,-0.10642375
1974-02-01,-0.004327712,0.12526016,0.010617893,0.26911867,-0.5668115,-0.28793502,-0.10132795,0.11548483,-0.10797913
1974-03-01,-0.108829506,0.08149265,-0.002423592,0.53102255,-0.6936765,-0.24582835,-0.09841871,0.17264055,-0.09164143
1974-04-01,-0.077609226,0.10848208,-0.13632298,0.53223425,-0.3463779,-0.13638121,-0.025516966,0.18199584,-0.12233428
1974-05-01,-0.018560156,0.037724826,-0.22870287,0.27313137,-0.074426524,0.0037553585,0.14101236,0.15466778,-0.0576987
1974-06-01,-0.03995124,0.089304514,-0.25965673,0.29908666,-0.38826206,-0.082491845,0.13541299,0.19797891,-0.052978598
1974-07-01,0.07315603,0.03759016,-0.32197958,0.34412414,-0.18896683,-0.06225029,0.14255509,0.20811607,0.03583289
1974-08-01,0.078316845,0.016840668,-0.2869558,0.33966202,-0.47599733,-0.03340641,0.11605452,0.27783594,-0.028584957
1974-09-01,0.05381911,0.07604541,-0.21557948,0.31759885,-0.17740378,-0.17423753,0.086280644,0.24175468,-0.026406186
1974-10-01,-0.027750613,0.15245493,-0.18981996,0.37847027,-0.58473504,-0.22967874,0.060067,0.2632069,-0.045088813
1974-11-01,-0.050374027,0.12749994,-0.27191556,0.23370044,-0.5574719,-0.2680978,0.0035113879,0.17168939,-0.028909048
1974-12-01,-0.24206628,0.12788656,-0.1398847,0.4561872,-0.8573286,-0.33728847,-0.028023856,0.19849207,0.0025876479
1975-01-01,-0.097234115,0.079319425,-0.13956174,0.3763695,-0.67439705,-0.34163648,-0.05959496,0.2027949,-0.094619036
1975-02-01,-0.09438947,0.08880589,-0.097444125,0.42857748,-0.75609434,-0.23420404,-0.053958476,0.13619208,-0.0629454
1975-03-01,-0.052363086,0.12043412,-0.05067806,0.33885902,-0.45015493,-0.24234992,-0.101704545,0.13980338,-0.072097614
1975-04-01,-0.10240305,0.03206549,-0.13282248,0.58600885,-0.5276056,-0.16137636,0.020785289,0.16660249,-0.098093264
1975-05-01,-0.08165346,0.07294688,-0.17730983,0.421226,-0.2546838,-0.056304336,0.10771869,0.22150034,-0.05363231
1975-06-01,-0.02394374,0.088389814,-0.2637332,0.35180598,-0.17974567,0.00436811,0.15782546,0.1612466,-0.10263812
1975-07-01,0.056873396,0.09187244,-0.28729305,0.5335805,-0.3176717,-0.04626321,0.20116943,0.21841346,-0.08526931
1975-08-01,0.04431081,0.11199918,-0.3236548,0.40741408,-0.40449256,-0.1033317,0.174802,0.21133757,-0.02405173
