,vws_u500-250_cluster1,vws_u500-250_cluster2,vws_u500-250_cluster3,vws_u500-250_cluster4,vws_u500-250_cluster5,vws_u500-250_cluster6,vws_u500-250_cluster7,vws_u500-250_cluster8,vws_u500-250_cluster9
1970-01-01,10.278484878578677,-0.9032810310787873,7.241527726060724,12.629225932176462,19.587942194859114,5.35534423756207,15.908722012682942,3.053334962018086,11.23434633601622
1970-02-01,10.744897461920363,-4.236339636611884,7.495061254056233,14.647098638971201,20.05259242909997,3.2024158487480086,20.919785850426205,-0.47016016348274103,9.571500844514295
1970-03-01,9.672600163078593,-1.5962925002695485,6.473667486028988,17.72212300019892,12.094842889811542,7.864579193571978,12.399450038036765,3.3225115816396418,14.44847102460102
1970-04-01,13.046981705117048,1.4797130908374037,9.153042365706419,17.493647118220082,5.7339031487249805,9.399072053567775,10.086541580212426,5.042145210754874,15.092848723431374
1970-05-01,14.930305489749447,2.685326589981898,9.787413385896993,23.54319974711924,0.1312444086058484,11.211822392000215,7.532762227875704,6.095733874970408,17.211616108320555
1970-06-01,17.024131681139565,3.631273942499467,11.754200864567794,25.560961443647972,-1.4235433079146844,10.588403352968022,9.944409251702949,6.502320798666157,17.899775334145573
1970-07-01,16.235346855566263,1.8331819371611076,10.338779242029112,28.517621783167073,-1.9329445784097885,12.38831374722308,7.786134889226588,4.771559830636107,20.069553014991936
1970-08-01,18.244692446472627,3.0781437624676453,13.061126815122629,25.61048524881916,-6.804961992054505,12.635025134961744,6.125626268854415,8.771512088752354,18.65664513692957
1970-09-01,14.824118955483405,2.1058968891723,11.160331189324157,22.81127267743838,-7.966062786472214,14.161066822516188,5.002480467175957,9.228943835490819,16.560576413719225
1970-10-01,15.540979962774895,1.6224921274212,11.440804008562912,18.439603309480106,1.7717735803179515,11.11756674687682,13.938152950551313,7.723443689241686,17.02915420401611
1970-11-01,14.55931214302599,1.7990234144146697,10.543768476379068,18.98828945909414,10.980530134615794,7.867869149059282,16.870741603340935,4.5957594839199425,14.976750170357766
1970-12-01,11.791790320919382,0.24913474231836652,8.754498573136264,12.733393400222685,22.14517001948046,4.9011532217654805,23.511019288486295,2.4561759000091374,11.320440005133804
1971-01-01,10.693382623204405,-1.7378405597408637,7.891934533994301,11.461641680719008,24.394338863606485,1.37276005923997,22.204227506655204,0.7470723418655334,7.951710753758476
1971-02-01,8.268917439570917,-3.9572841466751196,6.984305551309338,10.96614312770238,7.879423539640353,3.206887951493991,19.0682220015805,-0.5129341634760465,7.784338421610248
1971-03-01,10.668132809725655,-4.29468648931079,12.495732205372736,13.352531868906508,16.3199963917594,2.466816625796893,20.38229442346955,1.8910853191059744,6.371950925497733
1971-04-01,14.306491643559985,-0.7973592516614829,11.32791759353428,20.88528662294701,5.945657537785248,5.426949748131207,15.8140680585391,4.179375514351099,12.036703754460754
