,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,sst_cluster6,sst_cluster7,sst_cluster8,sst_cluster9
1965-01-01,43.69500911597049,40.137471379460514,22.831291488454312,39.12093788385391,44.494378125226056,41.937717638517675,39.791881447971456,43.58051867524455,35.401251051161026
1965-02-01,43.81107561516039,41.1237012158643,23.576574687716327,40.40035903453827,45.7729904739945,42.331751486412564,40.52834652438022,44.29719625425733,37.14202457004123
1965-03-01,43.61508687337239,40.40929605294992,22.896450380735757,41.07747972011566,45.657290352715385,42.3016483622386,39.75557383924428,44.785729715646795,35.76925913492838
1965-04-01,44.192951375787906,38.95871445939347,21.788737140124358,41.1504402756691,44.59177476388437,42.678442933505636,38.662987888449486,45.20185328712148,33.69267569647895
1965-05-01,43.91960086244525,36.73220625868788,19.893693320358857,39.68633711338043,42.421655301694514,41.973547110880226,34.804559462141285,43.949398324509296,30.592829386393227
1965-06-01,43.50526838591604,34.61155590710339,18.37817445585999,38.17069232463837,40.18383732548466,40.86244912972128,32.7929959438815,42.63042733688985,27.333836025661892
1965-07-01,43.06179682413737,33.03035186217711,17.143947263307208,36.72890365123749,38.46957595260055,40.110625360245095,30.49022089136709,41.47048824089618,25.21190007527669
1965-08-01,43.07261958266749,32.232971878739086,16.387968425509296,35.61241179704666,37.257033807260015,39.9662749211591,29.36546778914952,40.9981893113822,24.239177703857422
1965-09-01,43.33351164153128,32.10684286581503,16.73287500309039,35.376979410648346,36.969949581004954,39.90202595416764,30.18855104351988,40.89763420672456,25.208172268337673
1965-10-01,43.854743784124196,32.61545713957365,17.066024828560742,36.14344298839569,38.304758071899414,40.67075772393019,30.57990782331712,41.58553131355727,25.762244330512154
1965-11-01,44.60955822106563,33.99820585508604,18.256354030174545,37.055352330207825,39.86443413628472,41.653918502922345,32.23919632411239,42.59573881291161,28.097006479899086
1965-12-01,44.51973510510994,36.73213752540382,20.25782911083366,38.24722617864609,42.11903678046332,42.29115077427455,35.4234242203212,43.67004426057674,31.558935377332897
1966-01-01,44.76055231961337,39.42088737144126,22.32073288929613,39.568547904491425,44.35604943169488,42.774725318851324,38.88331309403523,44.26959644664418,35.13859430948893
1966-02-01,44.60297208843809,40.96186869853251,23.467471931554094,40.243567526340485,45.83830656828703,42.93044240851151,41.04294918551303,44.73992024571442,36.74616495768229
1966-03-01,44.41158843762947,40.41877952781883,22.963789444935472,40.606121718883514,45.76143865232114,43.03183017816758,39.863552433429376,45.22072027537448,36.130265129937065
1966-04-01,44.916160178906985,38.3336642840961,21.63312887843651,40.079863369464874,44.43098174201117,43.13307023586187,38.03276779628036,45.05552181527634,33.38519838121202
1966-05-01,44.671893842292555,36.487481400773326,19.94656430015081,38.58494311571121,42.15767295272262,42.054772914800424,35.3104563042669,43.63873694553848,30.62655978732639
1966-06-01,44.27616668469978,34.10700548876513,18.23827888392195,37.41451948881149,39.67400303593388,41.45876948994801,32.53498077392578,42.63812136058965,27.775789896647133
1966-07-01,43.94630085338245,32.206416774440456,17.15911672085146,36.24405562877655,37.814074975472906,40.708196252808534,31.23577325650961,41.60937947675217,25.74743694729275
1966-08-01,43.184754342743844,31.73705092421523,16.45787396008455,35.08536070585251,37.15099758572048,39.69501552725197,29.94329528053208,40.41070544030055,24.492416381835938
