,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,msl_cluster7,msl_cluster8,msl_cluster9
1965-01-01,1438.647925967262,1536.895197088068,1039.9186114875638,1274.7684527047072,1042.2260717018364,1272.6995887996266,1563.3191856971152,1798.3360087977048,1162.7573298311781
1965-02-01,1438.4212530226935,1534.5189874822443,1038.4839739118304,1275.339942642405,1041.063351975274,1272.903308028695,1567.0191368689902,1796.4876698181695,1165.0265748473419
1965-03-01,1441.9208054315475,1536.7170854048295,1038.259576291454,1278.9180707327926,1042.1474496113885,1274.290341551199,1565.4889385516826,1799.0031284568586,1165.6546757139008
1965-04-01,1442.9122198195685,1540.720529267282,1037.2359295280612,1282.4726346172863,1042.468890947165,1275.7856261055424,1564.1476675180288,1798.6382138412612,1171.9466987697558
1965-05-01,1442.9471842447915,1539.541163589015,1037.2917953802614,1283.9620469491692,1042.4846845803802,1277.1004922734867,1561.6866361177883,1800.267744486311,1169.7542738640445
1965-06-01,1445.7047816685267,1537.40058667732,1035.6779760243942,1287.710918957674,1044.062128755235,1278.1699510490369,1554.458477313702,1799.132760647124,1175.84158360273
1965-07-01,1444.799107142857,1530.5637244022253,1037.039869658801,1287.804325924644,1043.65696857885,1276.3533682193395,1546.349628155048,1798.3467034534017,1172.6365363460848
1965-08-01,1445.1556977771577,1539.6155155066288,1038.7350277024873,1286.6862236698971,1044.2444162270458,1278.3408878734276,1561.8909630408652,1801.0501287679758,1171.3781597970546
1965-09-01,1444.9622163318452,1542.9448908025568,1043.9718441087373,1286.3472081437894,1044.2294720521907,1279.6120697597287,1564.0794959435095,1806.5860714532635,1170.800570783944
1965-10-01,1444.5255824497767,1540.4983058120265,1043.4486856265944,1285.3782170935522,1044.0150939312177,1279.3450889347484,1570.845196063702,1804.0936765417591,1170.9826940777657
1965-11-01,1443.0477759951636,1538.261367335464,1039.1132588289222,1282.0265371588212,1042.9154543532538,1276.042280856918,1561.409160907452,1799.9619205441097,1165.8398858432113
1965-12-01,1440.780726841518,1543.0727871981533,1039.5735137316647,1279.2537640921676,1042.0205342400934,1276.1704162981525,1564.548809344952,1799.6061341952436,1165.5926583827227
1966-01-01,1439.1122872488838,1540.9021550958805,1040.6304807079082,1277.5673395470728,1040.9570752959892,1274.0969867826257,1565.78125,1799.1150442477879,1166.3895530262212
1966-02-01,1440.9239269438244,1543.7523119377367,1043.019757952009,1277.6305379746834,1041.492076755799,1275.137885711478,1569.503173828125,1800.5292774301715,1162.976565306214
1966-03-01,1440.8409772600446,1538.0372943300188,1040.9208959462692,1279.4553346271755,1041.1107014134986,1273.778452363404,1566.0861440805288,1799.317270464602,1166.4407664331898
