,vo600_cluster1,vo600_cluster2,vo600_cluster3,vo600_cluster4,vo600_cluster5,vo600_cluster6
1965-01-01,-3.6846395e-06,7.1733302e-06,-1.561045e-05,-6.7087167e-06,-1.1832599e-05,3.6018682e-06
1965-02-01,1.0520453e-05,-2.4777546e-07,-4.7704307e-06,-1.5745056e-05,1.156138e-05,-3.2898024e-06
1965-03-01,6.6079956e-06,3.3550168e-07,-1.7441052e-05,-1.0019947e-05,-9.19438e-06,8.402698e-06
1965-04-01,6.2400795e-06,4.364614e-06,-2.4283436e-06,-6.933049e-06,-1.4829755e-05,-8.73673e-06
1965-05-01,1.3495082e-06,-7.5029675e-07,-5.2595715e-07,-5.506263e-06,-1.2344084e-05,-7.291994e-06
1965-06-01,-1.5197671e-05,-9.656578e-07,-3.3077522e-06,-7.938084e-06,-6.215174e-06,-1.100263e-06
1965-07-01,-1.1374948e-05,-6.9645466e-07,1.053384e-06,-6.1523533e-06,-7.561197e-06,2.6775888e-06
1965-08-01,-7.875271e-06,2.3007015e-06,-2.4193723e-06,2.839115e-06,-3.1821182e-06,-1.03071e-05
1965-09-01,9.578231e-06,1.026463e-06,-2.0604275e-06,-2.5898698e-06,-1.4883597e-05,-1.4425947e-05
1965-10-01,-7.1484174e-06,-7.143972e-07,-1.4856676e-05,1.9327927e-06,-7.5701755e-06,5.0824965e-06
1965-11-01,-8.225237e-06,2.2019958e-06,-3.9807637e-06,-4.6806963e-06,-9.436662e-06,-2.8949653e-06
1965-12-01,2.3276225e-06,-2.029119e-07,-5.255002e-06,-3.2090393e-06,-1.9442145e-05,-1.1810262e-06
1966-01-01,3.533325e-06,-8.385541e-08,-1.8650418e-05,-3.9617335e-06,-1.0859112e-06,1.190824e-05
1966-02-01,7.867424e-06,5.366357e-06,-8.1084545e-06,-1.1184966e-06,4.6983187e-06,-4.3609252e-06
1966-03-01,8.9376044e-07,1.1463126e-06,-2.3405191e-06,-1.19537435e-05,2.1891028e-06,1.1183172e-05
1966-04-01,8.217739e-06,2.8001123e-06,-2.136847e-06,-6.4139203e-06,-8.972016e-06,8.2858605e-07
1966-05-01,-2.1615851e-05,1.7980565e-06,-3.7906502e-06,-3.4240438e-06,-1.069099e-05,1.6840022e-06
1966-06-01,-8.923136e-06,-2.6093621e-06,-2.6500966e-06,-9.59932e-06,-1.3037268e-05,-3.8313847e-06
1966-07-01,-5.4607444e-06,-1.0533222e-06,5.472266e-06,-3.619567e-06,-7.2745024e-07,8.693205e-07
1966-08-01,-1.5041383e-05,5.353031e-07,-4.540154e-06,-5.1348725e-06,-4.214282e-06,-3.0574374e-06
1966-09-01,-1.14160575e-05,1.1544616e-06,-3.8232356e-06,-1.762095e-06,1.6351223e-06,2.7460555e-07
1966-10-01,-1.3737896e-05,2.686058e-06,-3.073732e-06,-2.2753447e-06,-3.6928868e-06,-6.071754e-06
1966-11-01,8.367351e-07,7.0038623e-06,4.079164e-06,-3.1144627e-06,-2.413839e-06,-1.2406999e-06
1966-12-01,-6.541304e-07,-1.0533222e-06,5.6514946e-06,-4.7519716e-06,-1.1603432e-05,2.7919668e-06
1967-01-01,-1.2228167e-05,1.9760519e-06,-1.1498309e-05,-1.23805585e-05,-9.754731e-07,1.0728763e-07
1967-02-01,-3.1329764e-06,-3.798672e-06,-1.2324414e-05,-8.779374e-06,-9.525276e-06,6.716138e-06
1967-03-01,3.3987817e-07,-2.2155291e-07,-4.745085e-06,-1.5208643e-06,-1.7658014e-05,-1.6470985e-05
1967-04-01,2.2035203e-05,1.0216172e-06,-5.033824e-06,-4.5414345e-07,3.4357727e-06,-1.3575605e-05
1967-05-01,-6.3170955e-06,2.2647873e-06,-1.3014171e-05,-2.5073787e-06,-2.6998714e-06,-3.670346e-06
1967-06-01,-1.0591997e-05,-3.819623e-07,-4.6247806e-06,-4.6889436e-06,-7.054976e-06,-3.6623242e-06
1967-07-01,-1.6278496e-05,-6.3059633e-07,-2.5234222e-06,-4.0553277e-06,4.6018613e-07,2.7780989e-06
1967-08-01,-1.60058e-05,1.1041266e-08,3.219222e-06,-2.3389512e-06,1.1041266e-08,-1.1442164e-05
