,abs_vo850_cluster1,abs_vo850_cluster2,abs_vo850_cluster3,abs_vo850_cluster4,abs_vo850_cluster5,abs_vo850_cluster6,abs_vo850_cluster7,abs_vo850_cluster8,abs_vo850_cluster9,abs_vo850_cluster10,mpi_cluster1,mpi_cluster2,mpi_cluster3,mpi_cluster4,mpi_cluster5,mpi_cluster6,mpi_cluster7,mpi_cluster8,mpi_cluster9,mpi_cluster10,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,msl_cluster7,msl_cluster8,msl_cluster9,msl_cluster10,r700_cluster1,r700_cluster2,r700_cluster3,r700_cluster4,r700_cluster5,r700_cluster6,r700_cluster7,r700_cluster8,r700_cluster9,r700_cluster10,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,sst_cluster6,sst_cluster7,sst_cluster8,sst_cluster9,sst_cluster10,vws850-200_cluster1,vws850-200_cluster2,vws850-200_cluster3,vws850-200_cluster4,vws850-200_cluster5,vws850-200_cluster6,vws850-200_cluster7,vws850-200_cluster8,vws850-200_cluster9,vws850-200_cluster10,w_cluster1,w_cluster2,w_cluster3,w_cluster4,w_cluster5,w_cluster6,w_cluster7,w_cluster8,w_cluster9,w_cluster10,EA-WR,ENSO3.4,EP-NP,NAO,PDO,PNA,SOI,TNA,TSA,WP,month
1965-01-01,-7.736106165461688e-05,5.295741923022485e-05,1.7755439371119726e-05,7.454193429783337e-05,-3.14117431786705e-05,-5.478939817963555e-05,3.381355712612387e-05,-0.000100323905633,0.0001170146730424,-1.6467381215079512e-06,,,,,,,,,,,1105.224382329561,1133.5663729332705,1330.0630927606442,1057.3812440384263,1014.486973626273,1197.4989282803272,1244.7893585727384,1037.0735991996562,1192.7094132319924,1794.389155873081,38.21514762194225,71.63327702746227,47.1211669999925,26.92266715200324,43.26307009344232,24.82891532139004,56.284520689878434,32.22193192462532,61.916453827845366,73.0124319300932,27.66506383707235,25.17321244725641,24.704079365167093,29.605988533266128,26.446479735670064,12.086562156677246,29.996663059096736,24.331765754200585,32.232826414923544,19.931124468318757,14.928705050152098,29.58513035898386,59.54166389848123,11.66623132833166,33.79207373005016,50.97927805336129,12.342129285914533,29.04478382825141,20.267663432723506,21.42615844381403,-0.0422913213146895,1.8265743553638456,0.0299591376320817,-0.6626407114359049,0.0237154639310392,37.78055906295776,3.687096387147904,-0.0566008217090545,0.0072646847998146,-1.2092051406701407,-0.37,-0.89,0.6,-0.65,-1.24,-0.92,-0.7,-0.36,-0.39,-1.0,1
1965-02-01,-7.72492326549747e-05,5.240544268809213e-05,1.817484559217032e-05,7.616927587057718e-05,-3.012274418747136e-05,-5.494116916417865e-05,3.2106758406801675e-05,-9.76462372167102e-05,0.0001224473965573,-1.587504948474816e-06,,,,,,,,,,,1104.4070721716014,1133.750010923518,1327.0495552162936,1056.784107296966,1013.4568282536096,1197.4524310254676,1243.1383949037286,1034.8481902765402,1191.021549526897,1789.3251117907073,38.957061380299216,70.26260194803605,47.79073222518882,23.531084060668945,43.06599081379094,26.606579725654964,55.59953007384808,29.339842504384563,59.85560564217588,75.32144644681145,28.596912635551703,25.997097687151445,24.127780734084723,30.65757320773217,26.14971016937832,10.975817680358888,30.08986507553652,23.471369698782947,32.80904174562003,20.752220466488694,13.39202682773702,24.96917721598575,61.16589952460788,10.591507293913985,36.838895193001456,60.38307936727936,10.62833655056829,28.086097645812995,23.498463458540694,24.27731086605657,-0.0602000379344312,1.9279375672340395,0.0236108303607369,-0.7290021731303288,0.0258283640601133,77.3419976234436,6.089940294623375,-0.0490019504593389,0.0041921711098915,-1.819506453143226,1.46,-0.56,-0.93,-2.2,-1.16,-1.03,0.7,-0.25,-0.08,-1.04,2
1965-03-01,-7.644506288574314e-05,5.223459362286869e-05,1.718906976096071e-05,7.617035461684922e-05,-3.083415678577653e-05,-5.441156250560867e-05,3.2514858399277895e-05,-9.915750517508044e-05,0.0001286667623152,-2.4100152131723007e-06,,,,,,,,,,,1107.711705180696,1135.4203396995597,1326.629958506755,1058.230122410974,1014.9360929216656,1198.397995355561,1244.33017721386,1037.4270064282075,1191.5252059086326,1787.4338250411186,39.40207486225264,69.98723616386152,51.491354432557245,21.47443620782149,42.9398356398491,26.353984353429983,53.12263414517516,29.361794530128943,62.89707469520064,75.88225603103638,28.862430237151763,25.59055652258531,23.748099710058977,30.563927312051096,26.193165329267394,10.70174503326416,30.16487328402967,23.206284335840525,33.016046330658625,20.14597478460093,17.22513860063549,23.561470334552325,57.48876691884201,9.677599202136914,37.315166718911264,47.82213489361702,10.256763609765237,29.131188267778008,21.906038382736728,22.02685367022137,-0.0473657506518066,1.3501237332820892,0.0216210552025586,-0.8935990241857675,0.0249045257522304,29.5803964138031,4.355843365192413,-0.0466989172557293,0.0052221862071227,-1.1482534309228265,-1.84,-0.34,2.23,-1.99,0.04,-0.8,1.2,-0.13,0.11,-1.17,3
1965-04-01,-7.917803528387762e-05,5.4769870629152976e-05,1.7410442299934767e-05,7.57736021534736e-05,-2.982567010992815e-05,-5.1813055146134126e-05,3.275393018997114e-05,-0.0001001171767711,0.0001224240323915,-4.218926642352017e-06,,,,,,,,,,,1109.506619576552,1137.9209241077672,1322.9656102875956,1058.57147926508,1014.7316319601877,1200.4288921206016,1243.8966037591688,1038.380509821315,1188.8504162561858,1777.4679083573192,40.3554674332517,67.15226689240549,49.64212871268582,28.04496162816098,43.54160047557256,27.071295233921237,61.64264725362587,34.745068842050976,54.83334074986664,74.88019746892591,28.69377607827658,24.48723151248956,24.437049054724024,29.72625732421875,26.95386274805609,11.475663185119627,30.92388796519084,23.88726127481906,33.31484140506085,19.138524180553,26.4147197700776,19.94727814243524,47.07169744663815,8.80251851449518,31.663308146915643,49.03165562502087,10.771328794663305,42.10737699005344,24.04890828134905,20.535909195222672,-0.0676023642100939,0.8525101095438004,0.003579671969279,-1.199087959069472,0.0210741700391803,158.55038166046145,9.768937528133392,-0.0232825295609294,0.0040077945370631,-0.8961507015758091,0.67,-0.44,1.02,0.64,0.62,-1.07,-0.9,-0.18,0.1,0.49,4
1965-05-01,-7.324470969255337e-05,5.5191530498056224e-05,1.669952493897608e-05,7.417883574229367e-05,-2.885849396880154e-05,-5.062751679017894e-05,3.6718348515058247e-05,-0.0001021188184917,0.0001327184210219,-6.8877022386004684e-06,,,,,,,,,,,1111.3067827287334,1138.4384394225392,1318.8246014857395,1059.0245872320131,1014.0988962990896,1199.4614728792446,1242.7692292080533,1038.3808205909495,1187.6633988097965,1771.249925044545,31.89545968664076,61.25952587278663,50.345058392380814,28.109222713269688,44.77360973619435,23.370218526630502,69.74051909435114,39.82914905158841,45.906172764984,76.44647850709802,27.736065413925672,22.815782319074906,25.850705274446742,28.13032027213804,27.84268669683657,13.40872859954834,31.01504406297063,25.47114719854337,32.5631473457837,17.664801488157178,31.53086397732982,14.70515244323352,33.69160461026666,9.852539785399156,23.78413679092333,41.71600358261389,17.151087879226836,48.12557833809996,29.232270218753914,19.983884236623613,-0.0677941694128804,0.1706804521381855,-0.0323478463822259,-2.19707924586076,0.0251803797313032,238.5715484619141,17.436614632606506,-0.0054548572533327,-7.821932480770297e-05,-0.5027664204438528,2.95,0.06,0.07,-0.52,-0.66,-0.42,0.3,-0.21,0.15,1.18,5
1965-06-01,-7.524821723596623e-05,5.731107067922461e-05,1.1541936780739882e-05,7.418274452361319e-05,-2.7641268326513012e-05,-5.063092893973555e-05,3.980043235782335e-05,-0.0001019009121548,0.0001393146860186,-8.49678658596531e-06,,,,,,,,,,,1113.6413173550327,1141.7628072785585,1315.4503168497542,1061.2929659111555,1015.5841146196636,1200.534357987051,1242.9076700746868,1039.6922311569183,1186.7211126512095,1765.6169155187777,32.432504837888146,53.8245450223656,52.73826384483396,28.419359106766557,42.59324844569376,22.84714414187127,74.4519356683513,45.80143441959303,39.24978987235855,75.64121695125803,26.521387205019103,21.29082679748535,27.795060225359094,26.51177929293725,28.82798084351573,15.91457176208496,30.78475147844797,27.79933715535101,31.293947891023,16.38303780164875,33.6189089967986,9.72678848651787,20.703985131106545,11.644962888626726,14.581989355440978,40.6436551308387,25.858277636324573,50.19475548874473,29.30530779045708,18.69618343217816,-0.0645772299570281,-0.1926088891923427,-0.0787520431913435,-1.9157911722476664,0.0271579361763706,171.50462865829468,16.36022925376892,0.0140366526044443,-0.0021002614240777,-0.2857244470053249,1.33,0.36,-1.56,0.6,-0.8,1.89,-0.9,-0.28,-0.17,1.19,6
1965-07-01,-7.568013681444579e-05,5.953398383399836e-05,9.295227304575456e-06,7.294036062569539e-05,-2.699170136792841e-05,-4.969069468986489e-05,4.103274630268908e-05,-0.000103644917659,0.0001393955093949,-8.831595960145932e-06,,,,,,,,,,,1113.683200560722,1142.0719018718542,1314.0980549774836,1061.1008967909702,1014.965214048113,1197.8996336929442,1242.999416808336,1041.2368805491026,1186.06091272796,1761.5051269531252,27.81248141061231,48.52531654539083,54.59824486461746,37.43063575343082,45.33356026427386,18.830772469805176,79.18738483512487,54.05417695337412,33.70833712002254,73.73286766164442,25.430394266987893,20.21877090885954,29.757444126399484,25.373047859438003,29.58380963924439,19.174196243286133,30.46441572258271,30.68581696982696,30.35025359622053,15.45286491268971,33.444951338313224,9.750751434898977,13.045386360123096,12.79748531433177,12.885498169770225,27.755357005219665,25.559787447325903,56.25111345174938,29.751474432825045,21.129437203369847,-0.0643518280873938,-0.3672652691602707,-0.083891437568057,-2.571806082358727,0.0284632795656147,185.3256702423096,15.720555186271667,0.0160467282823736,-0.0086578429545625,-0.264497370355659,0.37,0.61,0.75,0.35,-0.47,-1.26,-3.0,-0.2,-0.39,2.64,7
1965-08-01,-8.21590481268822e-05,5.88838692532448e-05,9.938661050324066e-06,7.402160512531036e-05,-2.7613885719648203e-05,-4.9594024669616224e-05,4.119461692002325e-05,-0.0001040926225131,0.0001377042014615,-8.66603995746118e-06,,,,,,,,,,,1112.4693622213483,1140.7448309913311,1316.7124119387963,1060.483959109284,1015.030070713588,1199.5185671828865,1243.8094533160147,1040.3574894984724,1185.9998059762188,1766.2695098341558,27.459878485820013,53.84519672645428,51.85171259028832,42.50317724127519,44.95271134049925,19.191776645121152,79.68610963102094,55.81567102549027,37.49285416456046,74.34165898491354,24.711433347764903,19.667434092587644,30.888126403328,24.567383796938003,30.070899181931487,21.35096549987793,30.503281512892386,32.93322536432854,30.049286874577728,15.206903707785685,31.47862200154446,9.985928356193533,10.218877221407585,10.687124736745554,9.347154711865755,23.85695822778805,22.14689989839801,53.28924121490065,28.24996929370773,18.994058097979867,-0.0653115151132025,-0.4506018012762069,-0.0849609191601093,-2.844978066591116,0.0275695195352744,167.633056640625,40.504634380340576,0.0162989846267549,-0.0074226173147789,-0.194991421368387,1.29,1.12,2.32,0.45,0.2,0.32,-1.1,-0.2,-0.21,1.62,8
1965-09-01,-7.389755406627942e-05,5.756941572406737e-05,1.016852781124392e-05,7.395285550944874e-05,-2.722765934903861e-05,-5.1586375432308624e-05,4.148079567637298e-05,-0.0001000596909769,0.0001291431776532,-8.357663023161877e-06,,,,,,,,,,,1112.4404873837527,1139.6562068521043,1319.6902878940366,1060.2369441542514,1015.198619025094,1200.087996355192,1244.4026284812423,1040.2487822802634,1186.909927860383,1774.8462342379387,26.940730783943398,55.89190259143356,48.02699271980149,40.34910101639597,41.50965128859429,17.764833460303503,79.87128023393542,54.05399789615553,40.30294376322877,75.06425380706787,24.672925341260303,19.585329031794323,30.807986221914216,24.48006353070659,30.309639593982958,20.62750816345215,30.687765787882974,32.53456989181376,30.2535206849722,15.120562959889895,30.76551364463044,7.619561979990039,19.682924006098837,10.826388339564836,11.652889069760894,39.16951587663411,20.50094390721639,49.25837007116088,28.53923438336515,16.97788756688826,-0.0473637697173328,-0.031667398288846,-0.0709005774786839,-1.92541411289802,0.0289024322107017,108.20423364639282,28.118425607681274,0.0080797993552913,-0.0057269371547179,-0.3468740524517165,0.66,1.29,2.26,0.51,0.59,0.36,-2.2,-0.12,-0.03,-1.29,9
1965-10-01,-7.662841919605098e-05,5.5914068044812894e-05,1.5652416046012286e-05,7.37837125577703e-05,-2.9217786832071437e-05,-5.1437848426603694e-05,3.850872181335958e-05,-0.0001004998849802,0.0001163693095051,-7.130835479074449e-06,,,,,,,,,,,1111.0006586988852,1139.2458785566976,1324.7815527770197,1059.5541381835938,1015.1406492505754,1200.1617912232407,1245.0463628419163,1039.5788126710477,1190.6743113945656,1784.5605682908445,30.35033882773669,60.42824999323621,46.99814057411135,34.66497019717568,42.03944689606967,18.64343862883084,78.29394839395862,49.21152854452328,45.11934776138104,74.21799547532025,25.172847181886105,20.05486248424218,29.81456696517824,24.962208040298957,29.925803932539537,18.48415946960449,30.9332854489246,31.02658886775792,30.991351770359287,15.291021300143884,27.943207467668724,11.866958816728562,35.51883474904978,8.800928509766722,19.093128558500872,42.54497435457004,14.248610527833709,44.10229309815984,27.638968339291807,17.660407060678985,-0.0592840553783789,0.5005107820034027,-0.0432422921921198,-1.9300387455866883,0.0255143838284864,155.8345079421997,28.399980068206787,-0.0067374664308588,-0.0045197192884231,-0.2605353171626727,3.08,1.45,0.85,0.92,-0.36,1.42,-1.5,-0.1,-0.17,1.57,10
