,vo600_cluster1,vo600_cluster2,vo600_cluster3,vo600_cluster4,vo600_cluster5,vo600_cluster6,vo600_cluster7
1965-01-01,1.4484691025151326e-05,-2.5435659457192137e-06,-3.405433995754978e-06,-2.890170955132427e-05,1.2730819911493676e-05,-6.397112753485431e-06,-1.4220499795600318e-05
1965-02-01,1.847527465574315e-05,-5.169471478438936e-06,-4.240064051169571e-06,2.771811393488731e-05,-1.5717603760311337e-05,-1.0450064085013822e-05,1.637112645988875e-05
1965-03-01,-9.898170399788671e-06,3.335793432294546e-06,-3.149674238969557e-06,-1.9460893392014054e-05,-9.178158203818992e-06,-1.7270805416180143e-05,5.490341675063175e-06
1965-04-01,2.3988103090107026e-05,-5.922759252522762e-06,-3.6524608949946157e-06,-4.371579832098048e-05,9.703747612851052e-06,-6.255313690066649e-07,-3.6642892687601357e-06
1965-05-01,-1.0476101751605869e-05,-1.0291235715461275e-05,-3.0956417116404275e-06,-3.00916560393359e-05,-6.686734433883214e-06,-1.1295023253905787e-05,-6.669401733322558e-06
1965-06-01,-1.7415835639534133e-05,-5.216060647702155e-06,-2.317502079008616e-06,-1.4721665918062043e-05,-2.6235067620984325e-05,-9.61553375393557e-06,-3.249037390782089e-05
1965-07-01,-1.7636279906206444e-05,-5.312829064981391e-06,-7.697881152185413e-07,-6.6812916494589965e-06,-4.520421671692193e-05,-1.1344611366522933e-05,-3.1724510602255514e-05
1965-08-01,-2.464072983049595e-05,-7.646108618549382e-06,-5.736042218013807e-07,-3.7924230257756013e-06,-2.505805371453919e-05,-6.897526047162609e-06,-2.388192226090923e-05
1965-09-01,1.244824692674166e-05,-1.1593573920739194e-05,-1.272761873065189e-06,-2.4423329055675174e-05,-2.297862833767708e-05,-6.333128679992306e-06,-5.614272528718419e-06
1965-10-01,3.552154809987205e-05,-1.3744346081997112e-06,-3.0627746449522544e-06,-1.242037959465441e-06,-1.4970748365851164e-05,-1.101818229722293e-06,-3.679080203632688e-05
1965-11-01,-5.7371741196879285e-06,-4.003576577815693e-06,-3.389581701899732e-06,-2.6382487184101982e-05,-1.4168313100526575e-05,-4.943029807691346e-06,-2.2145095721409635e-05
1965-12-01,-2.362101221133971e-05,-3.6418972134318515e-06,-3.880435681826806e-06,-5.1576878052271376e-05,-3.0028756793312607e-06,-8.362616043070057e-06,-1.810186271230611e-05
1966-01-01,-4.211038873924328e-05,3.314774100241872e-06,-4.2804218535154866e-06,-1.2052013127166513e-06,-1.2740373936789443e-05,-2.4718486477242814e-05,9.038241686783561e-06
1966-02-01,-2.4696953852102964e-05,-4.6609481311558437e-07,-2.9223442521977064e-06,6.602223428282222e-06,-2.36133387044815e-05,-2.3060028729351542e-05,7.337239810844838e-06
1966-03-01,1.3712980066414057e-05,2.0353983624469643e-06,-5.243630093580781e-06,1.126882369005346e-06,-1.3491629823918282e-06,-7.062250191782768e-06,1.3869372728882677e-06
1966-04-01,-1.0942141733690295e-05,-1.95288172714451e-06,-3.43016964243709e-06,-3.1248229268905045e-05,1.1232804316326415e-06,-1.5635276530359855e-05,6.010739570029262e-06
1966-05-01,9.625920217237356e-06,-5.8934674598276615e-06,-3.1117099561288836e-06,-2.747802032640071e-05,-2.8171234589535743e-05,7.144480142256441e-06,-4.142333548260489e-05
1966-06-01,2.282784188192354e-05,-4.370381854338727e-06,-8.190931881755637e-07,-1.108826966498912e-05,-5.371984159518477e-05,-1.3842016231287868e-05,-2.7199989634071955e-05
1966-07-01,-4.341992782177966e-06,-2.6868789670212814e-06,-5.885648349989612e-07,9.910068001772743e-06,-4.569883025223611e-05,-1.1519440028569745e-05,-5.538939193484555e-06
1966-08-01,-2.185076545143163e-05,-5.545468714747888e-06,6.67596290331659e-08,-1.4996911496772166e-05,-3.2991954954230184e-05,-9.899583238378859e-06,-3.1607132547012554e-05
1966-09-01,-5.470194694147534e-06,2.1576539666057215e-08,-1.292599123547409e-06,-2.2985722937716806e-06,-2.745237430818157e-05,-8.048484082666969e-06,-2.585776178975499e-05
1966-10-01,1.8759341212993103e-05,-7.1380175844145315e-06,-2.029870296864257e-06,-3.4682498803054585e-06,-1.3337693244033116e-05,-6.593984902242023e-06,-2.1001219798430302e-05
1966-11-01,2.8063986347064956e-05,-2.7792833255565106e-06,-2.856427365676624e-06,1.60482402731889e-06,-8.586733288428236e-06,-5.323601764106936e-06,1.4766159460478089e-06
1966-12-01,-7.9731935016e-06,-2.3668573400451956e-06,-3.813861562688882e-06,-2.334383160424685e-05,4.944327191056107e-06,-1.154687967667696e-06,-1.7547756115385622e-06
1967-01-01,-1.6089991512327006e-05,-5.371576359417911e-06,-3.502284371925618e-06,-5.5637662756323285e-06,-9.617799280801722e-06,-8.612631547393986e-06,-1.2996081461939711e-05
1967-02-01,2.3498134772847248e-05,-5.779226057711639e-07,-4.1440582191057106e-06,-3.219010977772996e-05,2.2695115019035127e-05,-1.0057796621242583e-05,-3.785102662954071e-05
1967-03-01,-1.1205925775043555e-05,-7.1117586533849435e-06,-3.2445577085997033e-06,-3.921395805913822e-05,1.8164775740712814e-05,-2.10129718477528e-06,-1.0335441224813666e-05
