,mpi_cluster1,mpi_cluster2,mpi_cluster3,mpi_cluster4,mpi_cluster5,mpi_cluster6
1965-01-01,,,,,,
1965-02-01,,,,,,
1965-03-01,,,,,,
1965-04-01,,,,,,
1965-05-01,,,,,,
1965-06-01,,,,,,
1965-07-01,,,,,,
1965-08-01,,,,,,
1965-09-01,,,,,,
1965-10-01,,,,,,
1965-11-01,,,,,,
1965-12-01,,,,,,
1966-01-01,,,,,,
1966-02-01,,,,,,
1966-03-01,,,,,,
1966-04-01,,,,,,
1966-05-01,,,,,,
1966-06-01,,,,,,
1966-07-01,,,,,,
1966-08-01,,,,,,
1966-09-01,,,,,,
1966-10-01,,,,,,
1966-11-01,,,,,,
1966-12-01,,,,,,
1967-01-01,9.988270890325563,24.848169468153426,8.787222659640113,5.962850291476128,4.642878010910769,4.90540821813881
1967-02-01,9.958610107390092,29.897143316770176,8.763122018576935,5.913884653558082,4.632678729515916,5.604862727425555
1967-03-01,10.13038519713111,30.9962361925699,8.842085286493619,5.924389264954121,5.070942504653864,12.520112795930954
1967-04-01,10.493187037190392,29.990272473479603,8.922703503702456,5.342177305045473,5.028477562627938,17.55657431197234
1967-05-01,10.596411998634942,25.341884661673777,9.143319678846204,5.148992578325216,3.7234703393450306,0.4678473018801844
1967-06-01,10.536424050479118,24.823475484084877,9.545988803768434,5.291538214748454,3.3152236808011697,2.1312169633810836
1967-07-01,10.417435620340378,19.42366530895325,9.791477943510655,7.10825142459098,3.6976062860648584,0.0
1967-08-01,10.202443453496643,16.080089999149642,9.922858671695632,7.996942972370376,5.967223300367674,0.8217076586308748
1967-09-01,10.241104692848996,15.289258186631566,10.111773876947508,8.224142934822822,5.977425315052521,5.013075842495772
1967-10-01,10.174044595082277,14.30281711790409,10.011492626099585,8.100936960073122,5.761394889549649,5.050127054026586
1967-11-01,10.412504347889188,16.95719816763996,9.821644388980168,7.816350849972365,6.546667586574829,15.23903439289791
1967-12-01,10.251961273029226,15.792395996507235,9.149751068125639,6.954220158423359,5.558720583473853,16.62517394770695
1968-01-01,9.93947922203823,15.788385417839354,8.573714860596125,6.56311637809995,5.501436657757871,13.004713432274551
1968-02-01,10.004993662697803,26.744447084810087,8.21664102713272,6.332891917028963,5.302558968409292,6.154578459989096
1968-03-01,9.725727716051708,27.043333750289353,8.495754323802869,5.471354857971891,5.146628717400156,13.015456588098315
1968-04-01,10.268580181630796,28.6488285345727,9.014701067732924,5.6099858379852305,4.90034474144521,9.15845921823899
1968-05-01,10.563190951483593,23.44320995335497,9.327920209918991,5.450333678268238,4.290761661991722,4.85187151177166
1968-06-01,10.452218144115216,22.59785117249203,9.81606602498484,5.859348894162234,3.317770241769772,0.0
1968-07-01,10.325979640950415,20.678630350433124,9.906003608227842,6.916105489199499,3.207327185653961,0.0
1968-08-01,10.358456779029481,22.173811329627657,10.008039118922316,8.087942486533358,5.7298739368694,3.3605438899234708
1968-09-01,10.433853267594673,19.80266077502651,10.179489580844677,8.31294663582647,5.717569382788911,2.6806112287479142
