,vws_v850-200_cluster1,vws_v850-200_cluster2,vws_v850-200_cluster3,vws_v850-200_cluster4,vws_v850-200_cluster5,vws_v850-200_cluster6
1965-01-01,14.24878663946991,-1.9372819729303492,-1.9631387478767428,-6.833238284386691,4.266005334674208,-7.305369789127335
1965-02-01,8.488141318794002,-2.4103848456374664,-5.117775547793383,-0.8211369127078084,8.405143368092407,-18.47394219864594
1965-03-01,5.142073889821771,-0.11572007326736931,10.977921500531073,-8.06782936819434,1.8151005740964312,-20.02484430866103
1965-04-01,7.47405086106179,-2.3798050112433886,5.504109640503845,1.7088888655330627,-3.7431159289586353,-5.805356974586123
1965-05-01,1.721024579911756,-2.5639431628358937,8.394379530637663,1.8092422711096088,-7.144854278938318,-7.976742146938932
1965-06-01,-6.270793006117436,-4.3087923614607435,6.1309073897084065,5.33102836885213,-7.667174564325054,-12.035678682833103
1965-07-01,-5.0368092324420815,-5.653056815050313,2.9371929927804437,8.128175643555139,-5.77786563997855,-6.400855421317556
1965-08-01,-6.248680663225137,-6.606138622208171,2.675367965157289,5.547622448351667,-3.1608531771194213,-4.557621615836817
1965-09-01,-5.655760944497798,-4.017660007126944,5.531516980236762,2.4565528187004513,-3.162524053515782,-9.370873634965465
1965-10-01,-0.17883407736474488,-3.4963146855088993,1.702198786735431,0.7640868239721941,4.6433926382017,-6.900081906964255
1965-11-01,4.81755449713605,-3.5304801363455742,7.503537201424908,-0.10604095973179904,-3.6970293320041256,1.0158022754081553
1965-12-01,4.634659588218889,-3.500400345485451,5.553927698921133,5.017035484217599,-4.069216720365035,-7.816472215340846
1966-01-01,8.479064275302294,-1.2428680641053977,0.4515850369597323,-2.343329140847678,7.408654486812667,-15.61230752861525
1966-02-01,6.73806223748261,-3.1728198157498206,-8.180648481494075,2.7540402874742735,9.659169635283579,-2.5573534276281658
1966-03-01,6.1559674291819855,-2.155604524125498,0.07090288148472518,1.097764327278008,1.4109416049205263,-6.6817393208459555
1966-04-01,5.851816661624459,-3.4866067315364075,3.3669195793603146,1.4859000120681025,0.23056439166313536,-7.786758030034746
1966-05-01,-2.2406021263926434,-4.012326974044433,13.46587134252839,0.6150545636646421,-4.082224131117575,-3.332019615249849
1966-06-01,-5.050518873508589,-5.156557320945014,7.7614739518471545,2.1081894990509404,-4.332102101506632,-6.050211145314398
1966-07-01,-4.151105143367095,-6.430104154792544,6.674590091535374,7.244079919772999,-6.633473480785357,-7.480378385492197
1966-08-01,-5.194435211686915,-5.106366868746564,4.4112172351485786,3.5335424486808145,-4.25178545760574,-3.19162706639247
1966-09-01,-4.7953664720870695,-5.222099759664059,3.889217988395482,2.276249805997853,-0.3756524888219113,-9.990605563017079
1966-10-01,0.313376870906971,-2.9580497659107516,9.06903941772457,-1.0015490316321243,-0.5789128938083364,-6.36273962899689
1966-11-01,7.9427432083798655,-3.5602013390336666,2.7260980431034216,-1.871475026136453,-0.272377335761182,-3.5138116101468038
1966-12-01,10.925516917068206,-1.9611111040762137,-1.8198010753404021,-3.8119465708563802,5.5313653312354285,-14.485316408895692
1967-01-01,10.3041346647717,-3.7759941993068447,-3.454926485372901,-6.777274652819103,7.271642112948539,-17.34348284211361
1967-02-01,10.591543665312587,-1.048923913612825,3.270101017421627,-10.196647723790953,5.23663564158787,-18.45876784126942
1967-03-01,5.536577714267013,-1.364316130891796,5.085263387755661,-3.223847682389857,-4.355395363546395,-8.98898912967602
1967-04-01,6.260905382907712,-4.679069144188526,6.320447728805141,2.6384668778820988,-6.3648439901096685,-6.764143232426245
1967-05-01,0.915116448227916,-3.681091507407774,9.032908092015107,-1.4043154009996544,-6.206768248822342,-5.853926059838787
1967-06-01,-5.177078527150664,-3.7229394374623794,8.760398252785299,2.644042431580829,-7.810088429025424,-10.245930142771673
1967-07-01,-4.574586106302149,-6.219805478337238,2.4926395511839807,4.785330282822537,-5.007972686279195,-5.039789258963216
1967-08-01,-4.240410158584014,-5.9724559756575655,3.3267805522625866,3.116307474324827,-3.1197763117663646,-5.808214303218661
1967-09-01,-4.383260185769671,-5.803146888437226,3.237974653750439,-0.22324971041064942,-2.5418613831220185,-9.024803559656469
