,mgv50_cluster1,mgv50_cluster2,mgv50_cluster3,mgv50_cluster4,mgv50_cluster5,mgv50_cluster6
1965-01-01,-0.012861404923139814,0.38706912235780194,-1.1797679882300527,-0.22954375886205416,0.09001685834642666,-0.4455857400624257
1965-02-01,-1.5049635901419393e-05,0.4256369038061662,-1.0292635936486094,-0.31263187750061944,-0.08197233303269343,-0.1594771051181937
1965-03-01,0.02693282690688043,0.2735699035904624,-0.4499742075016624,-0.5306244341295157,-0.16474597044845124,0.16959056539355583
1965-04-01,-0.005872323417296828,0.18139596689831125,-0.2815769691216318,-0.04119823839682252,-0.0881429984053569,-0.08978537934006385
1965-05-01,-0.005366772974938353,0.10671343315731395,-0.03562689464735357,-0.013886426867388967,-0.015833021711502502,-0.019352967446705078
1965-06-01,-0.001551878087206056,0.10241946713490918,-0.005378658074493471,0.037065595944425954,0.052397903888972835,-0.014693668674466745
1965-07-01,0.004208092257677848,0.005839005620642141,-0.173945352435112,0.016840951823031722,-0.025752628805922037,-0.009389939489510824
1965-08-01,-0.0012297622405884152,0.005080464126711541,-0.05764755371369813,0.008864154510978443,-0.02490622616970717,0.01094665044461781
1965-09-01,-0.0012156011757674212,0.11874679814685474,0.23651723014680961,-0.019725653996218496,-0.11012990083267439,0.09887562888973164
1965-10-01,-0.012055446123786916,-0.4210083863951943,-0.6633291903295016,-0.0872472384527548,0.1390614838742498,-0.1988876681282835
1965-11-01,-0.011475299737476094,-0.046573352407325394,-0.3246883028431943,-0.13956151791472932,-0.4895385966372134,-0.06484688031223584
1965-12-01,-0.01871152426025308,0.12583009221337058,-0.36648962842790705,-0.18131330386916203,-0.24301754449730487,-0.20842325856100838
1966-01-01,0.003290609425623507,0.47260701656341547,-1.09576951516302,-0.4207032829967897,-0.03323140206621654,-0.4942365412442189
1966-02-01,0.02531224651109353,0.18764990297230805,-1.044840091153195,-0.437889214771897,-0.16216614575528385,0.057225800910086
1966-03-01,0.0043392587041204455,-0.2545587041161277,-0.4827077451505159,0.059313510558498435,0.001931144619610772,0.004382283022662379
1966-04-01,0.017776694190079254,0.1846598901531913,-0.22153656341527636,-0.1394350359688944,-0.07344435400037623,-0.16002915096732803
1966-05-01,0.01302788781617539,-0.06864656778899106,-0.38275287339561864,-0.04644371402352603,0.04640703937455789,-0.10096109560075796
1966-06-01,0.007718975785830597,0.09973427788777785,0.04120219596906712,0.04157019751285439,0.043338476054704006,0.001147215887201282
1966-07-01,0.0029856209000964917,0.041821710765361786,-0.05901479407360679,0.01807522668100115,-0.04014499318688663,-0.005579404620770013
1966-08-01,0.0014012330227831952,0.05805216052315451,-0.05913217993159043,0.003037710131993934,-0.027968320272751708,-0.02361305479733449
1966-09-01,-0.007757246742095229,-0.032296681945974175,-0.511518552115089,-0.0656496010609527,0.11255204010365613,-0.014281151640527652
1966-10-01,-0.005893648632785549,-0.11685208840803665,-0.15020809675517835,-0.04911172523427365,0.08911589410767626,0.11876523494720459
1966-11-01,-0.008438562895863125,0.0013022334314882755,-0.42655644448179947,-0.16724004674313672,-0.18680133481523883,-0.10363555179451996
1966-12-01,0.00521945440573845,0.22423687306317414,-0.7953316757553502,-0.08551569572135582,0.11699753465937145,-0.250357670604058
1967-01-01,-0.0023992409766496817,0.4340538924390619,-1.087207621649692,-0.41617172867504515,0.03388310546305642,-0.38331229731721694
1967-02-01,0.005173601391838818,0.4403794082728299,-1.0481457961233038,-0.3604155645441653,0.10593042000016169,-0.4267722930548326
1967-03-01,-0.008073842933529496,0.15924417159774085,-0.3861841010419946,-0.12470187980737259,-0.21294960335119445,-0.09932251611970505
1967-04-01,-0.015024921109284503,0.23165491494265467,-0.0487969992192168,0.05577330602638757,-0.20183789641109864,0.1255381500945901
1967-05-01,0.0016699260113112414,-0.038397769359025086,-0.1940247455709859,-0.03969058561236111,0.0005255034540904991,-0.03199427265603587
1967-06-01,-0.0029585989163217947,0.06316520951010964,0.03261466902729712,-0.040694554127863984,0.04418824257245704,0.004725435854129071
1967-07-01,0.0068108084768535955,-0.10282389819622038,-0.04940188832973179,0.01932508937680899,-0.028494570348689803,-0.008634685204838807
1967-08-01,0.0013115998830423256,-0.040602839805863114,-0.10217383111778058,0.007044733154462344,0.0068099814842441184,-0.0023132952299179895
1967-09-01,-0.011518442003828724,0.045397996225140305,-0.2309156679793408,-0.03333124540635009,0.16432466791636907,-0.0030832433247200723
1967-10-01,-0.012293518489916415,-0.047628242861140854,-0.33679330035259847,-0.13740897845866074,0.1720295468373085,0.12880562330191989
1967-11-01,-0.017559237399643407,0.5179488117044622,-0.8845590447124682,-0.2072008910463817,-0.020385315335953412,-0.22120713344160114
1967-12-01,-0.01985530842388846,0.209297239780426,-0.9700977488567954,-0.5379469537023288,-0.18150744153492485,-0.19171580953418083
1968-01-01,0.00893732450516304,-0.0005788756640289317,-0.26359446346759796,-0.07599111813217846,-0.09833235126822741,0.06865977819235819
1968-02-01,0.007804690399713104,0.15267071398821744,-0.9820051099124708,-0.08525687144763433,0.2566783063447297,-0.519331952310958
1968-03-01,-3.135175611452094e-05,-0.16037270426750183,-0.4258032692106147,0.005511717815230141,-0.08435420580764315,-0.13942576523097056
1968-04-01,0.0014325707867956347,0.12310338291254909,0.12435356253071835,-0.09060999128355908,-0.14319978098371136,0.022047905708259007
1968-05-01,0.006338897596904285,-0.09211334992538799,-0.20432666336235247,0.01983489813422089,0.0228928137959829,-0.051172675108009914
1968-06-01,0.009433817357948245,0.09413207119161432,-0.06661900368176009,0.015707120799751423,0.06819545333065204,-0.007722382697294343
