,ssta20_cluster1,ssta20_cluster2,ssta20_cluster3,ssta20_cluster4,ssta20_cluster5,ssta20_cluster6
1965-01-01,-24.06130366855197,-4.757239507592242,-7.868639628092448,-13.314435101937558,-3.650106143951416,0.03549376768725259
1965-02-01,-26.138247383965385,-3.2776176929473877,-8.822716606987848,-14.664866958839307,-4.519770622253418,-0.0853570068583769
1965-03-01,-26.366286807590058,-1.1101134445356287,-9.609150224261814,-15.282477503237518,-5.049017143249512,-0.13161898911500178
1965-04-01,-26.628566671300817,-0.31956894242245215,-9.356147713131374,-15.158784562262937,-4.951202392578125,0.07690922552797975
1965-05-01,-24.761102817676683,0.20607509042905725,-8.289776908026802,-13.87655838676121,-3.960760307312012,0.7064434551015621
1965-06-01,-21.02463510301378,0.5691975355148315,-5.894973542955187,-11.137626482092816,-2.0626832962036135,1.374759343491883
1965-07-01,-14.391743695294414,0.2225181168836096,-3.7298222382863364,-7.394371861996858,-0.026762306690216064,2.05908047050989
1965-08-01,-11.13511014867712,-1.620888450871343,-2.004258500205146,-5.025782101396202,1.2387845039367675,2.315274006178399
1965-09-01,-12.199693255954317,-2.14572769144307,-1.91828277375963,-5.811724455460259,1.6721689224243164,2.289140775424092
1965-10-01,-16.367053985595703,-1.2814682462941045,-3.0377238988876343,-7.741619884103969,0.7922972440719604,2.1392367968038353
1965-11-01,-20.20152409871419,-2.2889238336811895,-5.025921596421136,-10.129473865896033,-0.8026615254580974,1.609456413934211
1965-12-01,-23.580835483692308,-2.6554260564887002,-6.801900598737929,-12.435465273649797,-2.566680335998535,1.2002210782355622
1966-01-01,-26.077775601987483,-1.8491840880850086,-8.555786477194893,-14.350305087324504,-4.2992551803588865,0.8033726020019596
1966-02-01,-27.75224756311487,-1.1893195950466653,-9.677054484685263,-15.78185316445171,-5.4180419921875,0.3099859762592476
1966-03-01,-28.23784969471119,-1.4626401921977168,-10.04965172873603,-16.38241781704668,-5.343296051025391,0.2175558765395349
1966-04-01,-27.549620027895326,-2.363546257433684,-9.73841084374322,-15.749082703521287,-5.067375946044922,0.2930831007596825
1966-05-01,-25.611483609234842,-3.601100911264834,-8.230135838190716,-14.388765805009484,-3.215323066711426,0.9375308241162982
1966-06-01,-22.309992048475475,-2.5612113268479058,-5.973823865254721,-11.763160816137342,-1.532369327545166,1.4365244813326026
1966-07-01,-16.433318456013996,-2.073854467143183,-3.641248080465529,-8.090596959210824,-0.04429657459259033,2.2063192199258244
1966-08-01,-12.072963184780544,-4.314497501953788,-2.4390262034204273,-6.000289364137512,1.475756549835205,2.0544001034327914
1966-09-01,-12.27498584323459,-4.429992903833804,-1.993139253722297,-5.623177860094154,1.7344673156738282,1.9875966200307638
1966-10-01,-15.946665516606082,-5.037747258725373,-3.0753493309020996,-7.394115475640781,0.7941713571548462,1.5899336889010518
1966-11-01,-19.86828909979926,-5.8205221010291055,-4.925643073187934,-9.97639738995096,-0.7562625050544739,0.9920083174184591
1966-12-01,-23.20953121891728,-5.8693403783051865,-6.431551774342855,-12.141935376153477,-2.5599778175354,0.3896153790234518
1967-01-01,-25.443105344419124,-4.670386729033097,-7.638097471661038,-13.69827519292417,-3.7416147232055663,-0.1870189668188075
1967-02-01,-26.654743265222617,-2.99848110779472,-8.524956968095568,-14.631470389988113,-4.245061302185059,-0.35586423795042216
1967-03-01,-26.804657335634584,-2.4901042813840117,-9.124124712414211,-15.081729059634002,-4.290429878234863,-0.17777509799524516
1967-04-01,-27.407038653338397,-2.5909877341726553,-9.51843327946133,-15.913924618043762,-4.613123512268066,0.14006908701247528
1967-05-01,-25.43441984388563,-2.953227706577467,-8.513417508867052,-14.697777015575465,-3.5203483581542967,0.7563118329819511
1967-06-01,-20.895634757147892,-2.866897893988568,-5.542102124955919,-11.451556717140088,-1.377887201309204,1.3493890021027637
1967-07-01,-14.834642410278319,-4.00866088659867,-3.347034255663554,-7.890444907589235,0.6284005761146545,2.1044159636777993
1967-08-01,-9.213097007186324,-5.5313535358594805,-1.662114097012414,-4.581329096918521,2.258541202545166,2.0747373084060285
1967-09-01,-10.603623036985043,-6.274589248325514,-0.997892932759391,-4.1065941686215615,2.278720664978027,1.7600532339400605
1967-10-01,-14.685598126164187,-6.638873141744862,-1.6317557957437303,-5.684286269588747,1.1128561973571778,1.2012350333838904
1967-11-01,-18.34744170860008,-5.82823079565297,-3.68931425942315,-8.253297252931457,-0.5646358519792557,1.00206046545205
1967-12-01,-22.02626687509042,-6.4291078111399775,-6.1076647705501985,-11.151013858076455,-2.267259979248047,0.544425832624195
1968-01-01,-24.48428471883138,-5.9709326080653975,-7.655474874708388,-13.078923156295998,-3.4773473739624023,0.01136426571287027
1968-02-01,-25.876470848366065,-3.568943687107252,-8.611777093675402,-14.364268814308057,-3.801690101623535,-0.18592867843744135
1968-03-01,-26.70758212054217,-3.974265896755716,-8.983682261572945,-15.038381106611613,-4.293042850494385,-0.5881771226139629
1968-04-01,-26.9241315347177,-3.1835791857346245,-8.864188194274902,-15.096345155135445,-4.191088771820068,-0.23518804492068893
1968-05-01,-25.234670992250795,-3.82881734682166,-7.528073257870145,-13.770754440971045,-2.847001838684082,0.5409637982604885
1968-06-01,-21.552163583260995,-3.7188081637672754,-4.721721675660875,-10.37438434103261,-1.1004001140594482,0.902932757089118
1968-07-01,-16.11016061570909,-3.669105923694113,-2.946161561542087,-7.326294719309047,0.47430219650268557,1.5326580330103385
1968-08-01,-10.981286896599663,-2.692823565524557,-1.4465732706917658,-4.674941906030628,1.5691405296325684,1.926811953552631
1968-09-01,-11.504516778168854,-3.507598068403161,-1.1059270964728463,-4.742660729781441,1.668265438079834,1.7857976821290344
1968-10-01,-15.885134096498842,-3.631093709365181,-2.7109371291266546,-7.417691272238027,0.7722061157226563,1.6386545004964876
1968-11-01,-20.693814312970197,-3.7419873735179072,-4.167037208875021,-10.15008014181386,-0.7271435976028442,1.328294667877069
1968-12-01,-24.443548697012442,-3.353321033975352,-6.998514466815525,-13.107067605723506,-2.9477184295654295,0.9801471903294074
1969-01-01,-26.528361991599752,-2.4763659290645434,-8.8215880923801,-14.650093299755152,-4.22715425491333,0.7618943182360225
1969-02-01,-28.033805776525426,-2.3381738559059473,-9.753491481145224,-15.738893591839336,-4.881659030914307,0.47993837785320126
1969-03-01,-29.206689198811848,-0.6945522583049276,-10.286051034927368,-16.73103553661402,-5.839191436767578,0.006786915434508765
1969-04-01,-29.073715209960934,-0.9602384722751119,-10.028270218107435,-16.4815170177515,-5.456952095031738,0.1482539442406983
1969-05-01,-27.146915153220846,-1.11469989237578,-8.54062835375468,-14.81677760248599,-4.311681747436523,0.8029954147939923
