,vws_v500-250_cluster1,vws_v500-250_cluster2,vws_v500-250_cluster3,vws_v500-250_cluster4,vws_v500-250_cluster5,vws_v500-250_cluster6
1965-01-01,-8.31462287902832,4.621277809143066,-6.865689277648926,-8.768655776977539,0.4878833293914795,4.142961502075195
1965-02-01,2.404829978942871,6.591944694519043,-14.623255729675293,-8.61927318572998,-7.016542911529541,-1.6446747779846191
1965-03-01,-0.9941635131835938,-2.4784183502197266,-13.135322570800781,0.24798893928527832,6.343219757080078,0.28110361099243164
1965-04-01,-1.5048589706420898,2.423227548599243,-3.3791258335113525,-2.9596784114837646,0.9500112533569336,3.2474045753479004
1965-05-01,-1.8661723136901855,-1.7719800472259521,-1.8176045417785645,-0.5202618837356567,3.2503480911254883,1.9802323579788208
1965-06-01,2.8338446617126465,-7.499275207519531,-6.530867576599121,-2.6675374507904053,0.17366600036621094,1.6380517482757568
1965-07-01,0.06034135818481445,-4.5395965576171875,-1.9441750049591064,-3.559414863586426,-3.893500566482544,1.5600494146347046
1965-08-01,5.843563079833984,-4.1606221199035645,0.01398158073425293,-1.8757386207580566,0.8455173969268799,-0.5754523277282715
1965-09-01,1.184018611907959,-1.9736098051071167,-3.1097965240478516,-1.121469497680664,4.007560729980469,0.5209976434707642
1965-10-01,-1.3709306716918945,-0.5614707469940186,-3.875840425491333,-2.047196865081787,1.7521121501922607,1.8065667152404785
1965-11-01,-3.0840415954589844,2.1075384616851807,-0.4488821029663086,-2.866223096847534,1.3885908126831055,1.7410739660263062
1965-12-01,-3.005303144454956,-2.869166374206543,-1.2230198383331299,-2.5961575508117676,2.4467759132385254,-0.010302305221557617
1966-01-01,-4.813066482543945,0.3341805934906006,-10.179483413696289,-2.773263692855835,0.5034406185150146,2.470186710357666
1966-02-01,-1.0394314527511597,3.456814765930176,1.6991121768951416,-6.206208229064941,-6.902779579162598,1.6716258525848389
1966-03-01,-2.683570384979248,2.9540977478027344,-2.60545015335083,-1.9956791400909424,-1.7280454635620117,1.1689083576202393
1966-04-01,2.5417966842651367,-0.6553407907485962,-2.2951395511627197,-2.565666675567627,0.3276705741882324,3.2651312351226807
1966-05-01,-3.314316749572754,-5.399690628051758,1.0806615352630615,1.622438907623291,7.409113883972168,3.1638641357421875
1966-06-01,-1.1139342784881592,0.08824682235717773,-3.838735342025757,-3.0184741020202637,0.24014687538146973,-0.3826439380645752
1966-07-01,1.931302785873413,-1.965299367904663,-3.5566346645355225,-0.4846341609954834,0.2575070858001709,-0.37613391876220703
1966-08-01,3.5797815322875977,-3.3989479541778564,2.104902744293213,0.10777711868286133,1.9421526193618774,0.19747018814086914
1966-09-01,0.5128440856933594,-3.979062080383301,-2.9063572883605957,0.8506412506103516,2.699483633041382,0.533097505569458
1966-10-01,0.7934978008270264,-1.6803057193756104,1.273791790008545,-0.775414228439331,4.7573699951171875,0.9179112911224365
1966-11-01,-1.2672820091247559,6.140384674072266,0.04918670654296875,-5.448877334594727,4.080328941345215,1.8199090957641602
1966-12-01,-2.228593111038208,5.887941360473633,-6.6329755783081055,-5.898791313171387,-0.5931341648101807,4.731329917907715
1967-01-01,-0.37302303314208984,1.6502938270568848,-10.96337890625,-4.338057518005371,-1.5362217426300049,-1.1248973608016968
1967-02-01,-3.466282367706299,9.154882431030273,-11.969207763671875,-3.757706642150879,4.754376411437988,2.751044273376465
1967-03-01,-1.5228996276855469,0.30391380190849304,-3.7535433769226074,0.21232342720031738,-1.249793529510498,-1.8567883968353271
1967-04-01,1.5453805923461914,1.9791865348815918,-3.5029187202453613,-4.417990207672119,-0.823481559753418,2.8767731189727783
1967-05-01,-1.9475462436676025,-1.0482943058013916,-2.474607467651367,-2.8109943866729736,4.412995338439941,-1.0632820129394531
1967-06-01,2.124898672103882,-3.1323935985565186,-3.4587886333465576,-0.03080761432647705,3.21482515335083,0.1582016944885254
1967-07-01,4.8010053634643555,-2.0641160011291504,-3.477106809616089,-0.0308077335357666,-0.3838472366333008,-1.8967549800872803
1967-08-01,2.03497314453125,-2.994175434112549,-3.7726941108703613,-0.9375531673431396,1.0199847221374512,-2.0791032314300537
1967-09-01,0.32639503479003906,-5.16819953918457,-6.395511627197266,-0.8168204426765442,1.6186530590057373,0.3805167078971863
1967-10-01,-0.08992528915405273,-0.7651967406272888,-4.350546836853027,2.3980045318603516,4.099922180175781,1.6511262655258179
1967-11-01,-1.4762718677520752,3.433809757232666,-5.88260555267334,-2.1090784072875977,2.527064085006714,0.8934232592582703
1967-12-01,-3.1565401554107666,3.9317286014556885,-7.584522247314453,-7.621991157531738,1.6777706146240234,7.398843765258789
