,w_cluster1,w_cluster2,w_cluster3,w_cluster4,w_cluster5,w_cluster6
1965-01-01,0.01901573,0.018753052,-0.0040981174,0.022010028,-0.2882933,0.27405596
1965-02-01,0.02946949,0.022798002,-0.0060943365,-0.0031525493,-0.18281013,0.050166905
1965-03-01,0.026895463,0.026475191,-0.0133962035,0.00961262,-0.27883762,0.1491887
1965-04-01,0.025161922,0.03220111,-0.015444934,-0.071653545,-0.2646016,0.018542945
1965-05-01,0.01365751,0.031203032,0.0086144805,-0.042761266,-0.3063116,-0.067661166
1965-06-01,-0.13500649,0.02815622,0.031360626,-0.06403649,-0.3445019,-0.11147243
1965-07-01,-0.056419432,0.02815622,0.021694839,-0.047016323,-0.48013812,-0.09644842
1965-08-01,-0.09513515,0.032884,-0.014709473,-0.042656183,-0.35285443,-0.07758963
1965-09-01,-0.08888388,0.027053058,-0.025688529,-0.049380243,-0.23066628,0.01870054
1965-10-01,-0.09981042,0.022430241,0.027525842,-0.07711685,-0.22178847,0.0051473975
1965-11-01,0.011713862,0.025266945,0.024689138,-0.057627678,-0.24653077,0.16069305
1965-12-01,0.02742076,0.024846733,-0.08294785,-0.07990098,-0.2909199,0.11525333
1966-01-01,0.020092309,0.026019216,-0.014147043,-0.054586887,-0.27105623,0.14487678
1966-02-01,0.025152981,0.027751744,-0.041365266,-0.082853734,-0.22637641,0.11100215
1966-03-01,-0.0010166168,0.035730243,0.0047734976,-0.1264394,-0.2561022,0.19128913
1966-04-01,0.00983417,0.030715168,-0.009451091,-0.024177253,-0.3844428,0.066003144
1966-05-01,-0.04150206,0.02478826,0.020365834,-0.051395476,-0.25126946,-0.046836317
1966-06-01,-0.06853795,0.020092309,0.028982699,-0.0550884,-0.23285043,-0.07669884
1966-07-01,-0.0335235,0.03518319,0.02688545,-0.15169722,-0.3637442,-0.08066535
1966-08-01,-0.047064245,0.021277726,0.0121593475,-0.024405181,-0.24219674,-0.13200158
1966-09-01,-0.05964756,0.014210999,0.022645473,-0.034253,-0.21698451,0.011293113
1966-10-01,-0.06229186,0.028891504,0.03595823,-0.01665461,-0.18301868,0.05150497
1966-11-01,0.019818783,0.023192525,0.03997028,0.0030866265,-0.21092081,0.11341852
1966-12-01,0.025472105,0.02989453,-0.007490635,-0.06926739,-0.2556463,0.14610776
1967-01-01,0.015291452,0.028997779,0.011995673,0.01717478,-0.44256103,0.32718778
1967-02-01,0.029520929,0.042913318,-0.015835404,0.02831769,-0.18051994,0.41863275
1967-03-01,0.036897182,0.0246557,-0.0063142776,-0.03268051,-0.27374363,0.32807714
1967-04-01,0.008176804,0.026120484,0.018325686,-0.025984287,-0.34834337,0.25515133
1967-05-01,0.022877038,0.027899146,0.012518883,-0.05998838,-0.27238345,0.011524916
1967-06-01,-0.12810135,0.031404197,0.021569192,-0.04591596,-0.36754262,-0.063388824
1967-07-01,-0.049996495,0.03129959,0.025597334,-0.0871917,-0.3499651,-0.09472489
1967-08-01,-0.04989183,0.023190916,0.006973505,-0.052245975,-0.34447217,-0.14269698
1967-09-01,-0.074531674,0.026120484,0.021830738,-0.03785956,-0.245651,-0.058523655
1967-10-01,-0.04643905,0.034281492,-0.013324261,-0.024781108,-0.24486625,0.15763801
1967-11-01,0.019685864,0.0246557,0.022301555,-0.012487292,-0.2481097,0.110450745
1967-12-01,0.023295522,0.022458494,-0.05214131,-0.04120767,-0.30303943,0.15408063
1968-01-01,0.0119333565,0.0144254565,-0.009863257,0.016024858,-0.34585094,0.12746283
1968-02-01,0.022459716,0.024840206,0.0090321,0.011672974,-0.25260162,0.16986579
1968-03-01,0.02431947,0.032279342,-0.06234622,-0.024555504,-0.32662082,0.08346045
1968-04-01,0.023910344,0.026848793,-0.02462989,0.000551492,-0.2142902,0.067875504
1968-05-01,-0.07049203,0.028262228,0.044739872,-0.011611462,-0.16534078,0.04619047
1968-06-01,-0.098425925,0.029601246,0.028262228,-0.020389616,-0.2504815,-0.07923305
1968-07-01,-0.051894248,0.03406474,0.017884642,-0.06346208,-0.35436875,-0.10753888
1968-08-01,-0.056952894,0.024579853,0.01208213,-0.07313293,-0.28633803,0.02115786
1968-09-01,-0.0853703,0.027183533,-0.00525102,-0.038057506,-0.21135175,0.023575574
1968-10-01,-0.06282979,0.022608489,0.035738528,-0.042818546,-0.2746958,0.059134543
1968-11-01,0.017587095,0.025137782,0.008065015,-0.05803156,-0.21466213,0.27241403
1968-12-01,0.019260883,0.016434014,-0.019459724,-0.085853815,-0.24162894,0.3334148
1969-01-01,0.03649479,0.02676773,0.026309371,-0.16930169,-0.19720966,0.31700134
1969-02-01,0.025749207,0.023610234,-0.0070478916,-0.08328575,-0.23031229,0.16640985
1969-03-01,0.02768439,0.029161274,-0.014024913,-0.06250751,-0.32967108,0.081056
1969-04-01,0.03206414,0.03506887,0.001406014,-0.10370749,-0.31831437,0.07250029
1969-05-01,-0.038826406,0.03272617,-0.033682764,-0.11017531,-0.26616496,-0.09581381
1969-06-01,-0.079058826,0.031453013,0.029721498,-0.11042994,-0.3017121,-0.03546518
1969-07-01,-0.08308208,0.038379073,0.024832487,-0.07330406,-0.41288596,-0.13752311
1969-08-01,-0.112568796,0.03741151,0.02513808,-0.031900287,-0.30991143,-0.06062317
1969-09-01,-0.096119404,0.0357818,0.026105642,-0.017946303,-0.3450002,-0.03867364
1969-10-01,-0.055479586,0.024170458,-0.007404387,-0.0038394928,-0.21921021,0.14013147
1969-11-01,0.027480721,0.028702974,-0.03011787,-0.03083086,-0.21055263,0.13661748
