,r300_cluster1,r300_cluster2,r300_cluster3,r300_cluster4,r300_cluster5,r300_cluster6
1972-02-01,28.1037,55.667103,48.75797,53.084507,34.195312,35.896996
1972-03-01,29.20565,57.201385,55.038113,43.466003,14.894917,33.92714
1972-04-01,35.711716,60.442226,46.908382,35.783226,37.04933,30.657042
1972-05-01,54.48714,60.635635,31.437183,39.49703,55.112877,16.279667
1972-06-01,67.153076,50.323128,41.19059,36.122913,54.59441,11.946629
1972-07-01,68.690605,47.134296,33.257515,48.327267,47.197685,31.796373
1972-08-01,71.923325,44.823128,17.303604,46.550816,37.629562,30.447378
1972-09-01,68.48744,54.329487,34.61789,35.16886,46.00634,17.987854
1972-10-01,55.25428,59.637703,34.613014,32.345726,43.594402,21.332714
1972-11-01,39.58642,51.16178,29.979292,59.658833,33.446053,11.746716
1972-12-01,32.184822,63.928486,42.11213,49.674637,29.850893,33.58745
1973-01-01,24.260252,55.93243,36.398026,52.641388,18.190544,38.5707
1973-02-01,19.243217,55.648323,26.027298,48.3765,13.666183,36.294563
1973-03-01,15.0588,63.28472,42.998173,59.271095,13.951931,54.81735
1973-04-01,36.964596,57.01138,28.82567,41.60884,32.706276,19.61765
1973-05-01,39.5659,53.050304,36.40952,48.42905,53.124203,27.873173
1973-06-01,60.43544,48.897087,25.109287,44.717594,44.426918,14.066887
1973-07-01,73.68829,50.058147,19.813076,44.00979,38.72343,26.206303
1973-08-01,64.74139,37.123894,21.0349,51.91716,47.977436,13.846828
1973-09-01,62.838036,52.331005,22.333908,46.635727,39.47886,19.000168
1973-10-01,54.094765,49.453804,32.801525,34.16951,50.900616,16.907959
1973-11-01,35.59661,60.594738,49.88243,33.087273,60.836147,32.525627
1973-12-01,44.83748,50.453926,39.894344,40.129185,22.90705,36.585236
1974-01-01,36.944572,62.42216,53.86518,45.605663,19.934723,28.949465
1974-02-01,23.279514,51.9449,55.94741,40.819836,28.027332,31.135807
1974-03-01,30.39711,66.55027,59.145126,49.13554,37.67666,31.745604
1974-04-01,28.924675,58.348587,48.254723,37.777466,57.837948,37.74937
1974-05-01,41.307343,61.94622,39.58702,47.763912,49.152065,20.030571
1974-06-01,68.87543,59.15008,39.51431,43.374702,50.48403,18.054104
1974-07-01,59.60784,41.021446,24.233044,56.80344,38.988792,30.79042
1974-08-01,64.23337,54.722862,28.387592,50.44272,46.783943,38.24679
1974-09-01,71.26834,55.241768,19.698406,47.09132,45.222267,26.250826
1974-10-01,46.82195,60.120136,36.366173,40.879326,51.94986,14.244946
1974-11-01,35.625824,54.542732,51.601166,47.732513,52.852158,24.666016
1974-12-01,34.779713,53.932938,37.832,52.062233,15.352161,25.527002
1975-01-01,36.41327,53.400913,38.74765,55.727062,14.62846,28.399332
1975-02-01,22.831718,54.874306,50.396507,43.200752,32.012848,25.070616
1975-03-01,25.602354,60.338203,37.30554,46.193634,43.43123,35.537468
1975-04-01,15.361042,51.31841,35.3251,38.70485,52.539925,29.332754
1975-05-01,47.120472,60.63453,27.615717,49.336323,39.52139,23.086885
1975-06-01,74.3412,46.74513,32.55611,50.50022,34.13651,17.690483
1975-07-01,67.89943,46.294056,12.137684,47.640686,26.16537,31.161737
1975-08-01,67.92906,52.851067,22.769161,51.59827,31.061316,23.643318
1975-09-01,65.981544,43.930042,21.57069,37.04872,37.84386,13.589676
1975-10-01,40.836742,49.881233,34.103584,52.898808,49.10091,18.184357
1975-11-01,52.956425,55.485065,39.84076,26.679,48.444057,23.737154
1975-12-01,24.477966,55.922966,51.196587,39.970814,35.665874,27.979538
1976-01-01,44.284195,53.561947,44.615486,48.55816,19.86224,46.244053
1976-02-01,24.216568,60.52559,50.421253,34.352066,42.77207,35.373814
1976-03-01,25.592567,62.414925,57.80967,56.527153,62.27224,38.976997
1976-04-01,29.09571,57.76539,37.505875,58.034355,61.006123,35.452538
1976-05-01,34.91296,56.41563,36.871178,47.064075,45.670036,18.294353
1976-06-01,73.52297,54.35901,26.894766,31.165451,32.716934,22.205868
1976-07-01,61.988514,46.222733,17.115158,61.127487,28.328167,25.574528
1976-08-01,68.67663,50.988712,25.505646,47.237923,34.032257,33.46808
1976-09-01,64.74052,53.58819,50.706623,41.294388,41.604355,17.539932
1976-10-01,39.442772,58.45585,28.7349,39.739624,51.69557,17.654736
1976-11-01,40.123394,46.545822,36.30536,44.417038,46.14893,17.894184
1976-12-01,21.467846,50.33105,48.810726,60.136898,15.603035,15.486591
1977-01-01,26.981968,46.139786,42.736443,46.264874,6.9128,11.628746
1977-02-01,34.440083,51.43893,39.060184,47.062508,6.8348236,34.555424
1977-03-01,12.400387,49.205235,33.59209,36.73226,15.303383,49.79006
1977-04-01,28.788422,60.451702,30.724834,46.781467,31.390882,33.800026
1977-05-01,43.44473,61.988487,26.44263,39.297363,49.385555,21.507378
1977-06-01,72.61601,51.525032,19.335411,47.619713,28.686077,14.593472
1977-07-01,64.24818,52.558216,32.419197,49.936264,42.863155,26.746414
1977-08-01,65.12704,55.072956,25.976398,59.390896,42.599983,24.897724
1977-09-01,60.85133,63.87454,38.30641,55.88196,41.36211,22.13931
1977-10-01,45.007507,52.119602,39.092674,55.30851,43.651043,26.512486
1977-11-01,35.936256,62.17368,34.076195,50.030483,45.285297,15.032089
1977-12-01,32.85294,50.53733,35.11263,63.972008,12.905609,14.205215
1978-01-01,14.108028,54.310783,44.389984,58.117218,19.877075,17.973068
1978-02-01,21.60367,57.331535,41.07302,53.479168,5.3990135,28.687468
1978-03-01,19.48265,60.17646,33.57579,41.480118,18.193249,27.35371
1978-04-01,26.951366,61.207664,34.85886,44.766987,41.78742,27.260254
1978-05-01,45.5891,49.054962,33.208298,36.804054,48.302547,17.984154
1978-06-01,70.65642,50.933628,40.505936,46.09599,48.088703,19.188023
1978-07-01,68.28354,48.5354,10.447327,57.087593,31.55615,29.221287
1978-08-01,71.05243,62.208775,33.100582,51.321716,41.806427,22.676062
1978-09-01,65.38476,47.719624,30.651669,53.656578,63.705685,12.710911
1978-10-01,42.8313,55.042606,34.903214,47.862186,54.24109,10.894024
1978-11-01,27.790903,58.82211,31.790586,33.875175,49.90559,17.078087
1978-12-01,27.120857,57.73388,47.781403,43.399963,62.28164,24.491364
1979-01-01,28.3047,52.582134,41.65931,48.173203,10.285526,26.727194
1979-02-01,27.769157,52.633907,43.90989,51.925243,60.997124,34.181118
1979-03-01,22.777763,62.043938,33.75074,55.51063,17.1764,34.9998
1979-04-01,19.714973,59.686577,39.620686,54.84727,45.23014,40.47011
1979-05-01,54.392624,55.748474,27.974638,40.326115,34.1164,33.326836
1979-06-01,63.441853,53.361988,40.2258,34.643852,47.443504,22.373274
1979-07-01,67.75209,53.061047,17.111683,52.76011,38.96865,38.209827
1979-08-01,68.23909,60.898426,24.174059,58.136574,45.48254,28.977772
1979-09-01,73.656006,44.7399,21.468838,43.06208,45.252792,30.275372
1979-10-01,50.82665,50.42378,31.704027,23.790604,47.003418,25.89071
1979-11-01,29.154129,53.955776,39.947514,39.242085,34.01932,17.174782
1979-12-01,39.98149,54.976707,55.015537,62.521236,16.482296,19.520817
1980-01-01,39.20124,64.9548,56.73315,54.04421,13.615532,23.04639
1980-02-01,21.682365,53.182117,36.09999,37.516167,11.84898,10.664215
1980-03-01,29.643267,56.30292,47.07903,51.95987,18.66586,33.3263
1980-04-01,35.066784,56.98086,36.085323,43.59481,39.23709,45.038692
1980-05-01,50.69851,60.85294,36.042953,39.96229,42.383972,26.39046
1980-06-01,66.31557,52.478104,27.834341,30.671583,31.458712,12.132538
1980-07-01,68.29887,53.123447,25.153545,49.207367,43.792,34.297585
1980-08-01,67.05869,56.02588,22.022964,56.06173,30.099571,26.605576
1980-09-01,68.42761,49.68486,29.806232,46.425533,50.476875,21.561768
1980-10-01,49.287224,47.40333,41.455063,41.37521,47.54674,24.663017
1980-11-01,24.830872,50.481766,44.396603,42.905464,39.026863,28.455242
1980-12-01,31.773235,67.099434,56.35996,44.773056,16.159435,29.980606
1981-01-01,21.319992,45.975506,47.71005,52.014713,6.9599876,17.72749
1981-02-01,23.26635,52.29324,49.821518,51.200813,6.521347,19.447021
1981-03-01,25.749746,52.051407,40.775215,53.09046,11.351379,30.292912
1981-04-01,20.224232,60.06199,33.42676,45.726997,49.179405,35.75505
1981-05-01,47.68336,70.749435,27.646069,47.34813,45.03485,17.904282
1981-06-01,73.44631,53.689213,27.08401,41.05708,34.339066,18.17947
1981-07-01,66.653244,53.73758,21.05481,54.217915,28.244818,29.270533
1981-08-01,70.84784,54.59818,28.913618,51.285873,36.40217,40.09641
1981-09-01,67.445465,54.279625,22.294006,48.150356,38.054985,28.848572
1981-10-01,60.760807,54.709927,44.94312,31.882353,43.73561,25.60965
1981-11-01,27.95962,61.02766,39.05735,33.763664,50.54869,17.999348
1981-12-01,28.233143,42.109478,47.18802,43.530468,21.136532,36.820793
1982-01-01,29.18976,56.682007,51.391384,41.826767,30.397802,36.333466
1982-02-01,27.35437,64.781204,79.67988,48.907738,11.316822,26.389221
1982-03-01,16.990288,57.16458,65.79783,42.635883,41.839634,34.63963
1982-04-01,33.050354,52.601036,62.437508,52.934013,61.829464,47.133472
1982-05-01,52.55278,54.66163,24.877155,49.531868,46.533474,38.80907
1982-06-01,66.211235,53.67235,46.66377,28.087881,43.445,22.306644
1982-07-01,64.13617,44.907196,30.70665,49.654118,26.374744,29.579037
1982-08-01,56.62892,52.866455,38.03695,55.77316,39.632664,27.087345
1982-09-01,68.783356,52.21337,25.649275,49.115246,51.753315,24.21442
1982-10-01,43.69594,53.92651,45.079315,44.445534,49.934013,44.84768
1982-11-01,25.901821,62.883083,37.08306,50.969936,50.247684,29.447132
1982-12-01,37.81497,64.91955,30.023005,49.985485,26.524342,44.929718
1983-01-01,24.81069,51.942753,20.614498,55.635017,7.3748207,67.37251
1983-02-01,21.534367,61.74773,21.764732,40.138065,8.05632,41.126724
1983-03-01,16.14795,63.526672,24.986664,30.47227,13.16758,53.046593
1983-04-01,17.056614,55.431847,18.774765,24.88428,18.235645,49.589493
1983-05-01,34.58207,64.7057,27.519096,48.939987,24.7451,51.12847
1983-06-01,60.821465,49.96864,23.622063,32.19362,31.872065,34.57727
1983-07-01,75.18738,49.082367,22.913366,51.920357,29.624392,33.329453
1983-08-01,70.80562,47.68417,31.147371,62.55081,35.866684,34.060547
1983-09-01,77.739006,42.424133,17.733318,53.105785,37.509647,31.513718
1983-10-01,52.950607,63.200317,40.570004,44.566223,49.84546,22.486227
1983-11-01,51.28845,60.943047,33.738995,42.74249,41.033936,19.765022
1983-12-01,42.6481,54.678356,55.086296,46.31477,25.253826,29.405224
1984-01-01,18.214947,53.50944,56.63163,57.348976,10.501408,24.851646
1984-02-01,26.565401,52.49498,43.166176,43.6652,6.14151,37.5226
1984-03-01,27.970549,59.064373,51.841652,48.678425,9.795551,40.437954
1984-04-01,21.123734,55.38571,31.875744,39.16413,24.820457,42.35362
1984-05-01,51.31472,55.663128,37.955963,52.209354,16.470005,44.262714
1984-06-01,60.930794,54.243206,32.19256,49.55008,40.24918,20.895561
1984-07-01,67.437805,45.316578,15.45554,63.222366,27.673433,24.116241
1984-08-01,63.897034,48.20074,25.80209,54.54032,30.170197,29.001429
1984-09-01,69.73595,55.689392,24.347696,49.88331,47.419373,29.525076
1984-10-01,41.202908,66.564514,40.167103,40.073536,59.589664,20.92183
1984-11-01,16.62595,54.253056,40.521675,38.592876,54.25798,20.261932
1984-12-01,21.706478,66.71718,47.453846,41.39004,52.158466,24.311583
1985-01-01,18.527798,54.474236,65.49556,47.224575,9.906624,20.694984
1985-02-01,23.182083,58.534637,39.64516,48.069466,38.117794,28.925703
1985-03-01,19.820564,64.41114,49.119427,40.83293,43.372528,33.338825
