,sst_cluster1,sst_cluster2,sst_cluster3,sst_cluster4,sst_cluster5,sst_cluster6
1965-01-01,25.047369356508607,52.892054682192594,28.962861167060005,25.118438057277515,38.77977294921875,33.46239458613035
1965-02-01,23.53351734302662,55.032721809718915,28.431105613708496,24.208699101987094,38.396636962890625,33.72483133267956
1965-03-01,23.657555050320095,57.61352621990701,27.908741103278267,23.866625799649004,38.17158508300781,33.918224462941915
1965-04-01,24.36195479498969,59.538866126019016,28.886747360229492,24.746845079504926,39.104609680175784,34.78473935808454
1965-05-01,26.064342922634548,59.87071990966797,29.82930077446832,25.89988155641418,39.9524169921875,35.3019137342437
1965-06-01,28.964510670414676,59.252104551895805,31.596888436211483,27.984320599099867,41.12793884277344,35.4009868717995
1965-07-01,34.778061619511355,57.94358460799507,33.14753373463949,31.08635225157807,42.45595092773438,35.527600360517745
1965-08-01,37.83491629141348,55.86566510407821,34.7232739130656,33.29858641693558,43.54889068603516,35.64781621724618
1965-09-01,37.05261724966543,55.672210195790164,35.02095805274116,32.733571702155515,44.226174926757814,35.81382607211586
1965-10-01,33.418810809100115,57.16282388438349,34.301675690544975,31.22124326401863,43.807281494140625,36.027091691473956
1965-11-01,29.953151279025604,56.58830974413001,32.590087254842125,29.12200983019843,42.53097686767578,35.74835993662602
1965-12-01,26.437817679511173,56.06211372043775,30.712093247307674,26.70957040095675,40.64943084716797,35.24652529163521
1966-01-01,24.000379774305554,56.9382211436396,29.00283071729872,24.841303065203242,38.96827087402344,34.89018768823448
1966-02-01,22.648433402732564,57.97670613164487,28.12346352471246,23.662163554758266,38.12814483642578,34.61633089209805
1966-03-01,22.456252133404767,58.047829503598415,27.9709259668986,23.29123123832371,38.456407165527345,34.72362726676364
1966-04-01,23.724151540685583,57.82739805138629,28.71691385904948,24.378220931343414,39.23315582275391,35.19371096827403
1966-05-01,25.358011104442454,56.23265556667162,29.996993806627064,25.500408117321957,40.822323608398435,35.6310475774172
1966-06-01,28.1087734081127,56.626046222189196,31.84024757809109,27.69500898278278,42.029443359375,35.755180711505794
1966-07-01,33.28993055555555,56.2969041907269,33.65117973751492,30.823262532552086,42.91658172607422,36.05156024964918
1966-08-01,36.97459609420211,53.263087894605555,34.34664673275418,32.38476739413497,43.85285339355469,35.439717268743436
1966-09-01,36.72284373530635,53.089212334674336,34.755232599046494,32.722956892372906,44.068600463867185,35.33905894816423
1966-10-01,33.567820654975044,53.0879601188328,34.060517946879074,31.356360946876418,43.57468872070312,35.29307020812475
