,vo1000_cluster1,vo1000_cluster2,vo1000_cluster3,vo1000_cluster4,vo1000_cluster5
1965-01-01,2.6723615947583524e-05,8.015062462618516e-05,-6.137912215366514e-06,5.138050948869374e-06,-4.74483802766675e-05
1965-02-01,6.92430897769929e-05,0.00014415398936762358,-7.064158874250129e-06,4.7575214766725325e-06,0.0019126148496676858
1965-03-01,0.00016261468879426555,-0.00015606990473315818,-8.72420891840754e-06,4.583444715658638e-06,0.0016508393552309524
1965-04-01,0.00019526117231340748,4.484174382923811e-05,-7.478946188596038e-06,1.3221893233925961e-06,0.0013656518907131008
1965-05-01,0.00012086415261043892,-0.000365148434866569,2.5559790841764477e-06,-3.1033127971273346e-06,0.0017184799313933279
1965-06-01,2.8770717322271698e-05,-0.0006086294888518751,6.894320736685438e-06,-7.654511841587714e-06,0.002306623597784589
1965-07-01,-5.817553435061948e-05,-0.0006491465228464222,7.000019179276482e-06,-7.474235601605598e-06,0.0014434344241938866
1965-08-01,4.561444952474524e-06,-0.0006180508535180707,4.911476912800303e-06,-6.17068547210504e-06,0.0002391110077345123
1965-09-01,6.264918363954433e-05,-0.0006305470833467552,2.871439619411831e-06,-6.823122609054186e-06,0.000626652278394128
1965-10-01,4.6377472779782046e-05,-0.00011740620493583265,-6.785373108146518e-07,-3.458913587982769e-06,-7.250740926186458e-06
1965-11-01,-6.637388009146567e-05,4.3092930468446866e-05,-2.566060627341745e-06,5.220020515939272e-07,0.0012141426850575954
1965-12-01,-0.0001079880616196212,9.42940403092507e-05,-3.082388731648325e-06,3.817383908877214e-06,0.0016831904455708961
1966-01-01,-1.4337488477501798e-05,0.00010358079407524201,-4.099068029056896e-06,4.592403468917394e-06,0.00017157643317962842
1966-02-01,7.22435448979548e-05,8.026800628613273e-05,-6.675705785484546e-06,5.274472401582373e-06,0.0013515669706976041
1966-03-01,0.00013899522908853695,5.8085671383878434e-06,-7.469937353310711e-06,4.9533190426208835e-06,0.0015242807421600446
1966-04-01,0.00018293146293966428,-8.235438144765794e-05,-7.139046893755209e-06,1.364914238889993e-06,0.001131165845436044
1966-05-01,0.00011518069881918456,-0.0003611550710047595,1.5151644742643918e-06,-6.090717484717921e-06,0.0017404994044530517
1966-06-01,2.3726432332563595e-05,-0.0005782012067356845,7.328791193460141e-06,-8.47108743591725e-06,0.002298116305610165
1966-07-01,-2.002603543908609e-05,-0.0006587589268747251,8.20439431695796e-06,-7.950938185319033e-06,0.001238124241353944
1966-08-01,1.674776178654557e-05,-0.0006102844508859562,5.643476063770767e-06,-6.302874484193838e-06,0.0008344631472330851
1966-09-01,5.6106653252808266e-05,-0.00048804067773744464,2.1836035114039393e-06,-5.695089491489049e-06,0.0005801719453302212
1966-10-01,1.7801492985574226e-05,-0.0003576885774236871,2.2871243874360775e-07,-3.3184449094520242e-06,0.0008103656606787506
1966-11-01,-9.726154530653729e-05,-0.00045492911340261344,-2.256391610041408e-06,1.342120872896549e-06,0.0005458278489337924
1966-12-01,-8.990027708932757e-05,5.7637402051113895e-05,-3.5338687953847365e-06,5.207787799397854e-06,0.0008484896776887278
1967-01-01,-0.00011318624113782253,0.00016194140926018008,-4.589698533917153e-06,5.573930535147892e-06,0.0011592676552633445
1967-02-01,9.678207039970028e-05,-4.1427384189773875e-05,-6.879424697043315e-06,5.913089930410999e-06,0.001942219629806156
1967-03-01,0.00016257386853206244,2.426483547424141e-05,-8.012198413006388e-06,2.2928743204387056e-06,0.0019454975699773058
1967-04-01,0.0001536947178572197,6.545118935719074e-06,-7.59266850306134e-06,1.5250803847016162e-06,0.0008758637098556695
1967-05-01,0.00010686296317383975,-0.00030847145353618544,4.460165242652957e-07,-2.815058037326052e-06,0.0019920342310797423
1967-06-01,6.448464024716112e-05,-0.0005792803221993381,8.206562591028889e-06,-8.80512731315763e-06,0.003126589096306513
1967-07-01,-2.7899092374889945e-05,-0.0007689006451983005,9.13979510451809e-06,-7.765148082497132e-06,0.0018629389766526099
1967-08-01,-1.4233927793290657e-05,-0.0007460726010322105,8.605969769439283e-06,-7.569239031753412e-06,0.0024727676645852625
1967-09-01,8.016403465744053e-05,-0.00054947913668002,3.3133849857667304e-06,-6.183998175197097e-06,0.0011908642287986975
1967-10-01,-3.2485219742952985e-07,-0.0003447930339461891,-1.578998907984413e-07,-4.124704040982414e-06,0.0010313724487787113
1967-11-01,-1.7299066712439526e-05,1.589062463835944e-05,-4.0641973329705296e-06,1.0189181294491218e-06,0.0010928847283745806
1967-12-01,-9.24828354447313e-05,9.90268176792597e-05,-4.758994965794446e-06,4.8251749646894766e-06,0.0019212297047488391
1968-01-01,-9.829668937634457e-06,0.0002633138365126797,-5.5822394146071665e-06,5.634112685502177e-06,0.0017479032976552844
1968-02-01,0.00013991410763564464,2.3952205197019794e-05,-8.210382468776335e-06,5.134026921311758e-06,0.0008452051285227451
1968-03-01,0.00016318218138835884,-0.00013335162520888844,-6.812055812104596e-06,4.565435248267775e-06,0.00031499612305196933
1968-04-01,0.00015508652294931165,-0.00020380859950819286,-5.590176932862135e-06,1.4762752489930222e-06,0.0006883426976855844
1968-05-01,0.00017184613491682445,-0.00040996783354785293,-3.3417709362520782e-06,-2.9829704016191423e-06,0.0021535488485824317
1968-06-01,3.548630850084865e-05,-0.0005403414434113074,8.4828851423152e-06,-9.413120219628704e-06,0.003026368843469148
1968-07-01,-3.514649453042212e-05,-0.0007116808774298988,9.39232114620312e-06,-8.760908561574372e-06,0.0012193669438905395
1968-08-01,5.400201363205697e-06,-0.000669951259624213,5.734953169881429e-06,-7.12296524225904e-06,0.0017273496875228982
1968-09-01,2.6613682112998928e-05,-0.0004327438091422664,4.056541411368572e-06,-6.403459682022346e-06,0.0013503158697858453
1968-10-01,3.9673991255660756e-05,-0.00029974555673106806,-4.279546690229591e-07,-2.7974328679340177e-06,0.000621489076972163
1968-11-01,-4.31683421244516e-05,-4.646406921438029e-05,-2.286394130918883e-06,1.3976378428966968e-06,-0.0002464400495227892
1968-12-01,-1.3018298512393169e-05,2.8224658876752073e-05,-4.479372039247423e-06,5.578365717299363e-06,0.0002760934269948242
1969-01-01,7.643615497406297e-05,-2.158681695618725e-05,-5.940187099653524e-06,5.2596303288663795e-06,0.00019472752986378813
1969-02-01,0.0001081914995345013,-9.383880410496204e-05,-8.834728972981387e-06,5.538205854676774e-06,0.0011951822671107948
1969-03-01,0.00018854674742803634,8.527006798431103e-05,-8.084577420443224e-06,3.7047961463408146e-06,0.00025122290026047267
1969-04-01,0.0001878736143493477,-9.880574225462624e-05,-7.389260335525677e-06,2.4919943842194713e-06,0.0015277782949851826
1969-05-01,9.300369771046783e-05,-0.0003130841832899023,1.2738694020828516e-06,-3.982195160610367e-06,0.001884389227294984
1969-06-01,2.1255129254046443e-05,-0.00043084341996291187,5.865744797055484e-06,-8.39984030199893e-06,0.0022083520889282227
1969-07-01,-1.4881779594254432e-05,-0.0007310636192414677,8.829552916077574e-06,-8.482962909494728e-06,0.002268947719130665
1969-08-01,1.814447815002709e-05,-0.0007315486982406583,3.5321665970339848e-06,-5.51935022690691e-06,0.0009859630154096521
1969-09-01,7.839172373197096e-05,-0.0005163437435840024,1.8702971200137326e-06,-5.434559254665457e-06,0.0008772645742283203
1969-10-01,2.4511026661938932e-05,-0.00023125112420530058,-2.8637537038356647e-07,-2.6368629610137633e-06,-4.2146480912682215e-05
1969-11-01,-5.806966916733311e-05,-0.00022092583549238043,-2.3541589846945176e-06,1.2343199663568205e-06,0.0017453436157666147
1969-12-01,-0.00011960662103614167,0.00012199542425150867,-3.767630139157628e-06,3.839524983836658e-06,0.0008885839027546657
1970-01-01,7.935178098919362e-06,4.138539679843234e-05,-5.638625183474423e-06,5.333857751873291e-06,0.0009827050841219414
1970-02-01,9.990543570465352e-05,0.00012000808737866464,-7.5080009966433145e-06,3.954075175791225e-06,0.0016122590750455856
1970-03-01,0.00018423527174437528,-0.0001078454033631715,-9.10892936996356e-06,5.84550199156175e-06,0.0012412522967982418
1970-04-01,0.00012744457147645708,-0.00019285025700810365,-6.0069225634595194e-06,1.5643482793432477e-06,0.0010648171155480668
1970-05-01,0.0001069652010782567,-0.00013034565427005873,1.991853908919387e-06,-5.4629470116754065e-06,0.0026962588890455663
1970-06-01,1.489751819944478e-06,-0.0005550412424781825,9.283192747529327e-06,-7.777061387674326e-06,0.0023930755560286343
1970-07-01,-1.5556012091538455e-05,-0.0006558253517141566,8.203231324796757e-06,-7.905399027689012e-06,0.0021807150915265083
1970-08-01,-1.8443007748454177e-05,-0.0005794911885459442,8.00133156389946e-06,-8.312527519969456e-06,0.001847691358610367
1970-09-01,4.08429647958495e-05,-0.0006647776899626479,3.284910222478723e-06,-6.220753053017065e-06,0.0014432035338055964
1970-10-01,-1.9902149888901687e-06,-0.0002819739620463224,2.0877393229489078e-06,-4.281107363707887e-06,0.0018131557832627248
1970-11-01,-0.0001017978908802273,-3.010796376656799e-05,-4.839742211406185e-07,2.681549877043171e-06,0.0009213683976364944
1970-12-01,-6.574498590506504e-05,6.043121061338752e-05,-4.344564495081194e-06,7.495438427286972e-06,0.0018946211639558896
1971-01-01,-4.921609669348553e-05,-0.0002578944076958578,-5.403128946306315e-06,6.655202540813505e-06,0.0011348613043082878
1971-02-01,9.57821077249451e-05,0.0001879370870483399,-7.140385495797658e-06,4.938823932403662e-06,0.0012036517243056248
1971-03-01,0.00012365216046900432,0.00010693048579923925,-6.276125738577643e-06,4.555155820108248e-06,0.00085731935541844
1971-04-01,0.00020554901258198213,-5.884333518224594e-05,-8.578597204074436e-06,1.767710366473218e-06,0.0009775628617110974
1971-05-01,9.544313369962551e-05,-0.000284534849015472,2.36928118857764e-06,-5.019760844030921e-06,0.002243452521118646
1971-06-01,-3.374630336218294e-05,-0.0006087198926252313,8.834936028158173e-06,-8.689457561902944e-06,0.0024762584265166274
1971-07-01,-1.2662941545011777e-05,-0.0006865438535896828,7.794050948532523e-06,-6.583230015576601e-06,0.0019907045498257503
1971-08-01,-2.0715997179115005e-06,-0.0007094710781530011,5.9981380379490445e-06,-5.991206115403009e-06,0.0014032660449932641
1971-09-01,5.5930842576986726e-05,-0.0006289206339715747,9.92616147826903e-07,-3.8155230294586875e-06,0.0003285540212042785
1971-10-01,-2.5948601071778445e-06,-0.00038585526453971397,1.3766703622622898e-06,-3.332504604201801e-06,0.0011009135050699115
1971-11-01,-8.510237688931416e-05,2.151940776684569e-05,-2.461464125669041e-06,3.6074403716476215e-06,0.0003672023012768477
1971-12-01,-0.00010450475041151922,0.0001500037569712731,-2.3383419607234054e-06,5.023241248784108e-06,0.0013351606564053025
1972-01-01,1.6333659486382897e-05,-0.0001241019617737038,-7.027808435121717e-06,5.307214594923353e-06,0.0018680551875149831
1972-02-01,9.816453444620813e-05,-0.000214788451557979,-8.161117366140673e-06,6.306943141516803e-06,0.000888133096547487
1972-03-01,0.00017373027624083024,-4.363406560514704e-05,-1.0109037157880467e-05,5.270834281946991e-06,-6.5390334687739e-05
