,mgu200_cluster1,mgu200_cluster2,mgu200_cluster3,mgu200_cluster4,mgu200_cluster5,mgu200_cluster6
1965-01-01,-6.251522541046143,1.1369332464204893,7.400004407192799,6.24575352264663,-7.378340740593113,-0.4336238238546583
1965-02-01,-8.222233772277832,1.099816153919886,4.908762079604129,6.3066937155642755,-7.765093628241091,2.8216931555006237
1965-03-01,-6.998563289642334,1.3612217432449734,4.6385734639269245,6.715290425187451,-9.926314256629166,-1.229496267106798
1965-04-01,-2.9579434394836426,1.1123824155046826,2.6288986206054688,3.1732915821722,-3.8404082765384597,2.7104610866970487
1965-05-01,-2.974660634994507,0.5135672078246162,6.742486547916494,-0.3025648957591946,5.219699898544623,2.658130062950982
1965-06-01,-3.4621777534484863,0.25318143889307976,7.0482370701242,0.3817516868397341,4.347717032140615,6.939151022169325
1965-07-01,4.236720561981201,0.6502715959435418,5.264923420358212,-1.5525401459407,4.59692721464196,7.793516053093804
1965-08-01,2.27813720703125,0.25244336390483474,2.716578321254,0.1420405456575297,4.6008888556032765,4.972146352132161
1965-09-01,-0.1367686241865158,0.4671864359388276,4.941553765154899,0.316279192092055,6.026564812173649,7.017772462632921
1965-10-01,-3.52189564704895,0.5607356982571738,3.0246171545475087,1.9489999039698456,5.024314899833835,3.144301838344998
1965-11-01,-3.088381767272949,0.5399981661448403,4.7836136310658555,3.3556210792670815,2.178423745291574,3.8915663295321994
1965-12-01,-7.216908931732178,0.7105762050265357,5.652813201254987,4.988556090047804,-3.3629042761666437,5.509811507331
1966-01-01,-6.968973636627197,1.0400224654447465,7.298530923559311,6.804587477344578,-7.962403978620257,1.423720916112264
1966-02-01,-4.466473579406738,1.1915403166933665,2.6567048214851545,6.023485175633835,-4.173973141884317,-0.03150814109378391
1966-03-01,-4.163433074951172,1.0938544003736406,3.834314549222906,4.117175179012752,-2.4269833856699417,2.2377302911546493
1966-04-01,-1.2189974784851074,1.0057357095536732,5.027534099335367,2.9023652359590693,-0.9093529715829967,2.018671168221368
1966-05-01,-1.5043236017227173,0.4722099071220746,3.064498749185116,1.5662891316716954,1.0830903539852221,3.0445991622077093
1966-06-01,-2.7410318851470947,0.5777809473257216,7.30058030879244,-0.06331003318398686,5.115385444796815,4.828181266784668
1966-07-01,6.144905090332031,0.48152121404806775,3.5955271822340946,-1.447912899114318,5.9952322317629445,6.2255859375
1966-08-01,4.73675012588501,0.2803865228853528,0.6393815608734781,0.39471807589722896,4.201556225212253,2.5994351175096297
1966-09-01,3.1173315048217773,0.48974332296186024,3.162908300440362,0.7441390621460091,6.151202746800014,5.0098461574978295
1966-10-01,-5.52286958694458,0.3877292254141399,5.400382204258696,2.9605219424781155,1.8981989549130809,4.8633988698323565
1966-11-01,-6.017162799835205,0.2041537765531786,5.856459191504945,4.011316319643441,-0.6560331704665203,9.193787044949001
1966-12-01,-6.503349304199219,0.6263033501685612,7.845549887799202,5.763922707509186,-4.2656523840768,6.574109925164117
1967-01-01,-9.609414100646973,0.7556498270585306,8.662242077766582,5.768240508386644,-4.123147166505152,8.054177496168348
