,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6
1970-04-01,1020.0065,1016.8186,1009.56885,1020.5935,1017.6838,1014.8773
1970-05-01,1018.8276,1009.2735,1009.09106,1020.96606,1013.37524,1012.21594
1970-06-01,1017.06104,1008.03406,1009.29724,1013.8049,1012.1702,1011.2712
1970-07-01,1015.26,1003.3072,1009.98773,1017.96124,1009.14514,1009.6562
1970-08-01,1016.0248,1005.391,1009.0774,1021.035,1011.7365,1006.31976
1970-09-01,1014.52856,1010.19507,1008.6585,1016.24225,1013.1061,1009.7512
1970-10-01,1015.77936,1018.85315,1007.9568,1020.10034,1017.46686,1010.56415
1970-11-01,1014.57904,1023.1943,1008.1529,1014.68304,1015.23444,1012.74835
1970-12-01,1016.9868,1024.1659,1006.848,1014.20056,1015.17804,1014.17206
1971-01-01,1012.2981,1025.9094,1007.28925,1009.9546,1012.16437,1013.95435
1971-02-01,1013.23126,1022.4165,1007.2176,1005.88513,1015.79865,1014.2488
1971-03-01,1016.943,1021.42584,1007.8767,1015.15295,1014.9444,1012.9746
1971-04-01,1017.19,1014.33514,1007.3136,1018.731,1015.9261,1010.7111
1971-05-01,1017.1132,1010.65796,1008.5519,1016.9359,1013.3643,1010.73663
1971-06-01,1015.6266,1004.4747,1009.55023,1013.8936,1008.10266,1011.5449
1971-07-01,1015.80505,1003.28375,1008.955,1015.6611,1007.76154,1007.89276
1971-08-01,1012.3173,1006.2576,1009.4139,1014.5239,1009.54767,1008.34515
1971-09-01,1014.52325,1010.6804,1008.8821,1017.4146,1011.2032,1008.2684
1971-10-01,1017.8677,1020.6898,1009.0389,1019.95905,1015.3373,1011.43225
1971-11-01,1016.7996,1024.3383,1008.2134,1015.90173,1016.9455,1012.2495
1971-12-01,1019.55334,1025.357,1007.22076,1016.56085,1017.5656,1014.563
1972-01-01,1016.09644,1024.5839,1007.9739,1012.2173,1017.26135,1013.9603
1972-02-01,1014.1866,1022.8552,1007.7314,1007.01276,1012.0111,1012.87726
