,vo500GLB_cluster1,vo500GLB_cluster2,vo500GLB_cluster3,vo500GLB_cluster4,vo500GLB_cluster5,vo500GLB_cluster6,vo500GLB_cluster7,vo500GLB_cluster8,vo500GLB_cluster9,vo500GLB_cluster10,vo500GLB_cluster11,vo500GLB_cluster12
1982-04-01,-1.181128e-05,7.7860095e-06,1.0846124e-06,-2.5849848e-05,6.239534e-06,4.0658706e-06,0.00014655647,5.0796734e-06,-1.947493e-05,6.206683e-07,2.0827429e-07,5.3578882e-05
1982-05-01,-5.058333e-06,1.8104442e-05,3.2926328e-06,-1.5737613e-05,-1.1424658e-05,1.2794873e-05,9.1510505e-05,6.935443e-06,-1.4070851e-05,3.3355973e-06,-1.8880601e-06,3.901623e-05
1982-06-01,-5.651149e-06,2.0140633e-05,-1.3296085e-06,-5.3848125e-06,-7.0945316e-06,9.890933e-06,6.1611965e-05,7.717277e-06,-1.4895639e-05,9.2996197e-07,-7.11171e-06,2.0054718e-05
1982-07-01,-7.2148105e-06,1.7245286e-05,-1.174958e-06,-3.821151e-06,2.4015415e-05,7.210372e-06,4.1378906e-05,7.631359e-06,-6.7422734e-06,-5.806214e-08,-6.7852307e-06,3.5949055e-05
1982-08-01,5.7669968e-06,1.6661063e-05,9.471478e-07,-3.477493e-06,-1.12700145e-05,2.3046086e-06,-2.5239846e-05,7.0729075e-06,-8.22002e-06,9.815121e-07,-5.109883e-06,3.1301035e-05
1982-09-01,2.6912312e-06,1.822472e-05,-2.4293258e-06,-1.0849028e-05,-1.798859e-05,8.189811e-06,5.8467464e-05,1.5485566e-06,-1.023044e-05,2.6053167e-06,-6.467344e-06,3.0493433e-05
1982-10-01,-1.5615806e-06,1.5002897e-05,5.3631084e-08,-7.6014258e-06,5.0968592e-06,6.222348e-06,9.472374e-05,4.6758723e-06,-1.9380423e-05,-2.824534e-06,-7.453855e-07,5.2083957e-05
1982-11-01,-1.0840435e-05,-1.1663724e-06,-3.5462217e-06,-1.6064092e-05,-4.431153e-06,4.1431995e-06,0.00012962255,5.5092532e-06,-8.872972e-06,-3.657915e-06,-1.7505954e-06,4.5537206e-05
1982-12-01,-1.771366e-05,1.0036991e-05,5.174181e-06,-2.6889422e-05,-3.1424206e-06,9.7534685e-06,0.00021763422,1.0509524e-05,-8.477764e-06,-2.0411971e-07,6.067705e-06,6.5332104e-05
1983-01-01,-9.523992e-06,-2.5523914e-06,4.4974404e-06,-1.0393265e-05,1.2199231e-05,8.617812e-06,0.00021473196,7.757226e-06,-1.2314365e-05,-2.7436326e-06,8.617812e-06,4.4536315e-05
