,mpiGLB_cluster1,mpiGLB_cluster2,mpiGLB_cluster3,mpiGLB_cluster4,mpiGLB_cluster5,mpiGLB_cluster6,mpiGLB_cluster7,mpiGLB_cluster8,mpiGLB_cluster9,mpiGLB_cluster10,mpiGLB_cluster11,mpiGLB_cluster12
1980-01-01,7.059253356209367,4.857345590747861,7.165989315629791,8.572289707705538,6.071464204711224,8.829154661420842,6.552632676431375,2.982333416759069,6.525574719515795,4.034374095253054,5.039719653780897,4.939225593955253
1980-02-01,6.461586342365406,5.782054439909386,7.5877572276746035,8.536966780356057,5.130521174483944,8.678374678343555,6.557203308502974,2.36878761641264,5.759489735609831,3.6267973503855435,6.828772150224952,4.194945194147075
1980-03-01,6.934297188095349,5.456740137188122,7.203258745638617,8.860698678009575,4.1418493954091735,8.693116698795011,6.060697077419679,3.6886915684323864,6.090379994813238,3.7378483050293707,8.033476070331714,3.7948366241787377
1980-04-01,6.822838323153376,5.443210943220534,7.8083483981055535,8.661555702043866,3.1463591174064174,8.709629765290266,6.754550729734106,2.6728510966963515,6.016749282287299,3.4756135737278218,7.817433103253948,3.7827790583740875
1980-05-01,7.0156655285926615,5.45005787531307,7.225480238795249,8.577333914462875,3.1722177257737747,8.850032892968944,6.495902624293816,2.587422398567877,5.41145106472489,3.7901353250419287,6.350922473249451,3.2149185617639864
1980-06-01,7.947487161675909,4.8746562473603,6.632102057259523,8.050038008780568,4.88877278892388,8.831100363299171,5.893610332849494,0.0,6.504171469551413,3.6256037438859385,4.794953197466784,3.078572911633225
1980-07-01,8.059406282527764,4.9057171157056425,6.136832697072758,7.330188497199623,6.216659436604965,8.720386120357432,5.249858035552634,0.0,6.798914841310204,4.225676483560766,2.7830705660125292,2.949692645663219
1980-08-01,8.218038451165047,4.709319470392543,5.613717305518414,6.696594466736642,7.037648730179204,8.395511815036663,4.7075275650525885,0.0,7.613318343854123,3.6594183667606237,2.6243140935465785,2.894214384345056
1980-09-01,8.371047130141404,3.877898111569323,5.6384240683777245,6.843226420372046,6.908663732066637,8.482605161369317,4.535212875620763,0.0,8.177467279538064,3.4371760166164074,2.6186152553879203,4.89764164555103
1980-10-01,8.404070667442658,3.8753381097111608,6.266350753793467,7.511272035365921,5.965220488805806,8.790680585655604,4.857705589332365,0.0,7.6983973046146374,3.381684680085126,2.537757070974456,4.484651876338682
