,abs_vo1000GLB_cluster1,abs_vo1000GLB_cluster2,abs_vo1000GLB_cluster3,abs_vo1000GLB_cluster4,abs_vo1000GLB_cluster5,abs_vo1000GLB_cluster6,abs_vo1000GLB_cluster7,abs_vo1000GLB_cluster8,abs_vo1000GLB_cluster9,abs_vo1000GLB_cluster10,abs_vo1000GLB_cluster11,abs_vo1000GLB_cluster12
1965-01-01,-0.00010721464804657622,7.312435832416873e-05,-1.2602763084738165e-05,3.046043181581428e-05,0.0001025901859497188,-6.144099008349069e-05,9.910189697899392e-06,-7.830286307984756e-05,-3.9525819767161514e-05,5.194944314452471e-05,0.00024460659124483556,0.001466124831495108
1965-02-01,-0.00010442789594313448,7.525282475776826e-05,-1.3288204599218763e-05,2.9608978466075902e-05,0.00010130781549993169,-5.994083314259835e-05,1.0021887800118402e-05,-7.78584815432421e-05,-3.934162569017716e-05,5.1640004581880204e-05,0.0002530712188909883,0.0005017034254706232
1965-03-01,-0.00010545484589628604,7.438178553933366e-05,-1.3549495975245046e-05,2.990681752174281e-05,0.0001052292013959522,-6.123665030518512e-05,1.0496562696504484e-05,-7.747226077804549e-05,-3.8825459627083086e-05,5.233940739608512e-05,0.0002516370643760361,0.001360073838441167
1965-04-01,-0.00010585962871384875,7.397159634186237e-05,-1.5705997509823514e-05,3.112153712662819e-05,0.0001045494544496891,-5.8973174023810986e-05,1.099529533127458e-05,-7.888860353786085e-05,-3.8036777564854016e-05,5.476491521103734e-05,0.0002615088622247719,-0.0025561588699929416
1965-05-01,-0.00010797193326430805,7.202512964110386e-05,-1.595461600332508e-05,3.42672634514164e-05,0.00010496545305635186,-5.795363870005668e-05,1.0140179911759987e-05,-7.754469374453442e-05,-3.86208611256306e-05,5.718161550706842e-05,0.0002657129105342471,-0.003718730658874847
1965-06-01,-0.00010577710870676107,7.1605714781359e-05,-1.6159054594984474e-05,3.820626963808683e-05,0.00010439015367722025,-5.8222124281664434e-05,6.612526204674862e-06,-7.887162630342775e-05,-3.870914345801187e-05,5.91372144861744e-05,0.0002676184205642051,-0.003566926170606166
1965-07-01,-0.00010734925858631004,7.015535421089927e-05,-1.6132467171950885e-05,4.156906429501177e-05,0.00010207701402556747,-5.686240636453665e-05,5.103348925032306e-06,-7.826998060206986e-05,-3.817688183534854e-05,6.135181950530542e-05,0.00028060913673075646,-0.004067970439791679
1965-08-01,-0.00010873532318794056,7.152969677311678e-05,-1.6361680857155758e-05,4.2181239639612903e-05,0.00010095697087334129,-5.738543377275456e-05,5.462854865164764e-06,-7.819490565452725e-05,-3.7935501584833416e-05,6.0389129777540244e-05,0.00026478834194637347,-0.004335668927524239
1965-09-01,-0.0001064120495845223,7.200138277381264e-05,-1.623465629003876e-05,4.2145179693490153e-05,0.00010145748160646119,-5.776908266235073e-05,5.81722473354914e-06,-7.667643431988027e-05,-3.78313940446413e-05,5.9584346381042736e-05,0.00024822649087898594,-0.004242808427079581
1965-10-01,-0.0001069520906795089,7.330060501087021e-05,-1.6721968962429984e-05,3.94458129985097e-05,9.83665591655649e-05,-5.812359889222415e-05,8.036387977906112e-06,-7.755659074367334e-05,-3.775815618128571e-05,5.662606767812416e-05,0.00022535651109849465,-0.004204917786410078
