,abs_vo500GLB_cluster1,abs_vo500GLB_cluster2,abs_vo500GLB_cluster3,abs_vo500GLB_cluster4,abs_vo500GLB_cluster5,abs_vo500GLB_cluster6,abs_vo500GLB_cluster7,abs_vo500GLB_cluster8,abs_vo500GLB_cluster9,abs_vo500GLB_cluster10,abs_vo500GLB_cluster11,abs_vo500GLB_cluster12
1971-09-01,3.559851e-05,-6.386661e-05,9.308166e-05,-3.344037e-05,6.563181e-05,1.0739279e-05,-4.4791734e-05,-0.000101072044,4.206949e-05,-7.537201e-06,0.00010939037,6.616301e-05
1971-10-01,3.0673094e-05,-8.2283004e-05,9.10916e-05,-2.2354048e-05,6.4247055e-05,4.1223116e-06,-4.973373e-05,-9.645344e-05,4.0477436e-05,-1.2263605e-05,0.0001509164,7.1619106e-05
1971-11-01,3.5706304e-05,-6.0541537e-05,9.645648e-05,-3.0471856e-05,5.543272e-05,8.492165e-06,-5.305051e-05,-8.8393674e-05,3.904293e-05,-1.30098815e-05,0.00016230124,7.127084e-05
1971-12-01,2.8135762e-05,-6.668587e-05,0.00011033719,-2.6325884e-05,5.872462e-05,7.298125e-06,-4.4849778e-05,-0.00010330258,3.3097607e-05,-7.752791e-06,0.00021318888,7.1826405e-05
1972-01-01,1.9462159e-05,-6.0102022e-05,9.601508e-05,-2.9751118e-05,7.955524e-05,2.8527006e-06,-4.8440892e-05,-9.3219234e-05,3.5403627e-05,-1.0824755e-05,0.00024326108,8.20038e-05
1972-02-01,1.7544915e-05,-5.6222943e-05,9.553354e-05,-3.7723297e-05,6.6161265e-05,8.461766e-06,-5.8392743e-05,-7.591051e-05,3.3780652e-05,-5.7239886e-06,0.00033448637,9.219642e-05
1972-03-01,1.7054457e-05,-6.974176e-05,9.477556e-05,-2.5033802e-05,5.9152168e-05,1.038793e-05,-4.9270213e-05,-7.684684e-05,3.90241e-05,-1.3928024e-05,0.00020078738,8.305605e-05
1972-04-01,2.9601279e-05,-5.9727492e-05,9.324176e-05,-2.3455414e-05,6.825686e-05,1.3054241e-05,-4.803961e-05,-8.804713e-05,4.2278964e-05,-8.648909e-06,0.00021003475,8.08267e-05
1972-05-01,2.6747699e-05,-6.242056e-05,7.932165e-05,-2.046808e-05,7.9831676e-05,1.476639e-05,-4.8298218e-05,-6.735869e-05,4.5114703e-05,-7.1418617e-06,0.00016138126,7.239081e-05
1972-06-01,3.593265e-05,-7.194437e-05,8.375362e-05,-2.5363744e-05,6.427077e-05,1.2278428e-05,-4.703194e-05,-9.1203896e-05,4.423188e-05,-1.2777673e-05,0.00011124747,7.6350145e-05
1972-07-01,2.9895555e-05,-6.631747e-05,9.121751e-05,-1.501061e-05,6.212167e-05,3.066723e-06,-4.734405e-05,-8.574643e-05,4.885111e-05,-7.989016e-06,0.0001209318,7.721514e-05
1972-08-01,3.162554e-05,-6.270591e-05,8.114081e-05,-2.381211e-05,4.907547e-05,5.394171e-06,-4.197576e-05,-9.718749e-05,4.416054e-05,-9.90626e-06,4.772863e-05,6.2974e-05
1972-09-01,3.3105833e-05,-8.3875886e-05,9.907376e-05,-2.3277065e-05,5.068061e-05,7.5878575e-06,-4.92613e-05,-8.6896776e-05,5.029573e-05,-8.292205e-06,0.00015157208,7.18201e-05
1972-10-01,3.1982236e-05,-6.531872e-05,9.211816e-05,-3.1436513e-05,5.8224752e-05,1.0744627e-05,-4.709436e-05,-8.484577e-05,4.4053533e-05,-7.2934563e-06,0.00020128675,8.017573e-05
1972-11-01,2.314506e-05,-7.090995e-05,9.465071e-05,-2.9394421e-05,5.167936e-05,6.6871958e-06,-4.0103096e-05,-7.9727164e-05,3.2701642e-05,-1.0976357e-05,0.00017753964,8.8317334e-05
1972-12-01,2.0068544e-05,-5.5108263e-05,0.00010256047,-3.267604e-05,7.587234e-05,8.782796e-06,-4.195792e-05,-6.481723e-05,3.4387038e-05,-1.2242628e-05,0.00029427768,7.5904274e-05
1973-01-01,2.018472e-05,-6.0418442e-05,0.00011019422,-3.2574422e-05,5.551288e-05,7.998673e-06,-4.0778217e-05,-7.906757e-05,3.16099e-05,-8.764488e-06,0.00029156133,8.06439e-05
1973-02-01,1.741528e-05,-5.6755347e-05,9.1436326e-05,-2.2478784e-05,5.4955453e-05,8.025223e-06,-5.0360668e-05,-8.6234504e-05,2.489422e-05,-1.1445452e-05,0.0002485863,7.8423036e-05
