,vws500-200GLB_cluster1,vws500-200GLB_cluster2,vws500-200GLB_cluster3,vws500-200GLB_cluster4,vws500-200GLB_cluster5,vws500-200GLB_cluster6,vws500-200GLB_cluster7,vws500-200GLB_cluster8,vws500-200GLB_cluster9,vws500-200GLB_cluster10,vws500-200GLB_cluster11,vws500-200GLB_cluster12
1965-01-01,12.456074105748854,36.64779947493106,7.706070877146844,14.706620765133474,25.97505765718676,35.80206431665845,19.541077870471128,10.779573933479211,18.660512065679214,17.13929371428916,9.965908179136896,9.266267370524751
1965-02-01,13.354981380928074,34.43686186925375,7.053016800235097,15.4241633326417,21.7781431989164,38.09598829636438,19.58758374857749,13.446667359377406,21.589128305811283,13.776926915393021,9.925443870554648,8.133142302032498
1965-03-01,12.387643909294717,31.674528753178784,6.878610019136412,15.150985729983889,19.123112061845784,33.148152854383596,20.487009883390584,9.480372454268267,21.626077355332484,15.274095005115932,8.81854794010995,9.547455197304696
1965-04-01,12.335818092860682,30.906885039767015,6.889989786801192,18.548139403859047,17.232299449600994,27.32170518563137,28.897414135881224,6.119260640772049,18.74243098640309,11.463093747799059,6.7518936021373825,14.067959023400386
1965-05-01,13.955438140619888,23.74934015622494,6.889104196628106,21.954992999363764,13.21415947687616,24.720280978419428,33.22491665996812,15.965907494018762,15.219808837786717,9.499267666505865,10.516359077695263,17.78456513573189
1965-06-01,14.24597733016319,16.409947077637565,6.043129293062016,23.78390679490655,8.406572157431034,21.547445960340504,37.46581287343155,35.29938883025715,10.15444923580102,9.13282710206125,15.092224438136508,18.094100628724693
1965-07-01,15.412880916464644,13.1033921224588,7.583548099776439,23.195503457109318,6.860536616699582,11.146913096474163,41.44033077513521,37.35043881913871,9.950645152673237,8.843163068588439,16.254178919000807,17.387792910664533
1965-08-01,13.873854011010193,9.676401137426115,5.148567423131789,20.800543813956885,8.426993707023886,8.771240581659505,38.03881079107366,28.295034322472926,7.383703002388765,7.753923388867357,12.281656256288514,16.774727968878764
1965-09-01,12.724410478898587,16.270290548166496,6.0357069619838,21.963894376824033,7.28182609315271,18.538991086711274,34.27441989933641,21.769900905386653,8.39361468302944,7.623560903877566,11.61634432610285,16.624049440866617
1965-10-01,11.973256539579355,23.886844099699047,6.078534518674224,21.120097205589115,11.854966256850952,26.900282212959038,29.511502246364664,9.817945332694151,11.697301497876243,9.149376225781388,8.658533389406958,15.766922977419076
1965-11-01,12.009866159311885,25.26929714318568,7.282589345066878,17.770528439454573,9.872632871237554,31.7739821725656,26.611060849752064,6.917904316531841,17.496391767484898,14.100333843259424,7.855901628656652,15.439321338975665
1965-12-01,12.838878848125455,28.641081149928272,6.313773958471,16.191556410612517,13.938595094635527,41.36583649783075,20.762814931588057,9.842416439726392,19.731837846463677,16.435816415496348,8.451174989611184,11.726562799333966
1966-01-01,14.057522195193036,32.239675491260435,7.716022815776221,14.975185625480695,19.16034410773042,38.587439342997264,20.127157668782377,11.522270979803105,22.207757928104897,20.183439290671636,8.72783334488099,8.861895886978068
1966-02-01,12.242234737850135,29.740322325512185,7.516092239394135,16.331863495903896,13.605096470421342,36.919284319768096,18.662733521762426,7.784958048898802,23.259385107923467,17.85146897754937,7.984027384573139,9.357767735242524
1966-03-01,12.865478320476097,30.324311230461536,5.912571705658568,16.628985255093497,15.790928123094016,32.243850860799235,20.46722733487388,7.992149015962534,21.701508586039427,15.286511506228269,6.654080792272593,10.938778939529696
