,vo600GLB_cluster1,vo600GLB_cluster2,vo600GLB_cluster3,vo600GLB_cluster4,vo600GLB_cluster5,vo600GLB_cluster6,vo600GLB_cluster7,vo600GLB_cluster8,vo600GLB_cluster9,vo600GLB_cluster10,vo600GLB_cluster11,vo600GLB_cluster12
1965-01-01,-1.3784374e-06,7.864292e-06,-2.491157e-06,0.00014693596,3.1868465e-05,1.4271383e-05,6.347322e-05,-1.3950346e-05,2.8750073e-06,-9.1181573e-07,1.2288234e-05,3.2698445e-06
1965-02-01,-4.2589454e-06,-3.200068e-06,-1.2855577e-05,0.00018012903,3.39593e-05,1.4082943e-05,7.024823e-05,-1.4704121e-05,4.095411e-06,-4.9006485e-07,7.37972e-06,-6.426126e-07
1965-03-01,-7.1035465e-06,-5.147318e-06,-5.8898724e-05,0.000104868086,2.9311013e-05,1.4316254e-05,6.362577e-05,-2.371354e-05,7.406641e-06,6.168295e-06,4.014648e-06,7.5725984e-07
1965-04-01,-8.916199e-06,4.1851454e-06,-7.8120014e-05,0.00014251201,0.00011680287,8.447569e-06,5.9542814e-05,-1.5457903e-05,-2.8501017e-06,3.5749472e-06,2.2289169e-06,-3.7564241e-06
1965-05-01,-1.0226337e-05,1.3257377e-05,-4.6613983e-05,7.975119e-05,0.00010075821,8.671908e-06,2.1423286e-05,8.537303e-06,-8.620074e-06,2.5429908e-06,8.200732e-07,3.915935e-06
1965-06-01,-1.0504518e-05,1.178572e-05,-2.661199e-05,0.00015337896,0.00012008718,8.187337e-06,1.3580422e-05,-2.8770228e-06,-1.4515681e-05,-5.299873e-06,9.546784e-07,1.1790107e-06
1965-07-01,-1.1231372e-05,2.1405336e-05,-2.0895859e-05,2.1423286e-05,0.00013837522,3.3595788e-06,3.432721e-05,-3.1821182e-06,-1.252356e-05,-4.626854e-06,9.264157e-06,6.69773e-06
1965-08-01,-5.093483e-06,1.33560825e-05,-2.7904178e-05,2.6233094e-05,0.0001359793,-3.9135193e-07,2.1405336e-05,-3.5590056e-06,-1.08275635e-05,-3.2987737e-06,4.93892e-06,7.648923e-06
1965-09-01,-4.7435096e-06,1.2010059e-05,-3.960565e-05,2.4007659e-05,8.588908e-05,9.80257e-06,4.117401e-05,-1.9078798e-06,-1.1787728e-05,-4.9499067e-06,1.6635822e-06,6.8861773e-06
1965-10-01,-9.957133e-06,9.892305e-06,-5.636819e-05,7.8799996e-05,0.00010458093,5.854221e-06,4.7150377e-05,-2.155092e-05,-5.928021e-06,-3.6846395e-06,2.551962e-06,3.5569974e-06
1965-11-01,-1.19582255e-05,8.492432e-06,-5.664638e-05,0.00012841461,8.163563e-05,9.4569987e-07,3.9980532e-05,-8.135503e-06,2.022527e-06,-1.728411e-06,7.2361436e-06,1.4392426e-06
1965-12-01,-6.161332e-06,8.68088e-06,-5.9733262e-05,8.881445e-05,6.4244945e-05,1.091529e-05,6.5779415e-05,-1.3627301e-05,-5.0037415e-06,-2.5001282e-06,4.2210377e-06,2.910907e-06
1966-01-01,-9.200125e-06,9.065006e-06,-5.7095174e-05,8.962059e-05,4.2026968e-05,7.4600866e-06,7.786475e-05,-5.3303957e-06,-3.6899291e-07,-2.2753447e-06,1.5916467e-05,3.7288482e-06
1966-02-01,-9.265299e-06,1.0107797e-05,-4.1184474e-05,0.00017811115,4.342007e-05,1.20141485e-05,6.456917e-05,-2.1607702e-05,-3.526984e-07,6.897957e-06,6.1403043e-06,7.737075e-06
1966-03-01,-9.346768e-06,1.0404037e-06,-5.7657307e-05,0.00012277807,5.8336867e-05,1.4661859e-05,7.3294395e-05,-1.2524022e-05,2.0261687e-06,-4.890466e-06,5.765549e-06,-3.7713835e-07
1966-04-01,-1.1896718e-05,2.9467556e-06,-4.4019558e-05,0.00012686776,0.000115535564,2.710498e-06,6.423515e-05,-5.6562676e-06,-3.7906502e-06,1.1544616e-06,2.3520406e-06,4.3317123e-06
