,ssta30GLB_cluster1,ssta30GLB_cluster2,ssta30GLB_cluster3,ssta30GLB_cluster4,ssta30GLB_cluster5,ssta30GLB_cluster6,ssta30GLB_cluster7,ssta30GLB_cluster8,ssta30GLB_cluster9,ssta30GLB_cluster10,ssta30GLB_cluster11,ssta30GLB_cluster12
1987-11-01,-3.4926147,2.1773071,-9.268982,-7.114105,-2.9926453,-0.30917358,-6.376709,1.4194336,-9.886627,0.19284058,3.3558044,-12.180176
1987-12-01,-2.7783813,1.2893066,-8.093689,-8.319366,-4.3053894,0.05758667,-4.822235,1.8343201,-12.463806,-0.844574,3.204193,-10.732147
1988-01-01,-1.3757019,0.6112976,-6.557678,-9.780975,-5.3906555,0.7832947,-3.6697388,2.3094482,-13.957794,-1.7677307,3.420807,-9.182556
1988-02-01,-0.8015747,-0.15408325,-5.69928,-10.4461975,-6.156067,1.2015991,-2.179535,2.65036,-15.962555,-2.4420776,2.63974,-8.603363
1988-03-01,-0.6827698,-0.3711853,-6.6300964,-10.365326,-6.7924805,1.4751892,-3.115448,2.6401672,-16.134094,-2.943451,2.4995422,-9.091095
1988-04-01,-1.3796997,0.017456055,-7.730713,-9.709106,-5.973877,1.232544,-4.80838,2.6494446,-15.943237,-2.9453125,3.0566406,-10.243286
1988-05-01,-2.55484,1.3250732,-8.480408,-8.501648,-4.6748657,0.39682007,-5.0947266,2.0782776,-13.204071,-1.6650391,2.7278137,-10.392548
1988-06-01,-3.074524,2.2318726,-9.166534,-5.327606,-2.8190613,-0.22808838,-6.177429,1.6784668,-10.098328,-0.23214722,3.321991,-11.772705
1988-07-01,-4.1993713,2.5699768,-9.402588,-2.7333984,-1.499115,-1.1339111,-6.6234436,1.0058594,-6.7013245,0.6998291,3.5068054,-12.004211
1988-08-01,-4.525482,2.8660583,-9.740326,-1.1752014,0.6286621,-1.864685,-7.0117493,0.30038452,-3.8046265,1.8604126,3.3466187,-12.042969
1988-09-01,-4.86084,2.895935,-9.841461,-2.1018982,0.3843689,-2.2121887,-7.4260254,0.541687,-2.9927063,2.027893,3.6987305,-13.003571
1988-10-01,-4.948822,2.8656006,-9.354828,-3.4337769,-0.28179932,-1.7052917,-7.007141,1.0779114,-7.3637695,1.3718262,3.7007751,-12.416229
1988-11-01,-4.0698547,2.5482178,-8.126312,-6.6947327,-2.2659912,-1.2416382,-5.630432,1.4586182,-10.131531,0.4185791,3.514923,-11.127533
1988-12-01,-2.5681458,1.2171631,-6.102051,-7.457733,-3.739685,-0.36462402,-4.6937256,1.793335,-12.791443,-0.8295288,3.2319946,-8.649017
1989-01-01,-0.68466187,0.42074585,-4.944336,-8.393829,-5.3256226,0.73394775,-2.9805603,2.3660583,-15.345795,-1.824585,2.9997253,-8.138977
1989-02-01,0.348938,-0.3708191,-4.87854,-9.035126,-5.93338,1.3303223,-1.8453369,2.4211426,-15.979309,-2.3632812,2.3282776,-6.9736023
1989-03-01,-0.49871826,-0.70977783,-5.035614,-9.786987,-6.253357,1.709198,-2.2027893,2.6730652,-16.84253,-2.8374329,2.7377625,-7.4832764
1989-04-01,-1.5360718,-0.44232178,-6.2850037,-9.796722,-6.2888794,1.2636719,-3.8349,2.4687805,-16.813385,-2.8355103,3.156433,-8.66214
1989-05-01,-2.5836182,0.50891113,-7.4215393,-8.55661,-5.3532104,0.5638733,-5.0633545,2.0938416,-15.550415,-1.7145691,3.64859,-10.034058
1989-06-01,-3.7023926,0.9735718,-8.516022,-5.444397,-2.2862244,-0.2962036,-6.3125,1.5377197,-11.147491,0.432312,3.235962,-11.309937
1989-07-01,-4.4589844,2.2921143,-9.393707,-2.77536,-0.42980957,-1.0085449,-7.2217712,1.1672668,-8.0451355,1.4347534,3.3586426,-12.404999
1989-08-01,-4.4866943,3.0581055,-9.569733,-1.3022461,0.9333801,-1.4301453,-7.427002,0.8287964,-2.1304626,2.2114258,3.3440552,-12.122437
1989-09-01,-4.6247864,2.754181,-9.682037,-2.6274414,0.32937622,-1.8060608,-7.636566,0.9839783,-2.4207764,2.2289429,3.5629272,-12.686035
1989-10-01,-4.597809,2.7062683,-9.3836975,-5.0,-0.9951172,-1.4775696,-7.370331,1.344574,-6.0567627,1.523529,3.7713013,-12.445099
1989-11-01,-3.8287659,2.1622314,-8.293701,-6.8770447,-2.5935059,-1.0956421,-6.6474915,1.6836853,-8.525177,0.22277832,3.665924,-11.086639
1989-12-01,-2.2213745,1.3122253,-7.3783264,-8.7317505,-4.293579,-0.65979004,-5.0434875,1.6409912,-11.37735,-0.50320435,3.3688965,-9.627563
1990-01-01,-1.0342712,0.5831299,-6.1033936,-9.359375,-4.983551,-0.45141602,-2.5303345,2.1191406,-14.551758,-1.3143616,2.6053467,-8.259735
1990-02-01,-0.73638916,-0.16046143,-4.4223633,-9.971771,-6.115692,0.7010193,-2.295105,2.1921692,-15.809662,-2.5441284,2.811493,-7.79126
1990-03-01,-0.7175293,-0.35708618,-4.709717,-10.339508,-6.5016785,0.9964905,-2.8171997,2.238617,-16.280945,-2.9197388,2.4925842,-7.998749
1990-04-01,-1.496521,-0.068481445,-6.305298,-10.259003,-6.720978,0.87680054,-3.468933,2.2007751,-16.029816,-2.9378662,2.8911438,-8.936981
1990-05-01,-2.7650757,0.85775757,-7.6576843,-8.998932,-5.4890137,-0.17330933,-4.7976685,1.6235657,-14.075958,-1.7650757,3.0821533,-10.198669
1990-06-01,-3.4371643,1.6423035,-8.476227,-5.934265,-2.8656616,-0.6920471,-5.8997498,1.2103271,-10.958527,-0.04067993,3.290741,-11.289398
1990-07-01,-4.1886597,1.9312744,-9.329285,-2.060913,-0.6772461,-1.2260742,-6.9017334,0.97021484,-7.3716736,0.9100647,3.424408,-12.4758
1990-08-01,-4.572571,2.932495,-9.88382,-2.5996704,0.55474854,-1.8323975,-7.399536,0.84072876,-4.2451477,2.2860413,3.4354553,-12.434662
1990-09-01,-4.595337,3.4279785,-9.91153,-2.1687927,1.1000061,-2.406952,-7.5455933,0.57733154,-4.154999,2.8939514,3.624237,-12.291748
