,vo600GLB_cluster1,vo600GLB_cluster2,vo600GLB_cluster3,vo600GLB_cluster4,vo600GLB_cluster5,vo600GLB_cluster6,vo600GLB_cluster7,vo600GLB_cluster8,vo600GLB_cluster9,vo600GLB_cluster10,vo600GLB_cluster11,vo600GLB_cluster12
1965-01-01,-8.640819835446649e-06,3.2932617957722267e-06,-0.0007151261591140858,0.005809285115295401,0.0009335351205663756,1.181215580662566e-05,0.0004168125227666818,-1.335116128897886e-05,-1.2835436668325912e-07,-1.1005733966077349e-06,6.915224900301077e-06,1.2094630978575615e-06
1965-02-01,-8.020353275444605e-06,3.534023739211424e-06,-0.0005748483421153982,0.007116315343106787,0.0012772661284543574,1.1481592610632194e-05,0.0004366784616230199,-1.3285417898466646e-05,-6.119790607229689e-06,-1.0789041248632114e-07,7.389605017843719e-06,2.237032436451245e-06
1965-03-01,-8.890115923313273e-06,3.7291935700946703e-06,-0.0005039909328016537,0.005619032890535891,0.000986021914286539,1.0747611043264839e-05,0.000469832313963427,-1.3364088799828931e-05,-1.5024361686969469e-06,-3.147554185136507e-07,7.336862537742301e-06,1.875040981839406e-06
1965-04-01,-6.438277230825089e-06,1.0099373900872779e-05,-0.0004900452040601522,0.005361530929803848,0.00203496208996512,9.1783903667559e-06,0.00036084949477719,-1.165294897600298e-05,-3.2613600859480422e-06,-2.266466915610891e-06,3.0535163693742497e-06,2.8313783668391066e-06
1965-05-01,-2.90205111223958e-06,1.2271950977293323e-05,-0.00023156188200862908,0.0044128736287044985,0.002231923135695979,7.347491185887548e-06,0.00021939883411575394,-1.036885965700699e-05,-1.4239329221570604e-05,-3.120762893534595e-06,3.757141278027175e-08,4.285404771832852e-06
1965-06-01,2.0713191665679193e-06,1.4254891488325827e-05,-0.00025881113701457667,0.0032954201742541045,0.0024963991018012166,4.553830300258751e-06,0.0001715457983664237,-9.808481132307853e-06,-1.9059127796134493e-05,-4.1900521199184425e-06,6.849430136169947e-07,4.350732888442247e-06
1965-07-01,4.3931091523897526e-06,2.167219757194622e-05,-0.0002252460366104391,0.0005219566446612589,0.002407545252935961,7.123274005732141e-06,0.0001343914426307982,-5.977726872390722e-06,-2.12325380358626e-05,-6.689167504980085e-06,-3.7833953527622913e-06,4.426688109569363e-06
1965-08-01,3.0094798347475697e-06,1.7905248744270087e-05,-0.00023623185618568888,0.0009690054260621158,0.0023707086802460253,7.986381408867498e-06,0.00011691466240266051,-5.155330194213304e-06,-1.8249146073762628e-05,-5.1768133314382094e-06,-4.504712885828843e-06,3.7705563424760213e-06
1965-09-01,3.001238367499829e-06,1.626933921193227e-05,-0.00032621091205245733,0.001907847763504833,0.001940858201123774,7.424701101876079e-06,0.00024556785109990206,-5.149466441811213e-06,-1.829450904890911e-05,-4.251428884343871e-06,-1.8512086054459956e-06,3.109633736793057e-06
1965-10-01,-1.1139278174629395e-06,1.1427561691127028e-05,-0.0005065802807538686,0.0024021530407480896,0.0022213721240404993,7.251977642528153e-06,0.000303395315243576,-9.003743533098265e-06,-1.402293730927217e-05,-2.3158748969084968e-06,4.366861690163096e-07,3.0855675656647973e-06
