,vws_v250-50GLB_cluster1,vws_v250-50GLB_cluster2,vws_v250-50GLB_cluster3,vws_v250-50GLB_cluster4,vws_v250-50GLB_cluster5,vws_v250-50GLB_cluster6,vws_v250-50GLB_cluster7,vws_v250-50GLB_cluster8,vws_v250-50GLB_cluster9,vws_v250-50GLB_cluster10,vws_v250-50GLB_cluster11,vws_v250-50GLB_cluster12
1980-01-01,-5.374632286922201,-0.4036694125511046,10.466877245481967,-2.868095660879628,-1.3670653562755954,2.4478597329277516,-0.48640482714303684,6.187820620038831,-3.1352242076319325,-1.1498368685605511,3.3704426990411847,0.5456712301830673
1980-02-01,-6.1824002829079685,3.3796681064216942,7.011012543600493,-1.8941096810690703,-0.9003294756821277,1.7303247059629296,1.4006249322516313,4.61426530239555,-2.1619680880211716,-2.089289949812517,4.234100987946296,0.05465188653381486
1980-03-01,-3.7909782850504636,-0.5518624761749505,10.616723471386933,-3.7745620945066496,-0.3466355275226307,-1.9539681464937477,-0.5424641349133941,5.558264304121807,-1.9139268546374144,0.2031362069755925,4.518769829479141,2.3408312065436365
1980-04-01,-3.0934941019110282,14.355017250226192,3.950955071678718,-4.749825513399475,1.4354042718786324,0.2605186928178245,0.4470112780190124,-0.21680189642493183,-0.09921134369855468,-2.3310514711889407,6.064001929441994,0.6835372492863422
1980-05-01,-1.3155892073681628,3.117700263975061,0.33686506317314513,-2.3165988588230273,2.5794254491213104,-1.6358695645233399,-1.9495965853359363,-0.3673639070891367,-0.6582420861904117,-0.03710073630092253,2.22639084828119,2.2339462795955107
1980-06-01,0.7180208287942276,4.24306350850547,0.31781489628928095,-2.6159761001659816,4.243813655160155,-2.63598965717383,0.45949319269819516,-2.0628734118014833,2.0953079358972864,-1.402078371746494,0.9591839382762505,1.0408289300256979
1980-07-01,-0.1397411265690682,3.4137190132873463,8.202597764910372,-2.8714737057295787,6.521794543808246,-2.7818618715099923,-0.7476045316651501,-5.108315276373041,1.656229737289576,-0.9209058351916299,2.576335725144899,2.060696220874187
1980-08-01,0.9356999882819161,-0.7093709536708117,2.822533600918052,-1.5405912166081361,5.937052168123714,-3.712854261753309,-0.7010925308272725,-1.3147130509122593,1.9224405256181571,-0.9724821347655402,2.9073325396878436,1.7466601744816852
1980-09-01,0.4216884626742158,2.1796578568600253,2.600117602929947,-2.6552005264068392,4.3765504558387605,-2.2860826413828224,-0.3979056694391766,-3.8946029845951897,3.4618104965584178,-1.9296306937639098,2.176925489672497,1.7263949044265363
1980-10-01,-1.1218395122289773,4.5140061609321736,15.87077178020552,-2.9990922203069665,3.3345018567694873,-1.9788079494330528,0.016988358722090924,1.6267652869639933,0.4420896434450107,-3.3464803795558793,4.526243765888596,1.1721852928744927
1980-11-01,-3.739774796318979,2.688104622701898,10.366226387521984,-3.9499284870081133,1.255979864434578,1.4141050381076143,0.007256172170603191,5.0463574141096945,-0.3857374924497825,-3.126815475626839,3.481547502360122,1.0941592691695863
1980-12-01,-4.225463164869583,-0.9826067833434943,10.992852653444034,-2.5610463709518614,0.7705870034141483,2.074132670092063,1.0834862105248426,5.278569942198954,-0.9417384874025628,-4.66125388054582,3.3950955867852435,0.6510946450431184
1981-01-01,-6.883635096344859,2.608636511983806,10.426737621796677,-3.2878565626135536,-0.7273222565375571,2.01772712760021,1.725306607860155,9.216734032333925,-4.212014457452964,-2.371887389442748,4.962949366272245,0.17674967571030933
1981-02-01,-4.974768932879185,-1.2519907399632513,12.779874538619115,-1.7214253053091488,0.13313994805747964,0.45056850633736073,0.7474951912151865,6.315096294384975,-3.718910884784544,-1.1938517794837475,3.6999508851154674,0.24381163916683526
1981-03-01,-5.031352491643614,5.985782272151786,7.449486156145152,-1.986789616035485,-0.3776485214246782,3.1653208001093307,-0.7364302806485148,5.440282522309693,-2.500341153537767,-0.2401072017502823,2.27997424617175,0.1705713258467394
1981-04-01,-4.01659111529059,0.6448411815816785,5.209324184201326,-3.8445387983853276,1.7178115550985888,1.9787975403944076,-1.6103410240716503,-0.7489446481994224,-0.7173552592257314,1.0053785108081672,3.841828884883275,2.2667208705355373
1981-05-01,-1.0394822705056455,8.226196227393062,2.340234086898096,-1.9681023407377396,4.427855208240073,-2.736991764769164,-1.6584213847952043,0.21693622829954803,-0.30135045376449504,-0.254797857562259,4.526997885851833,0.8121759683337024
1981-06-01,0.6557626976772719,-2.3335753136032427,0.5188001067158765,-1.9816786397413406,4.865222834206836,-2.255410550739467,-0.3173639077005986,0.23689621845342146,2.3866428449980455,-0.672155381050591,0.1755250195042112,1.9362550733555963
1981-07-01,0.9637116989528511,0.7307005791283196,1.0223000451513589,-0.9009394241722074,5.938972458625212,-2.5139279818568583,-1.3009385974159033,-2.6495718081063377,1.0177056647773024,-0.459619171002081,2.547092291292927,2.251286005490251
1981-08-01,0.7426582123147073,2.2219526902713245,4.522692483449481,-3.1995459490550084,5.3130773867375725,-1.832877641446067,-0.2872047375290059,-1.6300468554724612,3.4661688108304207,-0.878138580617916,3.540035164540428,2.1565491490259827
