,sstGLB_cluster1,sstGLB_cluster2,sstGLB_cluster3,sstGLB_cluster4,sstGLB_cluster5,sstGLB_cluster6,sstGLB_cluster7,sstGLB_cluster8,sstGLB_cluster9,sstGLB_cluster10,sstGLB_cluster11,sstGLB_cluster12
1980-01-01,615.9803870770571,656.9394592845111,750.6192637755809,586.5941365559896,776.8550228310503,697.9705066215702,598.5061806126645,655.3366047062286,575.5985849911405,670.7328287760417,628.2554418011441,824.3039312595275
1980-02-01,616.694234944076,656.654567893492,751.6816805949254,585.6874783833822,775.7173163705766,698.7419314500762,599.343625788103,655.6777187678367,574.4766707272873,670.1047411151961,628.2573428961748,825.6772818216464
1980-03-01,616.9327111552946,656.8130913130733,751.4860980278623,585.5841318766277,775.735125258633,699.1217450397771,599.3526846902412,655.9932064248003,574.2281255033828,670.1465561810662,628.521117052311,824.8750119092989
1980-04-01,616.3324808902878,657.6030206242832,750.2781690749448,586.1585299173992,776.6479213488157,698.6624368807165,598.4365791186951,655.9390412073701,574.646121939433,671.0171568627452,628.8119512394695,823.3431783536586
1980-05-01,614.9859311769335,658.2393401259676,748.6520412748895,587.405554453532,777.9604559075343,697.493129823266,596.9928942228619,655.3358522180009,576.4293552673969,672.0172478170956,628.9606146473702,821.8039908060214
1980-06-01,613.7139190015175,658.7648584208357,746.837838772124,589.8443222045898,780.2532596675228,696.1771523080222,595.6701445997807,654.1799884952911,579.6814594072165,673.4891046262255,628.6524371371243,819.7877167492379
1980-07-01,612.3306384189524,658.7019754112313,745.7450394081859,592.0263608296713,782.4297343214897,694.841394191835,594.446657415022,653.1305321819706,582.8830994281573,674.437614889706,628.1976751942452,818.6931926448171
1980-08-01,611.7081896006632,658.6879625232941,744.9333528501799,593.4667905171713,783.8021613691495,694.302182081269,593.7449244449012,652.638418815996,585.0986756000323,675.176571116728,628.037494041012,817.5041087080793
1980-09-01,611.6119604316547,658.8677222575616,744.8558706097899,593.0214246114095,783.7831262039812,694.336532964939,593.5628897683662,652.9502694465255,584.3034567292203,675.2249923406863,628.1912715057206,817.6571431974086
1980-10-01,612.1187937345437,658.6538612295727,745.6601843369747,591.5387471516927,782.5553441156536,694.7271393566597,594.1112638774671,653.5027490903253,581.646980206991,674.5410634957109,628.2821016016336,818.7054592225611
1980-11-01,613.0590864222685,658.150531173846,746.8792670595963,589.5045280456543,780.5026955800514,695.7259201421971,595.1415587308114,654.277407850849,578.887561916076,673.4492522594976,628.4883203836521,819.9466761147104
1980-12-01,614.4029795694695,657.2999866730576,749.03440222276,587.5632286071777,778.1093092269549,696.7509199933309,596.9275758977521,654.7691031678082,576.5982401739691,671.8960391773898,628.3259268449738,822.1319133479421
1981-01-01,615.7588382419066,656.5073835740395,750.9017539235343,586.1035029093425,776.4493201965611,697.7222721751144,598.4528123286732,654.9849418744649,574.7360386799292,670.7328048406863,628.0358152962773,824.2109494092989
1981-02-01,616.482851316603,656.2858511548523,751.7357210142424,585.3588740030925,775.5348240403824,698.4778613578983,599.1525750411184,655.367846902647,573.8135898236147,670.0875555300246,627.9739463264174,825.412627429497
