,mslGLB_cluster1,mslGLB_cluster2,mslGLB_cluster3,mslGLB_cluster4,mslGLB_cluster5,mslGLB_cluster6,mslGLB_cluster7,mslGLB_cluster8,mslGLB_cluster9,mslGLB_cluster10,mslGLB_cluster11,mslGLB_cluster12
1980-01-01,126841.88552057357,103358.21821732954,103532.55997474748,104799.24903100776,114794.31778169014,144377.384478673,106865.04009226713,146557.91766826922,102898.59076433121,121037.20820783133,107955.9829059829,132921.66309232026
1980-02-01,127059.74322007482,103322.69353693181,103525.37878787878,104926.40302002584,114856.65052816902,144151.61803909953,106890.8790092267,146786.0576923077,102929.27149681529,120874.35052710844,107919.95693108975,132863.85059232026
1980-03-01,126646.7074501247,103313.98792613635,102941.02746212122,104884.19331395348,114720.40492957747,143881.44623815166,107023.20271309314,147115.04281850962,102868.40465764332,123086.24811746989,108062.34809027778,132551.6544117647
1980-04-01,126620.53460099752,103366.04847301135,102408.79103535354,104974.39639857881,114798.60475352113,143466.15817535546,107152.46045694199,146960.85486778847,102839.64868630574,123234.39382530122,108249.42407852564,132374.39746732026
1980-05-01,126523.20370947632,103496.5518465909,102033.9567550505,104997.71075581395,114839.39260563381,143107.84212085308,107347.36105008787,147125.99534254806,102872.25318471338,123282.32304216867,108488.49492521369,132140.90839460783
1980-06-01,126722.17308291771,103601.34232954544,101734.82481060606,104913.46091731265,115069.71610915494,142663.97363744077,107403.89114674868,147548.8544170673,102898.25835987262,123441.20858433735,108644.0404647436,132074.86468545752
1980-07-01,126350.46563279303,103627.27627840909,101473.7610479798,104711.6904877261,115062.77068661973,142607.96060426542,107463.49406854129,147369.68149038462,102940.63992834395,123216.18034638555,108661.12112713676,131961.5247140523
1980-08-01,126475.00389650873,103648.92400568181,101751.09690656565,104779.79449289406,115161.7011443662,142792.71697274884,107598.68189806677,147052.54657451922,102982.32484076434,123177.96498493977,108739.98063568377,132014.1237745098
1980-09-01,126632.0370947631,103581.61754261363,102397.90877525252,104685.38840439277,115093.43970070423,143282.77547393367,107362.34072934973,147070.88716947116,102971.52468152867,122752.08960843374,108576.81957799145,132306.78359885621
1980-10-01,127048.74337593517,103530.94904119318,102851.3336489899,104917.39744832041,115230.64480633804,143765.2732523697,107334.90361379612,146926.97190504806,102964.4078423567,122853.18147590362,108456.94277510684,132648.43494689543
