,mpiGLB_cluster1,mpiGLB_cluster2,mpiGLB_cluster3,mpiGLB_cluster4,mpiGLB_cluster5,mpiGLB_cluster6,mpiGLB_cluster7,mpiGLB_cluster8,mpiGLB_cluster9,mpiGLB_cluster10,mpiGLB_cluster11,mpiGLB_cluster12
1965-01-01,,,,,,,,,,,,
1965-02-01,,,,,,,,,,,,
1965-03-01,,,,,,,,,,,,
1965-04-01,,,,,,,,,,,,
1965-05-01,,,,,,,,,,,,
1965-06-01,,,,,,,,,,,,
1965-07-01,,,,,,,,,,,,
1965-08-01,,,,,,,,,,,,
1965-09-01,,,,,,,,,,,,
1965-10-01,,,,,,,,,,,,
1965-11-01,,,,,,,,,,,,
1965-12-01,,,,,,,,,,,,
1966-01-01,,,,,,,,,,,,
1966-02-01,,,,,,,,,,,,
1966-03-01,,,,,,,,,,,,
1966-04-01,,,,,,,,,,,,
1966-05-01,,,,,,,,,,,,
1966-06-01,,,,,,,,,,,,
1966-07-01,,,,,,,,,,,,
1966-08-01,,,,,,,,,,,,
1966-09-01,,,,,,,,,,,,
1966-10-01,,,,,,,,,,,,
1966-11-01,,,,,,,,,,,,
1966-12-01,,,,,,,,,,,,
1967-01-01,8.156135098353426,4.875888197637698,8.891000757439928,9.339000674880044,5.601258743185425,8.75141004640314,7.456480073981358,2.391197120313421,7.627409186794852,3.1623951776806822,6.839825253873659,6.711628452374899
1967-02-01,7.9045296943525365,5.39058517454827,9.321407332446045,9.39138348797905,5.235515182812074,8.659334433160652,7.976896668750978,3.1072280448229996,7.2902764741081425,3.3304842114951674,8.762910487897479,6.858620025910616
1967-03-01,7.9330217233016675,6.022368342359566,9.429812791916135,9.5103449377323,4.716446824781782,8.71616767863793,8.31521870260988,3.4252088764396866,6.972880485823523,3.6961221828203885,9.127291256416097,6.112162569908055
1967-04-01,8.331667735360652,6.269417173920909,9.339157038851676,9.63234825773888,4.223430876445033,8.91950552155104,8.328539008125425,3.6559968180158013,7.117376944199014,3.8852208582575978,8.913731064244338,6.0875751623522705
1967-05-01,8.616579395892005,6.649865027057454,8.93507464274054,9.444512858664972,3.831642160876294,8.92715704320244,8.21321216983754,1.1309198835496908,7.2262663442576835,4.137148341124299,7.450661763117303,4.305257177618294
1967-06-01,8.980093182728158,6.144154170011383,8.022471558727588,8.76842175937671,4.569438035514404,8.798354716727893,7.389935682055644,1.7550551762624864,7.871380429901084,4.131703658669708,5.618054438336149,3.6452935188143303
1967-07-01,9.119145100433066,6.070238228259219,7.213664742596246,8.033377716488872,6.522306010722999,8.649468978703256,7.1072435846004325,0.5890813744312643,8.650396422761482,3.9820275049656604,3.7773486741256868,3.2844241558524048
1967-08-01,9.165616329877427,5.4919343812770425,6.546247290094497,7.688944221631051,7.544174259410668,8.517019675002729,6.37539104573372,0.4896374104627792,9.248695129600916,3.8049997748181443,2.9269960089465,6.200222548985895
