,mpiGLB_cluster1,mpiGLB_cluster2,mpiGLB_cluster3,mpiGLB_cluster4,mpiGLB_cluster5,mpiGLB_cluster6,mpiGLB_cluster7,mpiGLB_cluster8,mpiGLB_cluster9,mpiGLB_cluster10,mpiGLB_cluster11,mpiGLB_cluster12
1967-09-01,9.375889481230086,5.321066068035402,6.725534031519855,7.836467137499308,7.86131082213603,8.650920030077144,6.151756074797177,0.8713587214286213,9.561694749450218,3.326328326514286,2.555855577063049,7.618555912904078
1967-10-01,9.441452124617253,4.889397964478341,7.279216590430208,8.363160686083942,7.5295300874660684,8.722543568206815,6.1845466961377245,1.0917329755375658,9.492842149530826,3.1832442283482765,3.032925941156422,7.9469477307447995
1967-11-01,9.242259028870462,4.851777490895807,7.804993502008413,8.872910353348024,7.077038512019286,8.85960666190052,6.507171781304403,1.8880777873699397,9.140083528271377,3.125109297238153,3.696184167179353,8.76835331581111
1967-12-01,8.775346574433195,4.969286285935395,8.41911015253598,9.224490475026146,6.313669774207286,8.878810883527818,7.048660238409444,2.8595551032846527,8.397009242402124,3.090497341079551,4.405545462915156,7.916546149529285
1968-01-01,8.177567462070078,5.020627213422626,8.885644873899624,9.21360531071353,5.9187273454811615,8.715757648232817,7.395294265469931,3.326146778406431,7.714253169326839,2.847136111419392,6.252989948963351,7.574594899499592
1968-02-01,7.670279888233676,5.30823360251362,9.295658952350529,9.384579871365617,5.6537900041310545,8.680949466610505,8.093202748616083,2.963544803795196,7.177609784037318,3.0897532384935533,8.445947978120541,7.544539303843885
1968-03-01,7.757125129372305,5.9325804924809,9.351800138400282,9.421418138428555,4.371162952441526,8.614266465112069,8.242379054711092,3.6710723961177756,6.848925265881946,3.8015170126996045,8.86417710431138,6.094437743487287
1968-04-01,8.303363057597512,6.8149325561677845,9.66143257091641,9.740950498420354,3.899112828496658,8.917243471044406,8.737229748724449,2.863918828010941,7.110123189621707,4.073147010965488,8.782809034151802,5.81104983940903
1968-05-01,8.731207517148766,6.765345782230894,9.218785166448074,9.50800450512415,4.167701018590723,8.968076473688996,8.362633969412592,1.8738034740991187,7.350092390256358,4.0311764235953245,6.9246295272304685,4.534307392346394
1968-06-01,9.057675323689338,6.522360997858619,8.458923870953814,8.96017496833117,4.491012652518644,8.892853767391424,7.848174410110212,1.4329239405190837,7.775821209186164,4.156350763746997,5.806156166131888,3.1696069686388575
1968-07-01,9.129043712567839,6.126346301176095,7.610923454772638,8.26200440983256,5.789510434327803,8.730688011080339,7.35587668640841,1.0674709616257543,8.546505671389923,4.042321161336384,4.302587237092216,2.8143031836059342
1968-08-01,9.159015738072004,6.021498440092892,7.016916877537329,7.802292485595618,7.366253652611823,8.611454237805956,6.9953227268311196,0.8286801436497936,9.087829960422159,3.901241663429212,3.302816815003074,6.431425404887461
1968-09-01,9.320198345943195,5.407717081532917,6.976463750545524,7.937097846542936,7.552679120429423,8.684505772903597,6.274111654872236,0.32688756550311715,9.448706906282792,3.311409582490262,3.0454361302093256,7.240012779983007
1968-10-01,9.535463101250139,5.142032843539277,7.461934565939027,8.538696103838184,7.015413247219058,8.915674632338545,6.381342247203617,1.2542555226200403,9.365474966055787,3.371740600983404,3.4763757960018187,7.799410759921792
1968-11-01,9.390206642322433,4.782320617097179,8.045496549811508,9.132973574376022,6.744354067012539,9.003956122972077,6.406461424789517,1.5312905387763092,9.037618530294079,3.1274549008083286,3.962174828849883,8.67841990410726
1968-12-01,8.838764114498176,5.076794903072799,8.730283468442854,9.44795695059849,6.130199488739474,8.972840976236881,7.3473671736882675,2.6516290528682354,8.271286934707412,3.1101484427230512,5.115770632577259,7.479238951066276
1969-01-01,8.35328231472627,5.297605955231778,9.122928483786104,9.537234674753147,5.797939291356018,8.938588014799574,7.758763573433633,2.684534603291443,7.768928395228946,2.9544564805891085,7.267610414242266,6.791348659687948
1969-02-01,7.947158184719427,5.523240712239156,9.428114124283024,9.594733907635895,5.168777767759328,8.859040750434726,7.993498187933715,3.801501329146264,7.299824234050037,3.470449735086219,8.281808674109318,7.20543320955988
1969-03-01,7.8066531546101965,6.010425492814147,9.582091238427635,9.717114600378645,4.590829403721676,8.804199870512857,8.282190169149608,2.8003874550841723,6.950236865431225,3.7483777264382905,9.499385021145356,6.0469493238791125
1969-04-01,8.198873376863421,6.449604567166672,9.54434024981982,9.829345590714384,3.847078504282422,8.931126156671985,8.348560615812556,2.5951197277895863,6.752115819274002,3.889858167115644,9.319605658815615,5.1885602248317575
1969-05-01,8.503121157289495,6.447984174710803,8.915104343345908,9.50304944192039,3.448487263800116,8.956858407164377,7.979846174278612,1.2263657976476408,6.790754938162001,3.95087189914827,8.004291162858912,4.250922825669184
1969-06-01,8.879160707718771,6.5246636084619025,8.157151443630408,8.831788845959847,4.168783827793828,8.86263058716225,7.780576865171867,1.8377891158348183,7.270157239404133,4.061521297253815,6.2570125081875005,3.1025820236918435
1969-07-01,9.164515783162651,6.0055982375286865,7.130116483801347,8.153874647557958,6.159572461821783,8.754031511129913,7.05066393208801,0.4196777834213109,8.3869405124061,3.9009005125150664,4.139970496847008,2.5570902361922583
1969-08-01,9.253334435029002,5.562900672898873,6.612296881848553,7.795244215333137,7.140773051619732,8.679902334522097,6.343191246304728,,9.110416753365232,3.889397346232016,3.4111250962345188,5.100878390485918
1969-09-01,9.392807443373892,5.208031138758185,6.748157695862863,7.947610691959913,7.536495584402496,8.79818703110891,6.236393845441248,0.3370193279739702,9.478713302661204,3.355602016861153,2.8743632758409166,6.754169182262812
1969-10-01,9.454860980172382,4.98049645804259,7.32874757452122,8.484048344496275,7.021372731081871,8.867689194908406,6.28986887897506,1.2413855472515876,9.304266388725013,3.1984819646142166,3.311048117081842,7.356459821310513
1969-11-01,9.288365922287326,4.5573354693263735,7.748355444516907,8.975573123397119,6.446390659655722,8.921071819491006,6.1725930694905315,1.6118387207086475,8.833753858095703,3.0696683407926137,4.019617541589918,8.100220989568614
1969-12-01,8.642211905911163,4.84044341533064,8.554836054575798,9.317179073608584,5.937420880892921,8.851735584103414,7.069195551720689,2.4420215105252545,8.109230703121394,3.2159636717981885,5.098526976462714,7.4323114634292535
1970-01-01,8.135115442250482,5.045597594182177,9.097574756047603,9.47481527976286,5.703528942756295,8.82955128787655,7.539283311780458,2.6379215788688994,7.543143510375459,3.247363022353783,7.063654431789996,6.81530065926999
1970-02-01,7.4682174270514015,5.383450638186003,9.284257062522103,9.462728350186595,5.006614069373503,8.60325617697407,7.9321700258613586,2.9414267448075746,6.750693375316447,3.078223741110413,8.276608142011833,6.853892729276933
1970-03-01,7.703243031866669,6.232433293487132,9.444653100371273,9.630480877774682,4.486997982710146,8.77221861520886,8.315725471099261,3.041990526893057,6.854745629069135,3.68765110937482,8.95181937397134,6.331989047727294
1970-04-01,8.135937611647865,6.527106902563638,9.379864736264174,9.714150586037022,3.7636813844012083,8.865880820814096,8.388142918816063,2.4054795892421232,6.569885763963512,3.7996510812308553,8.61104999355046,4.9188122326016535
1970-05-01,8.622736478377362,6.627902860208773,8.957100978286213,9.394921666765637,3.6400075618923156,8.853592843371954,8.088466772617053,1.602710406193996,6.989680566097006,4.044855970982305,6.683304395972954,3.4053035768535724
1970-06-01,8.844200962958565,6.210088032984303,7.810846633578016,8.680120716386192,4.31929966974214,8.741730709334329,7.283867038976768,1.1242818571627122,7.5294118451634855,4.1313862607983625,4.101323269639903,3.1178360160071996
1970-07-01,8.96419551929494,6.151133686714032,7.186613350663471,8.177870903581265,6.187404987802635,8.700995357548045,6.986683923329328,0.744114577267342,8.2977427642686,4.031633225399484,3.1531839048210255,2.3493483134251805
1970-08-01,9.060710570278335,5.585332499305,6.713679556618146,7.784324316307297,7.49283487065217,8.631755821302768,6.65316399169069,0.5552943031002048,8.943928570400935,3.800315627989936,2.322503238529452,5.699272423737205
1970-09-01,9.207387650311713,5.278314181136741,6.825514004275735,7.98105425976078,7.670026040878852,8.66269615666774,6.1637745185711035,0.316729523348155,9.401242056630569,3.4539520090447264,2.4317176364069724,6.643920821438553
1970-10-01,9.351559517814202,4.764585941053824,7.064808571885102,8.405080541683772,7.23281006261986,8.853271062919097,5.968850264433809,0.9362064411530531,9.425178768670122,3.123695335494949,2.925021838707989,7.499380888124259
1970-11-01,9.167521073875779,4.804395609873594,7.935686283522164,9.03158283772533,6.641328207205674,8.936259969633905,6.471287589005265,1.2636781342513945,8.865003760952687,3.0170370741754056,3.36213486261996,7.826395683195581
1970-12-01,8.623328888556916,4.502339671054272,8.358881998647133,9.199141298615201,6.1823796756125144,8.820004019955801,6.600026835668224,2.7642533235490188,8.405223683613631,3.0922099218322994,3.624095099262435,8.008232936401033
1971-01-01,8.084541326835177,5.1078169030315586,8.993452622504027,9.38635778233089,5.650437940331892,8.811195495336523,7.500008576621561,2.194611178340216,7.571563844594082,3.072835369731648,6.015618883578617,6.636680738498348
1971-02-01,7.781484420720523,5.5611815841120205,9.295921242490273,9.429796784097107,5.319708565430214,8.706533936051592,8.042630207914286,3.0052536951717954,7.152702411528885,3.3538872879578694,8.184784234191861,6.63012499579796
1971-03-01,7.674931692598154,6.2849142405159215,9.569027472043741,9.613510932885402,4.432415024974467,8.696543876141435,8.38154373783544,2.2804330005297304,6.700219267003453,3.584195022599964,9.15787122756138,5.6732787020067015
1971-04-01,8.186352805005281,6.749422714139976,9.64137084604992,9.764017415560211,3.6338101635344504,8.869426601716908,8.522581790233547,2.757318261070825,6.812791786795128,3.855563375620375,9.395348672803852,5.102144879142533
1971-05-01,8.570972808596832,6.7470479127698955,9.175687377362028,9.571658727045834,3.819981621179434,8.882165839206795,8.240732189092938,1.7792100469413434,7.1522871547807725,3.9004454574449943,7.597127336622574,4.407456144178326
1971-06-01,8.906490535474479,6.460208863338375,8.17671163332414,8.902622248955643,4.419409201857957,8.818462831457555,7.532251396393722,1.8706843453855007,7.7070532625795485,3.950439228561418,6.1833963947181125,2.799789100323617
1971-07-01,9.099135814200743,6.075913043710548,7.452529281336582,8.308032495203681,6.653454388088456,8.732481172923457,7.130264017403952,0.546766921568385,8.636161875188252,3.8583804450076813,4.194167878374022,2.574652396393854
1971-08-01,9.19139000864708,5.820817052168562,7.017930062843195,8.021877585377892,7.5192311554287965,8.609937508941691,6.7499748862622795,0.7103738265410882,9.087994247118159,3.8014105083688956,3.391627265749705,5.7063636907433555
1971-09-01,9.219164341091412,5.219671870420088,7.0794558307454505,8.118599211879443,7.649169989617898,8.621283980789238,6.235016494277342,0.6720096821174856,9.306090036903969,3.417286889456532,2.7064848423064656,6.910186538531089
1971-10-01,9.355306429690405,4.875063992814674,7.452152599452843,8.511284600576241,7.296769205768172,8.788409035511847,6.212392197752698,1.2105523771171485,9.30413382191522,3.091363828773167,3.257419022758725,7.597680602428758
1971-11-01,9.223616957660232,4.89643940546911,8.129435826080583,9.102330250505167,6.723047193278452,8.957420956145027,6.723695213668426,1.6377259979055738,8.931906836464103,2.98314679775601,3.8210531331116715,7.814819408008017
1971-12-01,8.709098508910795,4.670303443230253,8.4681094820026,9.22243285261203,6.118724887359979,8.853920854587248,6.811198337468651,2.9414600077172603,8.237505782781932,3.0566213482242213,3.8526794011972307,7.374624004058923
1972-01-01,8.26989244582241,5.597973117150373,9.126454437289365,9.448829611463674,5.709204083302326,8.874199353750102,7.827332788887285,2.6779377238101616,7.535848778173153,3.2617638877010298,7.445367657695952,6.7733862039006265
1972-02-01,7.921088550944089,5.778015786102569,9.367083149224923,9.517697261676538,5.0846868129252325,8.758629944655677,8.204016700059501,3.27299652876356,7.141923641420538,3.4200844561123094,9.179178791727555,6.092344376736823
1972-03-01,7.788522313366447,5.96592750929021,9.622739127198868,9.611585639425154,4.6498640888638425,8.729087515508148,8.447699808590503,2.9689744003465903,6.84938133883238,3.792038000410781,9.887380086313827,5.471338952332063
1972-04-01,8.257980106797369,6.81643236422846,9.66215640856988,9.74541565594997,3.9947171107262953,8.902300156202996,8.62750250897713,2.670575101766031,6.919305686782643,4.0083980524446075,9.758105251798844,5.020406142012896
1972-05-01,8.528247613414315,6.683160584983271,9.008204034620762,9.376539460925725,3.8590006883265033,8.854291594016392,8.107590599482982,1.850605755156909,6.8693052348402635,4.10346284917961,8.44320837339609,4.2599598209139025
1972-06-01,8.830408356466641,6.530645169808867,8.362360081129559,8.835602395612034,4.813893712450149,8.75676165072763,7.843025696292823,1.4527255835349324,7.7173928594421355,3.9911181776888602,7.283281894311695,3.6931743681489175
1972-07-01,8.944438843109031,6.10251167232274,7.501013495609192,8.123779474176652,6.414491217631797,8.59211413559709,7.369278644707816,,8.321084134343883,3.677256692852402,5.639017351364234,2.5195708834345694
1972-08-01,9.181734283537912,5.812479415428032,7.05966514318793,7.909885610868236,7.391160571811347,8.631283016621303,6.835497606790641,0.37378963607592075,8.871912445614138,3.8518401303473517,5.016075227672664,5.32085851840267
1972-09-01,9.348107058855328,4.864295034650704,6.791991653338957,7.88373441287197,7.569379175488864,8.689165060809287,6.163231962241022,1.1890853786464506,9.306320147915159,3.3368253024156727,4.188939062890147,7.662525507740501
1972-10-01,9.49759310958333,4.774367142362002,7.3635417499390865,8.527363805824717,6.999639561005223,8.928472949663446,6.242658999697833,1.633433432647464,9.14154002281289,3.0690477133194736,4.364262660869851,8.004319451336528
1972-11-01,9.259755966989331,4.617672056215486,7.933647474524317,9.094893006648368,6.3721166880658515,8.95708070242873,6.466589577971411,2.5357651651155497,8.62347667405061,2.991196074183783,5.1915533980124255,7.5559920724833605
1972-12-01,8.502608944613518,4.887881013959568,8.550676035849513,9.409845456417655,5.911361293472236,8.889008862195967,7.036045344053401,2.8042847017058565,7.697274654835363,2.895977351122076,7.269758157742274,7.039500283608881
1973-01-01,7.739788299645814,5.007166537246939,8.946841966087588,9.424590026764806,5.311306226156736,8.727924413467004,7.561219140605389,3.4793802020202667,6.906369776739198,3.115284755577086,8.349489000663999,6.5337380197431925
1973-02-01,7.425900869087417,5.4739727110492655,9.36696966999767,9.528507363895656,4.926183049552847,8.63837624245466,8.081812991246954,3.8651124911380235,6.63101103241486,3.3199935812114703,9.021760699790411,6.805102219360336
1973-03-01,7.491208751252144,5.9568376349509276,9.462319469534526,9.603704899450483,4.225340245994045,8.68106276011274,8.185984152970038,3.2981390701996354,6.30179474047366,3.648255287900213,9.246073542976893,5.471815714345367
1973-04-01,7.889792996044977,6.311390655921018,9.470959465113298,9.726868940077686,3.7546532355909727,8.806182164352546,8.117178663922287,2.0045821710178555,6.391470101383101,3.8348788570139014,8.31148074485789,4.444387919778434
1973-05-01,8.509028794274954,6.586161060040631,8.94907283237781,9.486687266510675,3.3129193784670767,8.867308806177746,7.984995618697856,1.427607158584556,6.929073668117779,3.9558599775561407,7.333520872149943,3.5538087606652318
1973-06-01,8.76042221812817,6.011739979638721,8.052661976440097,8.821936891248596,4.071113975897035,8.699821157672824,7.2546924283854635,0.6532233286006932,7.401213111073194,3.954618348577347,5.182417857238742,3.1035558645757613
1973-07-01,9.015207646426802,6.0368689930056085,7.282341897747023,8.29840413944006,6.216313644236568,8.661181307385169,6.920581976679674,0.713637364954935,8.41760143284371,4.031387790937643,3.786086680034011,2.690681482866442
1973-08-01,9.090598386246546,5.619026192605041,6.956546569801326,7.928319472011809,7.414579577514257,8.579380311418658,6.652523937669882,0.48107384862071245,9.015211048693322,3.823674107454519,2.6871863092830943,5.278043488455499
1973-09-01,9.200375743928648,5.243926958122279,7.00840402964129,8.07049012687368,7.536640993501124,8.63818879778047,6.25807443705364,0.677991661419798,9.39011234238476,3.535294779805897,2.5338594624099495,6.502706167765043
1973-10-01,9.316768798738918,4.754201814181699,7.313778232398269,8.527440831395845,7.285283432076907,8.766271537033612,6.0407586565618505,0.7410841881850818,9.34400909152161,3.1196630713216615,3.476482694361548,6.66745976397121
1973-11-01,9.136248907519965,4.6752909085571694,7.8986260589268324,8.98888382079488,6.553667876828373,8.819430886402563,6.1693109965065815,1.675520616740401,8.932572817654327,3.1478608899440457,3.6162676285715647,7.806427340456813
1973-12-01,8.649976775201955,4.675724013715051,8.571867670020898,9.25174209199907,5.780333246987327,8.759639111754328,7.034396644023986,2.2433933645636492,8.149014007623144,3.09636403903682,4.895840394258705,6.949847470649806
1974-01-01,8.007047077364618,4.859963793738581,8.999536387463138,9.308577756414897,5.667211827570648,8.662885009475247,7.247831552076164,2.9637474581908796,7.559328189558267,3.0470618053649714,6.7270139947972325,6.764819699038627
1974-02-01,7.777148111378323,5.534726123542485,9.36528885382341,9.390262050829781,4.8317974465312,8.625698347491733,7.931131523985613,3.261917014202956,7.097877595515873,3.495041523279053,8.772164827734994,6.500723792828624
1974-03-01,7.755551935770106,6.227637250945912,9.608835327950775,9.554687267445594,4.5771993264559505,8.689592020577267,8.38160233010303,3.1201862708117165,6.81294939313481,3.6920178126899774,9.72093643864678,6.157637636252276
1974-04-01,8.0634708754845,6.962147435717291,9.703175332108469,9.683353132184566,3.752596965652437,8.739916384626849,8.706613761339687,2.9302503213728155,6.607472592568914,4.060285054617622,9.703829252927036,4.925844075127782
1974-05-01,8.501038432553303,6.908805290804208,9.254279006359452,9.477692098883717,3.2254016779759254,8.821695054113507,8.452046001089789,2.263136154152398,6.865014321870725,4.449959189009847,8.593197947268253,3.833644564727723
1974-06-01,8.814028441770633,6.357749818750223,8.31523869500851,8.936621818158889,4.010661790750107,8.741035951220269,7.599070860669406,1.5542934668162236,7.611909571844057,4.026179076270998,6.933131610728818,2.8143468445306117
1974-07-01,9.012758060213509,6.276362904201194,7.748519507836022,8.408009003098636,5.838455519829797,8.645785892542024,7.454507489635207,0.7296247716307117,8.406925184195826,4.00691061463083,5.103126899551113,2.4213004750750113
1974-08-01,9.127894079519828,6.007711077803386,7.069944766382045,7.757540846305414,7.271098444863553,8.623462098159198,6.94618359213648,0.881598185584583,8.964905243091405,3.738129406960455,3.574646624520533,4.938766446973691
1974-09-01,9.321159800557469,5.499595648345259,7.139431471934316,8.105327314609758,7.621582399169937,8.659758674174581,6.496525321141441,0.7429808064273423,9.447348538401863,3.774901437064618,3.2032917250425177,7.128022551004937
1974-10-01,9.321704502508815,4.875007600956165,7.447844166550765,8.474233620588478,7.135579661557005,8.736826224557612,6.190334183523222,1.1672601085542096,9.285648547451972,3.2136205918149,3.0395373777986556,7.566777083050058
1974-11-01,9.140645248031158,4.665109447857603,8.04677462896686,9.02961149696794,6.359662657702011,8.811273262335652,6.681854431734684,1.374510803131213,8.908119642075315,2.9554198233560305,3.7846711873341854,7.45349088809594
1974-12-01,8.640953407612454,4.925470659325435,8.596569760315596,9.296473533781434,5.916949823762342,8.781575852660207,7.245395024980165,2.6547449843389215,8.088640658509046,3.0395171489288826,4.022476581589795,7.619603298194837
1975-01-01,7.986473174013811,5.514278547181779,9.002976589361278,9.372836500655405,5.438334628005142,8.659988110149163,7.745238314366892,2.044533092039944,7.415881346729516,2.8865959617843857,6.513777004740009,6.689435516576825
1975-02-01,7.817261760306215,5.547817311220845,9.378405262306353,9.524023199584338,5.263552097461831,8.673629492703247,8.072054365299403,3.0780799782341486,7.087425661618748,3.1524983309823713,8.301160916637041,6.365536817189645
1975-03-01,7.818288556720908,6.242371961305303,9.591661559264608,9.597638805456167,4.294475130925081,8.662936709520082,8.453419200775848,3.272273022212748,6.776246099031703,3.8131988276540048,9.519555551917254,5.540203286979295
1975-04-01,7.983981721602754,6.455972220487724,9.507736967065657,9.65475542921645,3.832032709887593,8.695679756878057,8.383889582853179,3.4948545922911927,6.666296815722348,3.8019996970215026,9.2626464818569,5.064379522763667
1975-05-01,8.393859284144057,6.790571584727739,8.97069325658476,9.397842090988812,3.6436672357395077,8.720344019744077,8.076473787128567,2.017757481128557,6.783052136290052,4.152518920982866,7.278897999378089,4.429065647216447
1975-06-01,8.784021337122473,6.4373501334303835,8.192861064236027,8.879361541293754,4.340692144438661,8.662307822564415,7.480283317640729,1.0092417509907414,7.4970339307963485,4.0851341018407545,5.547500343740408,3.4181432472407476
1975-07-01,9.04121773570383,6.227653052472827,7.624424902286496,8.3833900272064,6.131001340381852,8.607460536091425,7.143263347557582,1.4175254478410964,8.407306824194588,3.9712032681671268,4.839543223883516,2.655131039293284
1975-08-01,9.04203706052181,5.523682756159254,6.76820661240264,7.7688905309726985,7.595163872212926,8.474640161656268,6.398935293934925,0.8733276497640443,9.013575458835481,3.75347083169423,3.478224700993501,5.768604352844916
1975-09-01,9.184549280220464,5.279085341510336,6.788838505303423,7.875860199357123,7.613474710873705,8.533237225050028,6.058975659954559,0.8647974529495329,9.253539325052566,3.5944905725026794,2.8601396743806076,7.047546320454757
1975-10-01,9.198157088530214,4.9925183394190435,7.229656985732204,8.385212816444565,7.228479437379797,8.662133806016678,6.219271405923832,1.1629231351755054,9.363642820226373,3.3357763288312903,3.086162937181173,7.061959513304946
1975-11-01,9.077626536499391,4.554752961382644,7.776026904600445,8.849766927467392,6.446288293652595,8.710572774655914,6.264513349561742,1.3721834992094994,8.91646099662483,2.9102819901053127,3.7935578503152576,6.970671818001925
1975-12-01,8.636166551398718,4.38570293418527,8.362501111141594,9.104287869671268,6.136684383483049,8.69030080162057,6.595731163401472,1.6626469344804742,8.35651447186231,2.653289947388721,4.151989939366082,7.433623794671421
1976-01-01,7.900732505431454,4.7146777503869854,8.882907544878453,9.204577501718916,5.557092645181421,8.498317333139811,7.14678823831703,2.1500610422487356,7.646600903823939,2.9629240846997296,6.307890094016795,7.054867779905464
1976-02-01,7.562934529518565,5.464375509015295,9.306875559841279,9.345776584229782,5.055816139838364,8.512069302164623,8.014771742049641,3.6337337679980424,7.171606869088426,3.278681664314647,8.671267143551459,6.634341602978266
1976-03-01,7.588026605240555,5.951214596064906,9.416810819142926,9.444542639360378,4.681262792413139,8.572906427118852,8.127158983560795,3.548290699686512,6.892968917751794,3.765892454531541,9.458236955833785,5.958685424263312
1976-04-01,8.007408593728128,6.501454418998192,9.523164994716266,9.607925717788538,4.120429126174128,8.766817246848442,8.368285672996999,3.0003102177192504,6.814955435157476,3.9432322732695355,9.148757884771316,5.426243018345483
1976-05-01,8.406178587277099,6.618219608272733,8.952026664026288,9.357771268770453,3.6578672127858596,8.718617974676429,8.020419933071121,1.5386563229995602,6.804057430230761,4.0760255620773105,8.275181562998354,4.266032965055374
1976-06-01,8.78783327836994,6.479702116721358,8.376600906946985,8.814852953235464,4.492656201033261,8.655006682283377,7.834923050407518,1.4935401108613344,7.713182866787683,3.9882249574839386,7.360996640490771,2.937791166484621
1976-07-01,8.929150570490432,6.068034970168256,7.457882776561513,8.03932587779391,6.379558564470616,8.475891801203433,7.307053112786232,0.9241301679598459,8.467306757147107,3.8580807303123397,5.741708980049129,3.855506800731031
1976-08-01,9.047885391095159,5.736099063922683,7.098304459175542,7.769546545172387,7.316539705152072,8.472984930452755,6.892613552844839,,9.163330375672981,3.7715425095014736,4.311939159788348,6.122854521631835
1976-09-01,9.266735414124769,5.4947813457298675,6.928765378535803,7.735610739094985,7.466266987130196,8.54930229263476,6.410141799285736,1.4174298581680707,9.365400797128185,3.5505435744980365,3.990833507044203,7.26948190756268
1976-10-01,9.402416174824458,5.379831944618707,7.433109688614271,8.400830127415583,7.069223074109953,8.752482421592264,6.578740434290551,1.7376831534693205,9.298834494291574,3.566708361890444,3.8415766988377174,7.983958111893573
1976-11-01,9.161101688935997,4.912337730172561,8.006946722300848,9.0222343619122,6.355155606518361,8.847216876319884,6.647913367214104,1.6326167813301038,8.853888001580547,3.0328928135966553,4.1902164642150135,7.656783109010178
1976-12-01,8.555223189990135,4.656086108062943,8.512790771362447,9.271828697178961,5.8541726448863125,8.784769038715595,6.836212624686478,2.6985708550020338,8.149396808936183,2.956241847422006,5.018755059669681,7.94473657928746
1977-01-01,7.815558032953503,4.834165498251398,9.00492525647745,9.426986804483096,5.5578744476294055,8.702569320552366,7.370321913356827,3.6428278671988368,7.390004978679362,3.051961704248665,7.153332159175743,7.850635216215852
1977-02-01,7.345348066416073,5.209303533745724,9.221153892378455,9.332721401684573,4.616116170589891,8.528097833749367,7.691964065246328,3.2131977922780766,6.637097017232516,3.460210275519397,9.040931649902099,6.051198296160779
1977-03-01,7.558355135233922,5.853206491253661,9.408216229683822,9.459784939076624,3.9498734604717436,8.606905591815979,8.02487802270297,3.6437628094041545,6.500757700599133,3.589565098310881,9.677978938065795,5.41056095624312
1977-04-01,8.069289728945806,6.519648411087624,9.295675073552394,9.54921757056952,3.7439451330331193,8.768386715472584,8.180521827805414,2.2677202400243397,6.881104098850511,3.8511016613154045,8.805838530534569,4.981734277699818
1977-05-01,8.506333020886183,6.587816460596397,8.917410258575728,9.32025965389739,3.9659904011380704,8.794731422568361,8.080933013392409,2.7140220818841887,7.361765431308228,3.9839966323168077,7.554143912639037,4.789885097219381
1977-06-01,8.895562379680314,6.327539064718212,8.092251851912653,8.659412651589703,3.725031385465782,8.732085723135985,7.624284450601908,1.4716161954246099,7.6182440685609,3.918083318010263,5.778740836544945,3.3083852494209527
