,vo850GLB_cluster1,vo850GLB_cluster2,vo850GLB_cluster3,vo850GLB_cluster4,vo850GLB_cluster5,vo850GLB_cluster6,vo850GLB_cluster7,vo850GLB_cluster8,vo850GLB_cluster9,vo850GLB_cluster10,vo850GLB_cluster11,vo850GLB_cluster12
1980-01-01,-2.6923808e-06,1.048587e-05,1.7277936e-05,2.9702438e-05,-1.1314987e-05,2.0040825e-06,1.3956451e-05,-2.2480475e-05,-3.2925338e-05,7.4625787e-06,-9.443029e-06,3.1193376e-05
1980-02-01,-2.2285312e-06,8.45654e-06,1.2747136e-05,4.6748857e-05,-1.2988152e-05,1.6147751e-06,1.9746269e-05,-1.4454243e-05,-2.4021116e-05,4.654641e-06,-1.5907426e-06,6.586602e-05
1980-03-01,5.0025264e-06,3.7683567e-06,4.2404863e-06,5.2240488e-05,-1.4280304e-05,3.6026977e-06,1.5786994e-05,-5.2932446e-06,-2.3010587e-05,3.1388481e-06,4.107962e-06,6.715817e-05
1980-04-01,-5.0033414e-06,5.9964877e-06,2.691566e-06,5.299424e-05,-1.0188502e-05,3.130568e-06,2.4682937e-05,7.959556e-06,-1.9125859e-05,3.7932114e-06,-2.3776302e-06,7.406619e-05
1980-05-01,-2.8497598e-06,1.0833763e-05,-4.090187e-05,5.282858e-05,-6.0055827e-06,2.9317744e-06,2.948708e-05,4.2487736e-06,-1.857918e-05,-6.9581292e-06,1.6764388e-05,0.00013164962
1980-06-01,6.0793172e-06,1.2208737e-05,-7.46551e-05,6.468984e-05,-1.1886514e-05,1.1509328e-06,3.6477933e-05,3.685067e-05,-1.678177e-05,-1.7137936e-05,7.857215e-05,0.00014692347
1980-07-01,4.546964e-06,7.644805e-06,-6.406115e-05,5.7235135e-05,-8.299976e-06,3.0891533e-06,3.882202e-05,3.2145923e-05,-1.8256142e-05,-9.940006e-06,0.00014795885,0.00018729482
1980-08-01,3.0146039e-06,9.566458e-06,-7.784405e-05,6.208069e-05,-6.080132e-06,5.379916e-07,3.832504e-05,2.7805629e-05,-2.5926201e-05,-1.0014555e-05,0.00010111848,0.00017914435
1980-09-01,2.2856984e-06,8.365423e-06,-4.8903246e-05,5.8643243e-05,-7.397124e-06,1.3165918e-06,2.6049634e-05,2.9942643e-05,-2.3151399e-05,-1.0064257e-05,4.2640488e-05,0.0001345321
1980-10-01,3.3091055e-07,8.174917e-06,-9.981428e-06,6.01756e-05,-5.922753e-06,-1.3091194e-06,2.888242e-05,5.131369e-07,-2.5743975e-05,-1.781249e-06,-5.0102244e-08,0.00011731175
