,zgu600GLB_cluster1,zgu600GLB_cluster2,zgu600GLB_cluster3,zgu600GLB_cluster4,zgu600GLB_cluster5,zgu600GLB_cluster6,zgu600GLB_cluster7,zgu600GLB_cluster8,zgu600GLB_cluster9,zgu600GLB_cluster10,zgu600GLB_cluster11,zgu600GLB_cluster12
1968-12-01,0.069288634,0.37598228,0.027716065,0.004740906,1.1932236,0.26366195,-0.31143418,0.1885376,-1.5433136,0.006929016,-0.41573182,0.05069046
1969-01-01,-0.07762413,0.37949675,-0.013932419,-0.015922928,1.2317051,0.2040123,-0.36788636,0.11179199,-1.5123466,0.14496498,-0.107479855,0.042461395
1969-02-01,-0.00530777,0.4007271,0.026206207,-0.04810066,1.1700039,0.21728134,-0.5599564,-0.10051346,-1.6297783,0.25509873,-0.37783775,0.14728698
1969-03-01,-0.009619904,0.42593843,-0.045446016,0.015922928,1.0960286,0.2391758,-0.31547317,0.009288406,-0.98158264,0.15491676,-0.36324197,0.08658066
1969-04-01,-0.122075655,0.4587795,-0.014927673,-0.06667747,0.78851664,0.19936828,-0.22889213,-0.020235443,-0.5377304,0.11179237,-0.2441515,0.010283661
1969-05-01,-0.20202217,0.40371245,0.00033187866,-0.043456268,0.77657473,0.27599755,-0.054735184,0.4829956,-0.43423158,0.051749803,-0.30154076,0.0056396485
1969-06-01,-0.13633958,0.305521,0.078287505,-0.05705719,0.5728939,0.381155,0.03615837,0.64056623,-0.60938376,-0.11510925,-0.7009407,-0.1346817
1969-07-01,-0.04644241,0.18842125,0.07729225,0.030850982,0.6462059,0.116436385,-0.047436904,0.43157768,-0.49327928,-0.22424774,-0.5519951,0.08226852
1969-08-01,-0.06734085,0.13567658,0.028197099,-0.017913818,0.76861346,0.18112335,-0.009620285,0.14728698,-0.3675545,-0.20666619,-0.32642022,-0.09620132
1969-09-01,-0.13136367,0.3463238,0.026538085,-0.04710541,0.84424704,0.2915886,-0.11477776,0.31315118,-0.6186722,-0.14098434,-0.53938943,-0.05042229
1969-10-01,-0.18609925,0.3151413,-0.056061935,-0.066013716,0.83728063,0.013932419,-0.04975929,0.101176836,-0.7288059,0.068667606,-0.3857994,-0.040470887
1969-11-01,-0.14562836,0.24249306,-0.049095154,-0.10283546,1.3647277,-0.0308506,-0.17183495,0.19273376,-0.8833912,0.02919197,-0.07961464,0.11212387
1969-12-01,-0.055730056,0.2604061,-0.029855346,0.08790779,1.4134918,0.1894165,-0.28528556,0.2627285,-1.0718124,0.07662926,-0.3197855,0.083595276
1970-01-01,-0.051915742,0.32447395,0.05757294,0.116810605,1.0040394,0.27688447,-0.43995363,-0.03194847,-1.324187,0.13677827,-0.073214725,0.16406707
1970-02-01,-0.008985519,0.30483896,-0.06389618,-0.022629928,0.9700943,0.11082039,-0.4086708,0.03327942,-1.3345035,0.20566674,-0.4612524,-0.0013313293
1970-03-01,-0.022297287,0.32647094,-0.0915184,0.10050354,1.2263454,0.19934388,-0.52614707,0.0003326416,-1.1714348,0.2798794,-0.1587429,0.16905975
1970-04-01,-0.17305298,0.21032563,-0.0099838255,0.003993988,0.92084086,0.16173783,-0.16107216,-0.10216789,-0.8276585,0.15774421,-0.21065864,0.07787399
1970-05-01,-0.1431015,0.4738987,0.0076538087,-0.039935302,0.7015297,0.039269637,0.008985519,0.41699106,-0.85028875,-0.018636703,-0.44427985,0.14676285
1970-06-01,-0.12146912,0.30217665,-0.0009979248,-0.01663971,0.55110663,-0.013644409,-0.15142135,0.82366526,-0.7298172,-0.11947326,-0.4146614,0.24892959
1970-07-01,-0.15674591,0.22530136,0.19035797,0.023295593,0.50351715,0.10815811,-0.12246819,0.4299694,-0.3893692,-0.23495254,-0.48887405,-0.027621841
1970-08-01,-0.04725647,0.14077187,0.12246819,0.049586486,0.5580956,0.08253288,-0.041931916,0.2968521,-0.3707325,-0.20000915,-0.30983123,0.16107216
1970-09-01,-0.17571564,0.24892998,0.057240296,0.029286195,0.9870666,0.13345031,-0.014975739,0.45792466,-0.29052925,-0.16606446,-0.44527817,-0.047589876
1970-10-01,-0.17438431,0.2639057,-0.087524414,-0.03927002,0.71550673,0.105162814,-0.016307067,0.09784126,-0.75344545,-0.021631623,-0.25458756,0.06256523
1970-11-01,-0.10183487,0.2818764,-0.22829667,-0.112817004,0.9507923,0.18303642,-0.05357971,0.08319855,-1.1940644,-0.020633316,-0.53679657,-0.072216034
1970-12-01,-0.0672245,0.27455482,0.07155075,0.018303681,1.0459713,0.046923827,-0.28653565,-0.07254906,-1.2832534,0.05790634,-0.09551182,0.13977356
1971-01-01,-0.18650094,0.31714973,-0.042787552,-0.11595078,0.9122547,0.1420807,-0.38182068,0.20936432,-1.1369705,0.15220566,-0.09308739,0.09733315
1971-02-01,0.038541414,0.3713688,0.04703369,0.0117584225,0.97137296,0.20577164,-0.28154793,0.0029396056,-1.2463887,0.22700195,-0.27893505,0.056832504
1971-03-01,-0.12705612,0.32498854,0.06989708,-0.1603714,1.0455163,-0.015351105,-0.13620147,-0.030049134,-0.82994574,0.13489456,-0.23876075,0.08361511
1971-04-01,-0.062057875,0.42754784,0.013718414,-0.0901474,0.75416946,0.24170037,-0.15089913,-0.046706773,-0.8005501,-0.037561417,-0.05193291,0.01665802
1971-05-01,-0.1430603,0.34327927,0.023843383,0.032009125,0.714975,0.24333306,-0.031355668,0.25247842,-0.5376194,-0.09472008,-0.4223221,0.032009125
1971-06-01,-0.19107361,0.310944,0.15481873,-0.00065307616,1.0964692,0.070877075,0.0450737,0.6940716,-0.2802414,-0.20805816,-0.83876455,0.02090416
1971-07-01,-0.06891708,0.122809604,0.09080086,-0.025802612,0.64148486,0.2113243,-0.006532669,0.5078968,-0.33642045,-0.22928849,-0.57093465,0.010451889
1971-08-01,-0.012411499,0.14469376,0.062711336,0.100926206,0.6650017,-0.0117584225,0.05911865,0.2074047,-0.22928849,-0.24627265,-0.66434896,0.15645179
