,ssta20GLB_cluster1,ssta20GLB_cluster2,ssta20GLB_cluster3,ssta20GLB_cluster4,ssta20GLB_cluster5,ssta20GLB_cluster6,ssta20GLB_cluster7,ssta20GLB_cluster8,ssta20GLB_cluster9,ssta20GLB_cluster10,ssta20GLB_cluster11,ssta20GLB_cluster12
1980-01-01,-2.6729800718293775,-0.49793211521085246,-10.37922939368054,-10.578091939290365,-8.46744258654172,-1.1580469859082525,-4.952146965160704,0.9012034426541089,-15.417347740881223,-3.7204467081556136,1.7140332792626052,-14.650384856433405
1980-02-01,-2.1194082369907297,-0.9531044666099985,-9.513831349600734,-11.639493703842163,-9.808471322603966,-0.567820404724377,-4.271060876679002,1.0727866206713634,-16.692159593719797,-4.523323563968434,1.5536300634425846,-13.49426641696837
1980-03-01,-2.1725190200394007,-1.1044163427768496,-10.06816467352673,-12.024391690889995,-10.16095566422972,-0.517418335487203,-4.546464786194918,1.0798569989803175,-17.219354688506765,-4.799343744913737,1.5221030985722777,-14.69200273839439
1980-04-01,-3.0151176795685037,-0.5721379686659629,-11.574341132577542,-11.683873335520428,-9.555816214922901,-1.250616597329698,-5.698974843610797,0.769325061679975,-17.032971332982644,-4.1929405810786236,1.567472981624916,-16.55240175200672
1980-05-01,-4.263179679568723,0.16886569696282028,-13.079251230290508,-10.34175157546997,-8.11807771795961,-2.308661726916709,-7.046517991183097,0.2702788130877769,-15.155696868896484,-3.0855305054608517,1.8159291349039268,-17.95805582186071
1980-06-01,-5.1124818891072445,1.1435821925828216,-14.373456904318482,-7.495021820068359,-5.288865903741149,-3.1470778511791697,-7.9570572836357245,-0.4384731907890812,-11.499863064166197,-1.152967050963757,1.9357121490172784,-19.401193014005337
1980-07-01,-5.924835479516777,1.6873527010646434,-14.76417220799269,-4.761920124292374,-2.3876648243159466,-3.8375970067047493,-8.623649697554738,-0.8839860830677154,-7.752915018612577,0.4180046477738549,2.0591171712823253,-19.721492209085607
1980-08-01,-6.371698962698738,1.8599513337152813,-15.359699620609792,-3.1520823637644453,-0.792452529685138,-4.178384891370448,-9.154201641417385,-1.1904336954360684,-5.369435143224972,1.3483008216409123,2.0767850411177116,-20.672625564947364
1980-09-01,-6.584653579931466,1.915781145248938,-15.580606038591505,-3.7099716564019523,-0.9594436241611498,-4.275855712774323,-9.449959470514665,-1.0019305498088331,-6.276177868400652,1.2696498749302885,2.1125433114925585,-20.677729815971563
1980-10-01,-6.166037038075839,1.608056472528965,-14.8849563261049,-5.2778661251068115,-2.299337681025675,-3.9849054522630647,-8.987678393983003,-0.5427657809431694,-9.016749785118497,0.489445428053538,2.113981542257229,-19.74907293552306
