,vo500GLB_cluster1,vo500GLB_cluster2,vo500GLB_cluster3,vo500GLB_cluster4,vo500GLB_cluster5,vo500GLB_cluster6,vo500GLB_cluster7,vo500GLB_cluster8,vo500GLB_cluster9,vo500GLB_cluster10,vo500GLB_cluster11,vo500GLB_cluster12
1980-01-01,-1.5287806244422778e-05,4.165449034909707e-06,7.2013361511864315e-06,-2.4578764129293393e-05,2.52367762617436e-05,1.1026320601150116e-05,0.008788603008724749,-2.2616354221503974e-07,-4.164405264783138e-06,-4.0825552513858465e-06,6.262590029964407e-06,0.00046353251001654333
1980-02-01,-1.684762384170499e-05,4.303965279775275e-06,7.397331686688836e-06,-2.6349455409850318e-05,3.503700530640536e-05,1.120904213711756e-05,0.007907479205944886,6.438266455378977e-07,-3.868440061514983e-06,-4.4778675804174116e-06,4.760625448835241e-06,0.00048436144984757097
1980-03-01,-1.4135303052477985e-05,4.6624179084824325e-06,8.15084094525991e-06,-2.321605042316546e-05,1.1176537459265857e-05,1.0918547596234775e-05,0.006042924845435968,1.9328587950706056e-06,-1.2357167644404993e-05,-1.3229636210723319e-06,1.0640726457323725e-06,0.00040242647138746595
1980-04-01,-9.57425466187326e-06,1.2788914703342675e-05,4.722086067925212e-06,-1.5902365584738814e-05,-1.0313867374191576e-05,9.350909342748835e-06,0.0048248228267766535,3.840488652553687e-06,-1.2433123042727731e-05,-1.829618277416914e-06,-5.6269689207608545e-06,0.0003965591111829361
1980-05-01,-4.855518354380948e-06,1.4669022150847672e-05,1.4182044390798764e-06,-1.1429881396907149e-05,-8.385399340975136e-06,7.747802452867904e-06,0.003375016967765987,5.371747067850355e-06,-1.2601752840511499e-05,-1.933454612952441e-06,-3.1138762641342003e-06,0.00031926171616830217
1980-06-01,2.82735342402402e-06,2.0610930188752434e-05,-3.0030594675976755e-06,-8.24022614008003e-06,-5.497108041278184e-06,4.939525146262983e-06,0.0010860627905155222,7.816510923587708e-06,-1.094562490532328e-05,-2.316305018957446e-06,-1.3856135777526538e-05,0.0002322763136292521
1980-07-01,2.9908637449739064e-06,2.222607380290603e-05,-2.8436571693517465e-06,-7.929992307253997e-06,-2.6786907662761607e-06,6.773403613250287e-06,-1.4240156550234436e-05,6.621234823217103e-06,-1.1913012648018377e-05,-1.5847481688668475e-06,-1.1908983152028464e-05,0.0002003733103405326
1980-08-01,1.0148410172960647e-06,1.7860971567142905e-05,-2.635279028860393e-07,-7.38062809709252e-06,-9.748524869217745e-06,7.109620422749358e-06,0.0005200965460971929,6.549397745955673e-06,-8.669626264230361e-06,-1.8611933876508073e-06,-9.220791028191979e-06,0.00022691773875312018
1980-09-01,2.450466206664093e-06,1.3653140748886875e-05,1.3492684652180655e-07,-5.668233820474795e-06,-1.8818464971110715e-05,6.798957652746518e-06,0.001270435920256811,5.946572584211377e-06,-1.4025859345328548e-05,-2.2625772778265176e-06,-7.766630981642605e-06,0.0002420014845064053
1980-10-01,-5.846742523791946e-06,1.159363258635313e-05,8.953693001129374e-07,-1.3467351693733413e-05,-1.1415033297548929e-05,8.551911665371765e-06,0.003751552867470309,4.631343812679011e-06,-1.8810339767166568e-05,-9.655647848079797e-07,-3.4549299219339412e-06,0.0003141429400644623
