,r800GLB_cluster1,r800GLB_cluster2,r800GLB_cluster3,r800GLB_cluster4,r800GLB_cluster5,r800GLB_cluster6,r800GLB_cluster7,r800GLB_cluster8,r800GLB_cluster9,r800GLB_cluster10,r800GLB_cluster11,r800GLB_cluster12
1980-01-01,27.681152,60.84805,45.072914,75.67798,49.717453,43.1108,37.89914,80.94342,65.01021,66.085785,15.672169,79.37732
1980-02-01,28.966957,62.78409,43.633923,77.97092,42.19656,48.790176,38.27885,76.76497,54.427177,60.07396,19.708843,71.215965
1980-03-01,35.591537,62.29845,46.44835,76.64111,56.22307,46.815025,34.325287,76.14896,58.936455,56.369736,22.510233,78.63745
1980-04-01,30.74003,54.881855,52.82196,82.371,47.83845,37.447723,33.764683,80.72505,53.917095,62.45327,14.648739,84.14245
1980-05-01,27.958195,46.172935,54.212063,78.70753,56.912415,27.88975,43.822964,70.8004,45.317364,73.83972,15.36253,69.82749
1980-06-01,37.413498,66.96906,47.40496,80.79024,45.847004,21.229317,69.95297,68.91488,52.310246,76.90023,17.384941,66.9821
1980-07-01,48.922176,75.58509,51.312893,78.03937,54.384808,25.151917,77.53743,69.20659,51.38134,74.67248,19.37313,65.00369
1980-08-01,56.185585,71.02855,35.879986,80.51482,50.625175,22.81824,79.43109,68.029976,48.392536,78.050766,24.077969,56.381145
1980-09-01,60.47323,68.84807,35.205307,75.02286,56.320847,25.471329,72.853775,72.15465,50.07435,80.560455,24.966135,56.79345
1980-10-01,47.21592,60.287445,44.782833,77.76721,52.32654,28.002195,51.11896,69.75578,47.36911,79.724434,27.59804,59.52965
1980-11-01,41.970036,55.990025,39.76184,77.67758,45.162544,29.905642,56.627224,66.59261,51.723568,70.30661,27.469296,59.702396
1980-12-01,23.68033,62.177856,42.38886,74.71159,56.30618,34.06454,39.613544,74.57633,60.918125,65.816895,20.523674,63.347954
1981-01-01,30.237873,65.61586,49.101017,74.35528,37.122673,44.82971,27.310835,74.22852,66.99682,51.586082,17.537357,67.69564
1981-02-01,23.513187,66.17291,40.79523,75.02908,44.933113,52.776913,36.530594,74.89399,62.44865,63.491043,12.707325,73.12609
1981-03-01,27.008957,54.376358,41.87932,78.313034,54.11451,43.235264,35.52823,75.09914,66.908424,67.46381,17.153755,69.366806
1981-04-01,31.775612,47.261402,59.40486,81.446884,56.95649,34.620926,41.639153,64.555115,61.71147,68.81309,14.3818245,64.96874
1981-05-01,35.278053,57.30173,46.065567,79.10192,49.48128,28.31987,58.651005,72.14874,54.708256,74.13346,18.883297,68.48286
1981-06-01,31.678877,66.439766,48.325478,79.567245,54.871704,19.133469,68.87312,68.9732,41.480705,80.41784,20.41603,62.512028
1981-07-01,55.62056,65.562485,32.07582,78.05786,63.067413,20.142506,80.449524,68.33609,55.747314,77.24062,22.167252,60.332176
1981-08-01,57.943844,62.365257,40.278202,67.72566,66.46478,33.775337,79.47885,73.40629,42.072784,79.16029,22.12222,62.657127
1981-09-01,55.869064,56.754684,39.58105,81.34515,58.76275,27.090681,72.032,71.27647,40.11976,78.89511,19.753902,61.686455
1981-10-01,39.59606,50.982327,40.44165,76.60852,56.0175,28.62842,55.322018,70.289116,46.961193,80.50123,25.729733,61.998337
1981-11-01,36.857487,60.30716,41.944363,76.70025,43.176888,34.1556,42.081127,73.02936,61.005978,67.51385,21.827015,61.606396
1981-12-01,21.188236,52.00304,48.710747,76.18155,51.792892,34.110573,29.53405,75.923035,60.985966,68.84811,13.562923,75.52609
1982-01-01,27.595655,61.502922,39.606926,77.96674,49.91149,44.37315,24.536137,67.58979,55.40962,65.20105,21.021389,63.537777
1982-02-01,19.927555,62.665924,42.166176,78.14851,40.198883,46.560818,30.328634,78.779076,51.294872,66.38657,16.276077,66.63107
1982-03-01,35.8525,52.025166,47.276638,79.12331,55.72651,42.021404,36.54419,73.23269,65.059494,58.1989,26.31201,72.78872
1982-04-01,41.643387,52.800503,43.890575,79.33725,55.68308,33.486275,45.845,69.44287,62.439117,65.857346,20.472862,70.59301
1982-05-01,37.454643,54.86109,45.8257,79.288994,59.50989,28.592976,48.275566,69.224106,51.571545,75.6906,15.7404175,58.78442
1982-06-01,34.628372,61.1233,47.99889,81.771034,57.35922,23.377958,66.96083,71.378,51.005325,80.96031,19.03801,69.20641
1982-07-01,51.700233,61.334023,47.915245,75.42197,57.230534,18.91093,77.712585,67.00105,52.51578,72.671295,20.157581,61.782814
1982-08-01,60.3737,73.449844,36.745262,78.70186,52.650906,22.531845,80.41178,66.20802,35.061077,72.00534,21.420317,58.382275
1982-09-01,49.33401,60.265923,39.053574,68.28309,61.543137,31.3533,67.20695,71.519554,49.216583,77.83001,19.88734,58.7056
1982-10-01,52.898624,46.41283,50.95868,71.10132,51.853046,30.520056,60.838577,66.32545,48.26752,74.078804,19.211735,64.95493
1982-11-01,39.187088,57.265923,47.05948,75.37692,51.158142,34.77314,42.248215,76.9839,65.38282,65.53403,20.879833,68.5662
1982-12-01,26.147934,60.711502,39.243385,78.06969,54.417126,40.04446,31.321129,76.12009,65.30239,60.703457,19.636402,67.95654
1983-01-01,22.548618,54.224022,40.85636,82.312744,47.12585,43.82553,21.329596,79.78031,66.031906,56.53409,20.300945,75.169785
1983-02-01,27.055164,66.486244,35.794697,82.09198,45.46849,45.937225,36.289024,78.31172,56.03656,50.667736,29.84036,75.58412
1983-03-01,24.0508,56.4301,42.6481,85.04675,46.972275,47.185043,27.248737,79.57074,67.15175,45.404503,19.171509,77.1087
1983-04-01,36.23783,45.75165,50.370182,84.64841,53.705696,38.986233,42.006596,70.53845,57.652325,65.028854,15.002514,65.844734
1983-05-01,40.586,48.647232,46.535538,81.81682,58.956135,35.642715,59.34008,62.349243,57.517944,69.27783,14.850536,60.256744
1983-06-01,46.8107,60.202354,43.47678,81.727234,55.40145,36.348213,70.1913,66.892586,55.27987,75.86248,20.27855,57.231586
1983-07-01,40.835564,75.34895,38.610287,75.404945,60.23755,37.455254,76.18083,65.32001,44.511833,77.185486,19.561852,59.584843
1983-08-01,57.997875,65.94072,34.79964,77.930984,59.39927,30.008335,82.01359,75.79049,54.339203,74.77144,21.540764,59.79761
1983-09-01,49.152756,58.453808,39.77012,75.78729,52.057938,30.2531,73.04209,62.15567,39.14461,81.41688,22.340649,49.33673
1983-10-01,39.518955,47.189842,43.07684,77.20628,47.62178,29.542803,56.257328,68.786705,36.917732,76.09125,30.587452,55.841385
1983-11-01,33.994957,54.86393,36.772156,74.76024,42.33135,33.07509,43.670353,67.767654,58.084263,74.813034,27.375118,60.760674
1983-12-01,29.886753,55.988564,35.468346,75.56172,46.7931,43.041645,33.028698,77.24468,50.99889,68.601135,21.008041,71.421524
1984-01-01,29.355999,65.74211,38.399178,71.36598,44.449852,60.641884,31.256887,79.182945,66.61048,60.686203,15.7116165,77.90419
1984-02-01,11.945953,61.32968,45.42656,76.79616,44.32181,50.244446,19.917213,81.538536,47.870796,66.93878,22.07254,80.53064
1984-03-01,35.711998,55.94219,45.797546,75.57486,41.504948,54.292454,32.983776,78.50171,57.738018,63.13208,20.04361,76.99971
1984-04-01,24.101467,47.616356,39.029526,77.87136,55.334824,34.218204,30.864563,71.43657,40.57256,58.29778,13.495556,65.660034
1984-05-01,40.03578,54.522266,51.020885,82.80579,50.919113,23.170721,59.02498,67.41647,49.7011,74.05645,13.981445,56.498665
1984-06-01,45.022743,60.74694,45.58907,80.945946,49.70438,34.54487,67.06354,69.03502,48.826164,78.87598,16.806515,58.12706
1984-07-01,48.97062,64.2713,48.62754,80.423935,49.998215,24.66451,73.67561,70.97366,37.281296,78.1143,19.25896,59.732475
1984-08-01,47.50309,62.825115,48.6932,76.11493,46.386852,29.126184,70.064255,68.94637,57.85621,78.19638,18.045872,56.682518
1984-09-01,48.68335,61.09987,39.169052,75.671715,61.287003,24.193394,70.42375,60.705902,44.571323,82.95846,22.056122,45.254196
1984-10-01,41.82012,57.99738,47.05003,75.73245,51.71361,30.628183,53.900127,68.573746,51.56423,76.29878,23.979994,63.5835
1984-11-01,41.481968,43.149757,44.361206,71.44642,56.280342,36.59514,48.044796,75.74722,46.885876,68.51137,25.413048,68.49003
1984-12-01,34.50547,55.47107,48.99196,78.11759,51.22772,37.30756,32.670242,76.36608,55.293785,63.77556,22.38443,73.58041
1985-01-01,32.028015,62.575348,52.065884,74.16759,46.527336,51.353878,32.548073,77.35685,71.14403,61.18415,24.13033,67.52165
1985-02-01,26.153147,61.24977,46.561787,76.858116,41.0298,47.467377,21.293793,83.14313,56.23292,63.293915,11.1354065,80.67079
1985-03-01,29.796844,55.063198,38.13092,78.02948,48.54031,53.867226,34.521675,69.82008,68.0007,63.425163,22.222351,67.31822
1985-04-01,24.140173,51.604885,50.823975,74.484215,48.989822,38.04397,30.30378,67.065575,59.174458,71.42128,14.278732,64.52927
1985-05-01,34.808773,47.26887,46.527336,77.53731,50.766556,23.757921,41.572826,68.37803,48.504215,71.16535,13.604458,61.04634
1985-06-01,32.487373,56.034412,48.820847,78.9564,62.8969,19.640102,63.848427,70.791306,51.348957,76.35446,12.853081,61.71569
1985-07-01,53.115845,61.233368,48.78311,79.07616,56.510178,25.401768,76.37579,68.71435,38.691994,76.771164,21.708855,59.75686
1985-08-01,60.335976,54.43486,35.953888,78.470795,64.07811,24.932566,77.48153,66.63083,40.0471,77.87691,21.566124,58.10973
1985-09-01,54.6104,63.09869,30.833681,81.391,50.66484,25.188496,72.51062,65.057526,46.34195,75.03873,25.874252,57.583107
1985-10-01,34.938377,49.057087,57.487953,76.42993,54.726883,30.054413,47.636356,65.49391,50.947018,79.333725,31.010862,55.78833
1985-11-01,41.53181,63.7139,44.611153,76.72523,51.421143,34.992516,43.968052,74.087204,51.795193,71.391754,29.877232,69.47721
1985-12-01,23.369108,61.84202,36.613396,77.6095,42.959103,44.145233,32.42011,75.307785,55.4799,68.37967,18.439209,72.48601
1986-01-01,12.1860695,60.425373,41.488865,77.24926,41.43966,49.334106,25.94272,83.2148,53.032837,63.482773,21.417313,79.24215
1986-02-01,25.690123,64.2422,45.410667,73.14211,42.236813,50.939896,30.371353,64.55221,62.585564,56.146004,17.187145,65.674126
1986-03-01,17.055927,56.12796,36.858482,76.20771,45.73543,47.26085,26.77924,74.3198,58.839268,48.008797,24.807676,73.28317
1986-04-01,28.255451,42.491047,46.145493,79.80967,50.903812,35.416718,33.948708,70.77361,55.30456,57.609093,17.823559,68.9792
1986-05-01,39.735455,49.20289,52.658863,76.95402,64.3521,31.965662,57.45163,68.559296,46.865555,71.86601,17.265877,61.124115
1986-06-01,29.44626,56.816856,40.735996,81.36461,55.111015,20.465977,60.850197,66.86822,37.573624,76.91466,17.652973,63.75505
1986-07-01,41.023037,65.16237,35.397034,75.30722,59.601974,19.465431,77.657684,67.81627,48.425415,73.78837,18.336952,59.07218
1986-08-01,55.534195,59.01641,37.75405,65.40677,47.98255,25.076675,79.03548,63.6878,51.46477,74.35589,20.78254,58.43741
1986-09-01,62.91033,63.997807,46.960686,73.776886,51.52382,24.320528,76.092896,67.79167,49.265217,78.47124,28.209524,54.008778
1986-10-01,52.317696,59.62494,48.048164,76.420944,55.90817,28.542492,60.620564,68.556015,44.974365,78.180916,30.062988,59.605255
1986-11-01,40.658905,55.599804,33.586212,77.87747,45.928978,34.41125,47.506886,72.590996,49.954117,70.42261,35.502007,69.77963
1986-12-01,23.725122,51.24826,35.58238,77.10492,53.8956,41.849716,28.406353,77.847946,53.14601,61.042103,20.424969,77.887314
1987-01-01,22.356323,57.108654,35.58383,82.856834,48.674793,49.201706,25.31701,77.7676,58.52233,52.28609,14.648575,67.875084
1987-02-01,20.311314,54.515846,48.559128,78.99654,42.949406,47.335014,26.300158,67.74014,61.311127,50.660366,22.015755,70.93697
1987-03-01,16.518482,54.592953,44.795216,78.82947,49.016968,48.854713,26.566828,79.43991,63.688675,51.40897,22.923399,75.66315
1987-04-01,18.412487,44.00484,32.605473,80.41182,43.166275,32.301857,30.531546,68.93373,67.06543,61.69507,14.267849,61.18422
1987-05-01,33.99184,51.7399,47.604897,79.965225,56.962467,38.955772,57.82513,65.88951,62.01154,63.624416,14.274273,58.326344
1987-06-01,39.54373,53.86684,44.710075,77.42864,57.579346,21.316948,64.08065,73.68722,45.686794,77.25514,17.62051,57.931156
1987-07-01,45.3398,64.62684,45.410484,64.07422,49.8973,38.31801,72.634995,64.76339,50.800125,81.242355,18.772331,58.77936
1987-08-01,52.425854,69.475105,38.665,71.02533,52.660393,27.500175,77.31619,66.638115,49.577618,75.7242,21.602898,57.044395
1987-09-01,57.637177,56.24278,35.91958,71.79964,50.147907,27.654394,71.48959,65.27103,49.00251,75.33061,28.57489,55.524696
1987-10-01,50.260357,49.25633,43.314068,72.83259,57.41388,30.076921,58.369717,69.875114,43.41688,68.08874,22.934645,59.36411
1987-11-01,30.542791,46.1864,42.9478,77.49932,41.953407,35.360535,39.831284,71.565094,50.47723,63.091072,25.276848,63.121597
1987-12-01,23.872812,52.233078,41.76063,80.53069,54.51263,37.452133,32.102654,75.05913,62.814766,60.52718,22.33062,60.85811
1988-01-01,22.113642,57.435974,45.895836,77.77371,46.863213,44.51317,23.792711,78.21995,57.834976,63.590385,16.604149,71.37664
1988-02-01,35.37845,57.225887,39.25122,73.71203,38.298496,43.444817,30.404757,77.85026,68.49731,60.36091,19.903656,72.90262
1988-03-01,14.789906,55.97839,51.227814,80.22799,53.79609,44.322624,29.326635,71.22518,46.048923,54.71787,21.488266,61.707745
1988-04-01,20.162601,48.72631,39.690937,79.81107,37.922295,34.326385,29.601866,69.24645,50.918385,60.70617,14.084728,65.95346
1988-05-01,26.357729,58.662296,43.788452,80.345245,58.535267,32.11477,43.724937,69.13571,55.453987,60.95534,10.216846,56.16731
1988-06-01,41.163174,60.145935,37.966267,78.588005,55.929535,20.437832,64.999115,64.354195,42.578415,78.34372,16.011345,61.084
1988-07-01,48.09442,69.71712,26.665531,78.563576,60.157333,21.590866,81.14488,70.992294,53.949177,76.876366,18.493301,56.54677
1988-08-01,66.2124,75.30967,51.91345,71.52484,52.46228,20.639774,85.15771,71.04441,38.189384,82.41192,22.221128,59.095497
1988-09-01,55.825306,73.50357,36.03314,74.51329,58.823524,30.98616,73.251144,65.84923,37.427208,80.185646,20.918262,53.92149
1988-10-01,39.59322,52.374336,50.94607,76.46922,44.04088,25.538551,53.08277,66.86872,56.952286,77.29654,25.411522,62.215862
1988-11-01,34.62767,57.41806,39.414078,79.1857,39.863564,33.50721,52.31082,66.02186,45.013145,70.3262,29.311977,63.761387
1988-12-01,30.03344,53.193516,36.591743,76.81285,54.595726,40.376568,30.776073,76.03764,62.285892,64.56265,20.620232,74.938354
1989-01-01,17.089764,49.98049,41.63615,78.89842,45.43155,46.512226,19.182766,83.27159,46.43085,65.75124,14.428757,80.809135
1989-02-01,30.028618,58.419228,35.013737,75.192535,38.255775,58.547802,27.335058,63.391327,65.78705,53.481304,14.16835,58.168587
1989-03-01,18.704273,58.624294,43.75682,76.0242,49.970726,51.391556,32.52362,76.98282,53.948406,43.667305,22.192066,75.93632
1989-04-01,25.754726,49.35389,36.61197,81.07117,39.91748,40.51804,28.178118,69.34971,53.76612,65.611275,10.441311,67.619644
1989-05-01,22.945612,55.99095,46.479675,79.585236,51.90911,23.396439,48.418064,68.954216,49.59314,75.46596,13.151146,65.4827
1989-06-01,37.50874,58.778908,45.69358,80.11092,51.19788,22.418293,64.58919,69.99747,57.273445,78.130226,14.858425,63.1179
1989-07-01,51.375282,59.7066,42.00397,77.59314,52.778214,24.516178,76.950264,64.8561,50.13185,73.892136,19.420387,56.194393
1989-08-01,60.574074,66.55687,45.571514,75.32599,56.488976,25.922363,82.511536,65.95143,38.83029,77.14232,24.005135,58.972584
1989-09-01,50.100925,65.04489,38.87749,72.35901,60.79867,28.407598,69.80867,65.38179,59.980026,81.325066,19.076977,58.075817
1989-10-01,44.927013,49.490604,36.291348,75.71335,47.70032,27.899809,54.82727,68.708466,43.78286,74.50897,27.77449,56.290417
1989-11-01,49.83401,56.943058,38.96375,75.158356,51.02211,30.494091,46.30716,67.259964,53.578957,71.5664,25.650566,63.275772
1989-12-01,21.840523,57.95701,40.25438,77.64685,44.94166,40.47084,33.446426,72.74636,52.089767,65.78705,21.318085,72.183235
1990-01-01,31.635,61.059788,40.607613,79.07219,50.1832,43.650368,31.998755,77.28783,43.008064,62.932632,20.761688,61.21381
1990-02-01,24.79576,55.79354,33.873238,80.71564,40.91893,42.993317,22.395308,78.34468,52.092094,61.826622,20.21278,79.44742
1990-03-01,26.670242,48.937916,43.873207,78.04974,55.82959,38.837994,26.508028,73.7404,49.498295,63.891174,18.764317,69.383545
1990-04-01,36.260582,50.525654,46.232697,80.00288,49.85058,33.18997,39.218132,75.61161,50.466667,67.92852,16.134472,68.43319
1990-05-01,26.897999,52.259224,43.83552,78.51181,51.577595,24.858025,46.227783,66.41615,54.438473,73.01289,17.43219,61.054874
1990-06-01,32.71971,59.32458,35.482277,78.04319,52.77864,22.898338,66.93721,66.252304,45.19223,79.65059,14.664707,51.98723
1990-07-01,52.873676,57.01261,33.86013,79.94717,59.331135,23.719242,78.30536,65.45598,59.889877,74.76449,21.697292,51.77422
1990-08-01,53.701134,62.865456,42.35101,73.427444,48.536476,20.248829,78.73138,70.0111,42.4526,74.33355,21.272911,58.502037
1990-09-01,56.35556,60.909042,33.05561,77.82035,41.46129,24.833447,70.486275,72.27883,52.0626,76.350586,24.690893,57.10273
1990-10-01,39.32628,56.750446,37.81555,77.39269,55.364246,26.406439,54.192696,69.35405,35.716587,79.32944,21.09431,54.672783
1990-11-01,31.977453,53.97477,39.005127,73.15053,48.11537,31.684156,38.7872,72.640945,47.029026,69.80301,23.434137,60.907406
1990-12-01,26.927492,57.07815,35.15293,77.381226,53.243984,41.843063,43.27023,70.40599,49.599884,65.223305,25.37744,64.36963
1991-01-01,37.783577,59.679237,41.355656,75.284615,41.683685,50.11524,32.182323,75.68353,62.59855,63.77221,17.142345,74.485146
1991-02-01,20.282543,62.893616,43.05021,79.21439,40.26112,42.641403,29.195429,73.38896,57.44731,54.218098,17.729176,66.67669
1991-03-01,18.400074,51.926826,37.33686,79.596825,41.233673,47.301422,24.8008,76.60498,53.62962,43.85957,18.952286,74.61867
1991-04-01,23.025476,45.677753,36.32145,79.24242,58.076996,33.921383,28.219578,79.94134,47.837154,65.326645,17.261032,77.56105
1991-05-01,22.499638,49.965233,39.13856,77.17533,47.415165,24.748053,39.96441,70.09381,36.29013,72.515305,34.12249,64.10519
1991-06-01,36.944542,68.77015,44.47937,75.22527,65.5772,32.205402,64.44311,68.63663,42.76009,79.17978,20.622112,59.47484
1991-07-01,43.00405,72.07354,40.623768,80.373215,56.548935,25.697529,77.46215,72.310905,38.1726,70.62789,19.942974,59.796276
1991-08-01,52.073536,62.583717,41.754566,76.13025,48.625088,24.543652,80.66334,71.41253,41.612804,73.055984,25.938194,57.488518
1991-09-01,48.32673,69.57457,41.035866,73.02796,52.699924,30.553707,67.30967,61.568302,59.651215,73.85216,23.231527,53.205982
1991-10-01,46.88108,63.299118,28.971247,73.12027,41.88644,26.584366,57.02697,69.42621,38.456123,75.39176,21.13971,61.471046
1991-11-01,29.432796,48.278923,33.84556,75.69507,48.83773,29.866325,33.146637,72.92741,51.308678,69.71633,19.929787,65.49643
1991-12-01,40.839706,53.820835,39.802864,79.671005,47.812428,37.669838,37.98798,79.86716,63.592537,67.426704,23.60736,75.810455
1992-01-01,22.341122,59.968422,44.262985,72.035324,52.28168,39.090996,38.205246,80.38921,64.50565,59.437298,24.454287,69.556206
1992-02-01,43.890553,58.371807,45.500122,75.4763,44.261368,40.354034,38.47081,81.37859,55.94774,48.001915,25.26393,73.55745
1992-03-01,22.354076,52.999023,44.896126,84.184814,42.773247,37.300064,34.671967,73.91208,39.09909,58.554787,23.372606,73.52507
1992-04-01,32.24628,47.214943,40.239067,76.4835,53.993263,34.773983,31.86413,73.54612,50.1167,57.745144,18.796509,68.95383
1992-05-01,38.15667,63.192417,49.200184,79.9601,52.5521,31.915947,52.522953,65.2651,48.89576,69.04613,22.266634,53.361744
1992-06-01,34.089027,54.74623,56.22302,81.23772,51.01702,33.93843,65.519325,68.24458,45.59404,78.327866,12.9039345,58.63575
1992-07-01,46.83279,65.10803,39.440758,76.61466,59.017902,34.717308,79.06464,66.615585,41.11348,77.370865,21.181713,53.0136
