,zgv200GLB_cluster1,zgv200GLB_cluster2,zgv200GLB_cluster3,zgv200GLB_cluster4,zgv200GLB_cluster5,zgv200GLB_cluster6,zgv200GLB_cluster7,zgv200GLB_cluster8,zgv200GLB_cluster9,zgv200GLB_cluster10,zgv200GLB_cluster11,zgv200GLB_cluster12
1980-01-01,0.38560754977739775,-0.6637803520925245,0.052338600681539164,0.06554349903697984,-0.06831297103096458,0.20405734747143114,0.30635332700758205,-0.029062856920063496,-0.6718040315004495,0.13720051908533867,0.23320850322343953,-0.3147630437030825
1980-02-01,0.054867451007549584,-0.2029940600831078,0.020863560453188,-0.09698681816364715,0.4224187486311969,0.34090154251809845,0.43546668139183753,-0.3236371899644534,-0.5463338356751661,0.04410896552343891,0.24382265327667046,-0.25465400102212254
1980-03-01,-0.29549710770957494,-0.24578174174094514,0.05300498690064016,-0.022030953283703653,0.13171568512916565,0.007949893673261007,0.1798216181105208,0.27406269063552224,-0.36941992548795843,-0.31483092740790486,0.24237311304568399,-0.18757737571328775
1980-04-01,-1.0624162661723602,0.18414444893204693,0.06810974689167842,-0.23554242205370318,0.20167796050800998,0.8566986032798465,-0.004106488070786643,-0.13273855050404867,-0.44789516581938815,-0.0059525137894774136,0.3112577841506335,-0.0463583805883156
1980-05-01,-0.13347905543115404,-0.7023054203798067,0.06605432613899834,0.012284683900962181,-0.056094040765481835,0.13761712753840086,-0.06866040669751734,-0.41826645533243817,-0.2687712629827169,0.31295294222766407,0.17294726577681716,0.046049841260377485
1980-06-01,0.41830511684091687,0.2566432014173348,0.08739971098277652,-0.16554385197237817,0.6761726211099064,0.15631071423406653,-0.2588431115541808,0.06918148292849462,-0.06414237790382825,-0.5309515517868408,0.04474698792527666,0.08482941980609715
1980-07-01,-0.6754481639617529,0.07644400066216087,0.10473109716386125,-0.08289331234906107,-0.2653304794255425,0.10380938144053443,-0.1992066899720845,0.12636405726273855,-0.3743761978470362,-0.06734959985295387,0.24082072767334764,0.07369206302968906
1980-08-01,-0.04094244323225103,0.08570669005555204,0.10378624541325528,-0.026878634539279026,0.01404885750483064,-0.15908454855283102,-0.3185673711366839,0.446233240266641,-0.10577863512130883,-0.3904286108604849,0.18159429514598677,-0.04532576548223643
1980-09-01,-0.44523517036030436,0.16983559412578128,0.0971897897359572,-0.10180933520607992,0.33281154492322135,0.057086862076473774,-0.24356912362910244,0.7563155144453049,-0.2884725882456853,-0.48600645506218687,0.19650602709918844,0.0386304340462914
1980-10-01,-1.1589526620685546,0.49290057714815183,0.044268154980320676,-0.16628703991070798,0.2258701534832225,0.02722983895722082,0.054553045627719385,0.6896426528692245,-0.47874048352241516,-0.30881647173672505,0.36149197398663413,-0.048243643274319535
1980-11-01,-0.5495102741779425,0.10156912958897683,0.06491567220604211,-0.042831335310747315,-0.35152414265800924,0.11000460234739012,0.20834435557958633,-0.2818441018462181,-0.9655001759529114,0.6718799471855164,0.47532308906263826,-0.26976034506080077
1980-12-01,-0.22374398162604398,-0.1487299094247398,0.104052267168044,0.026975112535708813,-0.7165304352255428,-0.1772182572654075,0.017460420743821765,0.858717237909635,-0.4733718415865531,0.21134660872694563,0.41429722420275744,-0.36485537989033046
1981-01-01,-0.5855346082622169,-0.1313558102704355,-0.03520101284314143,-0.03461694097095126,0.6336087339064654,0.34698231913949135,0.35379980700834784,0.45671354979276657,-0.4228163625185306,-0.770683280409199,0.46496603432811173,-0.38360895595394867
1981-02-01,-0.06981201660938753,-0.0302037265200972,0.02310702046216057,0.03444773220850172,0.316664646653568,-0.12119653618941872,0.2112835356020258,-0.05672923056408763,-0.3175462667758648,-0.06030370698195615,0.2569620313906966,-0.33379042988380614
1981-03-01,-0.5304248669208624,-0.2472877666551111,-0.02462720237018769,0.06084963348224212,0.059577989227631516,0.4499627035216423,0.31921010359832075,-0.07194629870355129,-0.5063682722930725,-0.07260075247246925,0.22882019859435926,-0.2574743555788322
1981-04-01,-0.7244360497874073,-0.04844927241295445,0.029458545573186456,-0.041175690541522356,0.5772468272377463,0.11116554539671725,0.20536678495211427,-1.1271472771962485,-0.34095154931912053,0.23112830846277002,0.22804334389168246,-0.07406310962442679
