,mslGLB_cluster1,mslGLB_cluster2,mslGLB_cluster3,mslGLB_cluster4,mslGLB_cluster5,mslGLB_cluster6,mslGLB_cluster7,mslGLB_cluster8,mslGLB_cluster9,mslGLB_cluster10,mslGLB_cluster11,mslGLB_cluster12
1981-09-01,101707.72,101316.11,101281.36,101349.73,102322.87,100780.516,101887.12,101985.51,100984.14,101912.484,101566.87,101249.28
1981-10-01,101737.68,101147.56,101881.195,101331.555,102118.04,101162.54,101739.21,101878.53,101007.71,101788.664,101399.79,101352.32
1981-11-01,101821.29,101018.83,102430.57,101465.555,102175.69,101379.55,101625.58,101708.586,100931.42,102048.55,101174.92,101895.04
1981-12-01,101743.266,101067.75,102819.984,101447.25,102010.87,101699.6,101603.875,101951.36,101105.03,101416.76,101238.625,101823.15
1982-01-01,101769.09,101105.3,102528.914,101464.836,101896.55,101642.836,101483.586,101861.45,101081.32,100857.29,101006.44,101744.93
1982-02-01,101765.19,101141.05,102341.78,101378.06,101923.95,101505.16,101399.45,102325.92,101011.43,101014.195,100950.07,101769.21
1982-03-01,101541.09,101074.23,101832.37,101520.24,101901.12,101384.85,101451.49,102093.48,100987.51,102653.61,101133.12,101556.12
1982-04-01,101561.23,101142.98,101606.77,101480.4,101928.64,101052.35,101585.51,101925.63,100987.875,102382.65,101287.62,101003.62
1982-05-01,101500.47,101193.39,100934.03,101534.37,101852.14,100870.99,101710.74,102128.99,100964.375,102083.74,101499.51,101190.51
1982-06-01,101555.16,101347.29,100684.82,101463.21,101984.05,100334.29,102015.3,102227.305,101061.43,102032.06,101771.914,101134.44
1982-07-01,101831.766,101358.11,100288.74,101322.234,101949.25,100158.64,101979.9,102224.9,101038.11,102232.66,101790.125,101000.49
1982-08-01,101837.59,101397.11,100514.875,101362.49,102025.99,100297.76,102068.234,102085.84,101063.89,102195.09,101777.266,101002.35
1982-09-01,101657.5,101299.4,101354.266,101326.74,101922.99,100892.02,101824.13,102074.484,101103.13,101955.984,101621.26,101279.625
1982-10-01,101721.26,101180.11,101764.766,101340.625,102107.6,101223.375,101755.99,101922.99,101041.35,101920.89,101366.766,101360.875
1982-11-01,101717.77,101099.1,102192.51,101371.99,101900.63,101267.37,101668.25,101960.85,100989.49,101657.13,101149.766,101840.72
1982-12-01,101702.15,101092.016,102616.66,101497.766,101818.01,101601.01,101620.9,102168.11,101044.9,101640.73,101099.34,101956.766
1983-01-01,101682.97,101115.055,102848.805,101476.55,101609.96,101716.32,101503.41,102101.586,101179.7,100420.54,101178.414,102475.55
1983-02-01,101428.41,101133.305,102384.55,101623.97,101733.93,101595.305,101532.71,101782.7,101156.055,100232.82,101073.664,101946.71
1983-03-01,101346.41,101088.125,102001.27,101716.51,101691.766,101458.484,101539.66,101925.5,101094.62,101017.11,101179.51,101729.875
