,vo850GLB_cluster1,vo850GLB_cluster2,vo850GLB_cluster3,vo850GLB_cluster4,vo850GLB_cluster5,vo850GLB_cluster6,vo850GLB_cluster7,vo850GLB_cluster8,vo850GLB_cluster9,vo850GLB_cluster10,vo850GLB_cluster11,vo850GLB_cluster12
1965-01-01,-3.880515027448944e-06,9.411698107311017e-06,0.00020020507851286845,0.00036022487192359916,-8.343210172117526e-06,3.3593738111229747e-06,2.0623791849510254e-05,-1.3585310625785496e-05,-8.954045128752002e-05,6.87038214602415e-06,-0.0003056124842260033,0.0008348419820928636
1965-02-01,-4.273090992736079e-06,8.99469460144066e-06,0.00019949627184199498,0.00041737657738849515,-8.155919528218402e-06,4.3027334656957e-06,2.4119738219796044e-05,-1.1464017916296143e-05,-8.665316569504842e-05,6.6991912655628925e-06,-0.00034889744711108506,0.002276331603449459
1965-03-01,-3.894265875191967e-06,9.36883067263744e-06,0.00011984124926932375,0.00038114924202947053,-7.899859610915883e-06,3.3600060200041406e-06,2.5522489235491346e-05,-7.881884812377393e-06,-7.260899351700684e-05,5.518390211860109e-06,-1.3162476761863218e-05,0.0031328716431744397
1965-04-01,-2.6880658491456073e-06,7.768675875248991e-06,-1.3091791034265257e-05,0.00040582107270465176,-7.659789431542137e-06,3.0579658604279617e-06,2.8497601497771318e-05,6.622523187616025e-07,-6.825657506777468e-05,1.3348457579680102e-06,0.00013687034879694693,0.0013874950430666408
1965-05-01,-6.375493459933705e-07,7.581607438584415e-06,-0.00023328382881385656,0.0004335823177825659,-8.311688233149011e-06,2.665818876669499e-06,2.9378771662442504e-05,1.0865849617403e-05,-5.2066359191429705e-05,-4.346218428384996e-06,0.00041820738260867074,0.005645310739055276
1965-06-01,1.4138322000354666e-06,7.376704267416499e-06,-0.0003941783849286901,0.00039934684002005,-8.161517210207117e-06,2.5278199272859487e-06,2.9709125029560377e-05,2.2397263819584623e-05,-4.5184216495337235e-05,-9.399019828296414e-06,0.0008712021372048184,0.008158218891670307
1965-07-01,2.0222284992214445e-06,9.619239676948934e-06,-0.00045959540704429587,0.00040688862688565515,-8.294714577745993e-06,2.054971685540626e-06,3.077810106333345e-05,2.503265750419814e-05,-5.2294311973703453e-05,-1.324645195795297e-05,0.0011450109741417691,0.00823194665523867
1965-08-01,1.5674876176074386e-06,9.037567219123393e-06,-0.0004309542846920735,0.00040625463417895576,-7.476002079127081e-06,1.2700125184410403e-06,3.138860943420839e-05,2.1993506379658356e-05,-5.689976669786194e-05,-1.1412339311143361e-05,0.0009923952165991068,0.007636875670868903
1965-09-01,1.221855182645945e-06,8.619009057316408e-06,-0.00035115427796400203,0.00037623493185759904,-6.714169315997693e-06,2.0249611991935225e-06,2.7754808558567772e-05,1.610185245226603e-05,-6.132013368187472e-05,-1.064331420572919e-05,0.0006019652573741041,0.006101848945642511
1965-10-01,-7.010037273122108e-08,8.061106434799421e-06,-0.00012071499547934816,0.00029932803847580486,-7.016927838776609e-06,2.6895498438826976e-06,2.2129365549373785e-05,3.5744471915677423e-06,-7.539429691173516e-05,-4.877075196222077e-06,8.904101377993356e-05,0.0033311671965445084
