,mgu500GLB_cluster1,mgu500GLB_cluster2,mgu500GLB_cluster3,mgu500GLB_cluster4,mgu500GLB_cluster5,mgu500GLB_cluster6,mgu500GLB_cluster7,mgu500GLB_cluster8,mgu500GLB_cluster9,mgu500GLB_cluster10,mgu500GLB_cluster11,mgu500GLB_cluster12
1966-10-01,-1.6733162,0.82287234,0.47396392,-0.039715957,0.92954713,-0.8031786,-1.1212333,-0.250111,1.2755013,0.51564944,0.10569,0.52680933
1966-11-01,-0.87867165,-0.26061457,0.40175325,-0.45853728,1.3493531,-0.6282322,-0.92166936,-0.5218857,1.84137,-0.26291198,-0.40142554,0.2829342
1966-12-01,-0.13884124,-0.37089977,0.89803696,-0.47462043,0.814995,-0.7637909,-0.7926754,0.20481567,2.3176315,-0.44540787,-0.84453547,-0.33774835
1967-01-01,-0.3957714,0.14074059,1.0446144,-0.2697254,0.8382387,-1.4978573,-0.7291727,-0.46075362,2.5757797,0.19037513,-0.97408104,-0.71317255
1967-02-01,-0.7050087,0.45814133,1.6630894,-0.02938881,1.7545211,-1.49198,-1.2506638,0.2393566,2.7723594,-0.029715728,-0.721336,-1.0420024
1967-03-01,-0.29127732,-1.2467453,1.3724648,0.33405456,1.2372757,-0.68508947,-0.9796322,-0.20506974,2.2678485,0.17502746,-0.7709705,-0.45226365
1967-04-01,-0.7197029,-0.17143555,0.9633053,0.175354,1.3629951,-0.82387084,-0.540757,-0.88264847,1.5141847,0.28899154,0.19070168,-0.77946055
1967-05-01,-1.5236546,0.8359531,0.368668,-0.08653412,1.3551579,0.07543163,-0.7680319,-0.69586563,0.97310144,0.2099678,-0.036899567,0.1978859
1967-06-01,-1.8580357,1.6072499,-0.37617874,-0.093717955,0.7722767,-0.3921795,-0.09469776,-1.1370265,0.23282585,0.14465943,0.40915984,0.54108393
1967-07-01,-2.0222874,1.1840489,-0.3343811,-0.10873947,0.7931759,0.3118496,-0.028082848,-0.94403875,0.14204673,0.10873947,-0.13518944,1.3189118
1967-08-01,-1.8746898,0.76248056,0.14465904,-0.19821243,0.72362137,1.3071558,-0.56132925,-0.58908576,-0.3500553,0.109391786,-0.0976368,0.60378
