,r700GLB_cluster1,r700GLB_cluster2,r700GLB_cluster3,r700GLB_cluster4,r700GLB_cluster5,r700GLB_cluster6,r700GLB_cluster7,r700GLB_cluster8,r700GLB_cluster9,r700GLB_cluster10,r700GLB_cluster11,r700GLB_cluster12
1983-10-01,40.901154,43.83673,37.35767,10.583954,31.395334,70.524055,69.25384,28.797312,70.13691,50.414974,28.558947,53.07539
1983-11-01,31.592106,43.854324,47.27143,19.307487,39.29659,71.531906,72.160614,39.274193,70.14171,57.06521,27.343122,47.68897
1983-12-01,32.3248,49.442314,43.710346,16.787853,44.758194,66.0511,72.19261,38.813457,63.411488,64.94407,13.6587105,40.99874
1984-01-01,38.111908,43.389423,33.36625,16.204075,34.477566,62.80213,69.473305,29.275564,56.46912,58.68682,18.768143,28.287363
1984-02-01,36.234,46.75948,31.92499,22.139843,31.900368,69.01696,67.16039,33.61248,52.18801,59.299114,13.275589,39.85357
1984-03-01,30.874413,50.037613,42.701622,18.883049,44.632057,68.16665,65.16922,34.24283,62.56904,64.57498,22.842415,45.16063
1984-04-01,31.874104,55.497334,36.068207,23.892994,40.87296,69.99039,72.65623,37.259956,57.859493,64.52081,19.390282,55.098442
1984-05-01,29.086788,44.26928,36.056717,19.59383,39.63689,74.51608,62.56904,34.861687,62.662605,53.010418,25.5099,61.050625
1984-06-01,49.622307,56.36406,28.558216,16.432247,38.45663,73.69696,64.22862,21.77214,66.94207,29.029335,22.026577,59.944233
1984-07-01,42.770565,50.086857,25.43603,14.089787,34.84691,71.214966,58.299423,24.959986,68.17486,28.256174,27.185898,67.078316
1984-08-01,50.92732,50.198483,24.382168,15.974262,45.813957,70.50418,56.16872,25.56571,64.35995,37.6966,24.515133,63.85271
1984-09-01,54.100395,41.17336,31.089453,22.960606,34.646645,66.72539,51.00283,23.661537,64.65378,37.827927,35.547844,61.772896
1984-10-01,50.40039,60.034515,40.149048,14.631493,36.396515,71.91261,61.699028,31.98901,64.79823,46.23419,46.434456,57.24228
1984-11-01,35.36563,38.111908,31.585194,16.246754,42.718037,68.25693,70.56656,37.61781,68.66239,58.197647,32.361637,51.257267
1984-12-01,20.191349,42.273186,41.439285,22.175957,47.117332,70.45822,66.96177,38.001926,66.262474,62.05688,12.52541,45.873055
1985-01-01,28.24651,46.387886,40.634422,19.89767,31.852472,68.54701,72.940445,26.56821,59.258125,68.79473,16.678879,46.327187
1985-02-01,32.841736,49.687065,57.04008,16.567322,29.317799,69.68064,57.317337,26.558367,40.764027,57.168045,9.652336,31.716307
1985-03-01,31.20609,44.26007,39.27439,17.192379,30.343153,72.0004,68.75372,30.677828,60.37699,56.595486,27.549269,46.130318
1985-04-01,47.53464,46.025322,48.14329,22.726006,41.09378,67.04097,64.48825,26.471416,68.084366,53.24217,13.273064,50.443367
1985-05-01,46.118835,48.845455,31.542406,16.849499,47.797134,70.07274,68.20905,30.444868,66.44872,46.988335,17.584473,61.801003
1985-06-01,57.6192,50.737026,26.374624,17.640251,38.45739,73.65409,55.70958,23.46262,72.594284,28.577904,19.994465,65.94671
1985-07-01,50.23337,55.340454,34.787445,16.631302,37.66992,70.93567,40.790276,20.926304,70.92419,25.221306,31.450535,74.58101
1985-08-01,44.2207,50.24814,25.934952,15.484547,37.371338,70.44022,50.356415,21.133015,70.13344,31.832787,32.10676,69.87423
1985-09-01,53.176548,33.356873,39.558212,10.976273,34.438004,73.72135,60.944626,30.438305,68.95879,41.133156,38.081703,64.368484
1985-10-01,47.12614,48.033375,45.751347,17.518848,35.36328,71.257225,66.34537,26.520634,66.814575,43.840088,47.889004,60.25559
1985-11-01,25.705273,55.520916,47.455894,22.068138,44.081253,70.53209,65.50868,39.02667,70.62889,42.94926,33.67842,54.277367
1985-12-01,26.732267,40.731216,51.253803,26.53704,40.71317,71.94954,76.55461,23.595505,68.889885,53.35537,13.08112,53.258575
1986-01-01,41.86612,36.528793,46.002792,17.611969,38.915337,72.75666,72.88788,32.836624,58.37836,59.88738,15.305798,32.43641
1986-02-01,31.447348,55.568638,44.925156,16.806614,38.45115,70.747375,66.39747,38.869408,55.498108,58.71133,14.682507,39.942123
1986-03-01,33.166313,35.5873,45.50744,22.189861,35.30682,69.9535,67.184784,38.710304,64.82941,64.37834,24.68302,44.536423
1986-04-01,34.934486,45.758396,45.02521,24.678099,38.497078,72.8928,62.951336,32.144447,62.42318,52.658863,29.416737,43.581802
1986-05-01,41.0378,53.667606,33.34838,23.616867,46.41613,67.895004,67.46198,26.00997,63.851826,49.088074,27.072842,58.384922
1986-06-01,53.108288,51.03995,36.08101,19.634377,34.166855,73.95075,54.971592,20.114967,71.62982,28.927946,28.0455,62.4281
1986-07-01,46.15533,50.34777,31.437506,20.753017,39.520584,71.2378,48.007156,25.020908,75.03658,19.309608,29.341286,74.245995
1986-08-01,44.221497,49.253735,44.700443,29.105093,41.39045,63.843624,49.07167,18.548542,64.97211,29.165781,32.36588,66.20556
1986-09-01,40.61626,54.348305,35.192,9.130314,35.647987,69.68286,44.269062,32.408524,67.40457,36.391014,44.44293,61.678513
1986-10-01,34.81967,41.39537,49.668716,8.976131,32.989166,68.64951,57.88137,25.801659,69.3745,27.804386,45.318813,56.713524
