,vo1000GLB_cluster1,vo1000GLB_cluster2,vo1000GLB_cluster3,vo1000GLB_cluster4,vo1000GLB_cluster5,vo1000GLB_cluster6,vo1000GLB_cluster7,vo1000GLB_cluster8,vo1000GLB_cluster9,vo1000GLB_cluster10,vo1000GLB_cluster11,vo1000GLB_cluster12
1980-01-01,1.8052888e-06,4.767655e-05,-7.120937e-05,-3.852001e-06,-2.204976e-05,-8.921197e-06,8.332296e-06,3.277543e-05,9.1858084e-05,-5.1690004e-06,0.00010164859,8.108655e-06
1980-02-01,2.260851e-06,3.536801e-05,-5.80891e-05,5.2593023e-06,-3.0092553e-05,-1.2325516e-05,6.9241796e-06,2.8459988e-05,9.405308e-05,-6.519127e-06,9.986774e-05,8.324008e-06
1980-03-01,2.8406648e-06,5.285343e-05,-6.203181e-05,3.1885502e-06,-1.6226804e-05,-2.1072367e-05,7.4377313e-06,3.0870342e-05,8.2390616e-05,-6.1712417e-06,3.3645145e-05,6.6591238e-06
1980-04-01,1.9875151e-06,6.0730563e-05,-4.806667e-05,1.5207184e-05,-1.3162098e-05,-2.4335866e-05,6.352653e-06,1.8114519e-05,7.0015805e-05,-4.7879803e-06,-7.319729e-05,3.8677535e-06
1980-05-01,2.5507543e-06,7.123341e-05,-4.530843e-05,3.6378537e-05,-7.5793505e-06,-3.0365889e-05,1.0378193e-05,1.5977505e-05,4.2342297e-05,-4.9122245e-06,-0.000141706,-6.833885e-06
1980-06-01,2.40995e-06,5.7293117e-05,-5.5405406e-05,4.5970253e-05,-4.3241307e-06,-4.026408e-05,1.0278796e-05,4.1245294e-06,-2.7060974e-05,-4.340698e-06,-0.00016394586,-1.570498e-05
1980-07-01,3.130568e-06,4.9308303e-05,-6.72004e-05,4.4901746e-05,-1.7398343e-06,-4.6716537e-05,7.851879e-06,1.9356969e-05,-2.7433707e-05,-3.139663e-06,-0.0001506765,-1.0842858e-05
1980-08-01,2.7164206e-06,5.5818742e-05,-5.7964855e-05,3.453143e-05,-2.800065e-06,-4.056227e-05,8.92867e-06,2.609105e-05,-2.5669433e-05,-5.094451e-06,-0.00015863645,-1.0238196e-05
1980-09-01,2.4347974e-06,5.9951963e-05,-6.645494e-05,1.7054295e-05,-7.3722767e-06,-3.3952434e-05,7.545408e-06,3.0108306e-05,7.1312606e-06,-7.5296557e-06,-0.00014447252,-1.0470125e-05
1980-10-01,2.1614542e-06,6.785394e-05,-5.249808e-05,1.5521939e-05,-1.6914295e-05,-2.648116e-05,9.682422e-06,3.6892085e-05,5.0426508e-05,-7.811279e-06,-9.3540344e-05,-4.233021e-06
