,zgv250GLB_cluster1,zgv250GLB_cluster2,zgv250GLB_cluster3,zgv250GLB_cluster4,zgv250GLB_cluster5,zgv250GLB_cluster6,zgv250GLB_cluster7,zgv250GLB_cluster8,zgv250GLB_cluster9,zgv250GLB_cluster10,zgv250GLB_cluster11,zgv250GLB_cluster12
1980-01-01,-0.15347166,0.2552023,0.035033084,-0.5815485,0.09607144,-0.0055244328,-0.09095116,-0.021963025,0.6971575,-0.45866346,0.04177017,0.103347465
1980-02-01,0.26382574,0.20090099,-0.057804488,-0.23755106,-0.24711768,0.45300406,0.19429865,-0.21477947,-0.08636995,-0.5276516,-0.0482378,-0.17678204
1980-03-01,0.20507804,0.23579936,-0.09324181,0.012396288,-0.2310833,0.079228595,-0.08232765,-0.040153313,0.5413953,0.08515725,0.25749287,-0.2705629
1980-04-01,-0.10765924,0.3919658,-0.054840196,0.10806346,0.12207669,-1.3753164,-0.16249943,0.21787858,0.036784697,-0.040961694,0.12679267,0.039344788
1980-05-01,-0.2802643,-0.022906233,-0.07222195,0.9693373,0.11857338,-0.54907554,-0.42619044,0.10280851,0.09674511,-0.40341893,0.16586798,0.509057
1980-06-01,0.0482378,0.00013475418,-0.21127625,0.32984954,-0.0022906302,0.41648903,0.15899615,-0.122750424,-1.1911234,0.15966982,0.054840136,-0.30761707
1980-07-01,-0.13676362,0.56241506,-0.043387078,0.042578626,0.06710172,-0.3221693,-0.024792576,0.02344513,-1.1453111,0.04796834,0.08690886,-0.19793668
1980-08-01,-0.2123541,0.41500682,-0.11412692,-0.049450494,-0.028700162,-0.12504101,-0.21882172,-0.118169114,-0.58707297,0.0049854754,0.12544522,-0.36420888
1980-09-01,-0.32109126,0.3612446,-0.11035409,-0.01859448,-0.053896975,0.13878469,0.018190289,-0.08071075,-0.21572265,0.29643342,0.043521784,-0.112240456
1980-10-01,-0.18082447,0.15172002,-0.15118106,0.12382837,-0.02048086,-0.7916121,0.31206354,-0.033011913,0.19039111,0.6539052,-0.048911523,-0.24199748
1980-11-01,-0.044734478,0.1804202,0.05039368,-0.50151145,-0.5574296,0.38091698,-0.31489316,-0.056726575,0.298724,-0.39775982,0.20238319,0.34480602
1980-12-01,-1.1507007,0.30034095,-0.29724187,-0.23593406,-0.20656021,-0.25304633,-0.31853122,-0.08650467,-0.16263416,-0.009836197,0.068314426,-0.0014822006
1981-01-01,0.21588135,0.2729519,-0.34143656,-0.106108665,-0.45135015,-0.26618814,0.34918684,0.08962183,0.023955535,-0.05213852,0.01986904,-0.6033972
1981-02-01,-0.049883842,-0.24491005,-0.07088013,-0.16782951,-0.47586927,-0.051856615,0.19826713,-0.28436604,0.09920406,-0.33368626,-0.06792097,-0.024519205
1981-03-01,0.20799026,0.091312885,0.10272694,-0.39625245,-0.26520166,-0.5263168,0.23800507,-0.08835354,0.44120425,-0.34185925,-0.014091492,-0.41978517
1981-04-01,0.5273032,0.1791027,0.109208964,0.36581478,-0.065666296,-0.71824276,-0.35693723,-0.12104583,0.64130336,-0.47347373,-0.032269478,0.17642537
1981-05-01,1.3640554,0.2105267,-0.12386413,0.088212684,-0.13992839,-1.0596794,0.22264537,0.003100109,0.9934494,-0.06933012,0.13837834,-0.13260098
1981-06-01,0.013527679,0.17628446,-0.22391367,0.42344898,-0.073698424,0.60226995,0.4223217,0.114422895,0.28943902,1.1173136,0.118368484,-0.48545152
1981-07-01,0.021419048,0.02804203,-0.031423997,0.05213847,-0.24547358,-0.31593102,-0.26097426,0.10568609,-1.1060402,0.054252148,0.09356747,-0.22292718
1981-08-01,-0.16219302,0.22701378,-0.072289325,0.05495677,-0.03396044,-0.4951746,-0.02663288,-0.040301703,-0.1606429,0.16148834,0.010427761,-0.23645505
1981-09-01,0.08835354,0.13400999,-0.04847469,0.26520166,-0.07327571,0.48967895,-0.015359735,0.12090492,-0.027337456,-0.11836843,0.3396047,0.062988855
1981-10-01,0.47615117,0.30620784,-0.20559463,0.2776022,-0.19826713,-0.57281864,0.022123624,-0.053970385,0.9259511,0.033819534,0.14246483,-0.028605748
1981-11-01,0.49883834,0.24025974,-0.08553533,-0.5646456,-0.2784477,-0.2914118,0.2644971,-0.0986404,-0.92806494,0.13936472,0.075530335,-0.7127471
1981-12-01,-0.13245992,0.64778537,-0.16388397,-0.6036792,-0.13640556,0.09187646,0.20122632,-0.08046236,0.112450026,0.0014091491,0.015923405,-0.16205207
