,sstGLB_cluster1,sstGLB_cluster2,sstGLB_cluster3,sstGLB_cluster4,sstGLB_cluster5,sstGLB_cluster6,sstGLB_cluster7,sstGLB_cluster8,sstGLB_cluster9,sstGLB_cluster10,sstGLB_cluster11,sstGLB_cluster12
1980-01-01,298.48056,299.5693,292.88486,290.43964,294.25275,298.88882,296.05463,300.76544,284.52228,296.95038,301.95218,290.37283
1980-02-01,298.81708,299.30603,293.78458,289.4731,293.52377,299.63315,297.0142,300.96042,283.5325,296.77765,301.85864,291.98367
1980-03-01,299.29068,298.972,292.77106,289.2732,293.067,299.92017,296.3971,301.14502,283.16727,296.33273,301.90665,291.17453
1980-04-01,298.50925,299.65344,291.8852,289.80768,293.65442,299.9652,295.63693,301.1475,284.9073,296.6455,301.98285,289.7572
1980-05-01,297.25174,301.02527,291.09338,291.23294,294.6051,299.30057,294.05725,300.55957,286.61713,297.7031,302.44113,288.0152
1980-06-01,296.45004,301.3583,289.57507,293.54358,296.54852,298.12573,292.60526,300.01917,289.5058,299.6747,302.04572,286.7557
1980-07-01,295.0322,301.06238,288.70605,296.07788,298.10345,297.04785,292.0495,299.42627,291.03302,300.08002,302.13184,286.4736
1980-08-01,294.422,301.3999,287.8009,297.0929,299.58612,296.8321,291.16415,299.06354,294.54523,300.64963,301.38208,285.48483
1980-09-01,294.23096,301.68793,288.38684,296.5218,299.94147,296.5208,290.8197,299.0561,293.86722,300.9837,301.74335,285.09683
1980-10-01,294.7981,301.58597,288.71396,295.10297,298.18658,297.1612,291.81592,299.38025,291.5754,300.28244,302.28326,286.37512
1980-11-01,294.72635,301.44937,289.94424,292.69037,296.5213,297.41705,292.6612,299.85437,289.02426,299.5584,302.36047,287.1516
1980-12-01,296.6955,300.67883,290.99936,291.20325,294.88025,297.7016,294.22504,300.2775,287.01996,298.30386,302.10855,288.9718
1981-01-01,298.08667,299.7887,292.7751,290.60144,294.18896,298.64343,295.96634,300.73505,284.90585,297.43152,301.68243,290.3251
1981-02-01,297.90826,299.83893,293.866,289.81143,293.60455,299.26477,296.5636,300.80478,282.9337,296.4549,301.28308,290.96182
1981-03-01,298.43835,300.2275,294.0557,289.55,293.4892,299.53134,296.37033,300.7899,282.44513,296.4949,301.48148,291.43243
1981-04-01,297.836,299.91583,292.9991,289.5305,293.3026,299.27142,295.68643,300.81656,282.16214,296.5713,302.1669,290.00113
1981-05-01,296.885,300.9606,291.33914,290.8665,294.0357,298.70084,293.86548,300.20752,283.736,297.735,302.23508,289.3444
1981-06-01,295.50085,300.9888,290.08774,292.6941,296.8035,297.58786,292.39316,299.56055,285.42825,299.48416,302.12946,287.87207
1981-07-01,294.60065,301.18875,289.09885,294.8918,297.72476,296.71893,291.1059,298.9223,290.80597,300.38284,301.72397,286.756
1981-08-01,294.18436,301.3856,288.37292,296.71173,298.4081,295.95712,290.3456,298.53012,295.4983,300.8514,301.61987,285.95883
1981-09-01,294.02338,302.0495,288.02997,295.81613,298.82797,295.81152,290.49686,298.43118,293.78705,301.3892,301.61475,285.68253
1981-10-01,294.71445,301.80548,288.86865,294.54834,298.2292,296.24316,290.98593,298.9987,290.24103,300.69095,301.9126,286.16852
1981-11-01,295.31528,301.32767,289.22446,292.6997,296.0786,297.44022,291.48987,299.5857,287.73007,299.30832,301.9941,286.52533
1981-12-01,296.20474,300.734,291.38733,291.60623,294.8047,297.8729,293.07806,300.17728,284.26657,297.92365,301.53018,288.7646
1982-01-01,297.56247,299.71594,293.4939,289.8604,293.46786,298.287,295.62033,300.47748,283.85266,296.7098,301.37122,290.98346
1982-02-01,298.2229,298.93585,293.9971,289.35672,292.72885,298.70355,296.01184,300.4084,281.94754,296.30276,301.4493,291.27386
1982-03-01,298.05215,298.6595,293.96155,289.08234,292.73685,299.12262,295.36646,300.68225,281.52997,296.24167,301.82883,291.11563
1982-04-01,297.578,299.37097,292.80194,289.01474,292.97168,299.36246,294.4562,301.10635,282.74515,296.38187,302.29498,290.24695
1982-05-01,296.79193,300.1125,291.5177,290.53735,294.82422,298.97443,293.41028,300.29022,284.8065,297.32715,302.3175,288.71686
1982-06-01,295.74548,300.47397,289.97757,291.98734,297.09283,298.0882,292.01385,299.87717,288.2482,299.12112,302.19833,286.62698
1982-07-01,295.27884,301.0658,288.79745,294.28098,298.12173,297.20148,290.99847,299.40402,291.42056,300.00732,301.52994,286.28
1982-08-01,294.50128,300.88904,288.21414,296.35583,298.76013,296.135,290.74863,298.71558,294.4392,300.31125,301.11786,286.0707
1982-09-01,294.5248,301.17493,288.26123,295.84912,298.80518,296.27072,290.32056,299.15366,292.87354,300.54907,301.2921,285.60858
1982-10-01,295.03552,301.25156,288.50656,294.5989,298.48776,296.96918,291.12265,299.3159,291.04953,300.00534,301.75122,286.1363
1982-11-01,295.44156,300.82596,290.22742,292.6963,296.74435,297.4113,292.74887,299.81256,288.50705,298.66098,301.7988,286.81723
1982-12-01,295.9092,299.64633,291.28336,291.01248,295.12814,298.53632,295.18372,300.37134,286.24594,297.7197,302.3966,288.0429
