,zgv50GLB_cluster1,zgv50GLB_cluster2,zgv50GLB_cluster3,zgv50GLB_cluster4,zgv50GLB_cluster5,zgv50GLB_cluster6,zgv50GLB_cluster7,zgv50GLB_cluster8,zgv50GLB_cluster9,zgv50GLB_cluster10,zgv50GLB_cluster11,zgv50GLB_cluster12
1980-01-01,-0.024792623,0.010914147,0.08300135,0.0102404235,0.019133437,0.053088535,-0.008354044,0.017381782,-0.06602383,-0.061846804,0.1546844,0.05160637
1980-02-01,-0.042578615,-0.0269485,0.06292472,-0.0016169071,0.048372544,-0.04527347,0.0006737113,-0.016573321,-0.013743734,0.06993135,0.0075455783,0.022636741
1980-03-01,0.025601065,0.018459726,0.042578626,0.0,-0.114531115,0.010914135,-0.034763552,0.0075455783,-0.029643346,-0.117360696,-0.03287716,0.014013231
1980-04-01,0.025331546,-0.009701455,-0.3007452,-0.009027744,-0.12975702,0.002694857,-0.1011916,-0.031260274,-0.055379163,-0.124636784,0.26032242,-0.0045812367
1980-05-01,-0.0066023828,-0.0014821648,-0.26840702,0.03166448,-0.11250994,0.0070066093,-0.031260252,-0.047833562,0.013743734,-0.012935281,0.07788114,0.021558797
1980-06-01,-0.0020211458,0.020211374,0.03880583,0.00080845354,0.0999789,0.019941885,-0.04257865,-0.26220885,0.016169095,-0.08650466,0.050258946,0.013608992
1980-07-01,0.0071413517,-0.053896982,-0.06710176,0.11129727,-0.20251791,0.038671087,-0.07478209,0.064137414,0.013339495,-0.07033557,0.02681377,0.036110986
1980-08-01,-0.0049854754,0.009162486,-0.02492736,0.06952711,-0.20952454,0.02937386,-0.027622199,-0.026140034,0.0010779619,-0.020750338,0.06952713,0.028161192
1980-09-01,-0.03759315,0.04136594,0.03166448,0.024792612,-0.09189439,-0.00040422677,-0.016977549,-0.05645709,-0.039479543,-0.06925763,0.16222993,0.012665796
1980-10-01,-0.026813745,0.021963011,-0.07666848,-0.0136089865,-0.13582039,0.03112551,-0.0074108364,0.028295923,-0.063194215,-0.027487457,0.047833562,-0.020346116
1980-11-01,-0.04392605,-0.0074108304,-0.042309128,0.0074108364,0.11533954,-0.017786002,-0.022501986,-0.086774155,-0.09970943,-0.070874535,0.16020878,0.04581244
1980-12-01,0.06305947,-0.014552188,0.075994745,0.00821929,-0.01940291,0.08906478,-0.022097766,0.015630126,-0.15616652,-0.18203707,0.42969376,0.0793633
1981-01-01,0.121891305,0.0036637306,-0.06778002,-0.0064821243,0.017896175,0.057352304,-0.024801016,0.0046502114,-0.032974053,-0.26957005,-0.038892508,0.013950539
1981-02-01,0.08060332,0.014796066,-0.033396818,0.01113224,-0.013386917,0.08877635,-0.008173036,0.03663788,-0.05608406,-0.033396818,0.1434513,-0.019728089
1981-03-01,0.12527323,0.0076093674,0.0053546904,-0.037624262,0.03466506,-0.064539,-0.016205216,0.012118625,-0.08680348,-0.03917427,0.070034645,-0.03973794
1981-04-01,0.10272694,-0.0008455276,0.098640345,-0.0040864944,-0.10498152,-0.050024796,-0.023250962,-0.047065545,-0.06890736,-0.04636097,0.03635602,-0.007891226
1981-05-01,-0.032269478,-0.058479596,-0.31466278,0.0046502114,-0.20517202,0.031001281,0.078912355,-0.020855427,-0.001831913,-0.017614365,0.2577332,0.04664283
1981-06-01,0.02170086,0.025646497,0.21137218,-0.06073432,-0.004509258,0.025082778,-0.06298895,-0.16120653,0.011836815,-0.013809681,0.08215332,0.013950586
1981-07-01,0.016346121,0.0171916,-0.026210165,0.040160656,-0.035651494,-0.032551385,-0.020150756,-0.052984,0.017332505,-0.076657675,0.0,0.014655113
1981-08-01,0.041710805,0.004932022,-0.06327076,0.05087023,-0.031705808,0.014091397,-0.009582138,-0.022546386,0.00028181076,0.07538948,0.0040864944,0.0025364875
1981-09-01,0.033255864,0.0009863854,-0.004509258,0.042415332,-0.1359828,0.0063411715,-0.016487027,-0.122877695,-0.009300375,-0.01860075,0.06200247,0.008877611
1981-10-01,-0.03973799,0.002254629,-0.068343684,-0.046501923,-0.15331526,0.020432662,0.04847469,-0.06876645,-0.019587183,-0.0063411715,0.13908291,0.020714473
1981-11-01,0.052279375,-0.010850477,-0.043119907,-0.021559905,0.014514255,0.050447464,0.002959156,-0.032833148,-0.05495677,-0.19657621,0.1072361,-0.022123624
1981-12-01,-0.023110008,0.00915947,-0.0067638396,0.007609463,0.015923357,0.032692242,-0.01606431,-0.008173036,-0.09201737,-0.027760219,0.18023005,-0.056647778
1982-01-01,0.1379838,-0.020225216,-0.03632555,0.0117093325,-0.0043910025,0.03113618,-0.036192466,0.049764633,-0.0984648,0.048567105,0.13412504,0.03379736
1982-02-01,0.07757433,-0.00319345,0.017963195,0.016499495,0.020890499,0.013039922,-0.001995945,-0.02581377,-0.012241578,-0.07531228,-0.094473004,0.010112619
1982-03-01,0.045240592,0.013971353,-0.006653023,0.007052207,-0.013439131,0.032200646,-0.027809668,-0.022753358,-0.05881276,0.0018628597,0.042978548,-0.014104414
1982-04-01,0.025015378,-0.011709308,0.13612095,0.021289682,0.02514844,0.010910964,-0.00412488,-0.008382821,-0.03858757,-0.022620296,0.09433992,0.0026612282
1982-05-01,-0.031269215,-0.018894602,-0.054820944,0.010511803,-0.16060409,-0.0043910025,-0.015035868,-0.049764633,-0.0017298221,0.0023950816,0.11696024,0.005854702
1982-06-01,0.042180203,-0.004657102,0.05508704,0.02395091,-0.032599855,0.008915067,-0.07105432,-0.199857,-0.015568065,0.024217034,0.06599803,-0.0014636517
1982-07-01,0.028341914,0.018894602,-0.0019958974,-0.018229295,-0.15488243,0.0090481285,-0.041780997,-0.118823096,0.0033265115,-0.013838291,0.018362332,0.0046571256
1982-08-01,-0.0015966892,-0.007983637,-0.04018426,0.052691985,-0.14516906,0.016233373,-0.06533275,-0.05468788,0.016233396,-0.037523054,-0.012773847,0.0007983685
1982-09-01,-0.008648944,-0.0090481285,-0.25268203,0.017164802,-0.17936563,0.017963195,0.010777903,-0.14836252,-0.026878214,-0.013572169,0.053490352,0.007717514
1982-10-01,0.0065199854,-0.007185268,0.11895613,0.026878238,-0.07025585,0.0027942657,-0.005854654,-0.12600835,-0.046172,0.005854654,0.17457548,0.0046571256
1982-11-01,-0.040982652,-0.030071687,0.043377735,-0.020092154,0.0026612282,0.104319476,-0.007717514,-0.018096257,-0.0065199374,0.07438085,0.10059376,0.008515882
1982-12-01,-0.06440125,-0.0027942657,0.06080866,-0.013971353,-0.08675547,-0.08090083,-0.04470835,0.04577284,-0.13851604,0.17391019,0.2907373,-0.038055323
1983-01-01,0.013682127,-0.013682121,0.058350228,0.015560055,-0.11562736,0.2091219,-0.022535264,-0.0005365551,-0.069081314,-0.11039597,0.066801,-0.031388413
1983-02-01,0.01247487,-0.036217384,0.1087863,0.04560708,0.047485016,0.2105974,-0.06519129,0.0064386455,-0.075788245,-0.047485016,0.1593565,0.022266984
1983-03-01,-0.0052313805,-0.026156997,-0.030181158,0.031522542,0.061435424,0.19503734,-0.026291138,-0.013145566,-0.07243478,-0.083031714,0.18739145,0.04654603
1983-04-01,-0.10449387,-0.011133492,0.017706279,-0.02280354,-0.02481556,0.16150272,0.043326724,-0.030315299,-0.04104637,-0.11039597,0.1247488,0.027632523
1983-05-01,0.05486263,0.008182448,-0.06156956,0.09215313,-0.009121418,0.07417857,-0.08021481,-0.08236103,-0.008719003,-0.03380289,-0.058752656,0.008182448
1983-06-01,0.027900804,-0.016230762,-0.08490972,0.08531207,0.1154932,0.030985987,0.02588873,-0.22186503,-0.016901445,-0.028705632,0.0075117587,-0.0036217333
1983-07-01,0.021327997,-0.020791462,-0.022937704,-0.059289206,0.07189822,0.030047018,0.116566345,-0.17049,0.016767312,0.03541256,-0.0383636,0.02588873
1983-08-01,-0.031656682,-0.030717706,-0.13641882,0.13105328,-0.12635843,0.03943671,-0.027364254,-0.0049631237,0.029778743,-0.086116895,0.035144277,0.043863285
1983-09-01,-0.009121418,-0.027095973,-0.06841062,0.06894717,0.00026827454,0.019315938,0.038229465,-0.14406471,0.0026827692,-0.002548632,0.01985249,-0.0049631237
1983-10-01,0.03916844,-0.006572786,0.11388357,0.00201208,-0.08719001,0.02709597,-0.032729793,-0.06331336,-0.034339447,-0.016499031,0.055801593,-0.0059020994
1983-11-01,0.055801608,-0.015560066,0.02320596,-0.035412557,-0.11039595,-0.037827037,0.008450726,0.017303864,-0.0390343,-0.12246843,-0.00509727,-0.025754595
1983-12-01,0.116029836,-0.007109341,-0.006036234,-0.007914173,-0.09014106,0.019718358,-0.042656034,0.014352813,-0.111334935,-0.14017472,0.25258273,-0.029912878
1984-01-01,-0.025734711,-0.037673496,-0.015255118,0.011010194,-0.08529599,-0.012336755,-0.00053060055,0.02241838,-0.059030674,-0.02852043,0.20163283,-0.028785754
1984-02-01,0.052265357,0.0065000057,-0.10346947,0.008622455,-0.062081695,0.053724527,0.0,0.019765329,-0.10917358,0.06287761,-0.013795948,-0.08410213
1984-03-01,0.13000011,-0.022683691,0.0006632566,-0.02997961,0.015918374,0.10373478,0.026530648,0.009418393,-0.06102047,-0.03793881,0.2052145,-0.08463273
1984-04-01,0.13650012,-0.008755112,0.066591896,0.0334286,-0.048683714,-0.015520406,0.01605103,-0.05982659,-0.032897998,-0.14326541,0.10612254,-0.0038469553
1984-05-01,0.047887802,-0.022551036,-0.1626328,0.026663303,-0.020826554,0.0110102175,-0.07919397,-0.119122565,-0.012469411,0.03754084,0.02241838,-0.019234717
1984-06-01,0.023877561,-0.029581666,-0.19327573,0.0009285927,-0.04576535,0.0041122437,-0.053061295,-0.037806176,0.015918385,-0.026000023,0.0009285688,0.0076938868
1984-07-01,0.005571437,0.010214305,-0.004775524,-0.009948993,-0.100816414,0.014591861,0.03210206,-0.13198993,0.025336754,-0.06924496,-0.011010205,0.01578573
1984-08-01,-0.074816406,-0.011408186,0.004642868,-0.07853069,-0.18266344,0.026663303,0.10479601,-0.16581649,0.016581643,0.011540795,0.048153114,0.015255118
1984-09-01,-0.010744905,-0.0049081566,-0.10665317,-0.0075612306,-0.10439809,0.0075612306,0.113285825,0.0001326561,-0.050408207,-0.0022551059,0.0680511,0.009551036
1984-10-01,0.025071431,0.0038469553,-0.19765326,0.041387774,-0.08808172,-0.005438781,-0.06287761,-0.048418425,-0.06287762,0.00212245,0.20680633,0.058234762
1984-11-01,0.03634696,-0.021224499,-0.0001326561,-0.0002653122,-0.15095933,0.029581666,-0.017112255,-0.022683691,-0.04337759,-0.08542862,-0.06858168,-0.033826567
1984-12-01,-0.013000011,0.02215309,0.08237763,0.026530648,-0.0041122437,0.078265384,-0.07057147,-0.020163298,-0.037408195,-0.060357213,0.12933683,-0.016846955
1985-01-01,0.029542971,0.008020687,-0.0143036125,0.023527432,-0.029141903,0.10520496,-0.027537752,0.011897397,-0.029141927,-0.1267272,0.24102232,0.0006684065
1985-02-01,-0.16629604,-0.050129436,0.02219063,0.012031078,-0.010560608,0.09865471,0.016576136,0.05200093,0.042108715,-0.20345864,0.3157485,0.012298417
