,vws_u600-250GLB_cluster1,vws_u600-250GLB_cluster2,vws_u600-250GLB_cluster3,vws_u600-250GLB_cluster4,vws_u600-250GLB_cluster5,vws_u600-250GLB_cluster6,vws_u600-250GLB_cluster7,vws_u600-250GLB_cluster8,vws_u600-250GLB_cluster9,vws_u600-250GLB_cluster10,vws_u600-250GLB_cluster11,vws_u600-250GLB_cluster12
1980-01-01,23.80087488980296,-6.216515343001102,13.749672681593275,26.928078740590184,25.704265777268095,15.182792454005195,45.66901562922883,1.6286598560383392,8.374300525407325,12.92223501979017,15.98484597032471,-3.8120488835721114
1980-02-01,22.949087878261476,-2.899671385710678,13.570039779031195,26.250429292856033,27.161015735824066,16.64754637792558,42.75050682695122,-0.7397564343983223,6.4982813092791805,13.328496624374562,18.458746608401114,-5.1495464532194815
1980-03-01,25.786739546708723,-3.7852492729831235,14.42828931104798,21.464454886340235,26.341811296364696,18.512725690642053,35.11380085862585,1.125726434911503,8.348121798677143,12.080769057556408,12.637288932252954,-3.821344994170671
1980-04-01,20.248953167202863,0.7325617579111874,12.814710915268087,17.965855248895462,20.593133742398503,23.972288071131516,23.406467350622382,5.323947517951322,17.64571538893648,12.817262685128792,11.930316331835456,4.055407289556291
1980-05-01,17.10918868993146,-3.6800513885106056,16.101009657686042,11.248895582573702,17.45778884374442,30.46035072957863,16.796251080885032,8.316506391145834,21.05730202324475,10.5685413130903,3.7175603729290896,2.4546147736674775
1980-06-01,14.111493914275579,-13.019596247789316,17.73360042762236,2.3938225086162843,15.885140802511444,38.4118568507911,8.917963798079047,9.652053061494989,22.102901986608977,8.202451221601462,-2.043415022721544,1.5369392382510974
1980-07-01,10.375074328729722,-15.27512612480407,19.607114108984668,-2.5449506972825446,10.071511601836102,41.17179321986827,1.3175156917191095,7.149471671524351,20.898125854716845,6.112397208427957,-7.935038813367037,-2.2573050037151745
1980-08-01,7.805371642521368,-16.83926159597672,20.609026221375554,-1.9380932668300188,12.627015948189353,34.52840129343492,3.181009515379438,6.709474446314856,19.438312229950427,5.363066039160154,-10.439336441290859,-3.714018580171765
1980-09-01,11.392827179282548,-11.821927444475508,18.94178882890966,0.26828285134389046,18.554194299847847,30.663679877601048,8.530819009019385,7.647030414785405,20.0377640394235,4.975029635625712,-4.2756850665148125,-1.7660110379370104
1980-10-01,15.062344092863814,-9.089131480498795,17.12239196964216,8.999184230463905,19.09194505849081,29.740927826235122,23.515097776959998,7.975942040907688,16.611543757987135,8.225086324553214,2.8618133709854927,2.5959603701955123
