,r700GLB_cluster1,r700GLB_cluster2,r700GLB_cluster3,r700GLB_cluster4,r700GLB_cluster5,r700GLB_cluster6,r700GLB_cluster7,r700GLB_cluster8,r700GLB_cluster9,r700GLB_cluster10,r700GLB_cluster11,r700GLB_cluster12
1965-01-01,34.74684025285431,46.74672053410457,47.17358880913349,28.273645839335753,40.82218511780696,78.271403951183,74.49706490747936,41.21901956194745,65.66270405035975,66.68418274766486,30.92853780893179,51.66280639447002
1965-02-01,30.105948997532717,47.407004527556595,47.151697938423844,30.579831141122376,40.923784170577775,80.11236598349025,73.28094253747925,43.264539677408216,69.38928644707862,64.76941489647899,29.217083270733173,46.66593696417982
1965-03-01,30.162311149632327,51.05738908816607,52.300034942234696,29.64831287076014,39.83970129667823,81.91934569269165,73.09073050600307,41.3943940857773,65.90588578337231,66.88905721196787,25.305639413686897,47.0430065696389
1965-04-01,37.46735445365378,49.154149568997894,49.03923368086239,32.58979868444597,40.56330154191202,79.92328524249912,71.01894347479298,42.2415412947799,71.00601660082043,57.31892651434444,34.42809471717248,59.73342794789733
1965-05-01,43.430125768283546,50.02586071307843,40.76628501127189,28.520960837417505,41.660900400645694,81.15478037429332,66.2870381118816,35.507715146527545,75.72858398808535,48.95269956142121,33.2604258610652,71.62434795115254
1965-06-01,48.70401197864163,52.78568463447767,37.563815276236646,27.618057535301823,39.584826569059004,79.0896576014679,58.87230501512741,36.908033179862095,80.14982739480433,41.257491518971676,33.99994248610277,77.64228090594705
1965-07-01,58.2865235992291,54.98250032082582,33.53835206411798,22.947122147364645,42.60024056505801,75.52016929343895,54.412996671505134,32.747748324351136,83.7910753615359,34.60735499694656,43.36378420316256,84.97035212249253
1965-08-01,61.09535902875909,52.10214957212791,33.88923458697557,23.50904512109223,42.532211417582495,76.60183920140281,59.586330070807435,32.33857632620161,82.20947636659385,39.65829581268563,48.58753380408654,82.27036101589896
1965-09-01,59.22589807466428,48.05681668795072,31.506042676597144,20.957263508198423,39.769669148459364,77.53232754873075,60.98423367949857,31.23658073440282,83.07834845545807,45.2995972856674,44.64336923452524,80.09536667625504
1965-10-01,53.73585345008956,46.63055517734625,36.411851230807656,21.42214478913301,40.24560899876836,76.96203356794483,65.1626358240112,33.35183561433743,81.4960050727821,49.58301470627798,38.95184913048377,80.40656791661833
1965-11-01,45.41504416048252,45.29872307410607,39.07163369931415,24.049489394478176,39.66220172483529,78.8145820639412,68.11936817636932,37.906730292119775,78.96144948107131,56.00048832328523,36.10796414888822,71.39496504276893
1965-12-01,36.02975194904661,47.33247512426132,43.07322661490551,22.751297861892983,40.75890498374825,82.34231845605747,72.96293918703168,36.29758606256811,75.48060779513558,63.82428739353317,29.16025601900541,60.57086856451759
1966-01-01,29.951151395173667,50.930533775916466,47.6814044471878,20.73599300029115,38.685488914375874,82.35288440671742,74.11112564461108,38.566893631910766,66.60832112321013,66.4724449809261,21.649217458871696,51.598325420921
1966-02-01,28.58265555948706,48.31834744184445,48.87219406951669,23.61575091107291,39.9466306771805,82.71285706435853,74.35452619755301,40.60346682085738,66.00392118413397,66.25734649742274,25.02669466458834,47.236317297806444
1966-03-01,32.46969934982089,49.38026428222656,48.780686444672334,28.082480934095678,40.55919419473676,82.55936712281317,72.89987714803836,37.712568946343744,69.74760362804842,61.62137748781315,24.748644608717697,52.85003334775617
1966-04-01,36.91134694534513,50.56598858955579,46.280055303500056,30.98256602790785,39.81570514280404,81.24226192463497,69.92331148818013,39.61680436649585,72.15766906738281,60.402436689897016,27.9617432814378,60.869925722430644
1966-05-01,47.492343709216144,45.67103165846605,36.12344197564995,29.409968927039863,40.565374004307074,81.18967561640292,64.88653801442491,35.7808811959677,79.02858931242876,47.71382880933357,35.04945666973408,71.93277692637429
1966-06-01,52.289358921314715,51.158425746819916,34.21107147530602,26.41643737413868,40.52034463455428,77.6369861048511,57.14513066678996,33.251509825700865,81.08019727341672,44.12578130884933,35.12040358323317,81.56126167121107
1966-07-01,58.96668587961505,52.855406541090744,29.270473176225597,19.893297349444087,41.88813280703416,79.7449802061771,58.35349475330488,28.635705524437086,85.1146384937785,35.65876910837557,40.32744422325721,85.93523132525655
1966-08-01,62.42211601151849,52.03261155348558,29.799924227756215,18.17748368897053,40.56291380924965,80.79414476356615,60.63056654761208,27.65308972191951,83.96586966007314,38.67143310462804,44.20035963792067,85.64219962645679
1966-09-01,60.728392183505996,48.924028445512825,31.145941628894953,19.729711994621322,40.51581026902839,77.69924500728945,61.991953005258004,31.743454324238897,81.55252636384819,44.681951559607974,43.4720212496244,82.28502934521968
1966-10-01,55.8410635741625,45.49098283816607,34.34688548502395,25.141526453243277,40.99506662852728,78.63507610440594,65.21897796714013,34.61071044382272,81.79147134798276,51.217147995289366,42.3595956655649,80.08493102423036
1966-11-01,42.92360868322135,44.01397411639874,37.165794274494395,24.274490486761056,40.74825059122114,81.20930554859999,67.60270017369241,37.23536680630008,77.7388749513945,56.2444933846634,39.45843153733473,67.03311303267779
1966-12-01,36.33916608748898,49.27406800098908,42.56754387313725,26.607997965368423,39.152836016754605,81.98071558590968,71.53134462943844,37.77923771346716,73.35995845156963,63.14570844666032,28.61408233642578,59.391160215875104
1967-01-01,30.534908189202234,45.31789926382211,48.66420284947883,21.54776620568696,39.26378904883541,83.67023739719663,74.35115013850158,37.55361298446805,68.20684508349758,65.70980082530292,22.564434344951923,49.147631705004
1967-02-01,32.12790379326464,47.82791431133564,52.3764622548552,24.28966782848287,38.68573316887243,81.02793462595709,76.31126216711725,41.75617877533019,64.29935559675687,70.90549416450101,26.430777329664963,44.882827859507145
1967-03-01,36.892798199631656,44.9962889842498,52.9435253388471,25.91968500836295,38.01619572425956,79.95072280579483,71.86726354448282,44.189942515435064,67.40518007597299,65.75590086377356,31.358521094689003,51.2438972397606
1967-04-01,39.452326023084225,46.70407124054738,47.531497631710415,29.34765845352078,38.87130395690007,80.30114893899685,70.03068742050462,41.90828664363719,71.95011127321192,60.07508732399008,34.808483417217545,64.53400413588723
1967-05-01,45.51583918558288,48.45984141031901,38.893406924367866,30.34016212321216,39.428813991261954,82.20165502651466,65.36495198345963,38.52863798909665,78.64327010412708,49.88810011178009,35.600194490872894,73.81610052026932
1967-06-01,55.439702926143525,52.72631620749449,33.977785085957585,22.20683542097577,40.92848592729711,79.35816446940105,60.70236081323442,33.52126475635821,81.00711161604768,41.397073708946714,36.97264627309946,82.15129336114764
1967-07-01,60.874532005204586,53.83416982797476,31.636392058933914,21.58917877244653,40.008332551415286,79.51023395244893,56.535937026021266,30.706702421596805,84.83046789662092,38.31895350096311,45.71292466383714,86.3834305564956
1967-08-01,63.55750615695655,52.27205814459385,31.010009451819567,17.165395932167954,39.52310419794339,79.20263784903068,60.52056294371062,29.091276307471375,85.14406847736393,43.01413964305699,49.297303419846756,87.73632993792543
