,ssta30_cluster1,ssta30_cluster2,ssta30_cluster3,ssta30_cluster4,ssta30_cluster5,ssta30_cluster6,ssta30_cluster7,ssta30_cluster8,ssta30_cluster9
1965-01-01,-24.145451907453868,1.4566082322136473,-4.180393756275446,-19.096781657292293,-8.559952463422503,0.353510884138254,-1.613730192184448,-42.633330027262375,-14.769485863772305
1965-02-01,-26.978463140027277,1.2987865598162234,-5.092282026586399,-21.155922229473408,-3.8108635516393754,0.9262269276839036,-2.2022299938373737,-46.23739242553711,-16.232008283788506
1965-03-01,-28.964947009908744,1.3083635443481951,-5.692471920604437,-21.56096971951998,1.9665361869902838,1.942635132716252,-2.5033233402011628,-45.94609578450521,-17.046694322065875
1965-04-01,-25.92083503460062,1.5875259815658653,-5.502463058686592,-21.39173654409555,3.444908630280268,2.904360844538762,-2.000948867282352,-45.99071820576986,-16.676379333842885
1965-05-01,-20.85902444247542,2.1209688476436046,-4.585088138848963,-19.276756506699783,4.088628859747024,3.5256081361037035,-0.8513417866852906,-42.79362678527832,-15.70206338709051
1965-06-01,-10.686723117170663,2.6184809142054775,-2.863738906215614,-15.468815656808706,3.6556944960639592,3.6166092065664435,0.9540302259428006,-36.86053593953451,-13.570324941114945
1965-07-01,-1.374577756585746,3.038102750620131,-1.166390533178625,-9.255492687225342,2.446319375719343,3.31754024212177,2.7655725006584646,-25.894653002421062,-10.410512577403676
1965-08-01,1.5296693505911994,3.32312873713878,0.30566101342859403,-6.1214946783505955,-3.0900813284374418,2.7305216055649977,4.027860229079788,-20.027823448181152,-6.134208224036477
1965-09-01,-0.7956593714911363,3.4745830198677865,0.8373248745018328,-7.432055014830369,-4.738715432939076,2.573221646822416,4.523640495162826,-21.246094703674316,-6.108309464021162
1965-10-01,-7.135112532253924,3.3661499866464517,0.18504920979620706,-10.974770325880783,-1.6865564244134086,2.956125919635479,3.670589343921558,-28.399391174316406,-7.188943841240623
1965-11-01,-15.170227248093179,2.93003445830793,-1.4175183336499713,-14.729504401867207,-3.438819022405715,2.582607452686016,2.0180711338111945,-34.93159929911296,-9.178673137318004
1965-12-01,-20.634552528118267,2.4858425335330856,-3.1578859812776807,-18.24622337634747,-4.5653811522892545,2.333525144136869,0.05763527509328481,-41.182057062784835,-12.521802295338023
1966-01-01,-24.234549752597154,1.9873204152228423,-4.940602477167694,-20.832313024080715,-1.9268010343824116,2.4542979093698354,-1.8376041103053735,-45.89873949686687,-16.039475527676668
1966-02-01,-28.67731883608062,1.5316381309572504,-5.894785196008817,-22.733625998863808,0.8202792633147467,2.353016963371864,-2.8992236197531756,-48.50422541300456,-17.71917018023404
1966-03-01,-30.152916086131132,1.5671959239474975,-5.930079876537055,-23.102369675269493,-0.452193014678501,2.5132188430199256,-2.5975159696630525,-49.34211095174154,-18.291620774702594
1966-04-01,-28.7209806771114,1.7996368487236907,-5.6341701829937145,-22.1640054996197,-3.5044905685243153,2.5968683682955227,-1.9679132345560433,-47.660725911458336,-17.051547223871406
1966-05-01,-22.079862397292565,2.5477414631711843,-4.139123500232966,-19.999162967388447,-7.446226619538807,2.302243526165302,0.027573753047633813,-44.401966730753585,-16.154171120036732
