,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,msl_cluster7,msl_cluster8,msl_cluster9
1977-02-01,1013.919,1023.62115,1017.9439,1004.51263,1020.31726,1010.2949,1016.3953,1018.4847,1016.8547
1977-03-01,1013.36774,1026.0648,1019.5628,1023.4715,1017.5235,1009.40125,1032.5835,1012.4052,1016.9341
1977-04-01,1014.06726,1023.0546,1022.2528,1024.8573,1019.702,1009.89197,1023.92944,1015.83716,1017.05725
1977-05-01,1013.1513,1023.0901,1019.70276,1020.69104,1015.69653,1010.55524,1025.1447,1011.82263,1016.7141
1977-06-01,1011.8978,1021.16016,1020.4203,1017.3739,1015.8239,1010.4662,1022.75256,1013.5362,1015.32764
1977-07-01,1011.2137,1021.1928,1019.6415,1023.97406,1017.81726,1009.42773,1026.03,1015.5379,1013.82153
1977-08-01,1010.6701,1019.2788,1017.6878,1016.7802,1016.72107,1010.89,1021.1253,1012.8903,1013.0009
1977-09-01,1010.88727,1017.5938,1016.545,1019.139,1014.89404,1011.29224,1020.92,1011.8526,1012.7553
1977-10-01,1010.61163,1020.2143,1018.16943,1018.7854,1016.8582,1010.9046,1020.1878,1015.5094,1013.34406
1977-11-01,1011.8777,1021.35986,1015.8727,1014.9602,1017.2215,1010.336,1018.6664,1014.8098,1014.2489
1977-12-01,1012.8186,1015.7397,1015.9749,1011.6076,1018.4416,1009.6887,1012.74896,1016.1677,1013.8111
1978-01-01,1014.2022,1016.71423,1015.49786,1002.7405,1020.6233,1010.9304,1008.8716,1019.6128,1015.35596
1978-02-01,1013.759,1016.77625,1014.9227,1001.6314,1018.5851,1010.1652,1010.3766,1018.2125,1014.9341
1978-03-01,1014.3695,1019.3842,1019.0156,1013.6417,1017.56335,1010.9204,1018.2519,1016.5009,1016.4496
1978-04-01,1013.617,1021.7456,1020.2407,1019.9408,1016.033,1010.3772,1025.0155,1012.1994,1016.1917
1978-05-01,1012.6993,1023.3879,1020.3546,1024.0071,1013.86163,1010.4519,1026.1531,1009.2908,1016.1484
1978-06-01,1011.59686,1022.1795,1021.2358,1024.4883,1016.4596,1011.3896,1026.8344,1013.7157,1014.5441
1978-07-01,1008.7303,1019.80743,1019.00104,1022.02625,1015.9051,1010.77374,1026.3838,1013.2898,1013.1752
1978-08-01,1011.50494,1020.4213,1018.4838,1021.9102,1016.7349,1011.105,1024.5476,1014.0149,1013.65967
1978-09-01,1011.1203,1019.2336,1018.4451,1020.09143,1014.96466,1011.57025,1021.2177,1012.01874,1013.825
1978-10-01,1010.94104,1019.0123,1017.9652,1018.36646,1016.71893,1010.91376,1019.44354,1016.32764,1013.83234
1978-11-01,1012.2347,1021.84827,1017.4794,1016.1817,1018.1892,1010.4105,1020.9205,1015.7891,1014.4741
1978-12-01,1012.6233,1020.24335,1021.97424,1021.7143,1019.3942,1010.2592,1023.0606,1016.5696,1014.6821
1979-01-01,1013.3465,1019.7951,1018.72345,1011.7064,1019.7615,1009.8489,1019.18726,1018.5373,1015.0276
1979-02-01,1014.2567,1023.1821,1019.5117,1020.0582,1020.9071,1010.2821,1022.25916,1017.99945,1016.96313
1979-03-01,1014.0196,1021.5403,1018.10065,1010.0432,1019.55444,1010.20807,1021.3304,1015.09406,1016.87286
1979-04-01,1013.13196,1021.7607,1020.2779,1023.3591,1016.28827,1010.0583,1024.0219,1010.72906,1016.1894
1979-05-01,1013.007,1021.9168,1020.73303,1017.8693,1015.6267,1010.4596,1022.568,1011.45197,1016.0859
1979-06-01,1012.6074,1022.69,1021.3536,1027.8276,1017.18115,1010.9286,1028.3186,1014.61755,1015.9286
1979-07-01,1010.84015,1020.60876,1020.3485,1022.6414,1017.0325,1011.5838,1023.75525,1012.7647,1014.9825
1979-08-01,1010.35034,1018.6795,1017.34076,1019.39667,1016.66187,1010.86554,1019.12714,1013.79407,1013.1094
1979-09-01,1009.83325,1017.5669,1017.86584,1018.32446,1012.22925,1010.46075,1020.072,1011.62836,1013.0018
1979-10-01,1011.75214,1018.2944,1017.05334,1015.64923,1015.46185,1010.59436,1017.5507,1012.8908,1013.8195
1979-11-01,1012.3003,1017.9543,1020.35944,1022.3066,1019.2243,1009.4829,1015.4104,1017.85077,1013.57086
1979-12-01,1013.09143,1018.4788,1017.0111,1012.97986,1021.3611,1009.72974,1014.0173,1019.961,1014.57886
1980-01-01,1013.3812,1013.9099,1008.96515,1000.09625,1018.88104,1009.60516,1007.8689,1015.50494,1013.44275
1980-02-01,1013.85425,1014.64685,1012.9921,998.372,1020.3005,1010.05804,1005.9617,1017.6992,1014.53784
1980-03-01,1012.7143,1024.0043,1021.70667,1018.6354,1016.9295,1008.49164,1028.9421,1012.35046,1015.3092
1980-04-01,1013.0673,1022.17615,1024.1511,1022.7025,1015.1939,1009.84216,1022.30756,1012.9525,1016.0835
1980-05-01,1012.9238,1022.9275,1021.5552,1022.62103,1014.4224,1010.1527,1026.7312,1009.25616,1015.9986
1980-06-01,1011.5107,1022.7106,1020.98804,1025.3583,1016.6018,1010.248,1027.568,1013.69696,1015.59906
1980-07-01,1010.5373,1020.4801,1019.5538,1021.85016,1015.7851,1010.37024,1027.6438,1013.8209,1014.08264
1980-08-01,1011.0246,1018.91833,1018.99695,1022.3794,1016.5209,1011.2519,1026.4929,1011.91425,1013.62286
1980-09-01,1010.9132,1018.83685,1017.2171,1016.89166,1016.1358,1011.2128,1022.5854,1012.72064,1012.9921
1980-10-01,1011.7541,1019.4246,1020.2218,1020.09674,1016.6253,1011.20825,1019.5531,1016.0996,1013.942
1980-11-01,1012.8452,1022.0062,1017.8427,1014.7301,1018.88104,1010.64,1019.04236,1018.5126,1015.11237
1980-12-01,1013.228,1018.4494,1009.0346,997.4204,1021.5907,1009.7567,1007.70703,1020.4468,1014.7266
1981-01-01,1013.79944,1016.91345,1012.1194,997.1472,1020.83093,1010.5357,1006.4345,1019.53217,1015.31055
1981-02-01,1013.22174,1019.3359,1015.6959,1006.6369,1021.2269,1009.1944,1015.2347,1018.7594,1014.71545
1981-03-01,1015.17804,1022.99835,1022.34326,1015.8345,1015.7832,1011.59344,1021.12915,1014.0691,1017.9433
1981-04-01,1013.68695,1023.3605,1021.94055,1022.2681,1020.39154,1010.30804,1025.1804,1014.9704,1016.58325
1981-05-01,1013.06195,1022.39453,1019.907,1016.64185,1013.63306,1011.16943,1021.9293,1009.9293,1016.4908
1981-06-01,1011.9183,1021.43665,1020.03076,1017.5259,1015.82904,1011.3192,1024.4368,1011.04095,1015.3571
1981-07-01,1010.95776,1020.5041,1020.3949,1023.9828,1016.3337,1010.9311,1027.059,1014.01514,1014.25885
1981-08-01,1010.5797,1019.47296,1018.0471,1020.2258,1015.27325,1011.5256,1022.6908,1012.7145,1013.09717
1981-09-01,1011.1275,1019.75116,1018.40393,1017.88,1015.88763,1011.1914,1020.5041,1014.0538,1013.2477
1981-10-01,1011.1222,1019.04694,1017.9659,1017.52924,1017.5718,1010.90186,1018.6529,1014.4445,1013.5479
1981-11-01,1012.96344,1019.5808,1020.46545,1018.84186,1017.7928,1010.56305,1019.9343,1016.34033,1014.73346
1981-12-01,1012.8176,1020.92346,1017.3315,1012.3923,1018.61755,1010.27875,1015.40643,1016.0901,1014.7601
