,zgu200_cluster1,zgu200_cluster2,zgu200_cluster3,zgu200_cluster4,zgu200_cluster5,zgu200_cluster6,zgu200_cluster7,zgu200_cluster8,zgu200_cluster9
1968-12-01,0.48319703,-0.05360794,-0.16957474,0.32930335,0.23667526,0.31945723,-0.23740463,-0.39166337,-0.011669731
1969-01-01,0.3960827,0.32940596,0.19605103,0.3416794,-0.23917541,0.48664474,-0.14496498,-0.1990364,-0.10814323
1969-02-01,0.17382546,0.47536546,-0.030187225,0.4876396,-0.32641983,0.052413177,0.18211861,-0.035826493,0.13899383
1969-03-01,-0.1515995,-0.3811554,0.14363822,0.12340279,-0.25344008,-0.49858665,0.1990364,-0.01890869,0.16420555
1969-04-01,-0.050754547,-0.35859758,0.1801281,0.14828244,0.0019901276,-0.33371812,0.17548409,-0.089234926,-0.17946473
1969-05-01,-0.15624389,-0.3930973,0.16022415,0.28528595,0.017913437,-0.24680558,0.03980713,0.115441516,-0.15923004
1969-06-01,-0.3297371,-0.64123,-0.3493088,0.3221077,0.41300124,-0.71620023,0.16785431,0.06535034,0.26239625
1969-07-01,-0.037153624,-0.39608306,0.2076622,0.1967144,0.36158332,-0.7895123,0.3977417,0.34433287,0.21429595
1969-08-01,0.041797638,-0.10217209,-0.5065483,0.2700264,0.4332363,-0.485981,0.013269424,0.24017105,0.63094634
1969-09-01,-0.4856495,0.4664093,0.48963013,-0.34698716,-0.47536582,0.104494475,0.09653282,-0.3267517,-0.086912535
1969-10-01,-0.63923913,-0.039143752,-0.530101,0.03284111,0.02786522,0.16387367,0.27400702,0.021894073,0.604076
1969-11-01,-0.08127327,-0.25178146,-0.08027802,0.05174942,0.1423111,-0.38944817,-0.1399891,-0.18444061,0.08857117
1969-12-01,0.113119125,0.35428506,0.9663227,0.10383072,-0.09222031,0.18079147,-0.06402359,-0.06037445,-0.31547317
1970-01-01,0.38404465,-0.21332093,0.35176316,0.4106678,-0.07421303,-0.026956176,-0.3377861,0.29252586,-0.5634201
1970-02-01,0.25525284,-0.17172165,0.4096695,0.17438392,-0.49220276,-0.57340395,0.08386421,-0.27588615,0.0672245
1970-03-01,0.38038406,-0.19801216,0.0099838255,0.05624199,-0.19035797,-0.6179985,0.24094276,0.5001894,-0.20599937
1970-04-01,-0.17072335,-0.17371865,0.41732368,0.0049919127,0.16706237,0.0009983063,0.37039986,0.18836136,-0.570076
1970-05-01,-0.28154373,0.15840988,-0.3181511,-0.087192155,0.16406746,-0.3201477,0.21931115,-0.2159832,0.35575637
1970-06-01,-0.25525284,-0.2818764,0.2785492,0.11980591,0.24892998,-0.5630871,-0.04892044,0.1946846,0.49686128
1970-07-01,0.28953093,-0.11514664,0.2432724,0.15175399,-0.0485878,-0.7338104,0.379718,-0.13478164,0.49053803
1970-08-01,0.05324707,-0.7085182,-0.0249588,0.37938538,0.3174858,-0.28753433,0.27355653,-0.2895302,-0.2675659
1970-09-01,-0.20666504,-0.068222806,-0.10682678,0.12712726,0.056907654,-0.49286804,0.12246857,-0.28786698,0.09551163
1970-10-01,-0.7737457,0.019301604,-0.09251709,0.19701405,0.28520432,-0.208329,0.10782547,0.09284973,0.49852523
1970-11-01,-0.68189466,-0.31881675,-0.08319855,0.0099838255,0.054245375,0.2958538,0.5760666,-0.50817645,0.28087807
1970-12-01,-0.3471039,-0.1634018,0.23661652,0.42464525,-0.17205429,0.070552446,-0.37905234,-0.70618856,0.18436775
1971-01-01,0.24692574,-0.30865708,0.5493778,0.36940917,-0.1143177,0.0039196014,0.18127517,-0.57550734,0.20707817
1971-02-01,0.1401207,-0.37430876,0.04050102,0.20315894,-0.017964173,-0.18421479,0.25966415,0.91519433,0.23549461
1971-03-01,-0.010125351,-0.6231941,0.2025055,0.41023713,0.15187912,-0.48013383,-0.17343673,-0.2805683,0.20348549
1971-04-01,0.0326622,-0.20283203,0.3276016,-0.07936897,-0.16037102,-0.3360939,0.017310714,-0.12868881,-0.27697524
1971-05-01,-0.07969551,-0.24267998,0.17049675,0.1603714,0.06826401,-0.3984787,-0.20185241,0.2985321,-0.19303322
1971-06-01,-0.18584824,-0.29297942,0.017637635,0.48895282,0.1391407,-0.5693016,0.094393924,0.20152588,0.027762603
1971-07-01,-0.37692183,-0.58432615,0.37463456,0.30408478,0.16984329,-0.09341355,0.21491699,0.08753433,0.47098845
1971-08-01,-0.2766487,-0.111377716,0.40337753,0.22732869,0.22700195,-0.1603714,0.22798157,-0.058139037,0.14110032
1971-09-01,-0.078388974,-0.23451462,0.051279448,0.15906486,-0.14044762,-0.4559639,0.20740509,-0.25247955,0.12640305
1971-10-01,-0.73097956,0.10615234,0.39619216,0.28187448,0.08851471,-0.10713196,-0.20642547,-0.4282013,0.7620083
1971-11-01,-0.45857698,0.7469841,0.2593376,-0.30865747,0.044747163,0.26521683,0.34001312,-0.5970646,-0.032008745
1971-12-01,-0.24855956,0.41252366,0.8501965,0.11497078,-0.015024567,-0.2975525,0.18160172,0.2005455,-0.29787904
1972-01-01,-0.07832833,-0.5394043,0.10759392,0.37270546,-0.04275055,0.39881477,0.28691712,-0.63035697,0.55231553
1972-02-01,0.24273185,-0.35922033,-0.1592392,0.338562,-0.03902054,0.020944977,-0.14403228,-0.5491592,0.49120218
1972-03-01,0.22207375,-0.4685356,0.23498496,0.30671462,0.010903168,-0.087796405,0.24474029,-0.3569252,-0.2484703
1972-04-01,-0.2631031,-0.041028976,-0.16382942,0.071155354,-0.2301075,-0.12566948,0.05709648,-0.12337418,0.2585125
1972-05-01,0.0057382584,-0.68659246,0.02324028,0.07918892,0.32106036,-0.25535622,0.17501946,0.42894095,-0.09468269
1972-06-01,-0.3078621,-0.17760162,0.3207733,0.1423111,0.3517601,-0.3893467,0.5307964,0.32966766,0.2108841
1972-07-01,-0.35663834,-0.012911225,0.27888337,-0.17588024,0.48747215,-0.67138636,0.43754846,0.20371132,0.097838596
1972-08-01,-0.46279755,0.09869919,0.5950661,-0.009754944,-0.18879166,-0.3486042,0.12021828,0.0507843,0.7118408
1972-09-01,-0.33540612,-0.015780639,0.33024138,0.35376891,0.12710457,-0.2808918,0.22264747,-0.2324028,0.4917759
1972-10-01,-0.17817536,0.7141369,0.3764351,-0.4186121,-0.27974415,-0.22350845,0.09066582,-0.061113358,-0.022379685
