,zgu50_cluster1,zgu50_cluster2,zgu50_cluster3,zgu50_cluster4,zgu50_cluster5,zgu50_cluster6,zgu50_cluster7,zgu50_cluster8,zgu50_cluster9
1965-01-01,0.06935234929694505,-0.029299764669147032,0.060961505567485634,0.1109031836191813,0.011762123751012902,-0.13290169287701042,0.05315971031463404,0.027563442320873342,0.040089619159698484
1965-02-01,0.10557714544358801,-0.14368162072938065,0.1832570880651474,0.09311157244223135,-0.04955523794418887,-0.193382024156804,-0.040606229746942044,-0.06783901869008939,0.0391645759344101
1965-03-01,0.09743375245664941,-0.006507062513766618,0.2451236444440755,0.07832553099702905,0.1400666997620934,-0.09420273863539404,0.017969892527774086,-0.09784158319234848,-0.033193088602274656
1965-04-01,0.15407512422467842,-0.13724650288450307,0.02491894093426791,0.08371472082756183,-0.009157519027786819,-0.1896539360893016,-0.0013001953258360034,-0.11889837527026734,0.06552034020423889
1965-05-01,0.15770001489608015,-0.060041981010601445,0.07326976311477748,0.07067645589510599,0.10003010301213515,-0.1909481171442538,0.026216112720451767,0.018873234512284398,0.09344680607318878
1965-06-01,0.12949508477429875,-0.1684480571541293,0.23375859653407877,0.05270360520592442,-0.0632846139763531,-0.6048864247847576,0.03227396472859726,-0.11485668364912271,0.13805156648159028
1965-07-01,0.1614603962077469,-0.1325660224618583,0.1005059192803773,0.1223377055592007,-0.22169600584005053,-0.5355561266140062,0.029944769348011175,-0.15434394590556622,0.060002246499061586
1965-08-01,0.24260954290139872,-0.0377589065966935,0.13049970465627583,0.03525425162580278,-0.17722398042678833,-0.5809790625864146,-0.005284925292936161,-0.041360827162861824,0.10062852799892426
1965-09-01,0.17681231752770846,-0.21198596163042663,0.18071230839599262,0.07407567291348069,-0.037910639749545796,-0.4820312468373046,0.03560006337092935,0.07022441520045201,0.023493917286396028
1965-10-01,0.074176197169257,-0.11386299698517241,-0.024176808074116707,0.07040848714058046,-0.34604284324144063,-0.2801829758955508,0.0024212561145746454,0.0923303421586752,0.038200610876083375
1965-11-01,0.07852503388631539,-0.11306900916428403,-0.21224873648448425,0.07123775573240386,-0.379072168939992,-0.23081252465442736,0.012456916235789336,-0.1174367731437087,0.036149755120277405
1965-12-01,0.20733654010491293,-0.11347805888488376,-0.13506650416688484,0.013484858252384043,-0.006012915707144298,-0.13206242298593326,-0.03090067934110868,-0.24822245662411055,0.023018273711204528
1966-01-01,0.0739016554883269,-0.009382438267870196,0.006364313991401683,0.06879568099975586,-0.051600133117876555,-0.1407275394517548,0.01590219058310814,-0.032848857032756015,0.06473211348056793
1966-02-01,0.09856171539572418,-0.03993332321787703,-0.06725503216412934,0.03904537306408639,0.015194734901581939,-0.14560281926271867,-0.008144741207897235,-0.2318854909390211,0.022779983282089234
1966-03-01,0.19902817782808524,-0.060488052409270715,0.1988495276732878,0.05430953232226548,0.05235912670430384,-0.20963298727054985,-0.014687727185354818,-0.06775809451937675,0.004332025349140167
1966-04-01,0.02483665546188589,0.05971882492303849,0.05834923041137782,0.04546173744731479,-0.13823649404864563,-0.05449108703404057,0.00785441044048011,0.0438141287304461,0.10417688488960267
1966-05-01,0.08839134920815953,-0.021043842144567393,0.2733910456299782,0.10120369493961334,-0.10157148108670586,-0.38013382225620507,0.052976907103610554,0.3032718474666278,-0.011259424686431884
1966-06-01,0.29195637487974324,-0.07098514972061946,0.0919390046461062,0.10982143106283965,-0.12128339394142754,-0.3261984611044125,0.035790313812468555,-0.016001948582318924,0.04316651076078415
1966-07-01,0.07757689864909063,0.022264708090445093,-0.10379664599895477,0.06960789638536947,-0.26980162059005935,-0.38377974106340995,0.10195693148554659,-0.17441902309656143,0.13586025834083557
1966-08-01,0.1068029125205806,0.03142594199242263,-0.12367990883913907,-0.02417124048979194,-0.18489264736050054,-0.2845343278378856,0.011533119702349893,-0.17865741004546484,0.26654337644577025
1966-09-01,-0.027052496300369013,0.032217206497644556,-0.09577595205469565,0.0027248801456557377,-0.04344280613096137,-0.2054510828183622,0.08521840619526322,-0.14172117225825787,0.08060006201267242
1966-10-01,-0.008401061698305802,0.13997715351910428,-0.20477263764901596,0.0710520534603684,-0.30038605787252126,0.0468437921027748,0.08391097134394612,-0.16378917110462984,0.1628059685230255
1966-11-01,0.09799492163736312,-0.07845036813925053,0.10277684777975082,0.17471382463419877,-0.1235226757432285,-0.2175292190240354,0.06226900723769511,-0.06776705073813598,0.024371765553951263
1966-12-01,0.0010041851115214532,-0.008291151406693047,-0.12270445004105568,0.17447123924891153,-0.052892671603905525,-0.05824432081105758,0.010442376813496189,0.05207647724697988,0.05024408996105194
1967-01-01,-0.028342384173244726,-0.006635114550590516,-0.10476004840298132,0.12183721556707663,-0.1984513903919019,-0.061421024099904666,0.025047485133726823,-0.06405910632262628,-0.019965074211359023
1967-02-01,-0.01771321642349978,-0.03444094467779686,-0.23735634643923154,0.0784625940852695,-0.10699561159861715,-0.07429088712955008,0.022051264548660826,-0.1354957154641549,0.017765919864177703
1967-03-01,0.07375917840199392,-0.07184704059156878,-0.07466875355352055,0.09299057087412586,0.09611339161270543,-0.06643218957647985,-0.04865306315662192,-0.14752172864973545,0.03848610911518335
1967-04-01,0.1953965449919466,-0.21090868475108313,0.17796160483902151,0.12984088725513881,0.053658071709306615,-0.25591883732348075,-0.026037306826320484,-0.15357760712504387,-0.02543797194957733
1967-05-01,0.2929343063323224,-0.11891364280519816,0.19701268862594257,0.08954385364497149,0.013314305167449149,-0.40844149735509133,0.062372045015259614,-0.17429090415438017,0.055191701650619505
