,ssta30_cluster1,ssta30_cluster2,ssta30_cluster3,ssta30_cluster4,ssta30_cluster5,ssta30_cluster6,ssta30_cluster7,ssta30_cluster8,ssta30_cluster9
1968-10-01,0.8482361,-10.133118,-5.567871,-13.364899,-3.3050232,-11.903839,-1.4358826,2.025879,-7.7095337
1968-11-01,1.3224792,-9.261688,-4.1493835,-12.871857,-2.0097046,-11.378632,-0.9255066,2.364624,-7.3144226
1968-12-01,2.3133545,-7.356262,-2.45813,-12.032318,-0.7413635,-9.902039,0.15734863,2.2020874,-5.477234
1969-01-01,2.8079224,-5.199188,-1.9421997,-11.219391,0.4482422,-8.292603,1.4486084,2.6771545,-3.9091187
1969-02-01,2.952301,-4.884033,-2.4013062,-10.69043,0.6290283,-7.8631287,2.0693665,2.5410767,-3.2042847
1969-03-01,3.5833435,-5.806122,-2.4491577,-10.838776,0.12997437,-8.286804,2.31839,3.0726624,-3.6023254
1969-04-01,3.609192,-6.9457703,-3.4913635,-12.026611,-1.2834778,-9.45929,2.0534973,3.0456848,-4.8645325
1969-05-01,2.6436768,-8.226624,-4.4615173,-12.824982,-2.2910461,-10.218658,0.9095459,3.075409,-6.220764
1969-06-01,1.6206055,-9.485046,-5.317932,-12.616913,-3.2612915,-11.259674,0.013153076,3.192688,-6.7156677
1969-07-01,0.86816406,-9.607819,-5.532501,-12.627411,-3.5440369,-12.016724,-0.6008606,3.1852722,-7.525543
1969-08-01,0.36889648,-10.168091,-5.2041626,-13.002075,-3.5567017,-11.730438,-1.2226562,3.5202637,-7.8094482
1969-09-01,0.18765259,-10.630859,-5.7858887,-13.15155,-3.257019,-12.109131,-1.3854675,3.078003,-8.402466
1969-10-01,1.0638123,-10.237701,-5.1081543,-13.637238,-2.6638794,-12.264099,-0.69696045,2.3605652,-7.7175293
1969-11-01,2.1274414,-8.5746765,-4.1773376,-13.10022,-1.6976929,-10.904633,0.353302,2.9252625,-6.9703064
1969-12-01,3.3987122,-7.819214,-2.7194214,-11.29361,-0.1187439,-9.450806,1.8168945,3.0423584,-6.1943054
1970-01-01,3.1098633,-6.3101196,-1.9958191,-10.5433655,0.81118774,-8.111908,2.2632446,2.941986,-5.089508
1970-02-01,3.144104,-5.4349365,-1.6273804,-10.276154,1.0386047,-7.383423,2.582611,2.9271545,-3.8553162
1970-03-01,3.2910767,-5.7993774,-1.2329712,-11.116852,0.5031738,-7.8960876,2.2796326,3.3070679,-4.2651978
1970-04-01,3.362671,-7.1483154,-2.4165955,-11.84848,-0.15872192,-8.997589,1.6477051,2.8538818,-5.856903
1970-05-01,2.2539062,-8.96994,-3.13797,-12.731537,-0.9689331,-10.50412,1.0244751,3.187317,-6.29776
1970-06-01,1.3471069,-9.411835,-4.2426147,-13.397095,-2.1081848,-11.813843,-0.33068848,3.1519775,-6.2339478
1970-07-01,1.1236572,-9.768036,-5.0533752,-13.543579,-2.7309265,-12.136475,-0.98080444,3.1392822,-7.221405
1970-08-01,0.6104126,-9.689301,-5.5056763,-13.745331,-3.3898315,-11.989532,-1.4578857,3.4825134,-7.847748
1970-09-01,0.59121704,-9.81955,-5.9096985,-13.6137085,-3.935913,-11.79126,-1.6811218,3.2943726,-7.88916
1970-10-01,0.98443604,-9.632965,-5.5810547,-13.31192,-2.9884338,-11.466766,-1.1381226,3.0202026,-7.652466
1970-11-01,2.0345764,-8.282166,-4.8026123,-12.577881,-2.0328064,-10.517334,-0.31420898,2.8559265,-6.5191345
1970-12-01,3.0106812,-5.996063,-3.6307373,-11.6250305,-1.1249084,-9.21579,0.49038696,2.789093,-5.4510803
1971-01-01,3.2609558,-4.543915,-3.0165405,-10.4236145,-0.28198242,-7.468689,1.3886719,2.4999695,-4.0240784
1971-02-01,2.6887207,-4.761841,-2.3993835,-10.075256,0.2783203,-6.6746216,1.3674011,2.529602,-3.8709106
1971-03-01,3.1488647,-5.5701294,-2.2653809,-11.160767,0.015045166,-7.184967,1.9135132,2.2104797,-3.6687012
1971-04-01,3.5509033,-6.0308533,-3.137207,-12.1996155,-0.510376,-8.438263,1.7349548,3.1017456,-5.0326843
1971-05-01,2.8187256,-7.2769165,-3.354004,-12.79541,-1.1061707,-10.218506,0.35202026,3.2797546,-6.0598755
1971-06-01,1.556366,-9.0373535,-4.3253174,-13.393646,-2.0705566,-11.334106,-0.54714966,3.0115967,-6.60672
1971-07-01,0.8848572,-9.71582,-4.909363,-13.438599,-2.7277527,-12.005127,-1.1954651,3.4128418,-7.342987
1971-08-01,0.8635559,-9.61554,-5.467285,-13.643219,-2.6947021,-11.937958,-1.629364,2.942871,-7.5678406
1971-09-01,0.6968994,-10.124634,-5.4817505,-13.623596,-3.1321716,-12.281555,-2.1018982,3.0504456,-7.943054
