,mgu850_cluster1,mgu850_cluster2,mgu850_cluster3,mgu850_cluster4,mgu850_cluster5,mgu850_cluster6,mgu850_cluster7,mgu850_cluster8,mgu850_cluster9
1968-12-01,-1.5940037,0.5050777,0.24579239,-1.3431057,0.011305237,0.93102074,-0.5583202,-0.6203159,-0.12180176
1969-01-01,-1.787349,0.034168243,1.11361,-1.1401482,-0.14662361,0.4614334,-1.1189175,-0.53275454,0.9772701
1969-02-01,-0.6777195,-0.33935738,0.4219578,-1.102663,0.10250397,0.51981735,-0.45546228,-0.7669548,1.8954922
1969-03-01,-0.36291045,0.2298874,0.47702447,-0.67838323,-0.16188316,0.5582981,-0.39376068,-0.4388756,0.5330868
1969-04-01,-0.9663231,0.013932419,0.40404433,-0.78951186,-0.044120025,1.0077889,-0.3841408,-0.17714271,-0.10283508
1969-05-01,-0.70624846,0.95073164,-0.10582085,-0.7453922,-0.53441316,0.55332184,-0.20434418,0.53607213,-0.44219285
1969-06-01,-0.88173217,1.2841183,-0.07430725,-0.61071074,-0.33968925,0.5188221,-0.9779335,0.7244934,-0.19870491
1969-07-01,-1.3955787,1.1796242,0.026206207,-0.8777515,-0.47204858,0.681369,-0.708902,0.81372833,-0.3838089
1969-08-01,-0.9931927,1.4207897,0.18510361,-0.6631237,-0.77624285,0.6133644,-0.94874114,1.0230484,-0.6276291
1969-09-01,-0.5662594,1.5203083,-0.09155693,-1.1494366,-0.27931443,0.55066836,-0.3556118,0.7407482,-0.31082916
1969-10-01,-1.2390034,1.0618607,0.043456268,-0.7357723,-0.4478325,0.34400138,-0.083927155,0.44086608,-0.6863445
1969-11-01,-0.8764248,1.076788,0.51484144,-1.0605335,-0.5519951,0.98191416,-0.46541405,-0.30220413,-0.17714271
1969-12-01,-1.0074574,0.78254586,0.37783775,-0.95637095,-0.35693932,0.6213261,-0.33670348,-0.58085555,-0.13468131
1970-01-01,-0.6885506,-0.25525284,0.8715874,-1.1784233,-0.6392967,0.99272424,-0.4738987,-0.74778783,0.18303642
1970-02-01,-0.48188552,-0.8552803,0.7930481,-1.7531582,0.055243682,0.04592552,0.29319113,-0.98606837,0.946133
1970-03-01,-1.1181877,0.046591185,0.5554329,-0.62898064,-0.47689325,1.4320122,-0.57939416,-0.8133484,-0.10582848
1970-04-01,-1.1305012,-0.02895317,0.41166574,-1.1780903,-0.30417404,1.0057033,-0.5927059,0.14809342,-0.20400238
1970-05-01,-1.0752571,1.0020424,0.47755966,-0.6313103,-0.4542637,1.057286,-0.98340607,0.9358166,-0.42597657
1970-06-01,-1.2825878,1.5661285,0.1663971,-0.18104,-0.62898064,1.4093826,-1.254633,0.90752906,-0.32447433
1970-07-01,-1.4160382,1.0689342,-0.015974427,-0.8200041,-0.32913285,0.96743166,-1.046304,0.94413644,-0.02862091
1970-08-01,-0.77973634,1.1684395,0.041931916,-0.95045966,-0.4406193,0.58505136,-0.5274784,1.043309,-0.17904282
1970-09-01,-1.2716057,0.79770696,0.30550537,-0.5071781,-0.30350798,0.5088417,-0.52514875,0.9331543,-1.0013771
1970-10-01,-1.2087075,1.331176,0.27289122,-0.90253717,-0.17638092,0.8466274,-0.67424047,0.6502792,-0.13577957
1970-11-01,-1.553482,0.35009918,0.44694215,-1.4506487,-0.51782763,0.88290215,-0.7923824,-0.57373655,-0.36241263
1970-12-01,-1.1537968,0.1384426,0.54911005,-0.8056942,-0.25358924,1.2413216,-0.44228286,-0.7454586,0.49220237
1971-01-01,-0.96712685,-0.26195067,0.5500313,-1.0069748,-0.22863503,0.7182415,-0.39684525,-0.91127473,-0.06565094
1971-02-01,-1.0487823,-1.0455163,0.69374466,-1.201968,0.19074745,0.1401207,-0.20642471,-0.8198204,0.84725684
1971-03-01,-0.26586992,-0.023843383,0.8916775,-1.3107332,0.1535122,0.6712078,-0.44355202,-0.72085416,1.0778519
1971-04-01,-1.0458431,0.53827286,0.8286396,-0.7842186,0.19532013,0.7698475,-0.3723488,-0.18748093,0.23582038
1971-05-01,-1.3015877,1.4159054,-0.0163311,-0.8257,-0.011431885,0.6068634,-0.73391914,0.63037986,-0.5389263
