,vws850-250_cluster1,vws850-250_cluster2,vws850-250_cluster3,vws850-250_cluster4,vws850-250_cluster5,vws850-250_cluster6,vws850-250_cluster7,vws850-250_cluster8,vws850-250_cluster9,vws850-250_cluster10,vws850-250_cluster11,vws850-250_cluster12
1965-01-01,15.139700889587402,29.19978141784668,32.726318359375,11.744695663452148,22.021940231323242,27.534624099731445,10.333614349365234,20.250898361206055,28.007596969604492,9.297005653381348,13.372535705566406,31.32757568359375
1965-02-01,8.163421630859375,35.09455871582031,34.39923858642578,25.37128257751465,23.97772979736328,22.20846939086914,0.4553408920764923,24.76784896850586,22.221128463745117,15.604094505310059,15.057741165161133,30.67424774169922
1965-03-01,13.502140998840332,39.57274627685547,22.496749877929688,22.2834529876709,25.989625930786133,18.874767303466797,3.433198928833008,31.98752212524414,27.874576568603516,22.431657791137695,15.765929222106934,37.5250129699707
1965-04-01,4.647862911224365,25.219533920288086,32.42103958129883,12.443565368652344,23.782268524169922,29.956575393676758,5.955738067626953,13.680581092834473,25.778059005737305,7.245071887969971,14.061230659484863,26.30019760131836
1965-05-01,6.489001274108887,16.489046096801758,18.744977951049805,15.084688186645508,20.76047706604004,25.71936798095703,2.7090749740600586,13.270673751831055,14.06800365447998,9.949921607971191,7.40446138381958,12.592660903930664
1965-06-01,4.355813026428223,5.158985137939453,11.701809883117676,22.842676162719727,10.209489822387695,14.741299629211426,2.058281660079956,8.185020446777344,2.8191046714782715,6.504760265350342,5.431300640106201,8.7825288772583
1965-07-01,12.92078685760498,3.8937435150146484,8.136378288269043,17.478364944458008,10.60547924041748,13.914361953735352,5.048859119415283,4.155166149139404,7.7421464920043945,12.350635528564453,2.766341209411621,12.422916412353516
1965-08-01,16.000375747680664,1.3688678741455078,4.678990840911865,14.800594329833984,8.767252922058105,10.133243560791016,6.353965759277344,2.8172364234924316,9.218770980834961,9.352041244506836,0.6283233761787415,10.862971305847168
1965-09-01,9.344110488891602,6.7008819580078125,12.006237030029297,10.701055526733398,5.829664707183838,10.768794059753418,4.462839603424072,7.120143413543701,0.9888150095939636,2.919293165206909,3.817188262939453,15.153347969055176
1965-10-01,5.992380619049072,24.830429077148438,18.967294692993164,10.933733940124512,8.364385604858398,9.092833518981934,3.579930543899536,10.772172927856445,10.701822280883789,12.428977012634277,9.440461158752441,17.440813064575195
1965-11-01,14.094905853271484,29.397850036621094,23.57834815979004,16.1883487701416,25.720977783203125,21.03803062438965,3.5261034965515137,17.215442657470703,19.11996078491211,12.570581436157227,9.498032569885254,31.440168380737305
1965-12-01,18.8612117767334,30.69541358947754,29.212064743041992,10.984742164611816,21.662900924682617,19.64569854736328,6.827232837677002,19.825851440429688,16.496091842651367,7.073211193084717,14.225529670715332,31.132638931274414
1966-01-01,22.711299896240234,44.30828857421875,18.263126373291016,15.622794151306152,25.131872177124023,20.241668701171875,9.908082962036133,33.04696273803711,25.206512451171875,19.43219566345215,9.544262886047363,37.89952087402344
