,zgu500_cluster1,zgu500_cluster2,zgu500_cluster3,zgu500_cluster4,zgu500_cluster5,zgu500_cluster6,zgu500_cluster7,zgu500_cluster8,zgu500_cluster9,zgu500_cluster10
1968-07-01,-0.32310373,-0.37379378,0.33951455,-0.3982273,0.0065643312,0.13675384,0.14623566,0.20239563,1.0079677,-0.1101326
1968-08-01,0.19583169,-0.4204727,0.3508194,-0.12107277,0.22281761,-0.3030468,0.032091904,-0.2508976,0.40406188,-0.22500572
1968-09-01,-0.010575485,-0.18489075,0.19656105,-0.19036141,0.10612106,-0.13201293,-0.054336548,0.13857727,0.19364357,0.0652771
1968-10-01,0.056159973,-0.030268097,0.3683239,-0.17686844,0.3325855,-0.54847413,-0.3756176,0.15207061,0.09882736,-0.34243163
1968-11-01,0.17650375,-0.07111206,0.34717292,-0.30815202,0.10429764,-0.5743664,-0.40369758,0.15352897,0.15571746,0.05798378
1968-12-01,0.046678923,-0.023339082,0.30450553,-0.20895997,-0.21370068,-0.65058404,-0.11888466,-0.17686844,0.19145508,0.013857651
1969-01-01,0.095869444,-0.23851204,0.4783514,-0.119090274,-0.089234546,-1.3965738,-0.5981051,0.5065481,-0.012605667,0.09354725
1969-02-01,-0.16055603,0.045114897,0.3556122,0.080609895,0.15325813,-1.2054985,-0.40172213,0.04013901,-0.14629212,0.071652986
1969-03-01,0.054071426,-0.15790233,0.34665546,-0.26836777,-0.02786522,-0.57156676,-0.7158686,0.037485123,0.03118248,0.25509852
1969-04-01,0.022557449,-0.16287842,0.15624389,0.0016586303,0.04644203,-0.7244934,-0.6962965,0.12406616,0.22856025,0.14197922
1969-05-01,0.3287422,-0.08624916,0.28097343,-0.80643004,-0.3081749,-0.5370674,-0.4524769,0.15624389,0.10515747,0.28561744
1969-06-01,-0.39210206,-0.42096215,0.17946473,-0.189748,0.22457962,-0.35395354,-0.19970016,0.024547577,0.38646278,-0.12008552
1969-07-01,-0.02056694,-0.45579377,0.3121559,-0.24083443,0.10582123,0.0,-0.303199,0.10283546,0.35892946,-0.18211822
1969-08-01,0.0069660186,-0.19704628,0.1894165,-0.0968647,-0.071984865,-0.11278763,0.1870945,-0.20500755,0.4070301,-0.11577301
1969-09-01,0.14596024,-0.19870491,0.0991867,0.09620132,0.265382,-0.30718002,-0.19472428,0.20799331,0.40935212,-0.30054513
1969-10-01,0.23519477,0.02952385,0.27467042,-0.22059861,0.19372901,-0.48233223,-0.5513315,0.120085336,0.08027802,-0.2769928
1969-11-01,0.0945427,0.08558579,0.42195758,-0.09354706,-0.42826042,-0.7331184,-0.071984865,0.3675545,0.11278725,0.2650505
1969-12-01,0.02222557,-0.30717984,0.6355904,0.005970764,-0.038812257,-0.9756113,-0.6160185,0.10051346,0.1303688,-0.0069664
1970-01-01,-0.11614494,-0.021631623,0.5624218,-0.07155075,0.08319855,-0.702528,-0.20200615,0.15275231,-0.19368629,0.07288189
1970-02-01,0.037273027,-0.18370247,0.5487772,0.034277726,0.100170895,-0.9597775,-0.64295805,0.16839352,0.20899467,-0.003327942
1970-03-01,-0.08186722,-0.14343414,0.45792446,0.007321167,-0.061566927,-0.949461,0.0515831,-0.02129898,-0.03560867,-0.096177675
1970-04-01,-0.25026092,-0.1577446,0.27888146,-0.08885574,0.117809296,-0.10083656,-0.30184403,0.15308532,0.064562224,0.21332093
1970-05-01,-0.26789895,-0.40534288,0.43928796,-0.48621216,0.14609642,-0.4778923,-0.17438392,-0.04892063,0.43962058,0.31981468
1970-06-01,0.08652649,-0.74312896,0.28487128,-0.381382,0.44760817,-0.3434433,-0.15341797,0.17737904,0.49186936,-0.14077187
1970-07-01,-0.2336216,-0.58738136,-0.058571626,-0.17105636,0.40900382,-0.23728219,-0.18303642,0.3930296,0.5204899,-0.1683937
1970-08-01,-0.119140245,-0.56408536,0.43429604,-0.19934388,0.5890449,0.12978974,-0.2149849,-0.042930223,0.5198242,-0.0049919127
1970-09-01,-0.1304554,-0.09418068,0.20799598,0.023628235,0.12912408,-0.12313385,0.047589492,0.04892082,0.30983123,-0.13045502
1970-10-01,0.2619087,-0.071883395,0.22696534,-0.27555352,0.4935333,-0.60235673,-0.45126876,-0.111486055,-0.1440998,-0.0053245546
1970-11-01,0.40134963,-0.21065827,0.579727,-0.3084999,0.26789895,-0.8319847,-0.47523004,0.09218387,0.09983826,-0.047922134
1970-12-01,0.13977356,-0.18703003,0.40833816,0.0485878,-0.23628369,-1.1697706,-0.5883795,0.1138155,-0.13511428,0.17737922
1971-01-01,-0.18062171,0.28056794,0.5075701,-0.1335884,0.1851944,-0.44877815,0.259338,0.041807555,-0.02645607,0.099293135
1971-02-01,0.3618965,-0.0009796142,0.53010714,0.020576859,-0.12248345,-1.2467152,-0.5193287,-0.18682785,0.08916779,0.045726966
1971-03-01,-0.12542267,-0.23353462,0.6796999,-0.18715401,-0.022863578,-0.2995121,-0.42852765,0.16559735,0.06532402,0.0787159
1971-04-01,0.4144829,-0.0653244,0.26162377,-0.07969551,-0.18878746,-0.42264825,-0.31910935,0.3553644,-0.03723488,0.29036674
1971-05-01,0.24823228,-0.31943625,0.24725266,0.03494873,0.14436683,-0.39096603,-0.17572269,0.35601768,0.3589573,-0.00032653808
1971-06-01,-0.014698029,-0.9553688,0.635606,-0.19662628,-0.07806282,-0.310944,-0.445512,0.53729284,0.565382,-0.06663094
1971-07-01,-0.07120361,-0.24757919,0.17441635,0.025803376,0.19433975,-0.08328857,-0.079695895,0.099292755,0.33478737,-0.33021468
1971-08-01,-0.08492164,-0.79663086,0.16919021,-0.3886799,0.2733822,-0.025149917,-0.037887953,0.18584767,0.3292347,-0.1143177
1971-09-01,-0.10059967,-0.18878746,0.0826355,-0.29689902,0.057812117,-0.18160172,0.32596856,-0.023843383,0.3504654,-0.13489494
1971-10-01,0.20283203,-0.16527061,0.37430876,0.039847948,0.48405343,-0.28644714,-0.3501385,-0.05715885,0.07936897,-0.34262618
1971-11-01,0.12313652,-0.23059502,0.43930626,0.096026994,0.009145737,-0.6712078,-0.31486338,-0.06369133,-0.023843383,0.16853675
1971-12-01,-0.037561797,-0.56701547,0.40076485,0.24757996,-0.21067104,-1.3002812,-0.3965189,0.04540024,0.14044723,0.65912247
1972-01-01,0.07144241,-0.043898392,0.24617481,0.057383347,-0.26597214,-1.4627035,-0.5640789,0.18649635,0.0011478424,0.23268986
1972-02-01,-0.06685181,0.15063134,0.47656918,0.0063121794,-0.18592224,-0.96777153,-0.07058163,0.0723032,0.021518707,0.0011478424
1972-03-01,0.039881516,-0.13112107,0.16583805,0.18907852,-0.34257907,-1.0564287,-0.1770279,0.10759392,0.13255577,0.30987054
1972-04-01,0.041316222,-0.13800716,0.19682522,0.017501831,0.103864096,-0.415456,-0.064556316,0.0077468874,-0.15952606,0.266259
1972-05-01,0.21949157,-0.38590336,0.06283493,-0.16727257,-0.12337456,-0.58445036,-0.20916252,0.1715765,0.32966805,0.43927002
1972-06-01,-0.29868048,-0.4160301,0.26711997,0.0037296296,0.28376085,-0.17559318,-0.09611721,0.16956806,0.58387643,0.010902787
1972-07-01,-0.02582245,-0.7049557,0.12624359,-0.077754594,0.4008232,-0.14145012,-0.0011476517,0.57440794,0.71155435,0.07115555
1972-08-01,0.06197395,-0.40684852,0.28978616,-0.057670213,0.28576964,0.17961006,0.058531187,0.25363463,0.5812939,-0.17100258
1972-09-01,0.04533272,-0.04705429,0.27142352,0.035003662,0.24187088,-0.39278945,-0.023527145,-0.008607483,0.080336764,-0.34803087
1972-10-01,-0.033856202,0.14891014,0.4909153,0.018649673,0.29437694,-0.27687493,-0.18764362,-0.16526413,0.21690941,-0.01893654
1972-11-01,0.05709648,-0.39508495,0.463945,-0.2117447,0.07603302,-0.72676086,-0.3939373,-0.059391785,0.13026047,0.1414505
1972-12-01,0.09869957,-0.03643837,0.37299195,0.016067505,-0.27113685,-1.2937092,-0.35003892,0.3893467,-0.026683044,0.12911263
1973-01-01,0.06817017,0.22904053,0.36952287,0.09269943,-0.019431686,-1.2248408,-0.49344024,0.13060722,-0.14303131,0.08823967
1973-02-01,0.02739563,0.084098436,0.511598,-0.033129882,0.010512352,-1.0104538,-0.25866604,-0.13857117,0.0,-0.13920803
1973-03-01,0.25261346,-0.31090888,0.4695488,-0.12901458,-0.08760242,-1.1343714,-0.6469833,0.05351696,0.10639725,-0.08951378
1973-04-01,-0.15672836,-0.34881687,0.18667278,-0.018157959,-0.039819337,-0.65176183,-0.68043154,0.19017677,0.08728409,0.37812346
1973-05-01,-0.016564941,-0.42558843,0.5249773,-0.5147835,-0.0073265075,-0.7855543,-0.2640814,0.102892876,0.13761559,0.49407768
1973-06-01,-0.039819337,-0.8400272,0.45330277,-0.38099098,0.55364764,-0.42335853,-0.2752308,-0.2016447,0.5628853,0.18221283
1973-07-01,-0.27937204,-0.61449087,0.28574294,-0.25643617,0.330978,0.031536866,-0.13251838,-0.14812756,0.6428425,-0.327792
1973-08-01,-0.14462356,-0.060525514,0.22840309,-0.2949814,0.13857117,0.32460672,0.12200622,-0.30899733,0.57562715,-0.055428315
1973-09-01,0.056702424,-0.32142106,0.31377602,-0.10639725,-0.044916153,0.06594086,-0.18603554,0.26439992,0.015290832,-0.2554802
1973-10-01,-0.08027573,-0.0057338714,0.3564619,0.049057387,0.2739567,-0.49248466,-0.2876541,-0.11021976,0.12582855,-0.11276817
1973-11-01,0.28478736,-0.14207515,0.36570016,-0.30676764,-0.18380585,-1.0677935,-0.6603626,-0.0060523986,0.11563492,0.081868365
1973-12-01,0.110219955,0.11977615,0.45680675,-0.4007408,-0.053198624,-0.5208359,-0.30644912,-0.17998314,0.12997016,0.09747772
1974-01-01,0.29945984,-0.18835373,0.30373326,0.093026735,-0.2774357,-1.5038735,-0.4749937,0.37046224,-0.21497956,0.321484
1974-02-01,-0.10847626,-0.018408203,0.39084244,0.07067414,-0.0121623995,-1.0903494,-0.119652554,-0.045362473,0.3389061,-0.030241776
1974-03-01,-0.111105345,-0.20774822,0.43456212,-0.00032844543,0.09631348,-1.0834465,-0.221554,0.29255676,0.03615875,0.44015008
1974-04-01,-0.22286911,-0.44902554,0.34219283,0.15679741,0.04503403,-0.3744068,-0.7540733,-0.078891374,0.59366035,0.30439034
1974-05-01,-0.059497453,-0.18112221,0.2521248,-0.25442582,0.21267891,-0.40366286,-0.22352639,-0.10387421,0.07954903,0.30044633
1974-06-01,0.15942688,-0.45132637,0.17980728,-0.2521248,0.2757923,-0.39938927,-0.4128666,0.2432495,0.40695,0.11373558
1974-07-01,-0.18868256,-0.67781144,0.15811233,-0.29025573,-0.010190201,-0.23766136,-0.2005165,-0.05588188,0.41615373,0.07494736
1974-08-01,0.15351029,-0.49833298,0.16468659,-0.41155204,0.34942436,-0.15449639,-0.31622428,0.12524071,0.35139695,0.06640053
1974-09-01,0.006903076,-0.2531109,0.19591446,-0.12951393,0.44015008,-0.35369796,-0.27612075,0.23108692,0.28433913,-0.032542802
1974-10-01,0.20840569,0.042733002,0.20478973,0.14430618,0.09138298,-0.38722688,-0.32707176,-0.03977432,0.15449639,-0.22779961
1974-11-01,0.40136147,0.055552673,0.45395622,-0.14463463,0.47499388,-0.2794079,-0.41746864,-0.14101906,-0.012162018,-0.11636543
1974-12-01,-0.0108474735,-0.105846405,0.4283163,0.31129304,0.23141594,-1.2090155,-0.1466072,0.0065742494,-0.04865036,-0.1485794
1975-01-01,0.23878518,-0.212183,0.6241976,-0.045603562,0.019318009,-0.82022893,-0.48833752,0.031035805,-0.0060173036,-0.24416848
1975-02-01,-0.007600403,-0.13332672,0.44843426,-0.08487282,-0.10609169,-0.93550456,-0.6533333,-0.06998863,0.14187698,-0.12350941
1975-03-01,-0.015834427,-0.31510735,0.19761506,0.017734528,0.022485161,-0.78000945,-0.37876225,-0.2391016,0.106091306,-0.09722404
1975-04-01,-0.07188873,0.050987244,0.19919834,-0.0057006837,-0.19698162,-0.54882544,0.3755951,-0.3084568,-0.08582306,0.32650796
1975-05-01,-0.37464523,-0.33220863,0.45951843,-0.11464195,0.118759155,-0.73503953,-0.23846836,0.13966064,0.14536133,0.16594581
1975-06-01,0.09754066,-0.4357666,0.049720764,-0.5687767,0.11622544,-0.25778618,-0.049087144,-0.2682373,0.52190626,0.15042801
1975-07-01,-0.21028252,-0.49815482,0.08138923,-0.1596119,0.3280918,0.19381484,0.13174362,-0.15169486,0.37021178,-0.23720169
1975-08-01,-0.09817429,-0.21408348,0.12889329,-0.27583772,0.18114701,0.0066505433,0.21059951,-0.270137,0.44621736,-0.2486023
1975-09-01,-0.18241386,-0.15042838,0.11622582,-0.26475373,0.5380577,0.038002778,-0.07125549,-0.22928429,0.3800289,-0.06523819
1975-10-01,0.12604293,-0.11179199,0.2194664,-0.06682167,0.02470169,-0.60836333,-0.26665363,0.013934326,0.40473098,0.08265648
1975-11-01,0.105458066,0.050987244,0.21914998,-0.2913559,0.076639175,-1.0197445,-0.4357666,0.09405708,0.16721305,0.35406035
1975-12-01,-0.090257265,-0.22896767,0.47503623,0.12350921,-0.07410564,-1.3712714,-0.36292762,0.08455658,-0.1273098,0.18178062
1976-01-01,0.11975746,-0.19511071,0.4117506,-0.021865845,-0.14969674,-0.67817724,-0.40973243,-0.110338405,0.111011505,0.20251122
1976-02-01,0.18501893,-0.2156311,0.18838254,0.0030277253,-0.27450028,-1.3069042,-0.6633757,0.23043232,-0.06929779,0.24018784
1976-03-01,0.50695074,0.0030273437,0.46927452,-0.14599685,-0.23615113,-0.8426758,-0.2586895,0.077035144,0.1533966,0.38349304
1976-04-01,-0.031284712,0.014128685,0.36768264,-0.04877739,0.111011125,-0.580286,-0.30914918,-0.18602791,0.085445024,0.23379631
1976-05-01,0.28560144,-0.3612911,0.32866058,0.040703963,0.08174439,-0.700716,-0.39022103,0.10596542,0.08477249,0.17660904
1976-06-01,-0.2364872,-0.21394882,0.36465493,-0.15137863,0.38584787,-0.1375866,-0.15541573,-0.12715836,0.6018154,0.052478027
1976-07-01,-0.18905564,-0.28560105,0.20553894,-0.2314415,0.35489923,0.09721909,-0.07938957,-0.25566214,0.39593965,-0.12951279
1976-08-01,0.06761589,-0.24725227,0.24590644,-0.152388,0.030948639,0.25902596,0.3350521,-0.6960064,0.18703727,-0.077035144
1976-09-01,0.08611794,-0.39089394,0.35422668,0.0057186126,0.08779983,-0.38753015,-0.277528,0.15777035,0.2751732,-0.51906127
1976-10-01,0.30914918,0.022202302,0.28862914,0.07266197,0.13321343,-0.6472286,-0.42890683,0.31554088,0.102265164,0.06256981
1976-11-01,0.054496385,-0.14700547,0.29031104,-0.062233735,-0.2472519,-1.178737,-0.025902558,0.3804657,0.08107185,0.4060318
1976-12-01,-0.095200345,0.017492676,0.37676525,-0.18232803,0.310495,-0.7878429,-0.1507061,0.099573895,0.040703963,-0.07636223
1977-01-01,-0.10614929,0.030783463,0.4203531,0.10544205,-0.14188728,-1.3519948,-0.44901353,0.3301258,-0.046352386,0.15887108
1977-02-01,-0.21442261,-0.0346756,0.3821392,-0.11994934,0.45149058,-1.0622059,-0.4026619,-0.012737656,0.11393432,0.18753128
1977-03-01,-0.101903535,-0.5077499,0.33649483,-0.08315048,-0.16594735,-0.72111094,-0.4843971,-0.1974388,0.007077026,0.24343681
1977-04-01,0.23494491,-0.29474276,0.32623369,0.16877823,-0.006015015,-0.42176858,0.041044615,-0.20345382,0.058735657,0.047413636
1977-05-01,-0.02193756,-0.17443962,0.33472595,-0.15568657,0.13162574,-0.6690979,-0.3962925,-0.05130539,0.11818008,0.20593071
1977-06-01,-0.3824932,-0.5767471,0.38992387,-0.42601472,0.49005812,-0.21300697,-0.022999192,-0.071827695,0.49713477,0.029014206
1977-07-01,-0.107565306,-0.48298186,0.10473442,-0.2915581,0.10721131,0.3796627,-0.031844713,-0.008138275,0.5912544,0.13587189
1977-08-01,0.1535633,-0.25617447,0.33083382,-0.06545906,0.096596524,-0.017691802,-0.21760711,0.01627655,0.37470856,-0.21972999
1977-09-01,0.037860107,-0.28412706,0.09518089,-0.03361435,0.4369835,0.29686585,-0.042459868,-0.07395134,0.31349564,0.09022713
1977-10-01,0.09270439,-0.57957804,0.25935936,-0.27209702,-0.061920546,-0.9355339,-0.6885586,0.2890814,0.124903105,0.20451507
