,r850_cluster1,r850_cluster2,r850_cluster3,r850_cluster4,r850_cluster5,r850_cluster6,r850_cluster7,r850_cluster8,r850_cluster9,r850_cluster10
1969-07-01,91.00522,90.60247,76.34087,62.664185,72.03767,54.23156,12.3191185,64.3487,65.86276,58.599945
1969-08-01,87.64119,90.44037,79.841934,68.12383,76.39435,37.12233,16.642384,61.382412,51.71314,57.578873
1969-09-01,78.72561,88.95137,75.40503,51.313732,77.90173,45.331017,15.15506,63.526497,58.409435,69.18334
1969-10-01,62.98337,77.23494,81.36435,34.33652,82.68121,58.504692,18.330246,61.449257,61.136753,46.45904
1969-11-01,71.73184,79.62134,80.69756,44.009136,83.49841,60.20425,41.358692,39.314877,71.63826,52.032326
1969-12-01,54.33517,73.06876,75.11759,29.388245,84.447624,64.56763,34.52703,34.057438,71.27395,61.823593
1970-01-01,52.731712,76.005165,78.08047,44.10615,81.1239,67.34651,47.12973,37.880257,79.84629,50.194687
1970-02-01,40.771442,74.9129,55.255497,37.018036,73.52606,66.8583,30.982458,40.925354,68.53972,43.303505
1970-03-01,39.377983,73.47476,61.347343,31.905916,75.008896,60.053177,30.06893,40.102844,54.25095,26.085484
1970-04-01,45.698204,71.77679,74.684525,17.694927,82.14004,55.46733,16.129349,50.16986,60.07469,26.530664
1970-05-01,53.867,79.40276,78.85994,22.585281,73.96462,42.337017,14.441311,48.584427,71.561646,44.26668
1970-06-01,85.70148,87.5517,78.045715,50.512436,72.753204,38.664703,9.008133,62.533936,64.04159,55.430923
1970-07-01,89.32911,92.508255,76.188866,65.104065,72.47021,46.323776,13.908417,69.579025,58.257565,55.260464
1970-08-01,90.77718,88.87897,80.17562,80.92862,76.30471,38.990723,15.502129,63.166122,64.46857,62.55876
1970-09-01,87.74202,87.12804,80.79126,66.6895,77.41518,40.716827,16.251816,56.29646,70.778854,61.810726
1970-10-01,61.84217,76.32126,81.732925,41.365566,76.98655,46.78054,23.708986,42.15994,73.8587,58.853344
1970-11-01,44.607597,67.84134,84.8227,30.38337,81.46648,44.226963,30.800415,36.610916,64.68371,47.54843
1970-12-01,34.99404,69.62371,80.36594,31.37799,73.077576,65.03952,37.082577,32.7218,73.71969,66.11854
1971-01-01,53.888382,71.02524,64.608,38.737892,76.44844,58.16372,39.899284,38.07521,64.81256,52.699944
1971-02-01,45.045242,72.8696,72.05476,26.550898,77.37485,59.93708,31.209986,37.95518,70.84604,29.07316
1971-03-01,38.663513,71.314316,70.81899,25.277931,80.45668,53.636494,27.78498,33.982445,58.99546,31.696856
1971-04-01,36.09053,76.76288,69.405716,23.010937,81.26644,59.754505,34.075424,40.898384,52.885902,21.041473
1971-05-01,46.757748,81.60962,77.36809,34.930832,75.40708,43.03352,17.636757,67.814926,65.25548,49.815907
1971-06-01,83.36269,89.80866,74.58548,61.60394,68.16994,40.283035,10.599098,50.657787,70.40651,57.511177
1971-07-01,80.18112,89.92531,76.1357,68.577354,72.44866,39.545967,14.059605,61.713825,64.32738,60.102753
