,vws_u250-50_cluster1,vws_u250-50_cluster2,vws_u250-50_cluster3,vws_u250-50_cluster4,vws_u250-50_cluster5,vws_u250-50_cluster6,vws_u250-50_cluster7,vws_u250-50_cluster8,vws_u250-50_cluster9,vws_u250-50_cluster10
1965-01-01,6.306196607574962,-47.424103117572955,-53.251099870447824,-105.39017461915014,20.453884320442356,-127.80008317495579,-69.74472216034658,-34.73799685648228,-27.58349491144231,-108.77836100095459
1965-02-01,24.620138391564716,-46.71157652637465,-47.6614308062061,-123.1205777149296,32.749217697321484,-188.92705211962289,-81.6140734348746,-58.60385389308096,-11.289981805148363,-135.74550732811392
1965-03-01,16.51485095093649,-53.15576660879902,-50.7586725679788,-117.85214755716899,21.567998047681975,-177.2818854799899,-82.93540100665784,-68.40594238118523,-14.257379208438769,-114.66443243105198
1965-04-01,3.9048315764779025,-57.157023736101756,-42.82604962032759,-95.41671307622408,14.614853265942056,-133.77465354967833,-66.65999128082218,-59.58045486778741,-19.186959216415577,-123.4287597409213
1965-05-01,2.6025200970691653,-60.677602766040295,-31.980291719850214,-100.6323811433978,12.909587942477302,-134.2206058002758,-52.78904874488756,-72.27324735965898,-15.05706743627185,-100.77853743490942
1965-06-01,9.132685555869775,-97.6953258936774,-19.70581165808965,-82.75419574941029,14.127261169436089,-110.47829100904563,-34.337902477888306,-104.78396671056194,-5.114756982591887,-140.9427362808566
1965-07-01,-0.6532213889184646,-105.48835090013803,-20.039477150689702,-63.1039860294806,7.952627398673081,-75.78208425325847,-24.144052198355432,-98.2215049656461,-12.36956813938699,-113.71824270872379
1965-08-01,-9.610746312927022,-90.06287178285218,-19.67608835920103,-61.254720569581515,-1.4517037610992476,-82.95781339599903,-29.266586304727372,-71.49104189337301,-14.620832507966755,-112.41564767822814
1965-09-01,-13.047538216039555,-87.1206798483666,-20.05950117329926,-71.99935465634043,-3.0767313770295526,-114.70776455686627,-33.054717253238394,-70.63711453412638,-14.360969392486531,-115.53929720615417
1965-10-01,-18.316914656735186,-45.73882940938849,-34.39638187805709,-85.80631531203679,-11.997635642156846,-129.2029504758196,-46.09872227644308,-75.08087637066666,-25.32094751081596,-105.92949899934268
1965-11-01,-29.502188336841023,-19.35920167258017,-47.54330787061113,-84.70651779180325,-17.817957566831986,-97.64044616029484,-55.71639513029416,-40.65120562784536,-38.828563067615285,-95.92384495042508
1965-12-01,-24.21934793233122,-9.147135485585888,-39.018423443627185,-102.93435777484954,-17.237120212742607,-104.45149614618379,-57.71403995793255,-16.89157571816518,-28.47000117849393,-95.68897891268678
1966-01-01,-41.836171411537485,-29.69448284193266,-61.659807507898115,-86.52285949589725,-25.09797405294283,-78.96958044397442,-67.94890885086532,-24.92499048457645,-50.8908229670445,-43.81053490921708
1966-02-01,-32.38601302207811,-28.320726031546766,-55.851364217772456,-106.35045908702911,-20.33879131112222,-141.96832222426718,-76.51860594965986,-20.812772317484985,-39.380193674894386,-105.53876517696317
1966-03-01,-32.352727795503036,-62.346341294537204,-50.814972642418184,-104.83110392763338,-20.107717950768567,-157.64056059449393,-69.84166706400919,-54.746331965442565,-39.35597541412546,-126.82625973646951
1966-04-01,-41.776049557905296,-42.23669798731544,-67.01457787175192,-78.03117791651061,-24.832504329729385,-106.52389614320484,-75.19525864018114,-29.7933445553274,-50.72625774746896,-77.01133960459771
1966-05-01,-33.94928356923521,-80.23740358536324,-42.250788201150264,-112.80766417435443,-14.798979499922407,-121.99920721508221,-59.79276949822432,-70.18181680688649,-34.63573587917755,-114.28464733647023
1966-06-01,-6.850441484834371,-89.73207816351403,-31.268087058812526,-84.69250483688549,8.201384306246792,-91.19496616254328,-38.92859514069345,-95.02353022980667,-21.660962444364387,-109.809391447045
1966-07-01,-4.394249776438446,-116.65682546189579,-27.43882650824013,-64.88447379377503,15.264172027653316,-81.26239309764809,-30.048064185690137,-92.34335125351657,-22.356529934544685,-118.612606782326
1966-08-01,7.256682392995152,-98.45092280298687,-21.269929109195324,-52.62042749555469,15.566195244812658,-81.06432137649877,-27.83443363459224,-90.89860867766906,-8.957630337471953,-112.34801285504285
1966-09-01,15.732564037512295,-77.27303955510486,-21.030751373804584,-69.87396548968971,19.43271651226256,-98.57166958342593,-38.058448284778066,-84.42177425045877,-1.2142378326319767,-100.51813134523488
1966-10-01,17.979595671940174,-42.68748229255561,-20.870305981014784,-105.74438388106942,18.843105710244316,-116.47936601945402,-52.165928686152974,-40.34273298925762,2.9032033941074356,-110.85928864455417
1966-11-01,20.5786254381869,-50.857902421516634,-20.166355490192558,-127.72563427555552,17.656128511350225,-74.2648676951589,-46.43430879604208,-13.508354230422034,2.7677993491546804,-112.39105664685903
1966-12-01,31.708479564323042,-53.10151144430203,-24.2885134625876,-128.97237936340935,25.481164699916725,-121.15622616064772,-59.192043522297496,-34.08515165756425,8.063459394351,-113.0384472428408
1967-01-01,30.432719805925988,-46.592487541794505,-26.79298939200898,-141.4486678987849,24.669872185214547,-161.66012085908022,-64.31138646697235,-57.5570702424103,5.326338848098795,-153.09904006663027
1967-02-01,21.43818384188312,-44.884599703890835,-39.03134120289032,-118.26944632947806,27.19802546450042,-158.33573799533892,-74.39413666837416,-53.72508161007832,-6.225876426797818,-154.83522002998316
1967-03-01,16.205304814147514,-52.053693101387466,-45.34979278219745,-97.65500297358037,19.680535408580525,-196.4860473653581,-79.24212704322672,-59.280623865766835,-10.401310311530427,-135.37575956152017
