,msl_cluster1,msl_cluster2,msl_cluster3,msl_cluster4,msl_cluster5,msl_cluster6,msl_cluster7,msl_cluster8,msl_cluster9
1965-01-01,1007.9218,1012.4794,1015.05554,1024.7245,1015.1696,1017.5195,1008.7342,1012.81305,1019.8246
1965-02-01,1008.3032,1011.83936,1014.64685,1022.087,1016.81555,1014.8856,1007.9931,1012.6679,1018.5421
1965-03-01,1006.3981,1012.0093,1014.05084,1020.65564,1015.78796,1015.182,1009.5503,1013.51685,1016.96436
1965-04-01,1014.9116,1010.8868,1016.5042,1014.1482,1018.0745,1011.30786,1010.2244,1013.6831,1015.39417
1965-05-01,1020.1155,1009.00336,1016.7033,1009.68054,1021.5245,1008.34906,1009.12054,1013.72833,1010.80054
1965-06-01,1014.5842,1009.16956,1013.9318,1006.26154,1018.1744,1005.55334,1010.6629,1013.90076,1009.06036
1965-07-01,1012.4645,1007.7971,1013.5603,1002.12946,1016.31445,1004.47925,1009.9621,1011.6068,1009.048
1965-08-01,1015.0499,1009.00525,1012.346,1006.7788,1015.5678,1007.64276,1010.12775,1010.8564,1009.65765
1965-09-01,1016.70764,1008.8576,1013.3049,1013.4164,1016.11725,1008.0527,1010.2325,1010.91656,1009.4635
1965-10-01,1020.21716,1011.33325,1012.04095,1018.5979,1018.3331,1013.587,1010.42664,1009.95154,1017.5368
1965-11-01,1022.1948,1011.77985,1019.8649,1022.8535,1020.2711,1014.485,1010.24243,1014.09735,1019.9313
1965-12-01,1014.6859,1012.2846,1016.61835,1027.7168,1018.6922,1016.79694,1008.78687,1013.70544,1019.8717
1966-01-01,1006.4893,1014.42554,1016.2869,1025.0481,1017.15686,1018.2416,1011.09326,1015.8907,1020.52795
1966-02-01,1019.3625,1012.6436,1017.6451,1020.1987,1020.844,1015.4564,1010.0575,1014.6552,1018.2885
1966-03-01,1010.0093,1010.96564,1014.55444,1014.71906,1017.1757,1011.9345,1009.4704,1013.86664,1013.533
1966-04-01,1015.16156,1010.1332,1016.6668,1012.69055,1019.57153,1010.7678,1009.1531,1013.7433,1014.4794
1966-05-01,1016.3307,1008.29315,1014.8943,1011.3906,1018.5433,1007.4695,1010.13696,1013.5055,1011.67163
1966-06-01,1014.29596,1010.13135,1013.9336,1005.19366,1017.50616,1007.6453,1010.76843,1013.5287,1008.8826
1966-07-01,1018.07947,1008.23804,1014.8568,1002.3716,1017.3666,1005.8446,1009.163,1011.08325,1009.8653
1966-08-01,1016.961,1008.6461,1010.40857,1005.30383,1015.63104,1006.0387,1009.83655,1010.49243,1006.299
1966-09-01,1016.0403,1008.3156,1011.55334,1015.2166,1015.5008,1007.9895,1009.97296,1009.9817,1008.9196
1966-10-01,1017.7159,1010.6158,1014.29913,1019.2668,1015.71796,1013.3008,1009.5818,1009.69196,1016.1242
1966-11-01,1017.6839,1009.1399,1016.99225,1023.13226,1016.47406,1013.635,1008.6023,1011.56525,1019.1234
1966-12-01,1008.2086,1010.08124,1015.1378,1026.2473,1016.15857,1014.8562,1007.62524,1012.4991,1020.4253
1967-01-01,1008.9429,1012.8842,1015.58344,1030.453,1016.79803,1018.92694,1008.0968,1012.4721,1021.53906
1967-02-01,1009.7483,1012.8741,1017.1268,1026.2794,1017.2378,1017.2603,1008.4596,1013.56415,1021.193
1967-03-01,1017.7689,1012.0578,1018.18976,1017.98584,1018.76227,1014.4863,1009.1526,1011.806,1017.4453
1967-04-01,1021.4883,1010.76337,1019.8093,1015.3934,1018.58813,1011.9606,1009.57776,1013.8072,1017.13403
1967-05-01,1017.5991,1008.752,1012.58026,1008.1853,1017.3147,1007.52576,1008.81665,1011.4933,1010.93024
1967-06-01,1011.4665,1007.5563,1009.3325,1003.3885,1015.21265,1004.2628,1008.9886,1011.2684,1006.1697
1967-07-01,1018.08167,1007.0316,1011.4679,1001.6529,1015.3795,1004.1655,1008.9392,1008.924,1005.9433
1967-08-01,1013.54016,1007.0222,1009.04517,1003.36523,1014.5676,1002.78986,1009.3535,1009.84406,1007.5527
1967-09-01,1016.3047,1008.8551,1007.92346,1013.3697,1013.6635,1007.99524,1009.9013,1007.5476,1008.7484
