,zgu600_cluster1,zgu600_cluster2,zgu600_cluster3,zgu600_cluster4,zgu600_cluster5,zgu600_cluster6,zgu600_cluster7,zgu600_cluster8,zgu600_cluster9
1965-01-01,-0.07292996471126875,-0.011607516521158127,1.2687475151485867,0.08995355938070564,-0.5321807653001212,0.25728447937671045,-0.1258891034912277,-0.11694326756461974,24.212613105773926
1965-02-01,-0.10886506487925848,-0.41105735760468703,1.4670366711086698,0.08719609149040713,-0.2680123865025715,0.27985471634217246,-0.29506165902693193,-0.13572366968277963,31.501100063323975
1965-03-01,-0.04860013102491697,-0.25430651238331425,1.251521905263265,0.0449484114044456,-0.22614743669056198,0.2802665034929911,-0.16367288081200568,0.16415565004271845,24.466724395751953
1965-04-01,-0.12824402501185736,0.03986087842629506,0.9618514776229858,0.048403558070941634,-0.5266084652213217,0.2552304370903674,-0.2173484681726812,-0.5446325386724165,15.257067680358887
1965-05-01,-0.6271213789780935,0.2680833236529277,0.6451683574252658,0.04489190315687528,-0.28617618587410565,0.42774261515817524,-0.1343021926644084,-0.7004320621490479,10.952703952789307
1965-06-01,-0.32676927745342255,-0.022340669798163265,0.6433731317520142,-0.016689736155732986,-0.32183754357319433,0.29440084357320523,-0.2259836910845159,0.21959889319635206,7.419008016586304
1965-07-01,0.03859927877783775,0.1783679167811687,0.6794855991999308,-0.14825533795100385,-0.5745695921981219,0.08407174437134354,-0.3225801082757803,-0.42085171707214847,7.427715063095093
1965-08-01,-0.06211211904883385,0.017392151774122164,0.3911252154244317,-0.057250361448975016,-0.15811495555257335,0.0018001029578348,-0.1049662274973733,0.053171483018705924,6.5757763385772705
1965-09-01,-0.40335205694039666,0.3005665082197923,0.5291788445578681,-0.14719439129675588,-0.2549016287604582,0.13069216115975085,0.11641676281834697,-0.30863181717934146,11.586354970932007
1965-10-01,-0.49258867899576825,-0.07775135051745635,0.5057988895310296,-0.13342896296131995,0.13252009176513524,0.05125006959762102,-0.012058837359750663,-0.20891019413548131,14.407004117965698
1965-11-01,-0.35620830953121185,0.40223976740470296,1.1662802431318495,-0.03418175763981317,-0.059943821606705486,0.20877983835008407,-0.250792879979689,-1.6439074470150856,19.241496324539185
1965-12-01,-0.4356706142425537,-0.014613601020895517,1.3485611809624565,0.09647090268391434,-0.05000807272577749,0.21682635501579,-0.28062849254398553,-0.9553304603022914,33.352909088134766
1966-01-01,-0.1341491813460986,-0.3827488479705957,1.496097379260593,0.04649099803739978,-0.043876440200990845,0.23386068182227052,-0.16933766367671255,0.19013314477859006,30.52448272705078
1966-02-01,-0.37715665996074677,-0.10374594623079667,1.2675064139895968,0.10974622702085843,-0.20058773530339732,0.31139177304727056,-0.26751412795140195,-0.9372478531252953,25.347285270690918
1966-03-01,-0.3209557632605235,0.03810253782341114,1.3747881518469915,0.05008367601261344,-0.22359443376365218,0.1593474620654259,-0.1952550404674404,-0.5528869167450936,24.297642707824707
1966-04-01,-0.16532372683286667,0.11611279959862049,0.9680755270851983,-0.002610337199462998,-0.021907421353372553,0.20108440040070333,-0.1552460940329583,0.14842052853876544,18.35926651954651
1966-05-01,-0.3932959586381912,0.27353972769700563,0.41955050494935775,0.02910598551714292,-0.5684068770084566,0.21795372904082874,-0.19001957479414047,-0.37061401432560337,11.876482963562012
1966-06-01,-0.22256034115950268,-0.12974832206964493,0.6789345211452907,-0.013337704923845105,-0.17348850887377285,0.1837540187953431,-0.20665848975653175,0.8102748663194718,4.903616905212402
1966-07-01,-0.2395197500785192,0.10877641347738412,0.6257275078031752,-0.054321814608830274,-0.19066053379363226,0.06625577807426453,-0.1998403570154211,-0.44504649216128933,6.907490491867065
1966-08-01,-0.23655469218889874,-0.032485989280618154,0.04785779449674818,-0.0663941946401391,-0.17997066589813787,-0.0374961276481181,-0.08281039503904489,0.6247061875558668,7.931416034698486
1966-09-01,-0.20629617075125378,-0.023543037689076018,0.364271170563168,-0.1480989078039764,-0.15742278938154572,0.050045480882679974,0.12322166463830968,-0.31863756237491486,9.641174674034119
